DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
Barry-Mantis,225758,UT,DS,1,0,0,,,17:33:28 07-Feb-2025,CS,,,,,,,,401650000,-130
Barry-Mantis,225758,UT,DS,1,0,1,,,18:28:56 07-Feb-2025,SR,,,,,,,,401650000,-129
Barry-Mantis,225758,UT,DS,1,0,0,,,19:12:05 07-Feb-2025,CS,,,,,,,,401650000,-134
Barry-Mantis,225758,UT,DS,1,0,1,,,21:00:07 07-Feb-2025,NP,,,,,,,,401650000,-130
Barry-Mantis,225758,UT,DS,1,0,0,,,21:06:27 07-Feb-2025,MC,,,,,,,,401650000,-122
Barry-Mantis,225758,UT,DS,1,0,0,,,21:06:27 07-Feb-2025,NK,,,,,,,,401650000,-137
Barry-Mantis,225758,UT,DS,1,0,1,,,21:43:28 07-Feb-2025,SR,,,,,,,,401650000,-138
Barry-Mantis,225758,UT,DS,1,0,1,,,21:53:17 07-Feb-2025,MB,,,,,,,,401650000,-128
Barry-Mantis,225758,UT,DS,1,0,0,,,22:42:56 07-Feb-2025,NP,,,,,,,,401650000,-133
Barry-Mantis,225758,UT,DS,3,0,2,192,181,22:49:10 07-Feb-2025,MC,A,41.4751,-52.2058,52.2682,2.4978,,,401677578,-120
Barry-Mantis,225758,UT,DS,2,0,1,578,578,22:52:19 07-Feb-2025,NN,B,46.2866,-21.1427,49.2797,-5.1531,,,401678307,-130
Barry-Mantis,225758,UT,DS,1,0,1,,,23:01:57 07-Feb-2025,O3,B,49.2792,-5.1536,49.2792,-5.1536,6,,401677691,-137
Barry-Mantis,225758,UT,DS,1,0,1,,,00:43:27 08-Feb-2025,NN,B,49.2999,-5.1226,49.2999,-5.1226,6,,401677780,-140
Barry-Mantis,225758,UT,DS,1,0,1,,,00:43:27 08-Feb-2025,O3,B,49.3086,-5.2098,49.3086,-5.2098,,,401677898,-131
Barry-Mantis,225758,UT,DS,1,0,0,,,05:51:47 08-Feb-2025,SR,B,49.3492,-5.3205,49.3492,-5.3205,8,,401677672,-138
Barry-Mantis,225758,UT,DS,1,0,0,,,12:59:06 08-Feb-2025,NN,B,49.5908,-5.3798,49.5908,-5.3798,8,,401677556,-131
Barry-Mantis,225758,UT,DS,1,0,1,,,17:29:09 08-Feb-2025,NK,B,49.7373,-5.6349,49.7373,-5.6349,7,,401677640,-133
Barry-Mantis,225758,UT,DS,1,0,1,,,17:53:51 08-Feb-2025,SR,B,49.7472,-5.2764,49.7472,-5.2764,8,,401677544,-124
Barry-Mantis,225758,UT,DS,2,0,0,127,127,18:32:21 08-Feb-2025,CS,B,40.7262,-54.7139,50.0044,-5.8847,,,401677685,-128
Barry-Mantis,225758,UT,DS,1,0,1,,,20:42:07 08-Feb-2025,NK,B,50.0928,-5.5035,50.0928,-5.5035,,,401677666,-126
Barry-Mantis,225758,UT,DS,3,0,3,210,207,20:42:07 08-Feb-2025,NP,A,50.0928,-5.5035,50.0928,-5.5035,8,,401677665,-120
Barry-Mantis,225758,UT,DS,2,0,1,581,581,20:45:34 08-Feb-2025,MC,B,50.0945,-5.4974,50.0945,-5.4974,6,,401677664,-124
Barry-Mantis,225758,UT,DS,1,0,0,,,00:03:52 09-Feb-2025,O3,B,50.1202,-5.3306,50.1202,-5.3306,8,,401677642,-135
Barry-Mantis,225758,UT,DS,3,0,1,221,200,01:40:17 09-Feb-2025,O3,A,50.0719,-5.5241,50.0719,-5.5241,8,,401677669,-132
Barry-Mantis,225758,UT,DS,3,0,2,221,210,05:13:10 09-Feb-2025,SR,A,50.0885,-5.4754,50.0885,-5.4754,8,,401677663,-121
Barry-Mantis,225758,UT,DS,1,0,0,,,08:06:36 09-Feb-2025,CS,B,50.0913,-5.4456,50.0913,-5.4456,8,,401677678,-132
Barry-Mantis,225758,UT,DS,1,0,1,,,09:44:55 09-Feb-2025,MB,B,50.0907,-5.4732,50.0907,-5.4732,8,,401677667,-132
Barry-Mantis,225758,UT,DS,2,0,1,241,241,10:26:45 09-Feb-2025,NK,B,50.0593,-5.4825,50.0593,-5.4825,8,,401677673,-133
Barry-Mantis,225758,UT,DS,3,0,2,249,243,10:39:00 09-Feb-2025,NP,A,50.0560,-5.4787,50.0560,-5.4787,6,,401677680,-122
Barry-Mantis,225758,UT,DS,3,0,3,249,243,10:39:00 09-Feb-2025,MC,A,50.0542,-5.4729,50.0542,-5.4729,,,401677670,-120
Barry-Mantis,225758,UT,DS,1,0,1,,,11:05:04 09-Feb-2025,NN,B,50.0540,-5.4734,50.0540,-5.4734,6,,401677678,-130
Barry-Mantis,225758,UT,DS,1,0,1,,,12:00:15 09-Feb-2025,O3,B,50.0518,-5.4632,50.0518,-5.4632,8,,401677687,-121
