DeployID,Ptt,Source,Instr,Start,End,Kind,Type,MinDepth,PercentTime,MinSec,MaxSec,MaxDives,Percent_20,Percent_33,Percent_40,Percent_60,Percent_66,Percent_80,Percent_100
Barry-Mantis,225758,Transmission,UT,17:00:00 07-Feb-2025,18:00:00 07-Feb-2025,depth,shallow,0.000000,22.0,776,812,23,,1.000000,,,1.000000,,5.000000
Barry-Mantis,225758,Transmission,UT,17:00:00 07-Feb-2025,18:00:00 07-Feb-2025,depth,deep,,69.3,2476,2512,23,13.000000,,15.000000,19.000000,,22.000000,25.000000
Barry-Mantis,225758,Transmission,UT,17:00:00 07-Feb-2025,18:00:00 07-Feb-2025,depth,dry,,8.7,295,331,,,,,,,,
Barry-Mantis,225758,Transmission,UT,18:00:00 07-Feb-2025,19:00:00 07-Feb-2025,depth,shallow,0.000000,18.1,634,670,20,,1.000000,,,1.000000,,5.000000
Barry-Mantis,225758,Transmission,UT,18:00:00 07-Feb-2025,19:00:00 07-Feb-2025,depth,deep,,73.2,2618,2654,20,15.000000,,26.000000,28.000000,,29.000000,30.000000
Barry-Mantis,225758,Transmission,UT,18:00:00 07-Feb-2025,19:00:00 07-Feb-2025,depth,dry,,8.7,295,331,,,,,,,,
Barry-Mantis,225758,Transmission,UT,21:00:00 07-Feb-2025,22:00:00 07-Feb-2025,depth,shallow,0.000000,36.2,1286,1322,13,,1.000000,,,1.000000,,5.000000
Barry-Mantis,225758,Transmission,UT,21:00:00 07-Feb-2025,22:00:00 07-Feb-2025,depth,deep,,49.6,1768,1804,13,19.000000,,21.000000,23.000000,,23.000000,26.000000
Barry-Mantis,225758,Transmission,UT,21:00:00 07-Feb-2025,22:00:00 07-Feb-2025,depth,dry,,14.2,493,529,,,,,,,,
Barry-Mantis,225758,Transmission,UT,22:00:00 07-Feb-2025,23:00:00 07-Feb-2025,depth,shallow,0.000000,14.2,492,528,21,,1.000000,,,1.000000,,5.000000
Barry-Mantis,225758,Transmission,UT,22:00:00 07-Feb-2025,23:00:00 07-Feb-2025,depth,deep,,74.8,2675,2711,21,20.000000,,23.000000,26.000000,,30.000000,35.000000
Barry-Mantis,225758,Transmission,UT,22:00:00 07-Feb-2025,23:00:00 07-Feb-2025,depth,dry,,11.0,378,414,,,,,,,,
Barry-Mantis,225758,Transmission,UT,03:00:00 08-Feb-2025,04:00:00 08-Feb-2025,depth,shallow,0.000000,30.7,1088,1124,21,,1.000000,,,1.000000,,5.000000
Barry-Mantis,225758,Transmission,UT,03:00:00 08-Feb-2025,04:00:00 08-Feb-2025,depth,deep,,68.5,2448,2484,21,14.000000,,23.000000,32.000000,,33.000000,35.000000
Barry-Mantis,225758,Transmission,UT,03:00:00 08-Feb-2025,04:00:00 08-Feb-2025,depth,dry,,0.8,11,47,,,,,,,,
Barry-Mantis,225758,Transmission,UT,04:00:00 08-Feb-2025,05:00:00 08-Feb-2025,depth,shallow,0.000000,40.9,1456,1492,19,,1.000000,,,1.000000,,5.000000
Barry-Mantis,225758,Transmission,UT,04:00:00 08-Feb-2025,05:00:00 08-Feb-2025,depth,deep,,58.3,2080,2116,19,11.000000,,15.000000,20.000000,,33.000000,35.000000
Barry-Mantis,225758,Transmission,UT,04:00:00 08-Feb-2025,05:00:00 08-Feb-2025,depth,dry,,0.8,11,47,,,,,,,,
Barry-Mantis,225758,Transmission,UT,13:00:00 08-Feb-2025,14:00:00 08-Feb-2025,depth,shallow,0.000000,27.6,974,1010,15,,1.000000,,,1.000000,,5.000000
Barry-Mantis,225758,Transmission,UT,13:00:00 08-Feb-2025,14:00:00 08-Feb-2025,depth,deep,,69.3,2476,2512,15,26.000000,,35.000000,40.000000,,46.000000,49.000000
