DeployID,Ptt,DepthSensor,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
Barry-Mantis,225758,0.500000,Transmission,UT,Percent,15:00:00 07-Feb-2025,1.000000,1,,,,,24,,,,,,,,,,,,,,,,,20,3,10,10,3,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,Percent,00:00:00 08-Feb-2025,1.000000,1,,,,,24,,10,3,3,3,3,3,3,0,3,3,0,0,3,3,0,3,0,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,Percent,00:00:00 10-Feb-2025,1.000000,1,,,,,24,,3,3,10,3,3,3,3,3,0,3,3,3,10,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,Percent,00:00:00 27-Feb-2025,1.000000,1,,,,,24,,100,98,10,10,3,10,10,10,10,10,10,10,10,10,10,10,3,10,10,10,10,40,98,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,Percent,00:00:00 28-Feb-2025,1.000000,1,,,,,24,,70,10,10,3,10,10,10,10,10,10,10,10,10,20,20,10,3,10,10,10,60,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,Percent,00:00:00 02-Mar-2025,1.000000,1,,,,,24,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,Percent,00:00:00 03-Mar-2025,1.000000,1,,,,,24,,10,10,10,10,10,3,10,10,10,3,3,3,3,20,10,3,10,10,3,10,10,50,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,Percent,00:00:00 04-Mar-2025,1.000000,1,,,,,24,,100,100,100,80,10,10,10,10,3,3,3,3,3,3,3,20,40,98,80,10,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,Percent,00:00:00 07-Mar-2025,1.000000,1,,,,,24,,90,80,30,60,50,20,30,3,0,3,3,3,3,3,0,3,50,100,100,100,100,60,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,Percent,00:00:00 08-Mar-2025,1.000000,1,,,,,24,,10,10,10,3,3,10,10,10,3,3,3,3,3,3,3,10,3,3,3,10,10,40,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
