DeployID,Ptt,DepthSensor,Source,Instr,Date,Duration,Time Offset,Count,LocationQuality,Latitude,Longitude,BadTherm,NumBins,Partial,Depth1,Depth1Error,MinTemp1,MaxTemp1,%Ox1,Discont1,Depth2,Depth2Error,MinTemp2,MaxTemp2,%Ox2,Discont2,Depth3,Depth3Error,MinTemp3,MaxTemp3,%Ox3,Discont3,Depth4,Depth4Error,MinTemp4,MaxTemp4,%Ox4,Discont4,Depth5,Depth5Error,MinTemp5,MaxTemp5,%Ox5,Discont5,Depth6,Depth6Error,MinTemp6,MaxTemp6,%Ox6,Discont6,Depth7,Depth7Error,MinTemp7,MaxTemp7,%Ox7,Discont7,Depth8,Depth8Error,MinTemp8,MaxTemp8,%Ox8,Discont8,Depth9,Depth9Error,MinTemp9,MaxTemp9,%Ox9,Discont9,Depth10,Depth10Error,MinTemp10,MaxTemp10,%Ox10,Discont10,Depth11,Depth11Error,MinTemp11,MaxTemp11,%Ox11,Discont11,Depth12,Depth12Error,MinTemp12,MaxTemp12,%Ox12,Discont12,Depth13,Depth13Error,MinTemp13,MaxTemp13,%Ox13,Discont13,Depth14,Depth14Error,MinTemp14,MaxTemp14,%Ox14,Discont14,Depth15,Depth15Error,MinTemp15,MaxTemp15,%Ox15,Discont15,Depth16,Depth16Error,MinTemp16,MaxTemp16,%Ox16,Discont16,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,04:00:00 08-Feb-2025,1.7,1.00,1,,,, ,8,,0.00,0.00,9.775,9.825,,,5.00,0.00,9.775,9.825,,,10.00,0.00,9.775,9.825,,,15.00,0.00,9.775,9.825,,,20.00,0.00,9.775,9.825,,,25.00,0.00,9.775,9.825,,,30.00,0.00,9.775,9.825,,,35.00,1.00,9.775,9.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,14:02:00 09-Feb-2025,1.7,1.00,1,,,, ,7,,0.00,0.00,10.175,10.225,,,5.00,0.00,10.175,10.225,,,10.00,0.00,10.175,10.225,,,15.00,0.00,10.175,10.225,,,20.00,0.00,10.175,10.225,,,25.00,0.00,10.175,10.225,,,30.00,0.00,10.175,10.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,00:00:00 12-Feb-2025,16.7,1.00,3,,,, ,6,,0.00,0.00,9.575,9.625,,,5.00,0.00,9.475,9.525,,,10.00,0.00,9.575,9.625,,,15.00,0.00,9.575,9.625,,,20.00,0.00,9.575,9.625,,,25.00,0.00,9.525,9.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,10:13:00 12-Feb-2025,1.7,1.00,1,,,, ,5,,0.00,0.00,9.225,9.275,,,5.00,0.00,9.225,9.275,,,10.00,0.00,9.225,9.275,,,15.00,0.00,9.225,9.275,,,20.00,0.00,9.275,9.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,11:00:00 12-Feb-2025,16.7,1.00,1,,,, ,5,,0.00,0.00,9.475,9.525,,,5.00,0.00,9.475,9.525,,,10.00,0.00,9.475,9.525,,,15.00,0.00,9.475,9.525,,,20.00,1.00,9.425,9.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,21:00:00 13-Feb-2025,1.7,1.00,1,,,, ,5,,0.00,1.00,9.125,9.175,,,5.00,0.00,9.125,9.175,,,10.00,0.00,9.125,9.175,,,15.00,0.00,9.125,9.175,,,20.00,1.00,9.125,9.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,22:01:00 13-Feb-2025,1.7,1.00,1,,,, ,5,,0.00,0.00,9.125,9.175,,,5.00,0.00,9.125,9.175,,,10.00,0.00,9.125,9.175,,,15.00,1.00,9.125,9.175,,,20.00,0.00,9.125,9.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,20:00:00 15-Feb-2025,1.7,1.00,1,,,, ,3,,0.00,0.00,9.625,9.675,,,5.00,0.00,9.625,9.675,,,10.00,0.00,9.625,9.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,06:02:00 16-Feb-2025,1.7,1.00,2,,,, ,4,,0.00,0.00,9.625,9.675,,,5.00,0.00,9.625,9.675,,,10.00,0.00,9.625,9.675,,,15.00,0.00,9.625,9.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,05:00:00 17-Feb-2025,1.7,1.00,2,,,, ,3,,0.00,1.00,9.475,9.525,,,5.00,0.00,9.475,9.525,,,10.00,0.00,9.475,9.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,06:00:00 17-Feb-2025,1.7,1.00,1,,,, ,3,,0.00,0.00,9.475,9.525,,,5.00,0.00,9.475,9.525,,,10.00,0.00,9.475,9.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,04:09:00 18-Feb-2025,1.7,1.00,1,,,, ,3,,0.00,0.00,9.475,9.525,,,5.00,0.00,9.475,9.525,,,10.00,0.00,9.475,9.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,22:01:00 23-Feb-2025,16.7,1.00,1,,,, ,16,,0.00,0.00,10.775,10.825,,,5.00,0.00,10.775,10.825,,,10.00,0.00,10.775,10.825,,,15.00,0.00,10.775,10.825,,,20.00,0.00,10.775,10.825,,,25.00,0.00,10.775,10.825,,,30.00,0.00,10.775,10.825,,,35.00,0.00,10.775,10.825,,,40.00,0.00,10.775,10.825,,,45.00,0.00,10.775,10.825,,,50.00,0.00,10.775,10.825,,,55.00,0.00,10.775,10.825,,,60.00,0.00,10.775,10.825,,,65.00,0.00,10.775,10.825,,,70.00,0.00,10.775,10.825,,,75.00,1.00,10.775,10.825,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,10:00:00 24-Feb-2025,16.7,1.00,1,,,, ,16,,0.00,0.00,10.825,10.875,,,5.00,0.00,10.825,10.875,,,10.00,0.00,10.825,10.875,,,15.00,0.00,10.825,10.875,,,20.00,0.00,10.825,10.875,,,25.00,0.00,10.825,10.875,,,30.00,0.00,10.825,10.875,,,35.00,0.00,10.825,10.875,,,40.00,0.00,10.825,10.875,,,45.00,0.00,10.825,10.875,,,50.00,0.00,10.825,10.875,,,55.00,0.00,10.825,10.875,,,60.00,0.00,10.825,10.875,,,65.00,0.00,10.825,10.875,,,70.00,0.00,10.825,10.875,,,75.00,0.00,10.825,10.875,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,10:00:00 25-Feb-2025,16.7,1.00,1,,,, ,15,,0.00,0.00,10.725,10.775,,,5.00,0.00,10.725,10.775,,,10.00,0.00,10.725,10.775,,,15.00,0.00,10.725,10.775,,,20.00,0.00,10.725,10.775,,,25.00,0.00,10.725,10.775,,,30.00,0.00,10.725,10.775,,,35.00,0.00,10.725,10.775,,,40.00,1.00,10.725,10.775,,,45.00,0.00,10.725,10.775,,,50.00,0.00,10.725,10.775,,,55.00,0.00,10.725,10.775,,,60.00,0.00,10.725,10.775,,,65.00,0.00,10.725,10.775,,,70.00,0.00,10.725,10.775,,,,,,,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,07:01:00 27-Feb-2025,16.7,1.00,2,,,, ,14,,0.00,1.00,10.775,10.825,,,5.00,0.00,10.775,10.825,,,10.00,0.00,10.775,10.825,,,15.00,0.00,10.775,10.825,,,20.00,1.00,10.775,10.825,,,25.00,0.00,10.775,10.825,,,30.00,0.00,10.775,10.825,,,35.00,0.00,10.775,10.825,,,40.00,0.00,10.775,10.825,,,45.00,0.00,10.775,10.825,,,50.00,0.00,10.775,10.825,,,55.00,0.00,10.775,10.825,,,60.00,0.00,10.775,10.825,,,65.00,0.00,10.775,10.825,,,,,,,,,,,,,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,08:01:00 27-Feb-2025,16.7,1.00,1,,,, ,14,,0.00,1.00,10.575,10.625,,,5.00,0.00,10.575,10.625,,,10.00,0.00,10.575,10.625,,,15.00,1.00,10.575,10.625,,,20.00,0.00,10.625,10.675,,,25.00,0.00,10.575,10.625,,,30.00,0.00,10.575,10.625,,,35.00,0.00,10.575,10.625,,,40.00,0.00,10.625,10.675,,,45.00,1.00,10.575,10.625,,,50.00,0.00,10.675,10.725,,,55.00,0.00,10.625,10.675,,,60.00,0.00,10.625,10.675,,,65.00,1.00,10.625,10.675,,,,,,,,,,,,,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,18:04:00 27-Feb-2025,16.7,1.00,1,,,, ,15,,0.00,0.00,10.775,10.825,,,5.00,0.00,10.775,10.825,,,10.00,0.00,10.775,10.825,,,15.00,0.00,10.775,10.825,,,20.00,0.00,10.775,10.825,,,25.00,0.00,10.775,10.825,,,30.00,1.00,10.775,10.825,,,35.00,0.00,10.775,10.825,,,40.00,0.00,10.775,10.825,,,45.00,0.00,10.775,10.825,,,50.00,0.00,10.775,10.825,,,55.00,0.00,10.775,10.825,,,60.00,0.00,10.775,10.825,,,65.00,0.00,10.775,10.825,,,70.00,1.00,10.775,10.825,,,,,,,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,17:33:00 28-Feb-2025,16.7,1.00,1,,,, ,12,,0.00,0.00,10.775,10.825,,,5.00,0.00,10.775,10.825,,,10.00,0.00,10.775,10.825,,,15.00,0.00,10.775,10.825,,,20.00,0.00,10.775,10.825,,,25.00,0.00,10.775,10.825,,,30.00,0.00,10.775,10.825,,,35.00,0.00,10.775,10.825,,,40.00,0.00,10.775,10.825,,,45.00,0.00,10.775,10.825,,,50.00,0.00,10.775,10.825,,,55.00,0.00,10.775,10.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,03:13:00 03-Mar-2025,16.7,1.00,1,,,, ,9,,0.00,0.00,9.825,9.875,,,5.00,0.00,9.875,9.925,,,10.00,0.00,9.875,9.925,,,15.00,0.00,9.925,9.975,,,20.00,0.00,9.925,9.975,,,25.00,0.00,9.925,9.975,,,30.00,0.00,9.925,9.975,,,35.00,0.00,9.925,9.975,,,40.00,0.00,9.925,9.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,15:01:00 03-Mar-2025,16.7,1.00,1,,,, ,11,,0.00,0.00,10.075,10.125,,,5.00,0.00,10.075,10.125,,,10.00,0.00,9.975,10.025,,,15.00,0.00,10.025,10.075,,,20.00,0.00,9.975,10.025,,,25.00,0.00,9.975,10.025,,,30.00,0.00,9.975,10.025,,,35.00,0.00,9.925,9.975,,,40.00,0.00,9.925,9.975,,,45.00,0.00,9.925,9.975,,,50.00,0.00,9.975,10.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,12:30:00 05-Mar-2025,1.7,1.00,1,,,, ,6,,0.00,0.00,10.075,10.125,,,5.00,0.00,9.925,9.975,,,10.00,0.00,9.875,9.925,,,15.00,0.00,9.875,9.925,,,20.00,0.00,9.925,9.975,,,25.00,0.00,9.925,9.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,00:08:00 06-Mar-2025,1.7,1.00,3,,,, ,5,,0.00,0.00,9.925,9.975,,,5.00,0.00,10.125,10.175,,,10.00,0.00,9.975,10.025,,,15.00,0.00,9.925,9.975,,,20.00,0.00,9.925,9.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,01:00:00 06-Mar-2025,1.7,1.00,2,,,, ,5,,0.00,0.00,9.975,10.025,,,5.00,0.00,9.975,10.025,,,10.00,0.00,9.975,10.025,,,15.00,0.00,9.925,9.975,,,20.00,0.00,9.825,9.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,22:01:00 08-Mar-2025,1.7,1.00,1,,,, ,4,,0.00,0.00,10.275,10.325,,,5.00,0.00,10.125,10.175,,,10.00,0.00,10.125,10.175,,,15.00,1.00,10.125,10.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,08:00:00 09-Mar-2025,1.7,1.00,1,,,, ,4,,0.00,0.00,10.125,10.175,,,5.00,0.00,10.125,10.175,,,10.00,0.00,10.125,10.175,,,15.00,0.00,10.125,10.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
