DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt,S11,ReleaseWetDry,ReleaseTemperature,MaxDepth,LLRangeToday,DeployStart,FirstPostReleaseTX,upright,SWBuild
Barry-Mantis,225758,0.500000,UT,,22:25:53 09-Feb-2025,22:25:53 09-Feb-2025,0,1,50.0429,-5.4727,CRC,,,,1309,3.325,,,10.15,0.5,,,,,,,,,,,,,111,24,255,40,,,,,,,100,200,81,0,23,,,,,,15:00:00 07-Feb-2025,,,
Barry-Mantis,225758,0.500000,UT,,19:04:24 12-Feb-2025,19:04:25 12-Feb-2025,1,0,50.1004,-5.4247,CRC,,,,2034,3.300,,,9.25,0.5,,,,,,,,,,,,,128,23,255,40,,,,,,,214,283,132,0,17,,,,,,15:00:00 07-Feb-2025,,,
Barry-Mantis,225758,0.500000,UT,,18:30:53 13-Feb-2025,18:30:54 13-Feb-2025,1,A,50.0884,-5.4988,CRC,,,,2384,3.325,,,9.60,0.5,,,,,,,,,,,,,141,23,255,40,,,,,,,148,323,157,0,30,,,,,,15:00:00 07-Feb-2025,,,
Barry-Mantis,225758,0.500000,UT,,,19:47:18 13-Feb-2025,,B,50.0712,-5.4943,,,,,,,,,2272.80,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,15:00:00 07-Feb-2025,,,
Barry-Mantis,225758,0.500000,UT,,21:19:14 14-Feb-2025,21:19:15 14-Feb-2025,1,B,50.0970,-5.4478,CRC,,,,2809,3.325,,,9.70,0.5,,,,,,,,,,,,,91,22,255,40,,,,,,,70,359,177,0,16,,,,,,15:00:00 07-Feb-2025,,,
Barry-Mantis,225758,0.500000,UT,,12:54:58 16-Feb-2025,12:54:58 16-Feb-2025,0,B,50.0985,-5.5573,CRC,,,,3384,3.275,,,9.45,0.5,,,,,,,,,,,,,151,22,255,40,,,,,,,48,419,217,0,18,,,,,,15:00:00 07-Feb-2025,,,
Barry-Mantis,225758,0.500000,UT,,21:50:35 27-Feb-2025,21:50:35 27-Feb-2025,0,3,50.0674,-5.7496,CRC,,,,7084,3.325,,,10.30,0.5,,,,,,,,,,,,,153,22,255,40,,,,,,,66,810,424,0,12,,,,,,15:00:00 07-Feb-2025,,,
Barry-Mantis,225758,0.500000,UT,,20:18:16 28-Feb-2025,20:18:16 28-Feb-2025,0,B,50.1042,-5.7167,CRC,,,,7434,3.325,,,10.25,0.5,,,,,,,,,,,,,160,22,255,40,,,,,,,60,845,442,0,24,,,,,,15:00:00 07-Feb-2025,,,
Barry-Mantis,225758,0.500000,UT,,22:48:07 01-Mar-2025,22:48:08 01-Mar-2025,1,B,50.0963,-5.7490,CRC,,,,7859,3.325,,,10.10,0.5,,,,,,,,,,,,,225,21,255,40,,,,,,,52,884,456,0,19,,,,,,15:00:00 07-Feb-2025,,,
Barry-Mantis,225758,0.500000,UT,,21:57:23 06-Mar-2025,21:57:23 06-Mar-2025,0,3,50.0850,-5.5260,CRC,,,,9384,3.325,,,11.25,0.0,,,,,,,,,,,,,255,22,255,40,,,,,,,78,1034,536,0,10,,,,,,15:00:00 07-Feb-2025,,,
