Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,50CI,95CI,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
Barry-Mantis,07-Feb-2025,15:24:18,3,1.000000,,,0,7,50.09160,-5.20201,15:24:19 07-Feb-2025,Interpolated,50.10234,-5.43995,,3,,,12.9,-0.0,,,,15,26,12057,,,,16,31768,,,,18,31062,,,,31,16087,,,,29,7260,,,,27,11953,,,,23,8590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,07-Feb-2025,17:13:00,2,1.000000,,,0,4,50.09430,-5.29099,17:13:01 07-Feb-2025,Interpolated,50.11920,-5.43342,,,,,15.6,-0.0,,,,15,7,8514,,,,23,22304,,,,8,10434,,,,18,4592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,07-Feb-2025,21:52:58,1,1.000000,,,0,6,50.08320,-5.24236,21:52:58 07-Feb-2025,Interpolated,50.10096,-5.52019,,,,,2.5,-0.3,,,,15,17,3601,,,,3,9946,,,,19,3818,,,,22,7482,,,,32,27388,,,,4,3979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,07-Feb-2025,23:09:14,2,1.000000,,,0,7,50.09872,-5.51899,23:09:14 07-Feb-2025,Interpolated,50.07628,-5.50856,,3,,,14.9,-1.2,,,,15,17,16850,,,,19,25633,,,,2,13374,,,,1,29106,,,,6,11790,,,,28,6159,,,,9,11882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,08-Feb-2025,12:49:12,2,1.000000,,,0,5,50.07462,-5.50602,12:49:12 08-Feb-2025,Interpolated,50.07210,-5.46580,,1,,,0.6,-0.2,,,,15,31,7028,,,,26,8202,,,,28,2310,,,,18,11669,,,,11,10650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,09-Feb-2025,03:00:00,1,1.000000,,,0,8,50.07811,-5.50589,03:00:00 09-Feb-2025,Interpolated,50.06067,-5.48605,,4,,,5.0,-0.2,,,,15,5,3517,,,,11,18564,,,,29,4530,,,,6,10927,,,,13,5220,,,,30,7769,,,,9,8652,,,,20,23853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,09-Feb-2025,13:03:49,1,1.000000,,,0,6,50.03309,-5.48299,13:03:49 09-Feb-2025,Interpolated,50.03579,-5.48991,,2,,,3.3,-1.1,,,,15,26,31612,,,,31,30948,,,,28,21806,,,,29,11698,,,,18,21004,,,,25,1265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,09-Feb-2025,16:57:44,1,1.000000,,,0,6,50.03717,-5.47871,16:57:44 09-Feb-2025,Interpolated,50.03239,-5.45406,,2,,,15.4,-1.2,,,,15,8,21480,,,,27,27734,,,,10,27730,,,,7,3712,,,,23,20936,,,,16,3845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,10-Feb-2025,02:01:52,2,1.000000,,,0,5,50.04272,-5.47483,02:01:52 10-Feb-2025,Interpolated,50.09645,-5.47589,,,,,4.4,-0.1,,,,15,20,6984,,,,9,20900,,,,4,2355,,,,29,32416,,,,11,23192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,10-Feb-2025,09:57:35,1,1.000000,,,0,5,50.04226,-5.47965,09:57:35 10-Feb-2025,Interpolated,50.09511,-5.49156,,,,,3.1,-0.1,,,,15,32,7977,,,,25,8965,,,,12,8686,,,,10,8166,,,,28,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
