DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error Radius,Error Semi-Major Axis,Error Semi-Minor Axis,Error Ellipse Orientation,Offset,Offset Orientation,GPE MSD,GPE U,Count,Comment
Barry-Mantis,225758,UT,15:24:18 07-Feb-2025,User,,50.0916,-5.2020,,,,,,,,,,
Barry-Mantis,225758,UT,15:24:18.970000 07-Feb-2025,FastGPS,4,50.1023,-5.4399,,,,,,,,,,
Barry-Mantis,225758,UT,17:13:00.967000 07-Feb-2025,FastGPS,4,50.1192,-5.4334,,,,,,,,,,
Barry-Mantis,225758,UT,21:52:58.727000 07-Feb-2025,FastGPS,6,50.1010,-5.5202,,,,,,,,,,
Barry-Mantis,225758,UT,22:49:10 07-Feb-2025,Argos,A,41.4751,-52.2058,,,,,,,,,,
Barry-Mantis,225758,UT,22:52:19 07-Feb-2025,Argos,B,46.2866,-21.1427,,,,,,,,,,
Barry-Mantis,225758,UT,23:01:57 07-Feb-2025,Argos,B,49.2792,-5.1536,,,,,,,,,,
Barry-Mantis,225758,UT,23:09:13.790842 07-Feb-2025,FastGPS,4,50.0763,-5.5086,,,,,,,,,,
Barry-Mantis,225758,UT,00:43:27 08-Feb-2025,Argos,B,49.2999,-5.1226,,,,,,,,,,
Barry-Mantis,225758,UT,00:43:27 08-Feb-2025,Argos,B,49.3086,-5.2098,,,,,,,,,,
Barry-Mantis,225758,UT,05:51:47 08-Feb-2025,Argos,B,49.3492,-5.3205,2847,4181,1938,89,,,,,,
Barry-Mantis,225758,UT,12:49:12.770607 08-Feb-2025,FastGPS,4,50.0721,-5.4658,,,,,,,,,,
Barry-Mantis,225758,UT,12:59:06 08-Feb-2025,Argos,B,49.5908,-5.3798,3884,7407,2036,81,,,,,,
Barry-Mantis,225758,UT,17:29:09 08-Feb-2025,Argos,B,49.7373,-5.6349,4609,7666,2770,66,,,,,,
Barry-Mantis,225758,UT,17:53:51 08-Feb-2025,Argos,B,49.7472,-5.2764,3532,7364,1694,110,,,,,,
Barry-Mantis,225758,UT,18:32:21 08-Feb-2025,Argos,B,40.7262,-54.7139,476,2858,79,41,,,,,,
Barry-Mantis,225758,UT,20:42:07 08-Feb-2025,Argos,B,50.0928,-5.5035,555,1157,265,70,,,,,,
Barry-Mantis,225758,UT,20:45:34 08-Feb-2025,Argos,B,50.0945,-5.4974,965,1353,687,99,,,,,,
Barry-Mantis,225758,UT,00:03:52 09-Feb-2025,Argos,B,50.1202,-5.3306,3025,5147,1777,93,,,,,,
Barry-Mantis,225758,UT,01:40:17 09-Feb-2025,Argos,A,50.0719,-5.5241,577,749,443,137,,,,,,
Barry-Mantis,225758,UT,03:00:00.761179 09-Feb-2025,FastGPS,4,50.0607,-5.4861,,,,,,,,,,
Barry-Mantis,225758,UT,05:13:10 09-Feb-2025,Argos,A,50.0885,-5.4754,318,1333,75,60,,,,,,
Barry-Mantis,225758,UT,08:06:36 09-Feb-2025,Argos,B,50.0913,-5.4456,1721,2482,1192,94,,,,,,
Barry-Mantis,225758,UT,09:44:55 09-Feb-2025,Argos,B,50.0907,-5.4732,2206,3469,1403,79,,,,,,
Barry-Mantis,225758,UT,10:26:45 09-Feb-2025,Argos,B,50.0593,-5.4825,1615,25890,100,92,,,,,,
Barry-Mantis,225758,UT,10:39:00 09-Feb-2025,Argos,A,50.0560,-5.4787,592,9578,36,101,,,,,,
Barry-Mantis,225758,UT,10:39:00 09-Feb-2025,Argos,A,50.0542,-5.4729,2303,60151,88,101,,,,,,
Barry-Mantis,225758,UT,11:05:04 09-Feb-2025,Argos,B,50.0540,-5.4734,7330,14837,3621,96,,,,,,
Barry-Mantis,225758,UT,12:00:15 09-Feb-2025,Argos,B,50.0518,-5.4632,7608,15445,3747,88,,,,,,
Barry-Mantis,225758,UT,12:17:55 09-Feb-2025,Argos,B,50.0305,-5.4749,986,15041,64,92,,,,,,
Barry-Mantis,225758,UT,12:21:43 09-Feb-2025,Argos,B,50.0302,-5.4740,1022,7408,141,92,,,,,,
Barry-Mantis,225758,UT,12:37:59 09-Feb-2025,Argos,1,50.0326,-5.4835,1144,3394,385,97,,,,,,
Barry-Mantis,225758,UT,13:03:48.946415 09-Feb-2025,FastGPS,4,50.0358,-5.4899,,,,,,,,,,
Barry-Mantis,225758,UT,13:32:45 09-Feb-2025,Argos,B,50.0335,-5.4765,8363,13072,5349,90,,,,,,
Barry-Mantis,225758,UT,14:20:51 09-Feb-2025,Argos,B,50.0357,-5.4710,9107,14670,5652,94,,,,,,
Barry-Mantis,225758,UT,15:19:03 09-Feb-2025,Argos,B,50.0357,-5.4644,9841,16137,6001,91,,,,,,
Barry-Mantis,225758,UT,16:57:43.814918 09-Feb-2025,FastGPS,4,50.0324,-5.4541,,,,,,,,,,
Barry-Mantis,225758,UT,17:55:33 09-Feb-2025,Argos,B,50.0323,-5.4537,2285,3834,1361,97,,,,,,
Barry-Mantis,225758,UT,18:40:33 09-Feb-2025,Argos,B,50.0316,-5.4578,2402,3769,1530,93,,,,,,
Barry-Mantis,225758,UT,19:00:54 09-Feb-2025,Argos,B,50.0223,-5.4618,1949,6638,571,94,,,,,,
Barry-Mantis,225758,UT,19:38:36 09-Feb-2025,Argos,B,50.0321,-5.4536,2499,3595,1736,89,,,,,,
Barry-Mantis,225758,UT,20:13:18 09-Feb-2025,Argos,B,50.0135,-5.4585,1859,43655,79,99,,,,,,
Barry-Mantis,225758,UT,20:33:17 09-Feb-2025,Argos,A,50.0107,-5.4642,154,169,140,127,,,,,,
Barry-Mantis,225758,UT,20:35:39 09-Feb-2025,Argos,A,50.0118,-5.4660,145,155,134,51,,,,,,
Barry-Mantis,225758,UT,21:12:00 09-Feb-2025,Argos,B,50.0189,-5.4689,618,2869,132,74,,,,,,
Barry-Mantis,225758,UT,22:28:07 09-Feb-2025,Argos,1,50.0429,-5.4727,1181,7475,186,75,,,,,,
Barry-Mantis,225758,UT,02:01:52.947754 10-Feb-2025,FastGPS,5,50.0965,-5.4759,,,,,,,,,,
Barry-Mantis,225758,UT,09:57:35.856644 10-Feb-2025,FastGPS,5,50.0951,-5.4916,,,,,,,,,,
Barry-Mantis,225758,UT,10:19:59 10-Feb-2025,Argos,B,50.0920,-5.5114,4715,79154,280,135,,,,,,
Barry-Mantis,225758,UT,10:23:29 10-Feb-2025,Argos,B,50.1136,-5.5342,600,1511,237,143,,,,,,
Barry-Mantis,225758,UT,11:56:25 10-Feb-2025,Argos,A,50.0421,-5.4809,186,312,111,95,,,,,,
Barry-Mantis,225758,UT,12:00:35.253000 10-Feb-2025,FastGPS,7,50.0456,-5.4878,,,,,,,,,,
Barry-Mantis,225758,UT,12:04:48 10-Feb-2025,Argos,B,50.0421,-5.4810,433,2018,92,104,,,,,,
Barry-Mantis,225758,UT,12:34:15 10-Feb-2025,Argos,B,50.0416,-5.4800,921,1573,538,94,,,,,,
Barry-Mantis,225758,UT,12:55:09 10-Feb-2025,Argos,B,50.0325,-5.4758,995,1854,533,101,,,,,,
Barry-Mantis,225758,UT,13:04:28.444726 10-Feb-2025,FastGPS,4,50.0231,-5.4854,,,,,,,,,,
Barry-Mantis,225758,UT,14:20:35.692676 10-Feb-2025,FastGPS,4,50.0305,-5.4659,,,,,,,,,,
Barry-Mantis,225758,UT,05:47:38 11-Feb-2025,Argos,B,49.9614,-5.3947,3648,8453,1574,73,,,,,,
Barry-Mantis,225758,UT,07:57:36 11-Feb-2025,Argos,B,50.0564,-5.4666,4503,15136,1339,74,,,,,,
Barry-Mantis,225758,UT,08:14:05.894818 11-Feb-2025,FastGPS,4,50.0866,-5.4363,,,,,,,,,,
Barry-Mantis,225758,UT,08:22:21 11-Feb-2025,Argos,2,50.0801,-5.4401,417,1249,139,75,,,,,,
Barry-Mantis,225758,UT,10:41:44 11-Feb-2025,Argos,B,50.0964,-5.4615,1773,2785,1128,89,,,,,,
Barry-Mantis,225758,UT,15:04:10.873000 11-Feb-2025,FastGPS,8,50.0994,-5.4667,,,,,,,,,,
Barry-Mantis,225758,UT,15:24:36 11-Feb-2025,Argos,B,50.0984,-5.4591,2506,4594,1366,102,,,,,,
Barry-Mantis,225758,UT,18:00:19 11-Feb-2025,Argos,B,50.1134,-5.4816,3564,6769,1876,110,,,,,,
Barry-Mantis,225758,UT,18:05:31 11-Feb-2025,Argos,3,50.0799,-5.4284,133,227,77,97,,,,,,
Barry-Mantis,225758,UT,19:04:52.107680 11-Feb-2025,FastGPS,4,50.0951,-5.4621,,,,,,,,,,
Barry-Mantis,225758,UT,19:21:56 11-Feb-2025,Argos,A,50.1003,-5.4743,180,781,41,67,,,,,,
Barry-Mantis,225758,UT,19:32:20 11-Feb-2025,Argos,B,50.1062,-5.4483,961,3991,231,78,,,,,,
Barry-Mantis,225758,UT,19:48:56 11-Feb-2025,Argos,B,50.1064,-5.4489,1104,3274,372,79,,,,,,
Barry-Mantis,225758,UT,20:04:17 11-Feb-2025,Argos,B,50.1016,-5.4779,1398,15790,123,172,,,,,,
Barry-Mantis,225758,UT,20:26:42.495000 11-Feb-2025,FastGPS,7,50.0930,-5.4839,,,,,,,,,,
Barry-Mantis,225758,UT,20:27:00 11-Feb-2025,Argos,B,50.0995,-5.4770,526,1801,153,94,,,,,,
Barry-Mantis,225758,UT,21:03:33 11-Feb-2025,Argos,B,50.1028,-5.4831,972,1887,500,91,,,,,,
Barry-Mantis,225758,UT,21:09:56 11-Feb-2025,Argos,A,50.0943,-5.4758,231,600,88,76,,,,,,
Barry-Mantis,225758,UT,21:23:01 11-Feb-2025,Argos,1,50.0996,-5.4631,618,4051,94,81,,,,,,
Barry-Mantis,225758,UT,21:38:32.523491 11-Feb-2025,FastGPS,4,50.1047,-5.4727,,,,,,,,,,
Barry-Mantis,225758,UT,22:03:47 11-Feb-2025,Argos,B,50.0992,-5.4633,3546,5774,2177,89,,,,,,
Barry-Mantis,225758,UT,22:09:07 11-Feb-2025,Argos,B,50.1133,-5.4734,2206,10708,454,81,,,,,,
Barry-Mantis,225758,UT,01:02:12 12-Feb-2025,Argos,A,50.1006,-5.4710,124,195,78,91,,,,,,
Barry-Mantis,225758,UT,05:19:13 12-Feb-2025,Argos,A,50.1073,-5.3781,131,379,45,77,,,,,,
