DeployID,Ptt,Source,Instr,Start,End,Kind,Type,MinDepth,PercentTime,MinSec,MaxSec,MaxDives,Percent_20,Percent_33,Percent_40,Percent_60,Percent_66,Percent_80,Percent_100
Bug,238964,Transmission,UT,11:00:00 31-Mar-2025,12:00:00 31-Mar-2025,depth,shallow,0.000000,71.7,2562,2598,12,,1.000000,,,1.000000,,5.000000
Bug,238964,Transmission,UT,11:00:00 31-Mar-2025,12:00:00 31-Mar-2025,depth,deep,,11.0,379,415,12,6.000000,,6.000000,7.000000,,7.000000,7.000000
Bug,238964,Transmission,UT,11:00:00 31-Mar-2025,12:00:00 31-Mar-2025,depth,dry,,17.3,605,641,,,,,,,,
Bug,238964,Transmission,UT,12:00:00 31-Mar-2025,13:00:00 31-Mar-2025,depth,shallow,0.000000,87.4,3128,3164,0,,1.000000,,,1.000000,,2.000000
Bug,238964,Transmission,UT,12:00:00 31-Mar-2025,13:00:00 31-Mar-2025,depth,deep,,0.0,0,0,,,,,,,,
Bug,238964,Transmission,UT,12:00:00 31-Mar-2025,13:00:00 31-Mar-2025,depth,dry,,12.6,436,472,,,,,,,,
Bug,238964,Transmission,UT,03:00:00 01-Apr-2025,04:00:00 01-Apr-2025,depth,shallow,0.000000,35.4,1258,1294,15,,1.000000,,,2.000000,,5.000000
Bug,238964,Transmission,UT,03:00:00 01-Apr-2025,04:00:00 01-Apr-2025,depth,deep,,61.4,2193,2229,15,11.000000,,17.000000,20.000000,,22.000000,24.000000
Bug,238964,Transmission,UT,03:00:00 01-Apr-2025,04:00:00 01-Apr-2025,depth,dry,,3.2,97,133,,,,,,,,
Bug,238964,Transmission,UT,04:00:00 01-Apr-2025,05:00:00 01-Apr-2025,depth,shallow,0.000000,16.5,577,613,19,,1.000000,,,1.000000,,5.000000
Bug,238964,Transmission,UT,04:00:00 01-Apr-2025,05:00:00 01-Apr-2025,depth,deep,,79.5,2845,2881,19,10.000000,,11.000000,12.000000,,14.000000,24.000000
Bug,238964,Transmission,UT,04:00:00 01-Apr-2025,05:00:00 01-Apr-2025,depth,dry,,4.0,126,162,,,,,,,,
Bug,238964,Transmission,UT,09:00:00 01-Apr-2025,10:00:00 01-Apr-2025,depth,shallow,0.000000,96.9,3469,3505,0,,1.000000,,,1.000000,,3.000000
Bug,238964,Transmission,UT,09:00:00 01-Apr-2025,10:00:00 01-Apr-2025,depth,deep,,0.0,0,0,,,,,,,,
Bug,238964,Transmission,UT,09:00:00 01-Apr-2025,10:00:00 01-Apr-2025,depth,dry,,3.1,94,130,,,,,,,,
Bug,238964,Transmission,UT,10:00:00 01-Apr-2025,11:00:00 01-Apr-2025,depth,shallow,0.000000,92.1,3299,3335,0,,1.000000,,,2.000000,,4.000000
Bug,238964,Transmission,UT,10:00:00 01-Apr-2025,11:00:00 01-Apr-2025,depth,deep,,0.0,0,0,,,,,,,,
Bug,238964,Transmission,UT,10:00:00 01-Apr-2025,11:00:00 01-Apr-2025,depth,dry,,7.9,266,302,,,,,,,,
Bug,238964,Transmission,UT,13:00:00 01-Apr-2025,14:00:00 01-Apr-2025,depth,shallow,0.000000,92.9,3327,3363,0,,1.000000,,,1.000000,,3.000000
Bug,238964,Transmission,UT,13:00:00 01-Apr-2025,14:00:00 01-Apr-2025,depth,deep,,0.0,0,0,,,,,,,,
Bug,238964,Transmission,UT,13:00:00 01-Apr-2025,14:00:00 01-Apr-2025,depth,dry,,7.1,238,274,,,,,,,,
Bug,238964,Transmission,UT,14:00:00 01-Apr-2025,15:00:00 01-Apr-2025,depth,shallow,0.000000,95.3,3412,3448,0,,1.000000,,,1.000000,,4.000000
Bug,238964,Transmission,UT,14:00:00 01-Apr-2025,15:00:00 01-Apr-2025,depth,deep,,0.0,0,0,,,,,,,,
Bug,238964,Transmission,UT,14:00:00 01-Apr-2025,15:00:00 01-Apr-2025,depth,dry,,4.7,151,187,,,,,,,,
Bug,238964,Transmission,UT,23:00:00 01-Apr-2025,00:00:00 02-Apr-2025,depth,shallow,0.000000,75.6,2703,2739,9,,1.000000,,,1.000000,,5.000000
Bug,238964,Transmission,UT,23:00:00 01-Apr-2025,00:00:00 02-Apr-2025,depth,deep,,14.2,492,528,9,6.000000,,8.000000,9.000000,,10.000000,12.000000
Bug,238964,Transmission,UT,23:00:00 01-Apr-2025,00:00:00 02-Apr-2025,depth,dry,,10.2,349,385,,,,,,,,
Bug,238964,Transmission,UT,00:00:00 02-Apr-2025,01:00:00 02-Apr-2025,depth,shallow,0.000000,99.2,3554,3590,0,,1.000000,,,1.000000,,2.000000
Bug,238964,Transmission,UT,00:00:00 02-Apr-2025,01:00:00 02-Apr-2025,depth,deep,,0.0,0,0,,,,,,,,
Bug,238964,Transmission,UT,00:00:00 02-Apr-2025,01:00:00 02-Apr-2025,depth,dry,,0.8,11,47,,,,,,,,
Bug,238964,Transmission,UT,01:00:00 02-Apr-2025,02:00:00 02-Apr-2025,depth,shallow,0.000000,51.2,1825,1861,10,,1.000000,,,1.000000,,5.000000
Bug,238964,Transmission,UT,01:00:00 02-Apr-2025,02:00:00 02-Apr-2025,depth,deep,,37.0,1314,1350,10,8.000000,,12.000000,16.000000,,17.000000,18.000000
Bug,238964,Transmission,UT,01:00:00 02-Apr-2025,02:00:00 02-Apr-2025,depth,dry,,11.8,407,443,,,,,,,,
Bug,238964,Transmission,UT,02:00:00 02-Apr-2025,03:00:00 02-Apr-2025,depth,shallow,0.000000,36.2,1286,1322,22,,1.000000,,,1.000000,,5.000000
Bug,238964,Transmission,UT,02:00:00 02-Apr-2025,03:00:00 02-Apr-2025,depth,deep,,60.6,2165,2201,22,11.000000,,18.000000,21.000000,,22.000000,24.000000
Bug,238964,Transmission,UT,02:00:00 02-Apr-2025,03:00:00 02-Apr-2025,depth,dry,,3.2,97,133,,,,,,,,
Bug,238964,Transmission,UT,07:00:00 02-Apr-2025,08:00:00 02-Apr-2025,depth,shallow,0.000000,98.4,3525,3561,0,,1.000000,,,2.000000,,5.000000
Bug,238964,Transmission,UT,07:00:00 02-Apr-2025,08:00:00 02-Apr-2025,depth,deep,,0.0,0,0,,,,,,,,
Bug,238964,Transmission,UT,07:00:00 02-Apr-2025,08:00:00 02-Apr-2025,depth,dry,,1.6,40,76,,,,,,,,
Bug,238964,Transmission,UT,08:00:00 02-Apr-2025,09:00:00 02-Apr-2025,depth,shallow,0.000000,98.4,3525,3561,0,,1.000000,,,1.000000,,4.000000
Bug,238964,Transmission,UT,08:00:00 02-Apr-2025,09:00:00 02-Apr-2025,depth,deep,,0.0,0,0,,,,,,,,
Bug,238964,Transmission,UT,08:00:00 02-Apr-2025,09:00:00 02-Apr-2025,depth,dry,,1.6,40,76,,,,,,,,
Bug,238964,Transmission,UT,09:00:00 02-Apr-2025,10:00:00 02-Apr-2025,depth,shallow,0.000000,87.4,3128,3164,2,,1.000000,,,1.000000,,5.000000
Bug,238964,Transmission,UT,09:00:00 02-Apr-2025,10:00:00 02-Apr-2025,depth,deep,,3.1,95,131,2,6.000000,,6.000000,7.000000,,7.000000,7.000000
Bug,238964,Transmission,UT,09:00:00 02-Apr-2025,10:00:00 02-Apr-2025,depth,dry,,9.5,324,360,,,,,,,,
Bug,238964,Transmission,UT,10:00:00 02-Apr-2025,11:00:00 02-Apr-2025,depth,shallow,0.000000,96.9,3469,3505,0,,1.000000,,,1.000000,,2.000000
Bug,238964,Transmission,UT,10:00:00 02-Apr-2025,11:00:00 02-Apr-2025,depth,deep,,0.0,0,0,,,,,,,,
Bug,238964,Transmission,UT,10:00:00 02-Apr-2025,11:00:00 02-Apr-2025,depth,dry,,3.1,94,130,,,,,,,,
Bug,238964,Transmission,UT,11:00:00 02-Apr-2025,12:00:00 02-Apr-2025,depth,shallow,0.000000,96.9,3469,3505,0,,1.000000,,,1.000000,,2.000000
Bug,238964,Transmission,UT,11:00:00 02-Apr-2025,12:00:00 02-Apr-2025,depth,deep,,0.0,0,0,,,,,,,,
Bug,238964,Transmission,UT,11:00:00 02-Apr-2025,12:00:00 02-Apr-2025,depth,dry,,3.1,94,130,,,,,,,,
Bug,238964,Transmission,UT,12:00:00 02-Apr-2025,13:00:00 02-Apr-2025,depth,shallow,0.000000,96.1,3440,3476,0,,1.000000,,,1.000000,,2.000000
Bug,238964,Transmission,UT,12:00:00 02-Apr-2025,13:00:00 02-Apr-2025,depth,deep,,0.0,0,0,,,,,,,,
Bug,238964,Transmission,UT,12:00:00 02-Apr-2025,13:00:00 02-Apr-2025,depth,dry,,3.9,122,158,,,,,,,,
Bug,238964,Transmission,UT,17:00:00 02-Apr-2025,18:00:00 02-Apr-2025,depth,shallow,0.000000,96.9,3469,3505,0,,1.000000,,,1.000000,,2.000000
Bug,238964,Transmission,UT,17:00:00 02-Apr-2025,18:00:00 02-Apr-2025,depth,deep,,0.0,0,0,,,,,,,,
Bug,238964,Transmission,UT,17:00:00 02-Apr-2025,18:00:00 02-Apr-2025,depth,dry,,3.1,94,130,,,,,,,,
Bug,238964,Transmission,UT,18:00:00 02-Apr-2025,19:00:00 02-Apr-2025,depth,shallow,0.000000,93.7,3355,3391,0,,1.000000,,,1.000000,,2.000000
Bug,238964,Transmission,UT,18:00:00 02-Apr-2025,19:00:00 02-Apr-2025,depth,deep,,0.0,0,0,,,,,,,,
Bug,238964,Transmission,UT,18:00:00 02-Apr-2025,19:00:00 02-Apr-2025,depth,dry,,6.3,209,245,,,,,,,,
Bug,238964,Transmission,UT,21:00:00 02-Apr-2025,22:00:00 02-Apr-2025,depth,shallow,0.000000,26.8,946,982,14,,1.000000,,,1.000000,,5.000000
Bug,238964,Transmission,UT,21:00:00 02-Apr-2025,22:00:00 02-Apr-2025,depth,deep,,65.4,2335,2371,14,15.000000,,24.000000,28.000000,,32.000000,38.000000
Bug,238964,Transmission,UT,21:00:00 02-Apr-2025,22:00:00 02-Apr-2025,depth,dry,,7.8,263,299,,,,,,,,
Bug,238964,Transmission,UT,22:00:00 02-Apr-2025,23:00:00 02-Apr-2025,depth,shallow,0.000000,15.0,521,557,15,,1.000000,,,1.000000,,5.000000
Bug,238964,Transmission,UT,22:00:00 02-Apr-2025,23:00:00 02-Apr-2025,depth,deep,,78.0,2788,2824,15,18.000000,,28.000000,37.000000,,46.000000,48.000000
Bug,238964,Transmission,UT,22:00:00 02-Apr-2025,23:00:00 02-Apr-2025,depth,dry,,7.0,234,270,,,,,,,,
Bug,238964,Transmission,UT,01:00:00 03-Apr-2025,02:00:00 03-Apr-2025,depth,shallow,0.000000,22.0,776,812,19,,1.000000,,,2.000000,,5.000000
Bug,238964,Transmission,UT,01:00:00 03-Apr-2025,02:00:00 03-Apr-2025,depth,deep,,71.7,2562,2598,19,15.000000,,27.000000,34.000000,,37.000000,40.000000
Bug,238964,Transmission,UT,01:00:00 03-Apr-2025,02:00:00 03-Apr-2025,depth,dry,,6.3,209,245,,,,,,,,
Bug,238964,Transmission,UT,02:00:00 03-Apr-2025,03:00:00 03-Apr-2025,depth,shallow,0.000000,18.1,634,670,18,,1.000000,,,2.000000,,5.000000
Bug,238964,Transmission,UT,02:00:00 03-Apr-2025,03:00:00 03-Apr-2025,depth,deep,,75.6,2703,2739,18,11.000000,,15.000000,21.000000,,26.000000,32.000000
Bug,238964,Transmission,UT,02:00:00 03-Apr-2025,03:00:00 03-Apr-2025,depth,dry,,6.3,209,245,,,,,,,,
