DeployID,Ptt,DepthSensor,Source,Instr,Date,Duration,Time Offset,Count,LocationQuality,Latitude,Longitude,BadTherm,NumBins,Partial,Depth1,Depth1Error,MinTemp1,MaxTemp1,%Ox1,Discont1,Depth2,Depth2Error,MinTemp2,MaxTemp2,%Ox2,Discont2,Depth3,Depth3Error,MinTemp3,MaxTemp3,%Ox3,Discont3,Depth4,Depth4Error,MinTemp4,MaxTemp4,%Ox4,Discont4,Depth5,Depth5Error,MinTemp5,MaxTemp5,%Ox5,Discont5,Depth6,Depth6Error,MinTemp6,MaxTemp6,%Ox6,Discont6,Depth7,Depth7Error,MinTemp7,MaxTemp7,%Ox7,Discont7,Depth8,Depth8Error,MinTemp8,MaxTemp8,%Ox8,Discont8,Depth9,Depth9Error,MinTemp9,MaxTemp9,%Ox9,Discont9,Depth10,Depth10Error,MinTemp10,MaxTemp10,%Ox10,Discont10,Depth11,Depth11Error,MinTemp11,MaxTemp11,%Ox11,Discont11,Depth12,Depth12Error,MinTemp12,MaxTemp12,%Ox12,Discont12,Depth13,Depth13Error,MinTemp13,MaxTemp13,%Ox13,Discont13,Depth14,Depth14Error,MinTemp14,MaxTemp14,%Ox14,Discont14,Depth15,Depth15Error,MinTemp15,MaxTemp15,%Ox15,Discont15
Bug,238964,0.500000,Transmission,UT,22:01:00 01-Apr-2025,1.7,1.00,1,,,, ,5,,0.00,0.00,10.625,10.675,,,5.00,0.00,10.625,10.675,,,10.00,0.00,10.625,10.675,,,15.00,0.00,10.625,10.675,,,20.00,0.00,10.625,10.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,238964,0.500000,Transmission,UT,23:00:00 01-Apr-2025,1.7,1.00,1,,,, ,3,,0.00,0.00,10.725,10.775,,,5.00,0.00,10.725,10.775,,,10.00,0.00,10.775,10.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,238964,0.500000,Transmission,UT,20:03:00 03-Apr-2025,1.7,1.00,1,,,, ,7,,0.00,0.00,10.775,10.825,,,5.00,0.00,10.775,10.825,,,10.00,0.00,10.775,10.825,,,15.00,0.00,10.775,10.825,,,20.00,0.00,10.775,10.825,,,25.00,0.00,10.775,10.825,,,30.00,0.00,10.775,10.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,238964,0.500000,Transmission,UT,08:02:00 04-Apr-2025,1.7,1.00,1,,,, ,7,,0.00,0.00,10.725,10.775,,,5.00,0.00,10.725,10.775,,,10.00,0.00,10.725,10.775,,,15.00,0.00,10.725,10.775,,,20.00,0.00,10.725,10.775,,,25.00,0.00,10.725,10.775,,,30.00,0.00,10.725,10.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,238964,0.500000,Transmission,UT,19:03:00 04-Apr-2025,16.7,1.00,1,,,, ,8,,0.00,0.00,10.825,10.875,,,5.00,0.00,10.825,10.875,,,10.00,0.00,10.825,10.875,,,15.00,0.00,10.775,10.825,,,20.00,0.00,10.775,10.825,,,25.00,0.00,10.775,10.825,,,30.00,0.00,10.775,10.825,,,35.00,1.00,10.775,10.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,238964,0.500000,Transmission,UT,20:00:00 04-Apr-2025,1.7,1.00,1,,,, ,8,,0.00,0.00,10.825,10.875,,,5.00,0.00,10.825,10.875,,,10.00,0.00,10.825,10.875,,,15.00,0.00,10.775,10.825,,,20.00,0.00,10.775,10.825,,,25.00,0.00,10.775,10.825,,,30.00,0.00,10.775,10.825,,,35.00,0.00,10.775,10.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,238964,0.500000,Transmission,UT,18:28:00 05-Apr-2025,16.7,1.00,2,,,, ,6,,0.00,0.00,10.675,10.725,,,5.00,0.00,10.675,10.725,,,10.00,0.00,10.625,10.675,,,15.00,1.00,10.625,10.675,,,20.00,0.00,10.575,10.625,,,25.00,1.00,10.575,10.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,238964,0.500000,Transmission,UT,19:01:00 05-Apr-2025,1.7,1.00,1,,,, ,4,,0.00,0.00,10.725,10.775,,,5.00,0.00,10.725,10.775,,,10.00,0.00,10.725,10.775,,,15.00,0.00,10.725,10.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,238964,0.500000,Transmission,UT,05:03:00 06-Apr-2025,16.7,1.00,1,,,, ,8,,0.00,0.00,10.625,10.675,,,5.00,0.00,10.625,10.675,,,10.00,0.00,10.625,10.675,,,15.00,0.00,10.625,10.675,,,20.00,0.00,10.625,10.675,,,25.00,0.00,10.575,10.625,,,30.00,0.00,10.575,10.625,,,35.00,0.00,10.575,10.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,238964,0.500000,Transmission,UT,06:00:00 06-Apr-2025,1.7,1.00,1,,,, ,9,,0.00,0.00,10.575,10.625,,,5.00,0.00,10.575,10.625,,,10.00,0.00,10.575,10.625,,,15.00,0.00,10.525,10.575,,,20.00,0.00,10.475,10.525,,,25.00,0.00,10.475,10.525,,,30.00,0.00,10.475,10.525,,,35.00,0.00,10.475,10.525,,,40.00,1.00,10.475,10.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,238964,0.500000,Transmission,UT,18:01:00 06-Apr-2025,1.7,1.00,1,,,, ,8,,0.00,0.00,11.375,11.425,,,5.00,0.00,10.875,10.925,,,10.00,0.00,10.775,10.825,,,15.00,0.00,10.525,10.575,,,20.00,0.00,10.475,10.525,,,25.00,0.00,10.475,10.525,,,30.00,0.00,10.475,10.525,,,35.00,0.00,10.475,10.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,238964,0.500000,Transmission,UT,05:00:00 07-Apr-2025,1.7,1.00,1,,,, ,6,,0.00,0.00,10.725,10.775,,,5.00,0.00,10.725,10.775,,,10.00,0.00,10.675,10.725,,,15.00,0.00,10.625,10.675,,,20.00,0.00,10.575,10.625,,,25.00,0.00,10.625,10.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
