DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt,S11,ReleaseWetDry,ReleaseTemperature,MaxDepth,LLRangeToday,DeployStart,FirstPostReleaseTX,upright,SWBuild
Bug,238964,0.500000,UT,,10:02:23 01-Apr-2025,10:02:24 01-Apr-2025,1,B,50.1111,-5.5062,CRC,,,,667,3.325,,,11.00,0.5,,,,,,,,,,,,,156,24,255,41,,,,,,,46,35,17,0,23,,,,,,11:00:00 31-Mar-2025,,,
Bug,238964,0.500000,UT,,07:25:35 04-Apr-2025,07:25:36 04-Apr-2025,1,B,50.2277,-5.5969,CRC,,,,1567,3.300,,,10.75,0.0,,,,,,,,,,,,,168,23,255,40,,,,,,,72,129,64,0,34,,,,,,11:00:00 31-Mar-2025,,,
Bug,238964,0.500000,UT,,21:55:59 04-Apr-2025,21:56:00 04-Apr-2025,1,2,50.3020,-5.4034,CRC,,,,1767,3.300,,,10.85,0.5,,,,,,,,,,,,,146,23,255,40,,,,,,,70,145,74,0,19,,,,,,11:00:00 31-Mar-2025,,,
Bug,238964,0.500000,UT,,14:50:03 07-Apr-2025,14:50:04 07-Apr-2025,1,A,50.2397,-5.3999,CRC,,,,2367,3.300,,,11.00,0.5,,,,,,,,,,,,,143,23,255,40,,,,,,,244,225,128,0,14,,,,,,11:00:00 31-Mar-2025,,,
Bug,238964,0.500000,UT,,11:32:46 10-Apr-2025,11:32:47 10-Apr-2025,1,B,50.1995,-5.6444,CRC,,,,3417,3.325,,,11.25,0.0,,,,,,,,,,,,,125,22,255,40,,,,,,,46,339,201,0,38,,,,,,11:00:00 31-Mar-2025,,,
Bug,238964,0.500000,UT,,21:32:57 12-Apr-2025,21:32:58 12-Apr-2025,1,B,50.2033,-5.4630,CRC,,,,3967,3.325,,,11.45,0.5,,,,,,,,,,,,,117,22,255,40,,,,,,,68,405,244,0,32,,,,,,11:00:00 31-Mar-2025,,,
Bug,238964,0.500000,UT,,22:22:52 13-Apr-2025,22:22:53 13-Apr-2025,1,1,50.2287,-5.4268,CRC,,,,4242,3.325,,,11.40,0.0,,,,,,,,,,,,,133,22,255,40,,,,,,,74,436,257,0,14,,,,,,11:00:00 31-Mar-2025,,,
Bug,238964,0.500000,UT,,11:33:44 15-Apr-2025,11:33:45 15-Apr-2025,1,B,50.1947,-5.4519,CRC,,,,4742,3.300,,,10.85,0.0,,,,,,,,,,,,,186,22,255,40,,,,,,,34,488,287,0,10,,,,,,11:00:00 31-Mar-2025,,,
Bug,238964,0.500000,UT,,13:26:01 17-Apr-2025,13:26:02 17-Apr-2025,1,3,50.1944,-5.4521,CRC,,,,5317,3.300,,,11.75,0.5,,,,,,,,,,,,,114,22,255,40,,,,,,,52,562,332,0,11,,,,,,11:00:00 31-Mar-2025,,,
Bug,238964,0.500000,UT,,21:43:43 19-Apr-2025,21:43:44 19-Apr-2025,1,A,50.2292,-5.4070,CRC,,,,6117,3.325,,,11.40,0.0,,,,,,,,,,,,,166,22,255,40,,,,,,,44,638,362,0,5,,,,,,11:00:00 31-Mar-2025,,,
