DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error Radius,Error Semi-Major Axis,Error Semi-Minor Axis,Error Ellipse Orientation,Offset,Offset Orientation,GPE MSD,GPE U,Count,Comment
Bug,238964,UT,12:00:05 31-Mar-2025,User,,50.0916,-5.2020,,,,,,,,,,
Bug,238964,UT,12:00:04.724000 31-Mar-2025,FastGPS,6,50.1108,-5.4416,,,,,,,,,,
Bug,238964,UT,16:41:02.602000 31-Mar-2025,FastGPS,8,50.1124,-5.4421,,,,,,,,,,
Bug,238964,UT,18:09:58 31-Mar-2025,Argos,A,50.0965,-5.4448,,,,,,,,,,
Bug,238964,UT,18:32:53 31-Mar-2025,Argos,B,50.0988,-5.4465,639,1096,372,84,,,,,,
Bug,238964,UT,18:58:13.745000 31-Mar-2025,FastGPS,7,50.1073,-5.4711,,,,,,,,,,
Bug,238964,UT,19:10:05 31-Mar-2025,Argos,B,50.1020,-5.4478,1012,1761,582,86,,,,,,
Bug,238964,UT,20:06:06 31-Mar-2025,Argos,B,50.1064,-5.4523,1420,2354,856,86,,,,,,
Bug,238964,UT,21:28:19 31-Mar-2025,Argos,B,50.1349,-5.4920,1388,8210,234,61,,,,,,
Bug,238964,UT,21:41:07 31-Mar-2025,Argos,A,47.0638,-17.9568,1367,5682,328,144,,,,,,
Bug,238964,UT,21:52:03 31-Mar-2025,Argos,A,50.1235,-5.5231,292,1211,70,54,,,,,,
Bug,238964,UT,23:04:50 31-Mar-2025,Argos,B,50.1047,-5.5251,853,11216,64,90,,,,,,
Bug,238964,UT,23:26:45 31-Mar-2025,Argos,B,50.1026,-5.5245,1058,3447,324,89,,,,,,
Bug,238964,UT,00:44:23 01-Apr-2025,Argos,B,50.1088,-5.5052,2062,2567,1655,98,,,,,,
Bug,238964,UT,01:06:32.700739 01-Apr-2025,FastGPS,7,50.1014,-5.4855,,,,,,,,,,
Bug,238964,UT,04:54:33 01-Apr-2025,Argos,B,50.0778,-5.4989,2903,4287,1965,93,,,,,,
Bug,238964,UT,05:23:22.954852 01-Apr-2025,FastGPS,4,50.1123,-5.4430,,,,,,,,,,
Bug,238964,UT,06:09:18 01-Apr-2025,Argos,B,50.1008,-5.4522,1819,18026,183,129,,,,,,
Bug,238964,UT,06:29:20 01-Apr-2025,Argos,A,45.2319,-31.0360,156,295,82,71,,,,,,
Bug,238964,UT,06:29:26.544285 01-Apr-2025,FastGPS,4,50.1053,-5.4747,,,,,,,,,,
Bug,238964,UT,07:46:45 01-Apr-2025,Argos,B,50.1055,-5.4766,1170,1771,772,94,,,,,,
Bug,238964,UT,09:39:59.812910 01-Apr-2025,FastGPS,6,50.1257,-5.5231,,,,,,,,,,
Bug,238964,UT,10:01:11 01-Apr-2025,Argos,B,50.1124,-5.4860,1751,3169,967,80,,,,,,
Bug,238964,UT,10:01:47 01-Apr-2025,Argos,B,50.1111,-5.5062,1176,3160,437,2,,,,,,
Bug,238964,UT,10:37:40 01-Apr-2025,Argos,B,50.1113,-5.5074,1428,1828,1115,4,,,,,,
Bug,238964,UT,11:27:46 01-Apr-2025,Argos,B,50.1254,-5.4995,1086,14446,81,121,,,,,,
Bug,238964,UT,12:52:39 01-Apr-2025,Argos,B,50.1348,-5.5001,1595,2916,872,109,,,,,,
Bug,238964,UT,13:03:00 01-Apr-2025,Argos,B,50.1330,-5.5022,1662,2761,1000,110,,,,,,
Bug,238964,UT,13:25:24 01-Apr-2025,Argos,B,50.1360,-5.5033,1704,2729,1063,104,,,,,,
Bug,238964,UT,14:29:14 01-Apr-2025,Argos,B,50.1414,-5.5040,1999,3041,1313,100,,,,,,
Bug,238964,UT,17:24:05 01-Apr-2025,Argos,B,50.1460,-5.4887,2447,3713,1612,80,,,,,,
Bug,238964,UT,18:32:55 01-Apr-2025,Argos,B,50.1454,-5.4893,2463,4692,1293,70,,,,,,
Bug,238964,UT,20:16:44 01-Apr-2025,Argos,B,50.1483,-5.4901,2650,5153,1363,78,,,,,,
Bug,238964,UT,20:16:44 01-Apr-2025,Argos,B,50.1327,-5.4997,2258,5605,909,87,,,,,,
Bug,238964,UT,21:02:13.475937 01-Apr-2025,FastGPS,4,50.1010,-5.4841,,,,,,,,,,
Bug,238964,UT,21:09:24 01-Apr-2025,Argos,B,50.1028,-5.4714,1971,188647,20,80,,,,,,
Bug,238964,UT,21:54:10 01-Apr-2025,Argos,B,50.0972,-5.4656,1951,8527,446,82,,,,,,
Bug,238964,UT,22:01:38.945407 01-Apr-2025,FastGPS,4,50.1027,-5.4595,,,,,,,,,,
Bug,238964,UT,22:56:46.290000 01-Apr-2025,FastGPS,8,50.1082,-5.4491,,,,,,,,,,
