DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
Caterpillar,238962,UT,DS,2,0,1,257,257,05:38:25 10-Jan-2025,CS,,,,,,,,401650000,-126
Caterpillar,238962,UT,DS,1,0,0,,,10:20:44 10-Jan-2025,NP,,,,,,,,401650000,-138
Caterpillar,238962,UT,DS,2,0,1,87,87,11:03:00 10-Jan-2025,MC,,,,,,,,401650000,-120
Caterpillar,238962,UT,DS,1,0,1,,,11:53:21 10-Jan-2025,NP,,,,,,,,401650000,-129
Caterpillar,238962,UT,DS,2,0,0,45,45,12:23:47 10-Jan-2025,NN,,,,,,,,401650000,-130
Caterpillar,238962,UT,DS,1,0,1,,,13:27:28 10-Jan-2025,O3,,,,,,,,401650000,-139
Caterpillar,238962,UT,DS,1,0,1,,,20:00:12 10-Jan-2025,NK,,,,,,,,401650000,-135
Caterpillar,238962,UT,DS,2,0,2,123,123,22:09:44 10-Jan-2025,NN,,,,,,,,401650000,-129
Caterpillar,238962,UT,DS,1,0,0,,,06:37:15 11-Jan-2025,CS,,,,,,,,401650000,-136
Caterpillar,238962,UT,DS,3,0,0,107,49,08:07:49 11-Jan-2025,NK,,,,,,,,401650000,-117
Caterpillar,238962,UT,DS,1,0,1,,,10:42:24 11-Jan-2025,MC,,,,,,,,401650000,-129
Caterpillar,238962,UT,DS,1,0,1,,,12:13:05 11-Jan-2025,NN,,,,,,,,401650000,-130
Caterpillar,238962,UT,DS,3,0,0,66,45,17:54:21 11-Jan-2025,CS,A,50.0981,-5.1937,44.1501,-37.5394,,,401677614,-126
Caterpillar,238962,UT,DS,1,0,1,,,19:23:11 11-Jan-2025,SR,B,50.0762,-5.2025,46.5237,-39.8511,7,,401677634,-133
Caterpillar,238962,UT,DS,1,0,0,,,21:34:06 11-Jan-2025,NP,B,50.0901,-5.2160,50.0901,-5.2160,1,,401677653,-136
Caterpillar,238962,UT,DS,1,0,0,,,11:34:54 12-Jan-2025,NP,B,50.1367,-5.2439,50.1367,-5.2439,,,401677624,-132
Caterpillar,238962,UT,DS,1,0,1,,,11:53:45 12-Jan-2025,O3,B,50.1252,-5.2750,50.1252,-5.2750,6,,401677624,-129
Caterpillar,238962,UT,DS,3,0,2,220,53,11:53:45 12-Jan-2025,NN,A,50.6716,-8.4895,50.0883,-5.1641,,,401677605,-124
Caterpillar,238962,UT,DS,1,0,1,,,12:01:04 12-Jan-2025,MC,B,50.1158,-5.2426,50.1158,-5.2426,6,,401677610,-132
Caterpillar,238962,UT,DS,1,0,0,,,13:37:50 12-Jan-2025,NN,B,50.1117,-5.2436,50.1117,-5.2436,8,,401677623,-133
Caterpillar,238962,UT,DS,1,0,1,,,15:33:40 12-Jan-2025,CS,B,50.0924,-5.2456,50.0924,-5.2456,8,,401677613,-127
Caterpillar,238962,UT,DS,1,0,0,,,20:31:45 12-Jan-2025,SR,B,50.0823,-5.2597,50.0823,-5.2597,8,,401677607,-128
Caterpillar,238962,UT,DS,1,0,0,,,20:49:29 12-Jan-2025,MB,B,50.0907,-5.2484,50.0907,-5.2484,6,,401677614,-128
Caterpillar,238962,UT,DS,4,0,1,117,45,21:19:14 12-Jan-2025,NP,2,50.0908,-5.2069,50.0908,-5.2069,60,,401677616,-124
Caterpillar,238962,UT,DS,5,0,0,67,45,23:26:19 12-Jan-2025,NN,3,50.0942,-5.2049,50.0942,-5.2049,67,,401677653,-130
Caterpillar,238962,UT,DS,1,0,0,,,09:41:50 13-Jan-2025,NP,B,50.1247,-5.1493,50.1247,-5.1493,8,,401677629,-137
Caterpillar,238962,UT,DS,1,0,1,,,10:42:28 13-Jan-2025,MB,B,50.1273,-5.1486,50.1273,-5.1486,8,,401677631,-130
Caterpillar,238962,UT,DS,1,0,1,,,11:16:07 13-Jan-2025,NP,B,50.1277,-5.1487,50.1277,-5.1487,8,,401677631,-127
Caterpillar,238962,UT,DS,1,0,0,,,12:48:51 13-Jan-2025,O3,B,50.1281,-5.1501,50.1281,-5.1501,8,,401677630,-127
Caterpillar,238962,UT,DS,1,0,1,,,14:23:59 13-Jan-2025,O3,B,50.0997,-5.1691,50.0997,-5.1691,8,,401677635,-137
Caterpillar,238962,UT,DS,1,0,0,,,16:30:50 13-Jan-2025,CS,B,50.0864,-5.1635,50.0864,-5.1635,8,,401677628,-119
Caterpillar,238962,UT,DS,1,0,1,,,20:00:02 13-Jan-2025,SR,B,50.0824,-5.1950,50.0824,-5.1950,8,,401677612,-130
Caterpillar,238962,UT,DS,6,0,4,77,46,20:19:32 13-Jan-2025,NK,2,50.0904,-5.2036,50.0904,-5.2036,56,,401677618,-127
Caterpillar,238962,UT,DS,2,0,2,123,123,20:30:38 13-Jan-2025,MB,B,50.0910,-5.1999,50.0910,-5.1999,6,,401677619,-129
