DeployID,Ptt,Source,Instr,Start,End,Kind,Type,MinDepth,PercentTime,MinSec,MaxSec,MaxDives,Percent_20,Percent_33,Percent_40,Percent_60,Percent_66,Percent_80,Percent_100
Caterpillar,238962,Transmission,UT,00:00:00 11-Jan-2025,01:00:00 11-Jan-2025,depth,shallow,,0.0,0,0,,,,,,,,
Caterpillar,238962,Transmission,UT,00:00:00 11-Jan-2025,01:00:00 11-Jan-2025,depth,deep,,0.0,0,0,,,,,,,,
Caterpillar,238962,Transmission,UT,00:00:00 11-Jan-2025,01:00:00 11-Jan-2025,depth,dry,,100.0,3600,3600,,,,,,,,
Caterpillar,238962,Transmission,UT,01:00:00 11-Jan-2025,02:00:00 11-Jan-2025,depth,shallow,,0.0,0,0,,,,,,,,
Caterpillar,238962,Transmission,UT,01:00:00 11-Jan-2025,02:00:00 11-Jan-2025,depth,deep,,0.0,0,0,,,,,,,,
Caterpillar,238962,Transmission,UT,01:00:00 11-Jan-2025,02:00:00 11-Jan-2025,depth,dry,,100.0,3600,3600,,,,,,,,
Caterpillar,238962,Transmission,UT,04:00:00 11-Jan-2025,05:00:00 11-Jan-2025,depth,shallow,0.000000,97.6,3497,3533,0,,1.000000,,,1.000000,,1.000000
Caterpillar,238962,Transmission,UT,04:00:00 11-Jan-2025,05:00:00 11-Jan-2025,depth,deep,,0.0,0,0,,,,,,,,
Caterpillar,238962,Transmission,UT,04:00:00 11-Jan-2025,05:00:00 11-Jan-2025,depth,dry,,2.4,68,104,,,,,,,,
Caterpillar,238962,Transmission,UT,05:00:00 11-Jan-2025,06:00:00 11-Jan-2025,depth,shallow,0.000000,98.4,3525,3561,0,,1.000000,,,1.000000,,1.000000
Caterpillar,238962,Transmission,UT,05:00:00 11-Jan-2025,06:00:00 11-Jan-2025,depth,deep,,0.0,0,0,,,,,,,,
Caterpillar,238962,Transmission,UT,05:00:00 11-Jan-2025,06:00:00 11-Jan-2025,depth,dry,,1.6,40,76,,,,,,,,
Caterpillar,238962,Transmission,UT,10:00:00 11-Jan-2025,11:00:00 11-Jan-2025,depth,shallow,0.000000,48.0,1711,1747,0,,1.000000,,,1.000000,,1.000000
Caterpillar,238962,Transmission,UT,10:00:00 11-Jan-2025,11:00:00 11-Jan-2025,depth,deep,,0.0,0,0,,,,,,,,
Caterpillar,238962,Transmission,UT,10:00:00 11-Jan-2025,11:00:00 11-Jan-2025,depth,dry,,52.0,1854,1890,,,,,,,,
Caterpillar,238962,Transmission,UT,11:00:00 11-Jan-2025,12:00:00 11-Jan-2025,depth,shallow,0.000000,88.2,3157,3193,0,,1.000000,,,1.000000,,1.000000
Caterpillar,238962,Transmission,UT,11:00:00 11-Jan-2025,12:00:00 11-Jan-2025,depth,deep,,0.0,0,0,,,,,,,,
Caterpillar,238962,Transmission,UT,11:00:00 11-Jan-2025,12:00:00 11-Jan-2025,depth,dry,,11.8,407,443,,,,,,,,
Caterpillar,238962,Transmission,UT,18:00:00 11-Jan-2025,19:00:00 11-Jan-2025,depth,shallow,0.000000,20.5,719,755,0,,1.000000,,,1.000000,,1.000000
Caterpillar,238962,Transmission,UT,18:00:00 11-Jan-2025,19:00:00 11-Jan-2025,depth,deep,,0.0,0,0,,,,,,,,
Caterpillar,238962,Transmission,UT,18:00:00 11-Jan-2025,19:00:00 11-Jan-2025,depth,dry,,79.5,2844,2880,,,,,,,,
Caterpillar,238962,Transmission,UT,19:00:00 11-Jan-2025,20:00:00 11-Jan-2025,depth,shallow,,0.0,0,0,,,,,,,,
Caterpillar,238962,Transmission,UT,19:00:00 11-Jan-2025,20:00:00 11-Jan-2025,depth,deep,,0.0,0,0,,,,,,,,
Caterpillar,238962,Transmission,UT,19:00:00 11-Jan-2025,20:00:00 11-Jan-2025,depth,dry,,100.0,3600,3600,,,,,,,,
Caterpillar,238962,Transmission,UT,06:00:00 12-Jan-2025,07:00:00 12-Jan-2025,depth,shallow,,0.0,0,0,,,,,,,,
Caterpillar,238962,Transmission,UT,06:00:00 12-Jan-2025,07:00:00 12-Jan-2025,depth,deep,,0.0,0,0,,,,,,,,
Caterpillar,238962,Transmission,UT,06:00:00 12-Jan-2025,07:00:00 12-Jan-2025,depth,dry,,100.0,3600,3600,,,,,,,,
Caterpillar,238962,Transmission,UT,07:00:00 12-Jan-2025,08:00:00 12-Jan-2025,depth,shallow,0.000000,11.0,379,415,0,,1.000000,,,1.000000,,1.000000
Caterpillar,238962,Transmission,UT,07:00:00 12-Jan-2025,08:00:00 12-Jan-2025,depth,deep,,0.0,0,0,,,,,,,,
Caterpillar,238962,Transmission,UT,07:00:00 12-Jan-2025,08:00:00 12-Jan-2025,depth,dry,,89.0,3186,3222,,,,,,,,
Caterpillar,238962,Transmission,UT,10:00:00 12-Jan-2025,11:00:00 12-Jan-2025,depth,shallow,0.000000,92.1,3299,3335,0,,1.000000,,,1.000000,,1.000000
Caterpillar,238962,Transmission,UT,10:00:00 12-Jan-2025,11:00:00 12-Jan-2025,depth,deep,,0.0,0,0,,,,,,,,
Caterpillar,238962,Transmission,UT,10:00:00 12-Jan-2025,11:00:00 12-Jan-2025,depth,dry,,7.9,266,302,,,,,,,,
Caterpillar,238962,Transmission,UT,11:00:00 12-Jan-2025,12:00:00 12-Jan-2025,depth,shallow,0.000000,89.0,3185,3221,0,,1.000000,,,1.000000,,1.000000
Caterpillar,238962,Transmission,UT,11:00:00 12-Jan-2025,12:00:00 12-Jan-2025,depth,deep,,0.0,0,0,,,,,,,,
Caterpillar,238962,Transmission,UT,11:00:00 12-Jan-2025,12:00:00 12-Jan-2025,depth,dry,,11.0,378,414,,,,,,,,
Caterpillar,238962,Transmission,UT,14:00:00 12-Jan-2025,15:00:00 12-Jan-2025,depth,shallow,0.000000,92.1,3299,3335,0,,1.000000,,,1.000000,,1.000000
Caterpillar,238962,Transmission,UT,14:00:00 12-Jan-2025,15:00:00 12-Jan-2025,depth,deep,,0.0,0,0,,,,,,,,
Caterpillar,238962,Transmission,UT,14:00:00 12-Jan-2025,15:00:00 12-Jan-2025,depth,dry,,7.9,266,302,,,,,,,,
Caterpillar,238962,Transmission,UT,15:00:00 12-Jan-2025,16:00:00 12-Jan-2025,depth,shallow,0.000000,92.9,3327,3363,0,,1.000000,,,1.000000,,1.000000
Caterpillar,238962,Transmission,UT,15:00:00 12-Jan-2025,16:00:00 12-Jan-2025,depth,deep,,0.0,0,0,,,,,,,,
Caterpillar,238962,Transmission,UT,15:00:00 12-Jan-2025,16:00:00 12-Jan-2025,depth,dry,,7.1,238,274,,,,,,,,
Caterpillar,238962,Transmission,UT,16:00:00 12-Jan-2025,17:00:00 12-Jan-2025,depth,shallow,0.000000,96.1,3440,3476,0,,1.000000,,,1.000000,,1.000000
Caterpillar,238962,Transmission,UT,16:00:00 12-Jan-2025,17:00:00 12-Jan-2025,depth,deep,,0.0,0,0,,,,,,,,
Caterpillar,238962,Transmission,UT,16:00:00 12-Jan-2025,17:00:00 12-Jan-2025,depth,dry,,3.9,122,158,,,,,,,,
Caterpillar,238962,Transmission,UT,17:00:00 12-Jan-2025,18:00:00 12-Jan-2025,depth,shallow,0.000000,98.4,3525,3561,0,,1.000000,,,1.000000,,1.000000
Caterpillar,238962,Transmission,UT,17:00:00 12-Jan-2025,18:00:00 12-Jan-2025,depth,deep,,0.0,0,0,,,,,,,,
Caterpillar,238962,Transmission,UT,17:00:00 12-Jan-2025,18:00:00 12-Jan-2025,depth,dry,,1.6,40,76,,,,,,,,
Caterpillar,238962,Transmission,UT,18:00:00 12-Jan-2025,19:00:00 12-Jan-2025,depth,shallow,0.000000,99.2,3554,3590,0,,1.000000,,,1.000000,,1.000000
Caterpillar,238962,Transmission,UT,18:00:00 12-Jan-2025,19:00:00 12-Jan-2025,depth,deep,,0.0,0,0,,,,,,,,
Caterpillar,238962,Transmission,UT,18:00:00 12-Jan-2025,19:00:00 12-Jan-2025,depth,dry,,0.8,11,47,,,,,,,,
Caterpillar,238962,Transmission,UT,19:00:00 12-Jan-2025,20:00:00 12-Jan-2025,depth,shallow,0.000000,94.5,3384,3420,0,,1.000000,,,1.000000,,1.000000
Caterpillar,238962,Transmission,UT,19:00:00 12-Jan-2025,20:00:00 12-Jan-2025,depth,deep,,0.0,0,0,,,,,,,,
Caterpillar,238962,Transmission,UT,19:00:00 12-Jan-2025,20:00:00 12-Jan-2025,depth,dry,,5.5,180,216,,,,,,,,
Caterpillar,238962,Transmission,UT,20:00:00 12-Jan-2025,21:00:00 12-Jan-2025,depth,shallow,0.000000,94.5,3384,3420,0,,1.000000,,,1.000000,,1.000000
Caterpillar,238962,Transmission,UT,20:00:00 12-Jan-2025,21:00:00 12-Jan-2025,depth,deep,,0.0,0,0,,,,,,,,
Caterpillar,238962,Transmission,UT,20:00:00 12-Jan-2025,21:00:00 12-Jan-2025,depth,dry,,5.5,180,216,,,,,,,,
Caterpillar,238962,Transmission,UT,21:00:00 12-Jan-2025,22:00:00 12-Jan-2025,depth,shallow,0.000000,48.8,1739,1775,0,,1.000000,,,1.000000,,1.000000
Caterpillar,238962,Transmission,UT,21:00:00 12-Jan-2025,22:00:00 12-Jan-2025,depth,deep,,0.0,0,0,,,,,,,,
Caterpillar,238962,Transmission,UT,21:00:00 12-Jan-2025,22:00:00 12-Jan-2025,depth,dry,,51.2,1825,1861,,,,,,,,
Caterpillar,238962,Transmission,UT,10:00:00 13-Jan-2025,11:00:00 13-Jan-2025,depth,shallow,0.000000,81.9,2930,2966,0,,1.000000,,,1.000000,,1.000000
Caterpillar,238962,Transmission,UT,10:00:00 13-Jan-2025,11:00:00 13-Jan-2025,depth,deep,,0.0,0,0,,,,,,,,
