Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,R95,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
Caterpillar,10-Jan-2025,05:00:22,2,,,,0,7,,,,,,,,,,,,,,,15,5,1464,,,,11,24363,,,,30,3702,,,,20,20036,,,,13,26888,,,,7,18487,,,,6,11050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,10-Jan-2025,05:57:06,1,,,,0,5,,,,,,,,,,,,,,,15,7,30646,,,,13,2487,,,,5,981,,,,20,27828,,,,30,17020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,10-Jan-2025,08:11:24,1,,,,0,8,,,,,,,,,,,,,,,15,22,2520,,,,24,9484,,,,15,9706,,,,23,3336,,,,13,31478,,,,5,31267,,,,14,5774,,,,30,3381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,10-Jan-2025,10:54:53,1,,,,0,5,,,,,,,,,,,,,,,15,24,18099,,,,10,25861,,,,12,1174,,,,15,26313,,,,19,32632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,10-Jan-2025,23:06:38,1,,,,0,7,,,,,,,,,,,,,,,15,3,32369,,,,2,17314,,,,1,11534,,,,32,29443,,,,21,3720,,,,8,9051,,,,17,436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,11-Jan-2025,01:14:38,1,,,,0,4,,,,,,,,,,,,,,,15,3,30044,,,,9,2908,,,,17,46,,,,2,11832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,11-Jan-2025,12:26:27,1,,,,0,4,,,,,,,,,,,,,,,15,32,15061,,,,25,24626,,,,12,3955,,,,24,14533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,11-Jan-2025,13:36:42,1,,,,0,5,,,,,,,,,,,,,,,15,12,2743,,,,11,21761,,,,29,21107,,,,32,15685,,,,31,23902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,12-Jan-2025,11:34:18,1,,,,0,4,,,,,,,,,,,,,,,15,32,2589,,,,12,18918,,,,25,15085,,,,24,2651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,12-Jan-2025,13:02:07,1,,,,0,6,,,,,,,,,,,,,,,15,12,31604,,,,29,7976,,,,11,8680,,,,25,18744,,,,24,21826,,,,32,32153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,12-Jan-2025,15:15:32,1,,,,0,5,,,,,,,,,,,,,,,15,31,28860,,,,28,18876,,,,25,27175,,,,26,13820,,,,29,12866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,12-Jan-2025,16:27:41,2,,,,0,5,,,,,,,,,,,,,,,15,26,30564,,,,31,20925,,,,16,3332,,,,18,17713,,,,29,10046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,12-Jan-2025,19:25:59,1,,,,0,4,,,,,,,,,,,,,,,15,10,2961,,,,23,19858,,,,8,29251,,,,27,6546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
