DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
Caterpillar,238962,UT,17:54:21 11-Jan-2025,Argos,A,50.0981,-5.1937,,,,,,,,,,
Caterpillar,238962,UT,19:23:11 11-Jan-2025,Argos,B,50.0762,-5.2025,,,,,,,,,,
Caterpillar,238962,UT,21:34:06 11-Jan-2025,Argos,B,50.0901,-5.2160,,,,,,,,,,
Caterpillar,238962,UT,11:34:54 12-Jan-2025,Argos,B,50.1367,-5.2439,,,,,,,,,,
Caterpillar,238962,UT,11:53:45 12-Jan-2025,Argos,B,50.1252,-5.2750,3163,7885,1268,97,,,,,,
Caterpillar,238962,UT,11:53:45 12-Jan-2025,Argos,A,50.6716,-8.4895,839,2115,332,118,,,,,,Lat > 4 deviations from mean
Caterpillar,238962,UT,12:01:04 12-Jan-2025,Argos,B,50.1158,-5.2426,2698,5621,1294,91,,,,,,
Caterpillar,238962,UT,13:37:50 12-Jan-2025,Argos,B,50.1117,-5.2436,2984,5895,1510,90,,,,,,
Caterpillar,238962,UT,15:33:40 12-Jan-2025,Argos,B,50.0924,-5.2456,2740,11572,648,90,,,,,,
Caterpillar,238962,UT,20:31:45 12-Jan-2025,Argos,B,50.0823,-5.2597,3321,12071,913,87,,,,,,
Caterpillar,238962,UT,20:49:29 12-Jan-2025,Argos,B,50.0907,-5.2484,3235,15082,694,89,,,,,,
Caterpillar,238962,UT,21:19:14 12-Jan-2025,Argos,2,50.0908,-5.2069,323,1201,86,74,,,,,,
Caterpillar,238962,UT,23:26:19 12-Jan-2025,Argos,3,50.0942,-5.2049,187,828,42,105,,,,,,
Caterpillar,238962,UT,09:41:50 13-Jan-2025,Argos,B,50.1247,-5.1493,3052,4934,1887,104,,,,,,
Caterpillar,238962,UT,10:42:28 13-Jan-2025,Argos,B,50.1273,-5.1486,3184,5140,1972,105,,,,,,
Caterpillar,238962,UT,11:16:07 13-Jan-2025,Argos,B,50.1277,-5.1487,3263,5235,2034,104,,,,,,
Caterpillar,238962,UT,12:48:51 13-Jan-2025,Argos,B,50.1281,-5.1501,3464,5450,2201,100,,,,,,
Caterpillar,238962,UT,14:23:59 13-Jan-2025,Argos,B,50.0997,-5.1691,3247,7091,1486,106,,,,,,
Caterpillar,238962,UT,16:30:50 13-Jan-2025,Argos,B,50.0864,-5.1635,2769,14532,527,94,,,,,,
Caterpillar,238962,UT,20:00:02 13-Jan-2025,Argos,B,50.0824,-5.1950,3067,13181,713,88,,,,,,
Caterpillar,238962,UT,20:19:32 13-Jan-2025,Argos,2,50.0904,-5.2036,272,402,183,127,,,,,,
Caterpillar,238962,UT,20:30:38 13-Jan-2025,Argos,B,50.0910,-5.1999,613,1385,271,154,,,,,,
Caterpillar,238962,UT,21:03:33 13-Jan-2025,Argos,B,50.0889,-5.2028,1367,1925,970,94,,,,,,
Caterpillar,238962,UT,00:01:31 14-Jan-2025,Argos,B,50.1096,-5.2125,698,2029,240,149,,,,,,
Caterpillar,238962,UT,05:38:30 14-Jan-2025,Argos,1,50.0894,-5.2158,1477,53207,41,77,,,,,,
Caterpillar,238962,UT,11:17:19 14-Jan-2025,Argos,B,50.0967,-5.1742,2606,4366,1554,89,,,,,,
Caterpillar,238962,UT,11:35:18 14-Jan-2025,Argos,B,50.0997,-5.1701,2655,4292,1642,87,,,,,,
Caterpillar,238962,UT,12:01:59 14-Jan-2025,Argos,B,50.0931,-5.1738,2392,5116,1118,95,,,,,,
Caterpillar,238962,UT,13:00:41 14-Jan-2025,Argos,B,50.0933,-5.1742,2597,5331,1265,94,,,,,,
Caterpillar,238962,UT,17:46:06 14-Jan-2025,Argos,B,50.0962,-5.1820,2883,6377,1302,76,,,,,,
