DeployID,Ptt,DepthSensor,Source,Instr,Date,Duration,Time Offset,Count,LocationQuality,Latitude,Longitude,BadTherm,NumBins,Partial,Depth1,Depth1Error,MinTemp1,MaxTemp1,%Ox1,Discont1,Depth2,Depth2Error,MinTemp2,MaxTemp2,%Ox2,Discont2,Depth3,Depth3Error,MinTemp3,MaxTemp3,%Ox3,Discont3,Depth4,Depth4Error,MinTemp4,MaxTemp4,%Ox4,Discont4,Depth5,Depth5Error,MinTemp5,MaxTemp5,%Ox5,Discont5,Depth6,Depth6Error,MinTemp6,MaxTemp6,%Ox6,Discont6,Depth7,Depth7Error,MinTemp7,MaxTemp7,%Ox7,Discont7,Depth8,Depth8Error,MinTemp8,MaxTemp8,%Ox8,Discont8,Depth9,Depth9Error,MinTemp9,MaxTemp9,%Ox9,Discont9,Depth10,Depth10Error,MinTemp10,MaxTemp10,%Ox10,Discont10,Depth11,Depth11Error,MinTemp11,MaxTemp11,%Ox11,Discont11,Depth12,Depth12Error,MinTemp12,MaxTemp12,%Ox12,Discont12,Depth13,Depth13Error,MinTemp13,MaxTemp13,%Ox13,Discont13,Depth14,Depth14Error,MinTemp14,MaxTemp14,%Ox14,Discont14,Depth15,Depth15Error,MinTemp15,MaxTemp15,%Ox15,Discont15,Depth16,Depth16Error,MinTemp16,MaxTemp16,%Ox16,Discont16,Depth17,Depth17Error,MinTemp17,MaxTemp17,%Ox17,Discont17,Depth18,Depth18Error,MinTemp18,MaxTemp18,%Ox18,Discont18,,,,,
Caterpillar,238962,0.500000,Transmission,UT,22:34:00 07-Feb-2025,1.7,0.00,1,,,, ,2,,5.00,0.00,9.275,9.325,,,10.00,0.00,9.275,9.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,238962,0.500000,Transmission,UT,21:02:00 08-Feb-2025,1.7,0.00,1,,,, ,3,,5.00,0.00,9.175,9.225,,,10.00,0.00,9.175,9.225,,,15.00,1.00,9.025,9.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,238962,0.500000,Transmission,UT,07:50:00 10-Feb-2025,16.7,0.00,1,,,, ,3,,5.00,0.00,8.975,9.025,,,10.00,0.00,9.075,9.125,,,15.00,0.00,9.075,9.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,238962,0.500000,Transmission,UT,08:01:00 10-Feb-2025,1.7,0.00,1,,,, ,3,,5.00,0.00,9.025,9.075,,,10.00,0.00,9.125,9.175,,,15.00,0.00,9.125,9.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,238962,0.500000,Transmission,UT,19:27:00 10-Feb-2025,1.7,0.00,1,,,, ,3,,5.00,0.00,8.925,8.975,,,10.00,0.00,8.975,9.025,,,15.00,0.00,8.825,8.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,238962,0.500000,Transmission,UT,06:50:00 11-Feb-2025,1.7,0.00,1,,,, ,2,,5.00,0.00,8.675,8.725,,,10.00,0.00,8.675,8.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,238962,0.500000,Transmission,UT,16:52:00 13-Feb-2025,1.7,0.00,1,,,, ,2,,5.00,0.00,8.975,9.025,,,10.00,0.00,8.975,9.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,238962,0.500000,Transmission,UT,17:04:00 13-Feb-2025,1.7,0.00,1,,,, ,2,,5.00,0.00,8.975,9.025,,,10.00,0.00,8.975,9.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,238962,0.500000,Transmission,UT,02:59:00 14-Feb-2025,1.7,0.00,1,,,, ,3,,5.00,0.00,9.025,9.075,,,10.00,0.00,9.025,9.075,,,15.00,0.00,9.025,9.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,238962,0.500000,Transmission,UT,14:00:00 15-Feb-2025,16.7,0.00,3,,,, ,5,,5.00,0.00,9.725,9.775,,,10.00,0.00,9.725,9.775,,,15.00,0.00,9.725,9.775,,,20.00,0.00,9.675,9.725,,,25.00,1.00,9.675,9.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
