DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt,S11,ReleaseWetDry,ReleaseTemperature,MaxDepth,LLRangeToday,DeployStart,FirstPostReleaseTX,upright,SWBuild
Caterpillar,238962,0.500000,UT,,05:38:07 14-Jan-2025,05:38:08 14-Jan-2025,1,1,50.0894,-5.2158,CRC,,,,1571,3.400,,,22.50,3.5,,,,,,,,,,,,,255,29,255,43,,,,,,,42,216,105,0,13,,,,,,16:00:00 09-Jan-2025,,,
Caterpillar,238962,0.500000,UT,,12:24:33 18-Jan-2025,12:24:34 18-Jan-2025,1,B,50.0871,-5.2004,CRC,,,,2771,3.350,,,9.85,1.5,,,,,,,,,,,,,214,27,255,42,,,,,,,40,371,199,0,16,,,,,,16:00:00 09-Jan-2025,,,
Caterpillar,238962,0.500000,UT,,18:02:50 18-Jan-2025,18:02:51 18-Jan-2025,1,2,50.0928,-5.2081,CRC,,,,2846,3.325,,,9.75,2.0,,,,,,,,,,,,,154,27,255,42,,,,,,,48,378,201,0,35,,,,,,16:00:00 09-Jan-2025,,,
Caterpillar,238962,0.500000,UT,,19:47:41 18-Jan-2025,19:47:42 18-Jan-2025,1,B,50.1012,-5.2210,CRC,,,,2871,3.325,,,14.65,4.5,,,,,,,,,,,,,255,27,255,42,,,,,,,34,379,201,0,56,,,,,,16:00:00 09-Jan-2025,,,
Caterpillar,238962,0.500000,UT,,16:37:54 20-Jan-2025,16:37:55 20-Jan-2025,1,B,50.0948,-5.2087,CRC,,,,3421,3.325,,,8.55,2.0,,,,,,,,,,,,,189,27,255,42,,,,,,,26,446,240,0,12,,,,,,16:00:00 09-Jan-2025,,,
Caterpillar,238962,0.500000,UT,,07:52:21 27-Jan-2025,07:52:22 27-Jan-2025,1,B,50.0879,-5.2177,CRC,,,,5221,3.325,,,8.05,1.5,,,,,,,,,,,,,207,26,255,42,,,,,,,28,684,388,0,30,,,,,,16:00:00 09-Jan-2025,,,
Caterpillar,238962,0.500000,UT,,11:12:19 29-Jan-2025,11:12:20 29-Jan-2025,1,B,50.0850,-5.1839,CRC,,,,5721,3.325,,,9.50,2.0,,,,,,,,,,,,,86,27,255,41,,,,,,,28,766,449,0,24,,,,,,16:00:00 09-Jan-2025,,,
Caterpillar,238962,0.500000,UT,,18:01:31 30-Jan-2025,18:01:32 30-Jan-2025,1,B,50.0766,-5.2041,CRC,,,,6046,3.325,,,7.45,3.0,,,,,,,,,,,,,255,25,255,41,,,,,,,46,816,482,0,82,,,,,,16:00:00 09-Jan-2025,,,
Caterpillar,238962,0.500000,UT,,22:18:19 30-Jan-2025,22:18:20 30-Jan-2025,1,B,50.0845,-5.2133,CRC,,,,6096,3.400,,,23.65,4.5,,,,,,,,,,,,,255,25,255,41,,,,,,,38,823,487,0,98,,,,,,16:00:00 09-Jan-2025,,,
Caterpillar,238962,0.500000,UT,,00:17:06 31-Jan-2025,00:17:06 31-Jan-2025,0,B,50.0796,-5.2077,CRC,,,,6121,3.400,,,21.70,4.0,,,,,,,,,,,,,255,25,255,41,,,,,,,44,827,490,0,127,,,,,,16:00:00 09-Jan-2025,,,
Caterpillar,238962,0.500000,UT,,07:06:59 01-Feb-2025,07:07:00 01-Feb-2025,1,B,50.0977,-5.2489,CRC,,,,6496,3.350,,,12.70,2.5,,,,,,,,,,,,,255,26,255,41,,,,,,,44,868,510,0,79,,,,,,16:00:00 09-Jan-2025,,,
Caterpillar,238962,0.500000,UT,,06:38:52 04-Feb-2025,06:38:52 04-Feb-2025,0,3,50.0916,-5.2039,CRC,,,,7296,3.425,,,19.15,3.5,,,,,,,,,,,,,255,26,255,41,,,,,,,36,980,584,0,75,,,,,,16:00:00 09-Jan-2025,,,
Caterpillar,238962,0.500000,UT,,17:55:27 04-Feb-2025,17:55:27 04-Feb-2025,0,A,50.0947,-5.2021,CRC,,,,7421,3.325,,,9.90,2.5,,,,,,,,,,,,,143,26,255,41,,,,,,,36,999,596,0,44,,,,,,16:00:00 09-Jan-2025,,,
Caterpillar,238962,0.500000,UT,,21:00:07 08-Feb-2025,21:00:08 08-Feb-2025,1,B,50.1021,-5.4461,CRC,,,,8521,3.300,,,9.20,3.0,,,,,,,,,,,,,131,24,255,40,,,,,,,40,1156,703,0,22,,,,,,16:00:00 09-Jan-2025,,,
Caterpillar,238962,0.500000,UT,,22:45:52 08-Feb-2025,22:45:53 08-Feb-2025,1,3,50.1251,-5.4857,CRC,,,,8546,3.325,,,8.60,3.0,,,,,,,,,,,,,185,24,255,40,,,,,,,66,1161,704,0,27,,,,,,16:00:00 09-Jan-2025,,,
Caterpillar,238962,0.500000,UT,,10:43:59 09-Feb-2025,10:44:00 09-Feb-2025,1,2,50.1087,-5.4316,CRC,,,,8721,3.275,,,8.70,3.0,,,,,,,,,,,,,164,24,255,40,,,,,,,58,1181,713,0,36,,,,,,16:00:00 09-Jan-2025,,,
Caterpillar,238962,0.500000,UT,,12:09:48 10-Feb-2025,12:09:49 10-Feb-2025,1,B,50.0989,-5.4092,CRC,,,,9096,3.300,,,8.50,3.5,,,,,,,,,,,,,255,24,255,40,,,,,,,68,1224,734,0,15,,,,,,16:00:00 09-Jan-2025,,,
Caterpillar,238962,0.500000,UT,,18:09:57 11-Feb-2025,18:09:58 11-Feb-2025,1,3,50.0960,-5.3704,CRC,,,,9546,3.300,,,9.30,3.5,,,,,,,,,,,,,157,24,255,40,,,,,,,56,1269,753,0,27,,,,,,16:00:00 09-Jan-2025,,,
Caterpillar,238962,0.500000,UT,,08:24:58 14-Feb-2025,08:24:59 14-Feb-2025,1,B,50.1222,-5.4714,CRC,,,,10446,3.300,,,9.20,3.5,,,,,,,,,,,,,252,22,255,40,,,,,,,52,1354,793,0,33,,,,,,16:00:00 09-Jan-2025,,,
