DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
Dung Beetle,238965,UT,DS,1,0,0,,,13:32:12 31-Mar-2025,O3,,,,,,,,401650000,-122
Dung Beetle,238965,UT,DS,1,0,1,,,04:47:17 01-Apr-2025,SR,,,,,,,,401650000,-126
Dung Beetle,238965,UT,DS,1,0,0,,,06:25:52 01-Apr-2025,SR,,,,,,,,401650000,-125
Dung Beetle,238965,UT,DS,1,0,0,,,07:52:28 01-Apr-2025,CS,,,,,,,,401650000,-134
Dung Beetle,238965,UT,DS,2,0,1,494,494,08:19:25 01-Apr-2025,NK,,,,,,,,401650000,-120
Dung Beetle,238965,UT,DS,1,0,1,,,11:24:34 01-Apr-2025,MC,,,,,,,,401650000,-126
Dung Beetle,238965,UT,DS,1,0,1,,,11:38:22 01-Apr-2025,NP,,,,,,,,401650000,-132
Dung Beetle,238965,UT,DS,2,0,1,202,202,14:21:45 01-Apr-2025,O3,,,,,,,,401650000,-128
Dung Beetle,238965,UT,DS,2,0,1,292,292,17:24:51 01-Apr-2025,CS,,,,,,,,401650000,-125
Dung Beetle,238965,UT,DS,1,0,0,,,18:37:45 01-Apr-2025,SR,,,,,,,,401650000,-124
Dung Beetle,238965,UT,DS,1,0,0,,,19:52:10 01-Apr-2025,NK,,,,,,,,401650000,-133
Dung Beetle,238965,UT,DS,1,0,1,,,19:59:43 01-Apr-2025,NP,,,,,,,,401650000,-134
Dung Beetle,238965,UT,DS,2,0,2,51,51,20:20:51 01-Apr-2025,MB,,,,,,,,401650000,-130
Dung Beetle,238965,UT,DS,1,0,0,,,21:37:28 01-Apr-2025,NP,,,,,,,,401650000,-121
Dung Beetle,238965,UT,DS,2,0,2,114,114,23:15:33 01-Apr-2025,NP,,,,,,,,401650000,-132
Dung Beetle,238965,UT,DS,3,0,3,86,59,23:15:33 01-Apr-2025,NN,,,,,,,,401650000,-130
Dung Beetle,238965,UT,DS,1,0,1,,,23:57:23 01-Apr-2025,O3,,,,,,,,401650000,-138
Dung Beetle,238965,UT,DS,2,0,1,187,187,09:36:37 02-Apr-2025,NK,,,,,,,,401650000,-128
Dung Beetle,238965,UT,DS,1,0,0,,,11:07:51 02-Apr-2025,MC,,,,,,,,401650000,-117
Dung Beetle,238965,UT,DS,1,0,0,,,13:40:01 02-Apr-2025,O3,,,,,,,,401650000,
Dung Beetle,238965,UT,DS,1,0,1,,,18:26:30 02-Apr-2025,CS,,,,,,,,401650000,-133
Dung Beetle,238965,UT,DS,2,0,1,45,45,19:22:31 02-Apr-2025,NK,,,,,,,,401650000,-123
Dung Beetle,238965,UT,DS,2,0,2,300,300,19:42:29 02-Apr-2025,SR,,,,,,,,401650000,-129
Dung Beetle,238965,UT,DS,2,0,2,112,112,20:04:00 02-Apr-2025,MB,,,,,,,,401650000,-127
Dung Beetle,238965,UT,DS,1,0,1,,,20:50:21 02-Apr-2025,MC,,,,,,,,401650000,-118
Dung Beetle,238965,UT,DS,3,0,2,168,46,21:24:27 02-Apr-2025,SR,A,61.7410,-74.4214,50.1693,-6.0697,,,401650000,-134
Dung Beetle,238965,UT,DS,3,0,2,168,46,21:22:42 02-Apr-2025,NP,A,50.2104,-6.1022,50.3572,-5.3856,,,401677664,-125
Dung Beetle,238965,UT,DS,3,0,3,291,275,21:24:50 02-Apr-2025,NN,A,50.2252,-6.0215,55.5233,20.7292,,,401677664,-123
Dung Beetle,238965,UT,DS,1,0,0,,,21:37:11 02-Apr-2025,MB,B,50.2252,-6.0216,50.2252,-6.0216,6,,401677665,-127
Dung Beetle,238965,UT,DS,1,0,1,,,04:48:34 03-Apr-2025,CS,B,50.2277,-6.0213,50.2277,-6.0213,8,,401677664,-128
Dung Beetle,238965,UT,DS,2,0,2,323,323,05:20:26 03-Apr-2025,SR,B,50.2712,-6.1341,50.2712,-6.1341,8,,401677663,-130
Dung Beetle,238965,UT,DS,1,0,0,,,06:27:48 03-Apr-2025,CS,B,50.2774,-6.2530,50.2774,-6.2530,7,,401677677,-125
Dung Beetle,238965,UT,DS,1,0,0,,,11:37:52 03-Apr-2025,MB,B,50.3622,-6.6168,50.3622,-6.6168,8,,401677714,-128
Dung Beetle,238965,UT,DS,1,0,0,,,12:28:08 03-Apr-2025,MC,B,50.3517,-6.5523,50.3517,-6.5523,8,,401677696,-124
Dung Beetle,238965,UT,DS,2,0,2,295,295,12:53:58 03-Apr-2025,O3,B,50.2930,-6.4054,50.2930,-6.4054,6,,401677673,-124
Dung Beetle,238965,UT,DS,2,0,2,295,295,12:53:58 03-Apr-2025,NP,B,50.2822,-6.3136,50.2822,-6.3136,,,401677668,-133
Dung Beetle,238965,UT,DS,2,0,2,342,342,13:03:23 03-Apr-2025,NN,B,50.2839,-6.3162,50.2839,-6.3162,6,,401677677,-130
Dung Beetle,238965,UT,DS,1,0,1,,,14:36:34 03-Apr-2025,O3,B,50.3078,-6.4064,50.3078,-6.4064,8,,401677676,-132
Dung Beetle,238965,UT,DS,1,0,0,,,16:04:14 03-Apr-2025,CS,B,50.3240,-6.4634,50.3240,-6.4634,8,,401677674,-125
Dung Beetle,238965,UT,DS,3,0,3,194,45,17:48:18 03-Apr-2025,CS,A,50.3756,-6.4005,45.1867,-33.3366,,,401677663,-126
Dung Beetle,238965,UT,DS,2,0,2,343,343,18:52:35 03-Apr-2025,NK,B,50.3764,-6.4009,50.3764,-6.4009,8,,401677671,-128
Dung Beetle,238965,UT,DS,2,0,2,45,45,19:10:22 03-Apr-2025,SR,B,50.3953,-6.3953,50.3953,-6.3953,6,,401677679,-121
Dung Beetle,238965,UT,DS,1,0,0,,,20:29:35 03-Apr-2025,MC,B,50.3964,-6.3961,50.3964,-6.3961,8,,401677678,-119
Dung Beetle,238965,UT,DS,1,0,0,,,20:29:35 03-Apr-2025,NK,B,50.3959,-6.3921,50.3959,-6.3921,,,401677672,-137
Dung Beetle,238965,UT,DS,2,0,0,222,222,20:52:16 03-Apr-2025,SR,B,50.3969,-6.3682,50.3969,-6.3682,6,,401677658,-131
Dung Beetle,238965,UT,DS,3,0,2,308,267,21:03:41 03-Apr-2025,NP,A,51.6272,-0.1465,50.4321,-6.4274,,,401677667,-125
Dung Beetle,238965,UT,DS,2,0,2,422,422,21:16:09 03-Apr-2025,MB,B,50.4537,-6.3694,50.4537,-6.3694,6,,401677664,-131
Dung Beetle,238965,UT,DS,2,0,2,203,203,22:16:16 03-Apr-2025,MC,B,50.4647,-6.3631,50.4647,-6.3631,8,,401677667,-120
Dung Beetle,238965,UT,DS,7,0,4,109,46,22:47:11 03-Apr-2025,NP,3,50.4812,-6.3509,50.4812,-6.3509,58,,401677667,-126
Dung Beetle,238965,UT,DS,5,0,3,144,85,22:56:03 03-Apr-2025,NN,2,50.4908,-6.3426,50.4908,-6.3426,56,,401677665,-121
Dung Beetle,238965,UT,DS,1,0,1,,,06:34:38 04-Apr-2025,SR,B,50.5446,-6.2993,50.5446,-6.2993,8,,401677653,-124
Dung Beetle,238965,UT,DS,1,0,0,,,07:07:51 04-Apr-2025,NK,B,50.5260,-6.3312,50.5260,-6.3312,6,,401677679,-128
Dung Beetle,238965,UT,DS,1,0,0,,,07:23:50 04-Apr-2025,CS,B,50.5235,-6.3335,50.5235,-6.3335,6,,401677679,-126
