DeployID,Ptt,Source,Instr,Start,End,Kind,Type,MinDepth,PercentTime,MinSec,MaxSec,MaxDives,Percent_20,Percent_33,Percent_40,Percent_60,Percent_66,Percent_80,Percent_100
Dung Beetle,238965,Transmission,UT,05:00:00 01-Apr-2025,06:00:00 01-Apr-2025,depth,shallow,0.000000,26.8,946,982,16,,1.000000,,,1.000000,,5.000000
Dung Beetle,238965,Transmission,UT,05:00:00 01-Apr-2025,06:00:00 01-Apr-2025,depth,deep,,72.4,2590,2626,16,24.000000,,45.000000,54.000000,,54.000000,56.000000
Dung Beetle,238965,Transmission,UT,05:00:00 01-Apr-2025,06:00:00 01-Apr-2025,depth,dry,,0.8,11,47,,,,,,,,
Dung Beetle,238965,Transmission,UT,06:00:00 01-Apr-2025,07:00:00 01-Apr-2025,depth,shallow,0.000000,46.5,1654,1690,10,,1.000000,,,1.000000,,5.000000
Dung Beetle,238965,Transmission,UT,06:00:00 01-Apr-2025,07:00:00 01-Apr-2025,depth,deep,,51.2,1825,1861,10,27.000000,,47.000000,60.000000,,62.000000,63.000000
Dung Beetle,238965,Transmission,UT,06:00:00 01-Apr-2025,07:00:00 01-Apr-2025,depth,dry,,2.3,65,101,,,,,,,,
Dung Beetle,238965,Transmission,UT,11:00:00 01-Apr-2025,12:00:00 01-Apr-2025,depth,shallow,0.000000,34.6,1229,1265,11,,1.000000,,,1.000000,,5.000000
Dung Beetle,238965,Transmission,UT,11:00:00 01-Apr-2025,12:00:00 01-Apr-2025,depth,deep,,64.6,2306,2342,11,20.000000,,26.000000,29.000000,,32.000000,42.000000
Dung Beetle,238965,Transmission,UT,11:00:00 01-Apr-2025,12:00:00 01-Apr-2025,depth,dry,,0.8,11,47,,,,,,,,
Dung Beetle,238965,Transmission,UT,12:00:00 01-Apr-2025,13:00:00 01-Apr-2025,depth,shallow,0.000000,9.4,322,358,11,,1.000000,,,1.000000,,5.000000
Dung Beetle,238965,Transmission,UT,12:00:00 01-Apr-2025,13:00:00 01-Apr-2025,depth,deep,,89.8,3213,3249,11,27.000000,,31.000000,33.000000,,35.000000,38.000000
Dung Beetle,238965,Transmission,UT,12:00:00 01-Apr-2025,13:00:00 01-Apr-2025,depth,dry,,0.8,11,47,,,,,,,,
Dung Beetle,238965,Transmission,UT,21:00:00 01-Apr-2025,22:00:00 01-Apr-2025,depth,shallow,0.000000,43.3,1541,1577,14,,1.000000,,,1.000000,,5.000000
Dung Beetle,238965,Transmission,UT,21:00:00 01-Apr-2025,22:00:00 01-Apr-2025,depth,deep,,54.3,1938,1974,14,12.000000,,17.000000,24.000000,,37.000000,52.000000
Dung Beetle,238965,Transmission,UT,21:00:00 01-Apr-2025,22:00:00 01-Apr-2025,depth,dry,,2.4,68,104,,,,,,,,
Dung Beetle,238965,Transmission,UT,22:00:00 01-Apr-2025,23:00:00 01-Apr-2025,depth,shallow,0.000000,37.8,1343,1379,24,,1.000000,,,1.000000,,5.000000
Dung Beetle,238965,Transmission,UT,22:00:00 01-Apr-2025,23:00:00 01-Apr-2025,depth,deep,,59.1,2108,2144,24,9.000000,,13.000000,18.000000,,31.000000,52.000000
Dung Beetle,238965,Transmission,UT,22:00:00 01-Apr-2025,23:00:00 01-Apr-2025,depth,dry,,3.1,94,130,,,,,,,,
Dung Beetle,238965,Transmission,UT,05:00:00 02-Apr-2025,06:00:00 02-Apr-2025,depth,shallow,0.000000,15.0,521,557,16,,1.000000,,,1.000000,,5.000000
Dung Beetle,238965,Transmission,UT,05:00:00 02-Apr-2025,06:00:00 02-Apr-2025,depth,deep,,84.3,3015,3051,16,23.000000,,37.000000,44.000000,,45.000000,49.000000
Dung Beetle,238965,Transmission,UT,05:00:00 02-Apr-2025,06:00:00 02-Apr-2025,depth,dry,,0.7,7,43,,,,,,,,
Dung Beetle,238965,Transmission,UT,06:00:00 02-Apr-2025,07:00:00 02-Apr-2025,depth,shallow,0.000000,16.5,577,613,15,,1.000000,,,1.000000,,5.000000
Dung Beetle,238965,Transmission,UT,06:00:00 02-Apr-2025,07:00:00 02-Apr-2025,depth,deep,,82.7,2958,2994,15,28.000000,,45.000000,47.000000,,47.000000,50.000000
Dung Beetle,238965,Transmission,UT,06:00:00 02-Apr-2025,07:00:00 02-Apr-2025,depth,dry,,0.8,11,47,,,,,,,,
Dung Beetle,238965,Transmission,UT,15:00:00 02-Apr-2025,16:00:00 02-Apr-2025,depth,shallow,0.000000,17.3,606,642,14,,1.000000,,,1.000000,,5.000000
Dung Beetle,238965,Transmission,UT,15:00:00 02-Apr-2025,16:00:00 02-Apr-2025,depth,deep,,81.9,2930,2966,14,27.000000,,52.000000,65.000000,,66.000000,67.000000
Dung Beetle,238965,Transmission,UT,15:00:00 02-Apr-2025,16:00:00 02-Apr-2025,depth,dry,,0.8,11,47,,,,,,,,
Dung Beetle,238965,Transmission,UT,16:00:00 02-Apr-2025,17:00:00 02-Apr-2025,depth,shallow,0.000000,16.5,577,613,14,,1.000000,,,1.000000,,5.000000
Dung Beetle,238965,Transmission,UT,16:00:00 02-Apr-2025,17:00:00 02-Apr-2025,depth,deep,,83.5,2987,3023,14,22.000000,,37.000000,64.000000,,66.000000,67.000000
Dung Beetle,238965,Transmission,UT,16:00:00 02-Apr-2025,17:00:00 02-Apr-2025,depth,dry,,0.0,0,0,,,,,,,,
Dung Beetle,238965,Transmission,UT,09:00:00 03-Apr-2025,10:00:00 03-Apr-2025,depth,shallow,0.000000,29.1,1031,1067,10,,1.000000,,,1.000000,,5.000000
Dung Beetle,238965,Transmission,UT,09:00:00 03-Apr-2025,10:00:00 03-Apr-2025,depth,deep,,70.1,2505,2541,10,36.000000,,68.000000,87.000000,,89.000000,90.000000
Dung Beetle,238965,Transmission,UT,09:00:00 03-Apr-2025,10:00:00 03-Apr-2025,depth,dry,,0.8,11,47,,,,,,,,
Dung Beetle,238965,Transmission,UT,10:00:00 03-Apr-2025,11:00:00 03-Apr-2025,depth,shallow,0.000000,18.9,662,698,12,,1.000000,,,1.000000,,5.000000
Dung Beetle,238965,Transmission,UT,10:00:00 03-Apr-2025,11:00:00 03-Apr-2025,depth,deep,,81.1,2902,2938,12,34.000000,,63.000000,87.000000,,88.000000,90.000000
Dung Beetle,238965,Transmission,UT,10:00:00 03-Apr-2025,11:00:00 03-Apr-2025,depth,dry,,0.0,0,0,,,,,,,,
Dung Beetle,238965,Transmission,UT,23:00:00 04-Apr-2025,00:00:00 05-Apr-2025,depth,shallow,0.000000,40.2,1428,1464,14,,1.000000,,,1.000000,,5.000000
Dung Beetle,238965,Transmission,UT,23:00:00 04-Apr-2025,00:00:00 05-Apr-2025,depth,deep,,57.5,2051,2087,14,17.000000,,27.000000,41.000000,,94.000000,101.000000
Dung Beetle,238965,Transmission,UT,23:00:00 04-Apr-2025,00:00:00 05-Apr-2025,depth,dry,,2.3,65,101,,,,,,,,
Dung Beetle,238965,Transmission,UT,00:00:00 05-Apr-2025,01:00:00 05-Apr-2025,depth,shallow,0.000000,44.1,1569,1605,15,,1.000000,,,1.000000,,5.000000
Dung Beetle,238965,Transmission,UT,00:00:00 05-Apr-2025,01:00:00 05-Apr-2025,depth,deep,,54.3,1938,1974,15,12.000000,,36.000000,71.000000,,98.000000,100.000000
Dung Beetle,238965,Transmission,UT,00:00:00 05-Apr-2025,01:00:00 05-Apr-2025,depth,dry,,1.6,40,76,,,,,,,,
Dung Beetle,238965,Transmission,UT,09:00:00 05-Apr-2025,10:00:00 05-Apr-2025,depth,shallow,0.000000,20.5,719,755,12,,1.000000,,,1.000000,,5.000000
Dung Beetle,238965,Transmission,UT,09:00:00 05-Apr-2025,10:00:00 05-Apr-2025,depth,deep,,75.6,2703,2739,12,31.000000,,59.000000,90.000000,,99.000000,100.000000
Dung Beetle,238965,Transmission,UT,09:00:00 05-Apr-2025,10:00:00 05-Apr-2025,depth,dry,,3.9,122,158,,,,,,,,
Dung Beetle,238965,Transmission,UT,10:00:00 05-Apr-2025,11:00:00 05-Apr-2025,depth,shallow,0.000000,29.1,1031,1067,15,,1.000000,,,1.000000,,5.000000
Dung Beetle,238965,Transmission,UT,10:00:00 05-Apr-2025,11:00:00 05-Apr-2025,depth,deep,,68.5,2448,2484,15,18.000000,,29.000000,56.000000,,98.000000,99.000000
Dung Beetle,238965,Transmission,UT,10:00:00 05-Apr-2025,11:00:00 05-Apr-2025,depth,dry,,2.4,68,104,,,,,,,,
Dung Beetle,238965,Transmission,UT,21:00:00 05-Apr-2025,22:00:00 05-Apr-2025,depth,shallow,0.000000,28.3,1002,1038,14,,1.000000,,,2.000000,,5.000000
Dung Beetle,238965,Transmission,UT,21:00:00 05-Apr-2025,22:00:00 05-Apr-2025,depth,deep,,66.9,2391,2427,14,16.000000,,24.000000,33.000000,,40.000000,99.000000
Dung Beetle,238965,Transmission,UT,21:00:00 05-Apr-2025,22:00:00 05-Apr-2025,depth,dry,,4.8,155,191,,,,,,,,
Dung Beetle,238965,Transmission,UT,22:00:00 05-Apr-2025,23:00:00 05-Apr-2025,depth,shallow,0.000000,27.6,974,1010,15,,1.000000,,,3.000000,,5.000000
Dung Beetle,238965,Transmission,UT,22:00:00 05-Apr-2025,23:00:00 05-Apr-2025,depth,deep,,66.9,2391,2427,15,11.000000,,17.000000,25.000000,,32.000000,98.000000
Dung Beetle,238965,Transmission,UT,22:00:00 05-Apr-2025,23:00:00 05-Apr-2025,depth,dry,,5.5,180,216,,,,,,,,
Dung Beetle,238965,Transmission,UT,23:00:00 05-Apr-2025,00:00:00 06-Apr-2025,depth,shallow,0.000000,25.2,889,925,16,,1.000000,,,2.000000,,5.000000
Dung Beetle,238965,Transmission,UT,23:00:00 05-Apr-2025,00:00:00 06-Apr-2025,depth,deep,,70.1,2505,2541,16,9.000000,,14.000000,24.000000,,57.000000,98.000000
Dung Beetle,238965,Transmission,UT,23:00:00 05-Apr-2025,00:00:00 06-Apr-2025,depth,dry,,4.7,151,187,,,,,,,,
Dung Beetle,238965,Transmission,UT,00:00:00 06-Apr-2025,01:00:00 06-Apr-2025,depth,shallow,0.000000,27.6,974,1010,16,,1.000000,,,2.000000,,5.000000
Dung Beetle,238965,Transmission,UT,00:00:00 06-Apr-2025,01:00:00 06-Apr-2025,depth,deep,,66.9,2391,2427,16,15.000000,,42.000000,84.000000,,97.000000,99.000000
Dung Beetle,238965,Transmission,UT,00:00:00 06-Apr-2025,01:00:00 06-Apr-2025,depth,dry,,5.5,180,216,,,,,,,,
Dung Beetle,238965,Transmission,UT,01:00:00 06-Apr-2025,02:00:00 06-Apr-2025,depth,shallow,0.000000,37.8,1343,1379,17,,1.000000,,,1.000000,,5.000000
Dung Beetle,238965,Transmission,UT,01:00:00 06-Apr-2025,02:00:00 06-Apr-2025,depth,deep,,59.1,2108,2144,17,10.000000,,14.000000,22.000000,,94.000000,104.000000
Dung Beetle,238965,Transmission,UT,01:00:00 06-Apr-2025,02:00:00 06-Apr-2025,depth,dry,,3.1,94,130,,,,,,,,
Dung Beetle,238965,Transmission,UT,02:00:00 06-Apr-2025,03:00:00 06-Apr-2025,depth,shallow,0.000000,59.8,2136,2172,11,,1.000000,,,1.000000,,5.000000
Dung Beetle,238965,Transmission,UT,02:00:00 06-Apr-2025,03:00:00 06-Apr-2025,depth,deep,,39.4,1399,1435,11,9.000000,,12.000000,16.000000,,20.000000,28.000000
Dung Beetle,238965,Transmission,UT,02:00:00 06-Apr-2025,03:00:00 06-Apr-2025,depth,dry,,0.8,11,47,,,,,,,,
Dung Beetle,238965,Transmission,UT,11:00:00 06-Apr-2025,12:00:00 06-Apr-2025,depth,shallow,0.000000,36.2,1286,1322,15,,1.000000,,,1.000000,,5.000000
Dung Beetle,238965,Transmission,UT,11:00:00 06-Apr-2025,12:00:00 06-Apr-2025,depth,deep,,63.0,2250,2286,15,19.000000,,49.000000,80.000000,,87.000000,91.000000
Dung Beetle,238965,Transmission,UT,11:00:00 06-Apr-2025,12:00:00 06-Apr-2025,depth,dry,,0.8,11,47,,,,,,,,
Dung Beetle,238965,Transmission,UT,12:00:00 06-Apr-2025,13:00:00 06-Apr-2025,depth,shallow,0.000000,29.9,1059,1095,16,,1.000000,,,1.000000,,5.000000
Dung Beetle,238965,Transmission,UT,12:00:00 06-Apr-2025,13:00:00 06-Apr-2025,depth,deep,,69.3,2476,2512,16,17.000000,,30.000000,63.000000,,92.000000,96.000000
Dung Beetle,238965,Transmission,UT,12:00:00 06-Apr-2025,13:00:00 06-Apr-2025,depth,dry,,0.8,11,47,,,,,,,,
Dung Beetle,238965,Transmission,UT,01:00:00 07-Apr-2025,02:00:00 07-Apr-2025,depth,shallow,0.000000,96.9,3469,3505,1,,1.000000,,,2.000000,,5.000000
Dung Beetle,238965,Transmission,UT,01:00:00 07-Apr-2025,02:00:00 07-Apr-2025,depth,deep,,2.4,67,103,1,8.000000,,10.000000,12.000000,,14.000000,16.000000
Dung Beetle,238965,Transmission,UT,01:00:00 07-Apr-2025,02:00:00 07-Apr-2025,depth,dry,,0.7,7,43,,,,,,,,
Dung Beetle,238965,Transmission,UT,02:00:00 07-Apr-2025,03:00:00 07-Apr-2025,depth,shallow,0.000000,66.9,2391,2427,9,,1.000000,,,1.000000,,5.000000
Dung Beetle,238965,Transmission,UT,02:00:00 07-Apr-2025,03:00:00 07-Apr-2025,depth,deep,,33.1,1173,1209,9,9.000000,,13.000000,17.000000,,21.000000,31.000000
Dung Beetle,238965,Transmission,UT,02:00:00 07-Apr-2025,03:00:00 07-Apr-2025,depth,dry,,0.0,0,0,,,,,,,,
Dung Beetle,238965,Transmission,UT,03:00:00 07-Apr-2025,04:00:00 07-Apr-2025,depth,shallow,0.000000,37.8,1343,1379,13,,1.000000,,,2.000000,,5.000000
Dung Beetle,238965,Transmission,UT,03:00:00 07-Apr-2025,04:00:00 07-Apr-2025,depth,deep,,61.4,2193,2229,13,9.000000,,13.000000,18.000000,,24.000000,43.000000
Dung Beetle,238965,Transmission,UT,03:00:00 07-Apr-2025,04:00:00 07-Apr-2025,depth,dry,,0.8,11,47,,,,,,,,
Dung Beetle,238965,Transmission,UT,04:00:00 07-Apr-2025,05:00:00 07-Apr-2025,depth,shallow,0.000000,32.3,1144,1180,16,,1.000000,,,2.000000,,5.000000
Dung Beetle,238965,Transmission,UT,04:00:00 07-Apr-2025,05:00:00 07-Apr-2025,depth,deep,,66.9,2391,2427,16,12.000000,,20.000000,34.000000,,72.000000,73.000000
Dung Beetle,238965,Transmission,UT,04:00:00 07-Apr-2025,05:00:00 07-Apr-2025,depth,dry,,0.8,11,47,,,,,,,,
Dung Beetle,238965,Transmission,UT,15:00:00 07-Apr-2025,16:00:00 07-Apr-2025,depth,shallow,0.000000,37.8,1343,1379,16,,1.000000,,,1.000000,,5.000000
Dung Beetle,238965,Transmission,UT,15:00:00 07-Apr-2025,16:00:00 07-Apr-2025,depth,deep,,61.4,2193,2229,16,12.000000,,27.000000,64.000000,,73.000000,74.000000
Dung Beetle,238965,Transmission,UT,15:00:00 07-Apr-2025,16:00:00 07-Apr-2025,depth,dry,,0.8,11,47,,,,,,,,
Dung Beetle,238965,Transmission,UT,16:00:00 07-Apr-2025,17:00:00 07-Apr-2025,depth,shallow,0.000000,40.2,1428,1464,14,,1.000000,,,1.000000,,5.000000
Dung Beetle,238965,Transmission,UT,16:00:00 07-Apr-2025,17:00:00 07-Apr-2025,depth,deep,,59.1,2108,2144,14,16.000000,,41.000000,70.000000,,74.000000,74.000000
Dung Beetle,238965,Transmission,UT,16:00:00 07-Apr-2025,17:00:00 07-Apr-2025,depth,dry,,0.7,7,43,,,,,,,,
Dung Beetle,238965,Transmission,UT,19:00:00 07-Apr-2025,20:00:00 07-Apr-2025,depth,shallow,0.000000,27.6,974,1010,21,,1.000000,,,2.000000,,5.000000
Dung Beetle,238965,Transmission,UT,19:00:00 07-Apr-2025,20:00:00 07-Apr-2025,depth,deep,,71.7,2562,2598,21,11.000000,,15.000000,29.000000,,41.000000,70.000000
Dung Beetle,238965,Transmission,UT,19:00:00 07-Apr-2025,20:00:00 07-Apr-2025,depth,dry,,0.7,7,43,,,,,,,,
Dung Beetle,238965,Transmission,UT,20:00:00 07-Apr-2025,21:00:00 07-Apr-2025,depth,shallow,0.000000,57.5,2051,2087,19,,1.000000,,,2.000000,,5.000000
Dung Beetle,238965,Transmission,UT,20:00:00 07-Apr-2025,21:00:00 07-Apr-2025,depth,deep,,41.7,1484,1520,19,9.000000,,14.000000,21.000000,,29.000000,61.000000
Dung Beetle,238965,Transmission,UT,20:00:00 07-Apr-2025,21:00:00 07-Apr-2025,depth,dry,,0.8,11,47,,,,,,,,
Dung Beetle,238965,Transmission,UT,05:00:00 08-Apr-2025,06:00:00 08-Apr-2025,depth,shallow,0.000000,26.8,946,982,14,,1.000000,,,1.000000,,5.000000
Dung Beetle,238965,Transmission,UT,05:00:00 08-Apr-2025,06:00:00 08-Apr-2025,depth,deep,,72.4,2590,2626,14,27.000000,,43.000000,45.000000,,51.000000,52.000000
Dung Beetle,238965,Transmission,UT,05:00:00 08-Apr-2025,06:00:00 08-Apr-2025,depth,dry,,0.8,11,47,,,,,,,,
Dung Beetle,238965,Transmission,UT,06:00:00 08-Apr-2025,07:00:00 08-Apr-2025,depth,shallow,0.000000,22.8,804,840,15,,1.000000,,,1.000000,,5.000000
Dung Beetle,238965,Transmission,UT,06:00:00 08-Apr-2025,07:00:00 08-Apr-2025,depth,deep,,75.6,2703,2739,15,28.000000,,38.000000,38.000000,,40.000000,45.000000
Dung Beetle,238965,Transmission,UT,06:00:00 08-Apr-2025,07:00:00 08-Apr-2025,depth,dry,,1.6,40,76,,,,,,,,
Dung Beetle,238965,Transmission,UT,07:00:00 08-Apr-2025,08:00:00 08-Apr-2025,depth,shallow,0.000000,22.8,804,840,18,,1.000000,,,1.000000,,5.000000
Dung Beetle,238965,Transmission,UT,07:00:00 08-Apr-2025,08:00:00 08-Apr-2025,depth,deep,,76.4,2732,2768,18,24.000000,,28.000000,31.000000,,34.000000,38.000000
Dung Beetle,238965,Transmission,UT,07:00:00 08-Apr-2025,08:00:00 08-Apr-2025,depth,dry,,0.8,11,47,,,,,,,,
Dung Beetle,238965,Transmission,UT,08:00:00 08-Apr-2025,09:00:00 08-Apr-2025,depth,shallow,0.000000,26.0,917,953,22,,1.000000,,,1.000000,,5.000000
Dung Beetle,238965,Transmission,UT,08:00:00 08-Apr-2025,09:00:00 08-Apr-2025,depth,deep,,73.2,2618,2654,22,12.000000,,14.000000,17.000000,,20.000000,27.000000
Dung Beetle,238965,Transmission,UT,08:00:00 08-Apr-2025,09:00:00 08-Apr-2025,depth,dry,,0.8,11,47,,,,,,,,
Dung Beetle,238965,Transmission,UT,09:00:00 08-Apr-2025,10:00:00 08-Apr-2025,depth,shallow,0.000000,22.0,776,812,18,,1.000000,,,1.000000,,5.000000
Dung Beetle,238965,Transmission,UT,09:00:00 08-Apr-2025,10:00:00 08-Apr-2025,depth,deep,,78.0,2788,2824,18,17.000000,,20.000000,24.000000,,27.000000,29.000000
Dung Beetle,238965,Transmission,UT,09:00:00 08-Apr-2025,10:00:00 08-Apr-2025,depth,dry,,0.0,0,0,,,,,,,,
Dung Beetle,238965,Transmission,UT,10:00:00 08-Apr-2025,11:00:00 08-Apr-2025,depth,shallow,0.000000,22.0,776,812,14,,1.000000,,,1.000000,,5.000000
Dung Beetle,238965,Transmission,UT,10:00:00 08-Apr-2025,11:00:00 08-Apr-2025,depth,deep,,78.0,2788,2824,14,26.000000,,28.000000,29.000000,,29.000000,30.000000
Dung Beetle,238965,Transmission,UT,10:00:00 08-Apr-2025,11:00:00 08-Apr-2025,depth,dry,,0.0,0,0,,,,,,,,
Dung Beetle,238965,Transmission,UT,13:00:00 08-Apr-2025,14:00:00 08-Apr-2025,depth,shallow,0.000000,30.7,1088,1124,16,,1.000000,,,1.000000,,5.000000
Dung Beetle,238965,Transmission,UT,13:00:00 08-Apr-2025,14:00:00 08-Apr-2025,depth,deep,,69.3,2476,2512,16,20.000000,,22.000000,22.000000,,23.000000,25.000000
Dung Beetle,238965,Transmission,UT,13:00:00 08-Apr-2025,14:00:00 08-Apr-2025,depth,dry,,0.0,0,0,,,,,,,,
Dung Beetle,238965,Transmission,UT,14:00:00 08-Apr-2025,15:00:00 08-Apr-2025,depth,shallow,0.000000,33.9,1201,1237,21,,1.000000,,,1.000000,,5.000000
Dung Beetle,238965,Transmission,UT,14:00:00 08-Apr-2025,15:00:00 08-Apr-2025,depth,deep,,66.1,2363,2399,21,11.000000,,16.000000,17.000000,,20.000000,22.000000
Dung Beetle,238965,Transmission,UT,14:00:00 08-Apr-2025,15:00:00 08-Apr-2025,depth,dry,,0.0,0,0,,,,,,,,
Dung Beetle,238965,Transmission,UT,15:00:00 08-Apr-2025,16:00:00 08-Apr-2025,depth,shallow,0.000000,35.4,1258,1294,19,,1.000000,,,2.000000,,5.000000
Dung Beetle,238965,Transmission,UT,15:00:00 08-Apr-2025,16:00:00 08-Apr-2025,depth,deep,,64.6,2306,2342,19,10.000000,,14.000000,16.000000,,16.000000,18.000000
Dung Beetle,238965,Transmission,UT,15:00:00 08-Apr-2025,16:00:00 08-Apr-2025,depth,dry,,0.0,0,0,,,,,,,,
