DeployID,Ptt,DepthSensor,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
Dung Beetle,238965,0.500000,Transmission,UT,Percent,00:00:00 01-Apr-2025,-2.000000,1,,,,,24,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,238965,0.500000,Transmission,UT,Percent,00:00:00 02-Apr-2025,-2.000000,2,,,,,24,,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,0,3,3,10,3,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,238965,0.500000,Transmission,UT,Percent,00:00:00 03-Apr-2025,-2.000000,2,,,,,24,,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,238965,0.500000,Transmission,UT,Percent,00:00:00 11-Apr-2025,-2.000000,1,,,,,24,,3,3,10,3,3,3,3,0,0,3,3,3,0,0,0,0,0,0,3,3,3,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,238965,0.500000,Transmission,UT,Percent,00:00:00 16-Apr-2025,-2.000000,2,,,,,24,,100,100,100,100,100,100,100,100,50,20,70,100,100,100,100,100,90,40,30,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,238965,0.500000,Transmission,UT,Percent,00:00:00 17-Apr-2025,-2.000000,2,,,,,24,,100,100,100,100,100,100,100,100,100,100,100,100,20,0,3,3,3,3,3,3,3,10,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,238965,0.500000,Transmission,UT,Percent,00:00:00 21-Apr-2025,-2.000000,1,,,,,24,,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,238965,0.500000,Transmission,UT,Percent,00:00:00 25-Apr-2025,-2.000000,1,,,,,24,,10,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,238965,0.500000,Transmission,UT,Percent,00:00:00 26-Apr-2025,-2.000000,2,,,,,24,,3,10,3,10,10,10,10,3,3,3,20,90,98,100,70,20,98,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,238965,0.500000,Transmission,UT,Percent,00:00:00 27-Apr-2025,-2.000000,2,,,,,24,,100,100,100,100,90,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,238965,0.500000,Transmission,UT,Percent,00:00:00 01-May-2025,-2.000000,1,,,,,24,,10,90,70,3,10,10,10,30,3,50,50,100,100,100,70,10,10,3,3,3,3,3,20,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,238965,0.500000,Transmission,UT,Percent,00:00:00 18-May-2025,-1.000000,1,,,,,24,,10,10,10,10,10,30,3,3,3,3,3,3,10,90,100,100,100,50,30,3,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,238965,0.500000,Transmission,UT,Percent,00:00:00 19-May-2025,-1.000000,1,,,,,24,,20,100,100,100,80,80,20,3,20,3,10,100,100,60,10,10,10,10,3,3,3,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,238965,0.500000,Transmission,UT,Percent,00:00:00 21-May-2025,-1.000000,1,,,,,24,,0,0,3,10,3,3,3,3,3,3,3,0,0,3,3,3,3,3,10,10,10,10,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,238965,0.500000,Transmission,UT,Percent,00:00:00 07-Jun-2025,-1.000000,1,,,,,24,,3,3,3,3,3,3,3,3,3,3,3,3,10,3,3,10,10,3,3,3,10,3,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,238965,0.500000,Transmission,UT,Percent,00:00:00 08-Jun-2025,-1.000000,2,,,,,24,,10,10,0,10,10,10,10,10,3,10,3,3,3,3,10,3,3,10,10,10,10,3,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
