DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
Dung Beetle,238965,UT,12:03:46 31-Mar-2025,User,,50.0916,-5.2020,,,,,,,,,,
Dung Beetle,238965,UT,21:22:42 02-Apr-2025,Argos,A,50.2104,-6.1022,,,,,,,,,,
Dung Beetle,238965,UT,21:24:27 02-Apr-2025,Argos,A,61.7410,-74.4214,,,,,,,,,,Speed to avg loc 200 x median
Dung Beetle,238965,UT,21:24:50 02-Apr-2025,Argos,A,50.2252,-6.0215,,,,,,,,,,
Dung Beetle,238965,UT,21:37:11 02-Apr-2025,Argos,B,50.2252,-6.0216,,,,,,,,,,
Dung Beetle,238965,UT,04:48:34 03-Apr-2025,Argos,B,50.2277,-6.0213,,,,,,,,,,
Dung Beetle,238965,UT,05:20:26 03-Apr-2025,Argos,B,50.2712,-6.1341,5265,416858,66,75,,,,,,
Dung Beetle,238965,UT,06:27:48 03-Apr-2025,Argos,B,50.2774,-6.2530,4464,15655,1272,90,,,,,,
Dung Beetle,238965,UT,11:37:52 03-Apr-2025,Argos,B,50.3622,-6.6168,8593,15724,4696,87,,,,,,
Dung Beetle,238965,UT,12:28:08 03-Apr-2025,Argos,B,50.3517,-6.5523,20364,135365,3063,104,,,,,,
Dung Beetle,238965,UT,12:53:58 03-Apr-2025,Argos,B,50.2930,-6.4054,5256,,,,,,,,,
Dung Beetle,238965,UT,12:53:58 03-Apr-2025,Argos,B,50.2822,-6.3136,412,7806,21,95,,,,,,
Dung Beetle,238965,UT,13:03:23 03-Apr-2025,Argos,B,50.2839,-6.3162,318,907,111,34,,,,,,
Dung Beetle,238965,UT,14:36:34 03-Apr-2025,Argos,B,50.3078,-6.4064,1345,2073,871,87,,,,,,
Dung Beetle,238965,UT,16:04:14 03-Apr-2025,Argos,B,50.3240,-6.4634,2773,11771,653,94,,,,,,
Dung Beetle,238965,UT,17:48:18 03-Apr-2025,Argos,A,50.3756,-6.4005,491,1704,141,170,,,,,,
Dung Beetle,238965,UT,18:52:35 03-Apr-2025,Argos,B,50.3764,-6.4009,788,13955,44,81,,,,,,
Dung Beetle,238965,UT,19:10:22 03-Apr-2025,Argos,B,50.3953,-6.3953,878,13643,56,98,,,,,,
Dung Beetle,238965,UT,20:29:35 03-Apr-2025,Argos,B,50.3964,-6.3961,1474,3281,662,96,,,,,,
Dung Beetle,238965,UT,20:29:35 03-Apr-2025,Argos,B,50.3959,-6.3921,1429,3043,670,97,,,,,,
Dung Beetle,238965,UT,20:52:16 03-Apr-2025,Argos,B,50.3969,-6.3682,930,6257,138,145,,,,,,
Dung Beetle,238965,UT,21:03:41 03-Apr-2025,Argos,A,51.6272,-0.1465,575,11205,29,78,,,,,,Speed to avg loc 23 x median
Dung Beetle,238965,UT,21:16:09 03-Apr-2025,Argos,B,50.4537,-6.3694,450,3870,52,108,,,,,,
Dung Beetle,238965,UT,22:16:16 03-Apr-2025,Argos,B,50.4647,-6.3631,948,8167,110,103,,,,,,
Dung Beetle,238965,UT,22:47:11 03-Apr-2025,Argos,3,50.4812,-6.3509,185,357,95,98,,,,,,
Dung Beetle,238965,UT,22:56:03 03-Apr-2025,Argos,2,50.4908,-6.3426,276,1130,67,84,,,,,,
Dung Beetle,238965,UT,06:34:38 04-Apr-2025,Argos,B,50.5446,-6.2993,6108,17763,2100,95,,,,,,
Dung Beetle,238965,UT,07:07:51 04-Apr-2025,Argos,B,50.5260,-6.3312,5231,16576,1650,99,,,,,,
Dung Beetle,238965,UT,07:23:50 04-Apr-2025,Argos,B,50.5235,-6.3335,4597,14056,1503,102,,,,,,
Dung Beetle,238965,UT,10:20:11 04-Apr-2025,Argos,B,50.5930,-6.3661,2261,57027,89,92,,,,,,
Dung Beetle,238965,UT,10:21:47 04-Apr-2025,Argos,B,50.5938,-6.3769,1685,23750,119,92,,,,,,
Dung Beetle,238965,UT,13:50:55 04-Apr-2025,Argos,B,50.6295,-6.3986,2558,6332,1033,90,,,,,,
Dung Beetle,238965,UT,23:27:23 04-Apr-2025,Argos,B,50.7075,-6.4357,3905,6142,2482,78,,,,,,
Dung Beetle,238965,UT,23:34:22 04-Apr-2025,Argos,B,50.7593,-6.3889,4259,8715,2081,123,,,,,,
Dung Beetle,238965,UT,05:58:23 05-Apr-2025,Argos,B,50.8258,-6.4088,4859,8924,2645,121,,,,,,
Dung Beetle,238965,UT,06:44:42 05-Apr-2025,Argos,B,50.8451,-6.4265,2902,14198,593,89,,,,,,
Dung Beetle,238965,UT,08:17:34 05-Apr-2025,Argos,B,50.8644,-6.4331,2674,98213,72,84,,,,,,
Dung Beetle,238965,UT,08:22:18 05-Apr-2025,Argos,B,50.8653,-6.4237,2143,29761,154,84,,,,,,
Dung Beetle,238965,UT,09:59:08 05-Apr-2025,Argos,A,50.9128,-6.3784,424,2158,83,49,,,,,,
Dung Beetle,238965,UT,10:58:42 05-Apr-2025,Argos,A,50.8930,-6.4224,571,8353,39,70,,,,,,
Dung Beetle,238965,UT,11:48:50 05-Apr-2025,Argos,B,50.9083,-6.4208,1118,2100,595,79,,,,,,
Dung Beetle,238965,UT,12:34:39 05-Apr-2025,Argos,B,50.9213,-6.4173,1526,2216,1050,88,,,,,,
Dung Beetle,238965,UT,13:25:17 05-Apr-2025,Argos,B,50.9303,-6.4112,3054,4651,2005,95,,,,,,
Dung Beetle,238965,UT,14:12:35 05-Apr-2025,Argos,B,50.9359,-6.4144,2100,2931,1504,97,,,,,,
Dung Beetle,238965,UT,14:17:03 05-Apr-2025,Argos,B,50.9464,-6.4217,1522,21163,109,68,,,,,,
Dung Beetle,238965,UT,14:41:08 05-Apr-2025,Argos,B,50.9594,-6.4116,526,1445,191,128,,,,,,
Dung Beetle,238965,UT,18:03:53 05-Apr-2025,Argos,B,51.0249,-6.4118,1315,36008,48,67,,,,,,
Dung Beetle,238965,UT,18:06:50 05-Apr-2025,Argos,B,51.0209,-6.4231,1372,13490,139,67,,,,,,
Dung Beetle,238965,UT,19:40:31 05-Apr-2025,Argos,2,51.0607,-6.4555,448,1181,169,78,,,,,,
Dung Beetle,238965,UT,19:43:05 05-Apr-2025,Argos,A,51.0639,-6.4662,470,2028,108,88,,,,,,
Dung Beetle,238965,UT,20:34:28 05-Apr-2025,Argos,B,51.0828,-6.4709,4545,7320,2822,90,,,,,,
Dung Beetle,238965,UT,21:26:50 05-Apr-2025,Argos,1,51.1013,-6.4692,822,2372,285,14,,,,,,
Dung Beetle,238965,UT,21:26:50 05-Apr-2025,Argos,B,51.0999,-6.4669,864,1242,600,179,,,,,,
Dung Beetle,238965,UT,22:17:17 05-Apr-2025,Argos,B,51.1244,-6.4698,859,2663,277,89,,,,,,
Dung Beetle,238965,UT,22:20:41 05-Apr-2025,Argos,2,51.1382,-6.4668,362,854,153,90,,,,,,
Dung Beetle,238965,UT,22:26:53 05-Apr-2025,Argos,B,51.1374,-6.4638,1487,2405,918,89,,,,,,
Dung Beetle,238965,UT,23:10:00 05-Apr-2025,Argos,B,51.1579,-6.4568,2376,8124,695,157,,,,,,
Dung Beetle,238965,UT,00:16:32 06-Apr-2025,Argos,3,51.1964,-6.4538,127,706,22,87,,,,,,
Dung Beetle,238965,UT,00:17:03 06-Apr-2025,Argos,B,51.1964,-6.4538,153,397,58,88,,,,,,
Dung Beetle,238965,UT,05:32:56 06-Apr-2025,Argos,B,51.3415,-6.4430,2331,3932,1381,85,,,,,,
Dung Beetle,238965,UT,07:07:17 06-Apr-2025,Argos,B,51.3686,-6.4401,3829,5011,2926,38,,,,,,
Dung Beetle,238965,UT,07:39:59 06-Apr-2025,Argos,B,51.3208,-6.4778,2817,42537,186,146,,,,,,
Dung Beetle,238965,UT,07:56:47 06-Apr-2025,Argos,B,51.3200,-6.4825,2888,7572,1101,143,,,,,,
Dung Beetle,238965,UT,08:50:34 06-Apr-2025,Argos,B,51.3301,-6.5041,3215,4999,2066,122,,,,,,
Dung Beetle,238965,UT,09:36:25 06-Apr-2025,Argos,B,51.3317,-6.4770,1293,13203,126,169,,,,,,
Dung Beetle,238965,UT,09:42:57 06-Apr-2025,Argos,B,51.3414,-6.4785,1007,2351,431,167,,,,,,
Dung Beetle,238965,UT,20:34:20 06-Apr-2025,Argos,B,51.5123,-6.6880,4700,48709,453,61,,,,,,
Dung Beetle,238965,UT,20:53:45 06-Apr-2025,Argos,B,51.5236,-6.6747,5417,26975,1087,63,,,,,,
Dung Beetle,238965,UT,22:50:13 06-Apr-2025,Argos,B,51.5414,-6.6857,6284,17553,2250,69,,,,,,
Dung Beetle,238965,UT,07:27:56 07-Apr-2025,Argos,B,51.6331,-6.6913,5624,11566,2734,100,,,,,,
Dung Beetle,238965,UT,08:37:54 07-Apr-2025,Argos,B,51.6138,-6.6632,4776,11780,1936,116,,,,,,
Dung Beetle,238965,UT,10:15:05 07-Apr-2025,Argos,B,51.6263,-6.6658,4856,12729,1852,116,,,,,,
Dung Beetle,238965,UT,10:28:29 07-Apr-2025,Argos,B,51.6957,-6.7141,3214,344298,30,100,,,,,,
Dung Beetle,238965,UT,10:42:28 07-Apr-2025,Argos,B,51.7009,-6.7340,2875,34532,239,101,,,,,,
Dung Beetle,238965,UT,11:02:59 07-Apr-2025,Argos,B,51.7030,-6.7216,3210,33559,307,99,,,,,,
Dung Beetle,238965,UT,12:05:47 07-Apr-2025,Argos,B,51.7083,-6.7611,2545,10264,631,99,,,,,,
Dung Beetle,238965,UT,12:15:01 07-Apr-2025,Argos,B,51.7295,-6.7967,2169,8928,527,93,,,,,,
Dung Beetle,238965,UT,12:37:44 07-Apr-2025,Argos,B,51.7417,-6.8079,2052,63581,66,92,,,,,,
Dung Beetle,238965,UT,13:10:49 07-Apr-2025,Argos,B,51.7499,-6.8216,2125,12726,354,91,,,,,,
Dung Beetle,238965,UT,22:28:49 07-Apr-2025,Argos,B,51.8604,-7.0292,3316,9924,1107,82,,,,,,
Dung Beetle,238965,UT,07:51:29 08-Apr-2025,Argos,B,51.9505,-7.0654,4016,5379,2998,94,,,,,,
Dung Beetle,238965,UT,18:22:44 08-Apr-2025,Argos,B,52.0517,-7.2183,4480,18588,1079,83,,,,,,Lon > 4 deviations from mean
Dung Beetle,238965,UT,20:11:24 08-Apr-2025,Argos,A,52.1318,-6.6110,10605,29842,3768,42,,,,,,
Dung Beetle,238965,UT,20:36:29 08-Apr-2025,Argos,B,52.1244,-6.6130,13448,28395,6368,38,,,,,,
Dung Beetle,238965,UT,21:15:12 08-Apr-2025,Argos,B,52.1256,-6.6627,7042,70748,701,19,,,,,,
Dung Beetle,238965,UT,21:27:38 08-Apr-2025,Argos,B,52.1272,-6.6582,641,2643,155,63,,,,,,
Dung Beetle,238965,UT,23:28:24 08-Apr-2025,Argos,B,52.1447,-6.6011,1520,2769,833,90,,,,,,
Dung Beetle,238965,UT,23:35:42 08-Apr-2025,Argos,2,52.1265,-6.6356,308,905,104,96,,,,,,
Dung Beetle,238965,UT,23:37:30 08-Apr-2025,Argos,1,52.1283,-6.5958,923,14796,57,78,,,,,,
Dung Beetle,238965,UT,23:51:04 08-Apr-2025,Argos,B,52.1314,-6.5821,1475,2576,844,84,,,,,,
Dung Beetle,238965,UT,01:18:41 09-Apr-2025,Argos,B,52.1299,-6.5837,3279,6145,1749,89,,,,,,
Dung Beetle,238965,UT,05:36:16 09-Apr-2025,Argos,B,52.1578,-6.4079,4612,11539,1843,75,,,,,,
Dung Beetle,238965,UT,08:51:16 09-Apr-2025,Argos,0,52.1076,-6.5898,1578,6208,401,78,,,,,,
Dung Beetle,238965,UT,09:34:27 09-Apr-2025,Argos,B,52.1106,-6.5823,4053,6995,2348,87,,,,,,
Dung Beetle,238965,UT,09:47:57 09-Apr-2025,Argos,3,52.1225,-6.6353,203,882,46,87,,,,,,
Dung Beetle,238965,UT,10:02:58 09-Apr-2025,Argos,B,52.1234,-6.6322,559,1028,303,90,,,,,,
Dung Beetle,238965,UT,10:20:28 09-Apr-2025,Argos,3,52.1189,-6.6217,146,747,28,88,,,,,,
Dung Beetle,238965,UT,11:06:16 09-Apr-2025,Argos,3,52.1112,-6.6035,109,332,36,87,,,,,,
Dung Beetle,238965,UT,13:14:25 09-Apr-2025,Argos,1,52.1281,-6.6662,882,15700,49,100,,,,,,
Dung Beetle,238965,UT,13:23:51 09-Apr-2025,Argos,B,52.1284,-6.6637,1412,3326,599,97,,,,,,
Dung Beetle,238965,UT,13:27:36 09-Apr-2025,Argos,1,52.1140,-6.6532,657,2824,152,79,,,,,,
Dung Beetle,238965,UT,14:53:02 09-Apr-2025,Argos,A,52.1171,-6.6342,458,1551,135,40,,,,,,
Dung Beetle,238965,UT,19:41:16 09-Apr-2025,Argos,A,52.1144,-6.6519,952,17241,52,94,,,,,,
Dung Beetle,238965,UT,19:57:19 09-Apr-2025,Argos,B,52.1143,-6.6443,1546,5903,405,93,,,,,,
Dung Beetle,238965,UT,21:00:26 09-Apr-2025,Argos,A,52.1485,-6.6300,1658,7484,367,149,,,,,,
Dung Beetle,238965,UT,21:00:41 09-Apr-2025,Argos,B,52.1137,-6.6105,918,1886,446,141,,,,,,
Dung Beetle,238965,UT,21:22:02 09-Apr-2025,Argos,B,52.1044,-6.6269,2078,6717,642,86,,,,,,
Dung Beetle,238965,UT,21:32:27 09-Apr-2025,Argos,A,52.1211,-6.6064,308,4843,19,80,,,,,,
Dung Beetle,238965,UT,21:39:50 09-Apr-2025,Argos,B,52.1194,-6.6038,405,5678,28,77,,,,,,
Dung Beetle,238965,UT,21:44:28 09-Apr-2025,Argos,A,52.1162,-6.6347,225,345,146,37,,,,,,
Dung Beetle,238965,UT,00:35:58 10-Apr-2025,Argos,B,52.1161,-6.6021,1526,8524,273,99,,,,,,
Dung Beetle,238965,UT,19:08:18 10-Apr-2025,Argos,B,52.1437,-6.4314,4279,7273,2517,79,,,,,,
Dung Beetle,238965,UT,01:24:53 11-Apr-2025,Argos,2,51.8540,-6.7598,363,853,154,114,,,,,,
Dung Beetle,238965,UT,06:04:21 11-Apr-2025,Argos,B,51.7987,-6.7854,4087,6550,2549,90,,,,,,
Dung Beetle,238965,UT,19:54:01 11-Apr-2025,Argos,B,51.7064,-6.9924,2772,49193,156,7,,,,,,
Dung Beetle,238965,UT,20:10:51 11-Apr-2025,Argos,B,51.7620,-6.9848,1838,5093,663,7,,,,,,
Dung Beetle,238965,UT,00:39:19 12-Apr-2025,Argos,B,51.7449,-7.0301,2060,4819,880,76,,,,,,
Dung Beetle,238965,UT,04:01:26 12-Apr-2025,Argos,B,51.7580,-7.0674,2239,74583,67,72,,,,,,
Dung Beetle,238965,UT,05:37:52 12-Apr-2025,Argos,B,51.7392,-7.0861,2052,25862,162,83,,,,,,
