DeployID,Ptt,DepthSensor,Source,Instr,Date,Duration,Time Offset,Count,LocationQuality,Latitude,Longitude,BadTherm,NumBins,Partial,Depth1,Depth1Error,MinTemp1,MaxTemp1,%Ox1,Discont1,Depth2,Depth2Error,MinTemp2,MaxTemp2,%Ox2,Discont2,Depth3,Depth3Error,MinTemp3,MaxTemp3,%Ox3,Discont3,Depth4,Depth4Error,MinTemp4,MaxTemp4,%Ox4,Discont4,Depth5,Depth5Error,MinTemp5,MaxTemp5,%Ox5,Discont5,Depth6,Depth6Error,MinTemp6,MaxTemp6,%Ox6,Discont6,Depth7,Depth7Error,MinTemp7,MaxTemp7,%Ox7,Discont7,Depth8,Depth8Error,MinTemp8,MaxTemp8,%Ox8,Discont8,Depth9,Depth9Error,MinTemp9,MaxTemp9,%Ox9,Discont9,Depth10,Depth10Error,MinTemp10,MaxTemp10,%Ox10,Discont10,Depth11,Depth11Error,MinTemp11,MaxTemp11,%Ox11,Discont11,Depth12,Depth12Error,MinTemp12,MaxTemp12,%Ox12,Discont12,Depth13,Depth13Error,MinTemp13,MaxTemp13,%Ox13,Discont13,Depth14,Depth14Error,MinTemp14,MaxTemp14,%Ox14,Discont14,Depth15,Depth15Error,MinTemp15,MaxTemp15,%Ox15,Discont15,Depth16,Depth16Error,MinTemp16,MaxTemp16,%Ox16,Discont16,Depth17,Depth17Error,MinTemp17,MaxTemp17,%Ox17,Discont17,Depth18,Depth18Error,MinTemp18,MaxTemp18,%Ox18,Discont18,Depth19,Depth19Error,MinTemp19,MaxTemp19,%Ox19,Discont19,Depth20,Depth20Error,MinTemp20,MaxTemp20,%Ox20,Discont20,,,,,
Dung Beetle,238965,0.500000,Transmission,UT,23:21:00 31-Mar-2025,1.7,-2.00,1,,,, ,9,,5.00,0.00,10.475,10.525,,,10.00,0.00,10.475,10.525,,,15.00,0.00,10.475,10.525,,,20.00,0.00,10.475,10.525,,,25.00,0.00,10.475,10.525,,,30.00,0.00,10.525,10.575,,,35.00,0.00,10.475,10.525,,,40.00,0.00,10.525,10.575,,,45.00,0.00,10.525,10.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,238965,0.500000,Transmission,UT,10:13:00 02-Apr-2025,166.7,-2.00,2,,,, ,11,,5.00,0.00,10.775,10.825,,,10.00,0.00,10.875,10.925,,,15.00,0.00,10.875,10.925,,,20.00,0.00,10.775,10.825,,,25.00,0.00,10.625,10.675,,,30.00,0.00,10.625,10.675,,,35.00,0.00,10.625,10.675,,,40.00,0.00,10.625,10.675,,,45.00,0.00,10.625,10.675,,,50.00,0.00,10.625,10.675,,,55.00,0.00,10.625,10.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,238965,0.500000,Transmission,UT,08:18:00 04-Apr-2025,16.7,-2.00,2,,,, ,20,,5.00,0.00,10.925,10.975,,,10.00,0.00,10.925,10.975,,,15.00,0.00,10.925,10.975,,,20.00,0.00,10.925,10.975,,,25.00,0.00,10.925,10.975,,,30.00,0.00,10.925,10.975,,,35.00,0.00,10.925,10.975,,,40.00,0.00,10.925,10.975,,,45.00,0.00,10.925,10.975,,,50.00,0.00,10.925,10.975,,,55.00,0.00,10.925,10.975,,,60.00,0.00,10.925,10.975,,,65.00,0.00,10.925,10.975,,,70.00,0.00,10.925,10.975,,,75.00,0.00,10.925,10.975,,,80.00,0.00,10.925,10.975,,,85.00,0.00,10.925,10.975,,,90.00,0.00,10.925,10.975,,,95.00,0.00,10.925,10.975,,,100.00,0.00,10.925,10.975,,,,,,,
Dung Beetle,238965,0.500000,Transmission,UT,21:05:00 04-Apr-2025,16.7,-2.00,2,,,, ,3,,90.00,0.00,10.875,10.925,,,95.00,0.00,10.875,10.925,,,100.00,0.00,10.875,10.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,238965,0.500000,Transmission,UT,06:07:00 05-Apr-2025,16.7,-2.00,2,,,, ,20,,5.00,0.00,10.925,10.975,,,10.00,0.00,10.925,10.975,,,15.00,0.00,10.925,10.975,,,20.00,0.00,10.925,10.975,,,25.00,0.00,10.925,10.975,,,30.00,0.00,10.925,10.975,,,35.00,0.00,10.925,10.975,,,40.00,0.00,10.925,10.975,,,45.00,0.00,10.825,10.875,,,50.00,0.00,10.775,10.825,,,55.00,0.00,10.725,10.775,,,60.00,0.00,10.725,10.775,,,65.00,0.00,10.725,10.775,,,70.00,0.00,10.725,10.775,,,75.00,0.00,10.725,10.775,,,80.00,0.00,10.725,10.775,,,85.00,0.00,10.725,10.775,,,90.00,0.00,10.725,10.775,,,95.00,0.00,10.725,10.775,,,100.00,1.00,10.725,10.775,,,,,,,
Dung Beetle,238965,0.500000,Transmission,UT,18:00:00 05-Apr-2025,16.7,-2.00,2,,,, ,17,,5.00,0.00,10.625,10.675,,,10.00,0.00,10.625,10.675,,,15.00,0.00,10.625,10.675,,,20.00,0.00,10.625,10.675,,,25.00,0.00,10.625,10.675,,,30.00,0.00,10.625,10.675,,,35.00,0.00,10.625,10.675,,,40.00,0.00,10.625,10.675,,,45.00,0.00,10.575,10.625,,,50.00,0.00,10.475,10.525,,,55.00,0.00,10.325,10.375,,,60.00,0.00,10.175,10.225,,,65.00,0.00,10.075,10.125,,,70.00,0.00,10.075,10.125,,,75.00,0.00,10.075,10.125,,,80.00,0.00,10.075,10.125,,,85.00,0.00,10.075,10.125,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,238965,0.500000,Transmission,UT,06:07:00 06-Apr-2025,16.7,-2.00,1,,,, ,13,,5.00,0.00,10.125,10.175,,,10.00,0.00,10.125,10.175,,,15.00,0.00,10.125,10.175,,,20.00,0.00,10.125,10.175,,,25.00,0.00,10.125,10.175,,,30.00,0.00,10.125,10.175,,,35.00,0.00,10.125,10.175,,,40.00,0.00,10.125,10.175,,,45.00,0.00,10.125,10.175,,,50.00,0.00,10.125,10.175,,,55.00,0.00,10.175,10.225,,,60.00,0.00,10.175,10.225,,,65.00,0.00,10.125,10.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,238965,0.500000,Transmission,UT,04:58:00 07-Apr-2025,16.7,-2.00,2,,,, ,15,,5.00,0.00,10.275,10.325,,,10.00,0.00,10.275,10.325,,,15.00,0.00,10.225,10.275,,,20.00,0.00,10.175,10.225,,,25.00,0.00,10.125,10.175,,,30.00,0.00,10.125,10.175,,,35.00,0.00,10.125,10.175,,,40.00,0.00,10.175,10.225,,,45.00,0.00,10.175,10.225,,,50.00,0.00,10.175,10.225,,,55.00,0.00,10.175,10.225,,,60.00,0.00,10.175,10.225,,,65.00,0.00,10.175,10.225,,,70.00,0.00,10.175,10.225,,,75.00,0.00,10.175,10.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,238965,0.500000,Transmission,UT,05:01:00 08-Apr-2025,166666.7,-2.00,1,,,, ,13,,5.00,0.00,9.925,9.975,,,10.00,0.00,9.925,9.975,,,15.00,0.00,9.925,9.975,,,20.00,0.00,9.925,9.975,,,25.00,0.00,9.875,9.925,,,30.00,0.00,9.875,9.925,,,35.00,0.00,9.875,9.925,,,40.00,0.00,9.875,9.925,,,45.00,0.00,9.975,10.025,,,50.00,0.00,9.975,10.025,,,55.00,0.00,10.025,10.075,,,60.00,0.00,10.025,10.075,,,65.00,0.00,10.025,10.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,238965,0.500000,Transmission,UT,18:21:00 08-Apr-2025,166666.7,-2.00,1,,,, ,6,,5.00,0.00,10.525,10.575,,,10.00,0.00,10.325,10.375,,,15.00,0.00,10.275,10.325,,,20.00,0.00,10.225,10.275,,,25.00,0.00,10.075,10.125,,,30.00,0.00,10.025,10.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
