DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt,S11,ReleaseWetDry,ReleaseTemperature,MaxDepth,LLRangeToday,DeployStart,FirstPostReleaseTX,upright,SWBuild
Dung Beetle,238965,0.500000,UT,,19:41:35 05-Apr-2025,19:41:34 05-Apr-2025,0,2,51.0607,-6.4555,CRC,,,,1714,3.375,,,10.45,3.5,,,,,,,,,,,,,128,22,255,40,,,,,,,218,176,131,0,19,,,,,,11:00:00 31-Mar-2025,,,
Dung Beetle,238965,0.500000,UT,,14:56:05 09-Apr-2025,14:56:03 09-Apr-2025,-1,A,52.1171,-6.6342,CRC,,,,2889,3.475,,,27.45,3.5,,,,,,,,,,,,,255,22,255,40,,,,,,,40,260,179,0,45,,,,,,11:00:00 31-Mar-2025,,,
Dung Beetle,238965,0.500000,UT,,21:44:30 09-Apr-2025,21:44:28 09-Apr-2025,-1,A,52.1162,-6.6347,CRC,,,,2989,3.375,,,10.20,3.0,,,,,,,,,,,,,189,22,255,40,,,,,,,54,268,180,0,21,,,,,,11:00:00 31-Mar-2025,,,
Dung Beetle,238965,0.500000,UT,,19:28:32 15-Apr-2025,19:28:30 15-Apr-2025,-1,1,52.1087,-6.6279,CRC,,,,4489,3.325,,,12.30,4.5,,,,,,,,,,,,,255,22,255,40,,,,,,,254,406,254,0,102,,,,,,11:00:00 31-Mar-2025,,,
Dung Beetle,238965,0.500000,UT,,20:25:47 15-Apr-2025,20:25:45 15-Apr-2025,-1,2,52.1235,-6.6156,CRC,,,,4564,3.350,,,11.70,4.5,,,,,,,,,,,,,255,22,255,40,,,,,,,192,407,254,0,95,,,,,,11:00:00 31-Mar-2025,,,
Dung Beetle,238965,0.500000,UT,,21:24:20 15-Apr-2025,21:24:18 15-Apr-2025,-1,3,52.1175,-6.6337,CRC,,,,4639,3.350,,,10.25,4.5,,,,,,,,,,,,,255,22,255,40,,,,,,,140,408,254,0,101,,,,,,11:00:00 31-Mar-2025,,,
Dung Beetle,238965,0.500000,UT,,06:52:36 19-Apr-2025,06:52:34 19-Apr-2025,-1,2,51.8697,-7.1173,CRC,,,,5764,3.375,,,10.55,3.0,,,,,,,,,,,,,115,22,255,40,,,,,,,60,522,320,0,19,,,,,,11:00:00 31-Mar-2025,,,
Dung Beetle,238965,0.500000,UT,,08:34:20 24-Apr-2025,08:34:18 24-Apr-2025,-1,B,51.7172,-6.6521,CRC,,,,7064,3.325,,,11.10,3.0,,,,,,,,,,,,,165,22,255,39,,,,,,,242,665,407,0,20,,,,,,11:00:00 31-Mar-2025,,,
Dung Beetle,238965,0.500000,UT,,21:40:25 24-Apr-2025,21:40:23 24-Apr-2025,-1,3,51.7648,-6.5298,CRC,,,,7289,3.350,,,10.90,4.0,,,,,,,,,,,,,120,22,255,40,,,,,,,206,681,414,0,16,,,,,,11:00:00 31-Mar-2025,,,
Dung Beetle,238965,0.500000,UT,,23:24:08 24-Apr-2025,23:24:05 24-Apr-2025,-2,B,51.8115,-6.5479,CRC,,,,7339,3.350,,,10.75,3.0,,,,,,,,,,,,,123,22,255,40,,,,,,,188,686,415,0,19,,,,,,11:00:00 31-Mar-2025,,,
Dung Beetle,238965,0.500000,UT,,07:45:00 25-Apr-2025,07:44:57 25-Apr-2025,-2,A,51.8834,-6.5211,CRC,,,,7539,3.350,,,10.90,3.0,,,,,,,,,,,,,109,22,255,40,,,,,,,96,698,423,0,26,,,,,,11:00:00 31-Mar-2025,,,
Dung Beetle,238965,0.500000,UT,,06:33:58 26-Apr-2025,06:33:56 26-Apr-2025,-1,3,52.1234,-6.4732,CRC,,,,7914,3.375,,,10.65,3.0,,,,,,,,,,,,,135,22,255,40,,,,,,,46,731,444,0,19,,,,,,11:00:00 31-Mar-2025,,,
Dung Beetle,238965,0.500000,UT,,23:18:12 30-Apr-2025,23:18:10 30-Apr-2025,-1,2,52.0904,-6.6693,CRC,,,,9364,3.325,,,10.90,3.0,,,,,,,,,,,,,104,21,255,40,,,,,,,124,877,521,0,6,,,,,,11:00:00 31-Mar-2025,,,
