Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,50CI,95CI,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
Dung Beetle,31-Mar-2025,12:03:46,1,-2.000000,,,0,4,50.09160,-5.20200,12:03:46 31-Mar-2025,User,50.09940,-5.44032,,,,,5.6,0.0,,,,15,31,3067,,,,27,31808,,,,28,2805,,,,23,7178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,31-Mar-2025,19:21:52,2,-2.000000,,,0,4,50.06881,-5.39876,19:21:50 31-Mar-2025,Interpolated,50.09293,-5.50262,,,,,8.6,0.3,,,,15,1,14593,,,,28,20059,,,,19,32498,,,,3,13689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,31-Mar-2025,23:29:25,2,-2.000000,,,0,7,50.14609,-5.35959,23:29:23 31-Mar-2025,Interpolated,50.05578,-5.50987,,,,,10.5,0.0,,,,15,13,9568,,,,6,3740,,,,20,31644,,,,9,16334,,,,5,23368,,,,11,3259,,,,30,13562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,01-Apr-2025,03:58:59,1,-2.000000,,,0,8,50.16745,-5.42165,03:58:57 01-Apr-2025,Interpolated,50.02286,-5.61237,,,,,12.4,0.4,,,,15,13,22332,,,,15,3188,,,,17,9525,,,,10,11143,,,,22,15824,,,,14,18825,,,,24,12876,,,,23,14971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,01-Apr-2025,07:38:45,1,-2.000000,,,0,7,50.04811,-5.65250,07:38:43 01-Apr-2025,Interpolated,50.01601,-5.59991,,,,,6.7,0.5,,,,15,28,18807,,,,32,31675,,,,25,15339,,,,31,7484,,,,12,7818,,,,29,29641,,,,11,2444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,01-Apr-2025,10:41:18,1,-2.000000,,,0,4,50.03200,-5.63128,10:41:16 01-Apr-2025,Interpolated,50.00887,-5.55855,,,,,0.8,0.8,,,,15,28,25516,,,,18,31302,,,,29,26632,,,,25,32709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,01-Apr-2025,19:26:24,2,-2.000000,,,0,4,50.07793,-5.72163,19:26:22 01-Apr-2025,Interpolated,50.19120,-5.75462,,,,,1.2,0.4,,,,15,1,26938,,,,3,6113,,,,4,21255,,,,31,29054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,01-Apr-2025,22:00:46,1,-2.000000,,,0,4,50.09142,-5.74822,22:00:44 01-Apr-2025,Interpolated,50.16992,-5.79462,,,,,6.9,0.3,,,,15,4,31582,,,,7,5049,,,,9,6719,,,,6,6188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,02-Apr-2025,19:00:44,2,-2.000000,,,0,5,50.21371,-6.01286,19:00:42 02-Apr-2025,Interpolated,50.20130,-5.96585,,,,,1.4,0.6,,,,15,1,3256,,,,19,29409,,,,17,18036,,,,4,29115,,,,31,26898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,02-Apr-2025,21:14:25,1,-2.000000,,,0,6,50.20051,-6.10816,21:14:23 02-Apr-2025,Interpolated,50.22319,-6.01298,,,,,28.1,-0.6,,,,15,4,1760,,,,3,1154,,,,31,15901,,,,6,2209,,,,20,18482,,,,7,30603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,03-Apr-2025,04:58:00,2,-2.000000,,,0,7,50.35040,-6.13750,04:57:58 03-Apr-2025,Interpolated,50.23815,-6.21310,,,,,9.2,0.7,,,,15,15,29923,,,,24,31112,,,,19,5230,,,,10,575,,,,17,26070,,,,23,28365,,,,32,20826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,03-Apr-2025,06:05:15,1,-2.000000,,,0,4,50.24928,-6.22890,06:05:13 03-Apr-2025,Interpolated,50.25841,-6.22743,,,,,0.4,-0.7,,,,15,12,13085,,,,32,17516,,,,25,27215,,,,10,13436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,03-Apr-2025,09:17:24,1,-2.000000,,,0,4,50.28108,-6.27409,09:17:22 03-Apr-2025,Interpolated,50.27871,-6.23297,,,,,30.0,0.0,,,,15,26,22866,,,,31,6184,,,,16,29106,,,,32,1558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
