DeployID,Ptt,Source,Instr,Start,End,Kind,Type,MinDepth,PercentTime,MinSec,MaxSec,MaxDives,Percent_20,Percent_33,Percent_40,Percent_60,Percent_66,Percent_80,Percent_100
Flea,238966,Transmission,UT,10:00:00 11-Mar-2025,11:00:00 11-Mar-2025,depth,shallow,0.000000,82.7,2958,2994,0,,1.000000,,,1.000000,,1.000000
Flea,238966,Transmission,UT,10:00:00 11-Mar-2025,11:00:00 11-Mar-2025,depth,deep,,0.0,0,0,,,,,,,,
Flea,238966,Transmission,UT,10:00:00 11-Mar-2025,11:00:00 11-Mar-2025,depth,dry,,17.3,605,641,,,,,,,,
Flea,238966,Transmission,UT,11:00:00 11-Mar-2025,12:00:00 11-Mar-2025,depth,shallow,0.000000,89.0,3185,3221,0,,1.000000,,,1.000000,,1.000000
Flea,238966,Transmission,UT,11:00:00 11-Mar-2025,12:00:00 11-Mar-2025,depth,deep,,0.0,0,0,,,,,,,,
Flea,238966,Transmission,UT,11:00:00 11-Mar-2025,12:00:00 11-Mar-2025,depth,dry,,11.0,378,414,,,,,,,,
Flea,238966,Transmission,UT,20:00:00 11-Mar-2025,21:00:00 11-Mar-2025,depth,shallow,,0.0,0,0,,,,,,,,
Flea,238966,Transmission,UT,20:00:00 11-Mar-2025,21:00:00 11-Mar-2025,depth,deep,,0.0,0,0,,,,,,,,
Flea,238966,Transmission,UT,20:00:00 11-Mar-2025,21:00:00 11-Mar-2025,depth,dry,,100.0,3600,3600,,,,,,,,
Flea,238966,Transmission,UT,21:00:00 11-Mar-2025,22:00:00 11-Mar-2025,depth,shallow,,0.0,0,0,,,,,,,,
Flea,238966,Transmission,UT,21:00:00 11-Mar-2025,22:00:00 11-Mar-2025,depth,deep,,0.0,0,0,,,,,,,,
Flea,238966,Transmission,UT,21:00:00 11-Mar-2025,22:00:00 11-Mar-2025,depth,dry,,100.0,3600,3600,,,,,,,,
Flea,238966,Transmission,UT,18:00:00 12-Mar-2025,19:00:00 12-Mar-2025,depth,shallow,0.000000,13.4,464,500,22,,1.000000,,,1.000000,,5.000000
Flea,238966,Transmission,UT,18:00:00 12-Mar-2025,19:00:00 12-Mar-2025,depth,deep,,77.2,2760,2796,22,18.000000,,21.000000,23.000000,,24.000000,26.000000
