DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
Flea,238966,UT,14:35:00 12-Mar-2025,User,,50.0916,-5.2020,,,,,,,,,,
Flea,238966,UT,22:36:34 12-Mar-2025,Argos,A,50.0468,-5.3086,,,,,,,,,,
Flea,238966,UT,22:51:27 12-Mar-2025,Argos,B,50.0468,-5.3086,,,,,,,,,,
Flea,238966,UT,23:05:39 12-Mar-2025,Argos,A,50.0403,-5.3234,231,284,187,12,,,,,,
Flea,238966,UT,00:14:13 13-Mar-2025,Argos,B,50.0393,-5.3222,1141,1754,742,88,,,,,,
Flea,238966,UT,00:27:50 13-Mar-2025,Argos,B,50.0394,-5.3206,1220,1794,828,89,,,,,,
Flea,238966,UT,02:05:36 13-Mar-2025,Argos,B,50.0087,-5.2718,1352,8249,221,55,,,,,,
Flea,238966,UT,06:34:42 13-Mar-2025,Argos,2,49.9942,-5.1634,295,416,209,79,,,,,,
Flea,238966,UT,08:13:45 13-Mar-2025,Argos,B,49.9851,-5.1410,3071,4792,1968,90,,,,,,
Flea,238966,UT,09:53:23 13-Mar-2025,Argos,A,49.9772,-5.3082,614,1072,351,74,,,,,,
Flea,238966,UT,10:29:12 13-Mar-2025,Argos,A,49.9947,-5.3023,2835,56999,141,97,,,,,,
Flea,238966,UT,10:38:28 13-Mar-2025,Argos,A,50.0045,-5.3445,1884,15485,229,95,,,,,,
Flea,238966,UT,10:58:00 13-Mar-2025,Argos,B,50.0046,-5.3446,2308,4811,1106,94,,,,,,
Flea,238966,UT,11:15:48 13-Mar-2025,Argos,A,50.0261,-5.3044,167,639,43,87,,,,,,
Flea,238966,UT,12:06:44 13-Mar-2025,Argos,B,50.0311,-5.3064,1087,1911,618,95,,,,,,
Flea,238966,UT,12:35:29 13-Mar-2025,Argos,B,50.0321,-5.3075,1237,2188,699,92,,,,,,
Flea,238966,UT,12:57:50 13-Mar-2025,Argos,B,50.0338,-5.3100,1343,2274,793,88,,,,,,
Flea,238966,UT,14:02:50 13-Mar-2025,Argos,B,50.0531,-5.3159,1575,3277,756,91,,,,,,
Flea,238966,UT,14:12:08 13-Mar-2025,Argos,B,50.0489,-5.2722,956,4754,192,34,,,,,,
Flea,238966,UT,18:39:08 13-Mar-2025,Argos,B,50.0461,-5.2961,1682,53089,53,78,,,,,,
Flea,238966,UT,19:43:42 13-Mar-2025,Argos,B,50.0316,-5.3700,1150,29168,45,108,,,,,,
Flea,238966,UT,20:11:30 13-Mar-2025,Argos,B,50.0139,-5.3203,521,5368,50,51,,,,,,
Flea,238966,UT,20:19:21 13-Mar-2025,Argos,B,50.0130,-5.3206,608,1224,302,58,,,,,,
Flea,238966,UT,21:05:00 13-Mar-2025,Argos,0,50.0254,-5.2443,1794,22928,140,78,,,,,,
Flea,238966,UT,21:53:41 13-Mar-2025,Argos,B,50.0234,-5.2268,2148,4861,949,81,,,,,,
Flea,238966,UT,21:57:51 13-Mar-2025,Argos,B,50.0216,-5.2342,1900,5199,694,87,,,,,,
Flea,238966,UT,22:10:15 13-Mar-2025,Argos,A,50.0183,-5.2674,128,401,40,96,,,,,,
Flea,238966,UT,22:20:42 13-Mar-2025,Argos,1,50.0166,-5.2632,606,9302,39,79,,,,,,
Flea,238966,UT,22:43:00 13-Mar-2025,Argos,B,50.0018,-5.2649,672,4327,104,96,,,,,,
Flea,238966,UT,23:38:42 13-Mar-2025,Argos,B,49.9898,-5.2309,2426,4291,1371,82,,,,,,
Flea,238966,UT,23:56:41 13-Mar-2025,Argos,B,49.9884,-5.2290,2013,3689,1098,87,,,,,,
Flea,238966,UT,00:02:54 14-Mar-2025,Argos,A,49.9762,-5.2671,173,261,114,58,,,,,,
Flea,238966,UT,01:17:27 14-Mar-2025,Argos,2,49.9649,-5.2290,254,391,164,84,,,,,,
Flea,238966,UT,06:05:38 14-Mar-2025,Argos,B,49.9918,-5.0780,2536,125127,51,89,,,,,,
Flea,238966,UT,07:46:51 14-Mar-2025,Argos,B,49.9848,-5.1892,991,3460,283,4,,,,,,
Flea,238966,UT,09:27:10 14-Mar-2025,Argos,A,49.9850,-5.2659,126,191,83,101,,,,,,
Flea,238966,UT,10:01:34 14-Mar-2025,Argos,2,49.9835,-5.2474,251,1781,35,100,,,,,,
Flea,238966,UT,10:25:47 14-Mar-2025,Argos,B,49.9834,-5.2467,720,1249,415,93,,,,,,
Flea,238966,UT,10:46:36 14-Mar-2025,Argos,B,49.9822,-5.2619,1009,1843,552,89,,,,,,
Flea,238966,UT,10:56:35 14-Mar-2025,Argos,A,50.0073,-5.2788,147,822,26,100,,,,,,
Flea,238966,UT,11:07:47 14-Mar-2025,Argos,B,50.0081,-5.2808,506,897,285,95,,,,,,
Flea,238966,UT,13:16:05 14-Mar-2025,Argos,B,50.0228,-5.3259,1409,3012,659,101,,,,,,
Flea,238966,UT,13:50:07 14-Mar-2025,Argos,B,50.0208,-5.3142,2238,7132,702,98,,,,,,
Flea,238966,UT,14:03:58 14-Mar-2025,Argos,B,50.0221,-5.2722,1624,5214,505,116,,,,,,
Flea,238966,UT,17:42:11 14-Mar-2025,Argos,B,50.0220,-5.3529,2412,3838,1515,102,,,,,,
Flea,238966,UT,18:14:52 14-Mar-2025,Argos,B,50.0241,-5.3299,3458,8811,1356,91,,,,,,
Flea,238966,UT,19:10:24 14-Mar-2025,Argos,B,50.0315,-5.2722,2076,16513,260,144,,,,,,
Flea,238966,UT,19:47:54 14-Mar-2025,Argos,A,50.0783,-5.3146,112,174,71,107,,,,,,
Flea,238966,UT,19:51:13 14-Mar-2025,Argos,B,50.0788,-5.3154,276,429,177,93,,,,,,
Flea,238966,UT,20:22:23 14-Mar-2025,Argos,B,50.0860,-5.3250,580,3801,88,63,,,,,,
Flea,238966,UT,20:57:02 14-Mar-2025,Argos,1,50.0717,-5.3226,516,1229,216,40,,,,,,
