DeployID,Ptt,DepthSensor,Source,Instr,Date,Duration,Time Offset,Count,LocationQuality,Latitude,Longitude,BadTherm,NumBins,Partial,Depth1,Depth1Error,MinTemp1,MaxTemp1,%Ox1,Discont1,Depth2,Depth2Error,MinTemp2,MaxTemp2,%Ox2,Discont2,Depth3,Depth3Error,MinTemp3,MaxTemp3,%Ox3,Discont3,Depth4,Depth4Error,MinTemp4,MaxTemp4,%Ox4,Discont4,Depth5,Depth5Error,MinTemp5,MaxTemp5,%Ox5,Discont5,Depth6,Depth6Error,MinTemp6,MaxTemp6,%Ox6,Discont6,Depth7,Depth7Error,MinTemp7,MaxTemp7,%Ox7,Discont7,Depth8,Depth8Error,MinTemp8,MaxTemp8,%Ox8,Discont8,Depth9,Depth9Error,MinTemp9,MaxTemp9,%Ox9,Discont9,Depth10,Depth10Error,MinTemp10,MaxTemp10,%Ox10,Discont10,Depth11,Depth11Error,MinTemp11,MaxTemp11,%Ox11,Discont11,Depth12,Depth12Error,MinTemp12,MaxTemp12,%Ox12,Discont12,Depth13,Depth13Error,MinTemp13,MaxTemp13,%Ox13,Discont13,Depth14,Depth14Error,MinTemp14,MaxTemp14,%Ox14,Discont14,Depth15,Depth15Error,MinTemp15,MaxTemp15,%Ox15,Discont15,Depth16,Depth16Error,MinTemp16,MaxTemp16,%Ox16,Discont16,Depth17,Depth17Error,MinTemp17,MaxTemp17,%Ox17,Discont17,Depth18,Depth18Error,MinTemp18,MaxTemp18,%Ox18,Discont18,,,,,
Flea,238966,0.500000,Transmission,UT,20:01:00 13-Mar-2025,16.7,0.00,1,,,, ,8,,0.00,0.00,9.975,10.025,,,5.00,0.00,9.975,10.025,,,10.00,0.00,9.975,10.025,,,15.00,0.00,9.975,10.025,,,20.00,0.00,9.975,10.025,,,25.00,0.00,10.025,10.075,,,30.00,0.00,9.975,10.025,,,35.00,0.00,9.975,10.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,19:58:00 14-Mar-2025,1.7,0.00,2,,,, ,4,,0.00,0.00,9.975,10.025,,,5.00,0.00,10.025,10.075,,,10.00,0.00,10.025,10.075,,,15.00,0.00,10.025,10.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,20:00:00 14-Mar-2025,1.7,0.00,1,,,, ,4,,0.00,0.00,9.975,10.025,,,5.00,0.00,9.975,10.025,,,10.00,0.00,9.975,10.025,,,15.00,0.00,9.975,10.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,18:42:00 15-Mar-2025,16.7,0.00,1,,,, ,10,,0.00,0.00,10.025,10.075,,,5.00,0.00,10.025,10.075,,,10.00,0.00,10.025,10.075,,,15.00,0.00,9.975,10.025,,,20.00,0.00,10.025,10.075,,,25.00,0.00,10.025,10.075,,,30.00,0.00,10.025,10.075,,,35.00,0.00,10.025,10.075,,,40.00,0.00,10.025,10.075,,,45.00,0.00,10.025,10.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,19:02:00 15-Mar-2025,1.7,0.00,1,,,, ,10,,0.00,0.00,10.025,10.075,,,5.00,0.00,10.025,10.075,,,10.00,0.00,10.025,10.075,,,15.00,0.00,10.025,10.075,,,20.00,0.00,10.025,10.075,,,25.00,0.00,10.025,10.075,,,30.00,0.00,10.025,10.075,,,35.00,0.00,10.025,10.075,,,40.00,0.00,10.025,10.075,,,45.00,0.00,10.025,10.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,06:02:00 16-Mar-2025,16.7,0.00,1,,,, ,11,,0.00,0.00,9.825,9.875,,,5.00,0.00,9.875,9.925,,,10.00,1.00,9.875,9.925,,,15.00,0.00,9.875,9.925,,,20.00,0.00,9.875,9.925,,,25.00,0.00,9.875,9.925,,,30.00,0.00,9.875,9.925,,,35.00,1.00,9.875,9.925,,,40.00,0.00,9.875,9.925,,,45.00,0.00,9.925,9.975,,,50.00,0.00,9.925,9.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,17:59:00 16-Mar-2025,1.7,0.00,3,,,, ,6,,0.00,0.00,9.875,9.925,,,5.00,0.00,9.875,9.925,,,10.00,0.00,9.875,9.925,,,15.00,0.00,9.875,9.925,,,20.00,0.00,9.875,9.925,,,25.00,0.00,9.875,9.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,10:04:00 23-Mar-2025,16.7,1.00,1,,,, ,17,,0.00,0.00,10.125,10.175,,,5.00,0.00,10.125,10.175,,,10.00,0.00,10.125,10.175,,,15.00,0.00,10.125,10.175,,,20.00,0.00,10.125,10.175,,,25.00,0.00,10.175,10.225,,,30.00,0.00,10.275,10.325,,,35.00,0.00,10.275,10.325,,,40.00,1.00,10.275,10.325,,,45.00,0.00,10.375,10.425,,,50.00,0.00,10.425,10.475,,,55.00,0.00,10.375,10.425,,,60.00,0.00,10.425,10.475,,,65.00,0.00,10.375,10.425,,,70.00,0.00,10.425,10.475,,,75.00,0.00,10.425,10.475,,,80.00,0.00,10.425,10.475,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,11:02:00 23-Mar-2025,16.7,1.00,1,,,, ,17,,0.00,0.00,10.275,10.325,,,5.00,0.00,10.275,10.325,,,10.00,0.00,10.275,10.325,,,15.00,1.00,10.275,10.325,,,20.00,0.00,10.275,10.325,,,25.00,0.00,10.275,10.325,,,30.00,1.00,10.325,10.375,,,35.00,0.00,10.325,10.375,,,40.00,0.00,10.375,10.425,,,45.00,0.00,10.375,10.425,,,50.00,0.00,10.375,10.425,,,55.00,0.00,10.375,10.425,,,60.00,0.00,10.375,10.425,,,65.00,0.00,10.375,10.425,,,70.00,0.00,10.375,10.425,,,75.00,0.00,10.375,10.425,,,80.00,0.00,10.375,10.425,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,21:04:00 23-Mar-2025,1.7,1.00,1,,,, ,14,,0.00,0.00,10.125,10.175,,,5.00,0.00,10.125,10.175,,,10.00,0.00,10.125,10.175,,,15.00,0.00,10.125,10.175,,,20.00,0.00,10.125,10.175,,,25.00,0.00,10.125,10.175,,,30.00,0.00,10.125,10.175,,,35.00,0.00,10.175,10.225,,,40.00,0.00,10.175,10.225,,,45.00,0.00,10.175,10.225,,,50.00,0.00,10.175,10.225,,,55.00,0.00,10.175,10.225,,,60.00,0.00,10.175,10.225,,,65.00,0.00,10.225,10.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,08:04:00 25-Mar-2025,16.7,1.00,1,,,, ,12,,0.00,0.00,10.225,10.275,,,5.00,0.00,10.125,10.175,,,10.00,0.00,10.125,10.175,,,15.00,0.00,10.125,10.175,,,20.00,0.00,10.275,10.325,,,25.00,0.00,10.275,10.325,,,30.00,0.00,10.275,10.325,,,35.00,0.00,10.275,10.325,,,40.00,0.00,10.275,10.325,,,45.00,0.00,10.275,10.325,,,50.00,0.00,10.275,10.325,,,55.00,0.00,10.275,10.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,07:03:00 26-Mar-2025,16.7,1.00,3,,,, ,13,,0.00,0.00,10.425,10.475,,,5.00,0.00,10.275,10.325,,,10.00,0.00,10.275,10.325,,,15.00,0.00,10.225,10.275,,,20.00,0.00,10.225,10.275,,,25.00,0.00,10.225,10.275,,,30.00,0.00,10.275,10.325,,,35.00,0.00,10.275,10.325,,,40.00,0.00,10.275,10.325,,,45.00,0.00,10.275,10.325,,,50.00,0.00,10.275,10.325,,,55.00,0.00,10.275,10.325,,,60.00,0.00,10.275,10.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,08:02:00 26-Mar-2025,16.7,1.00,1,,,, ,12,,0.00,0.00,10.325,10.375,,,5.00,0.00,10.275,10.325,,,10.00,0.00,10.225,10.275,,,15.00,0.00,10.225,10.275,,,20.00,0.00,10.275,10.325,,,25.00,1.00,10.275,10.325,,,30.00,0.00,10.275,10.325,,,35.00,0.00,10.275,10.325,,,40.00,0.00,10.325,10.375,,,45.00,0.00,10.325,10.375,,,50.00,0.00,10.275,10.325,,,55.00,0.00,10.325,10.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,18:00:00 26-Mar-2025,16.7,1.00,2,,,, ,16,,0.00,0.00,11.475,11.525,,,5.00,0.00,10.825,10.875,,,10.00,0.00,10.675,10.725,,,15.00,0.00,10.575,10.625,,,20.00,0.00,10.575,10.625,,,25.00,0.00,10.525,10.575,,,30.00,0.00,10.525,10.575,,,35.00,0.00,10.475,10.525,,,40.00,0.00,10.475,10.525,,,45.00,0.00,10.475,10.525,,,50.00,0.00,10.475,10.525,,,55.00,0.00,10.475,10.525,,,60.00,0.00,10.475,10.525,,,65.00,0.00,10.475,10.525,,,70.00,0.00,10.475,10.525,,,75.00,0.00,10.475,10.525,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,19:01:00 26-Mar-2025,16.7,1.00,2,,,, ,15,,0.00,0.00,11.375,11.425,,,5.00,0.00,10.975,11.025,,,10.00,1.00,10.725,10.775,,,15.00,0.00,10.575,10.625,,,20.00,0.00,10.575,10.625,,,25.00,0.00,10.575,10.625,,,30.00,0.00,10.575,10.625,,,35.00,0.00,10.575,10.625,,,40.00,0.00,10.475,10.525,,,45.00,0.00,10.475,10.525,,,50.00,0.00,10.425,10.475,,,55.00,1.00,10.425,10.475,,,60.00,0.00,10.425,10.475,,,65.00,0.00,10.425,10.475,,,70.00,0.00,10.425,10.475,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,17:28:00 27-Mar-2025,16.7,1.00,1,,,, ,15,,0.00,0.00,10.375,10.425,,,5.00,1.00,10.375,10.425,,,10.00,0.00,10.375,10.425,,,15.00,0.00,10.375,10.425,,,20.00,0.00,10.375,10.425,,,25.00,0.00,10.375,10.425,,,30.00,0.00,10.325,10.375,,,35.00,0.00,10.325,10.375,,,40.00,1.00,10.325,10.375,,,45.00,0.00,10.325,10.375,,,50.00,0.00,10.325,10.375,,,55.00,0.00,10.375,10.425,,,60.00,0.00,10.375,10.425,,,65.00,0.00,10.375,10.425,,,70.00,0.00,10.375,10.425,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,05:01:00 28-Mar-2025,1.7,1.00,1,,,, ,16,,0.00,0.00,10.275,10.325,,,5.00,0.00,10.275,10.325,,,10.00,0.00,10.275,10.325,,,15.00,0.00,10.275,10.325,,,20.00,0.00,10.275,10.325,,,25.00,0.00,10.275,10.325,,,30.00,1.00,10.275,10.325,,,35.00,0.00,10.275,10.325,,,40.00,0.00,10.275,10.325,,,45.00,0.00,10.275,10.325,,,50.00,0.00,10.275,10.325,,,55.00,0.00,10.275,10.325,,,60.00,0.00,10.275,10.325,,,65.00,0.00,10.275,10.325,,,70.00,0.00,10.325,10.375,,,75.00,0.00,10.325,10.375,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,14:00:00 31-Mar-2025,1.7,1.00,1,,,, ,8,,0.00,0.00,11.075,11.125,,,5.00,0.00,10.875,10.925,,,10.00,0.00,10.825,10.875,,,15.00,0.00,10.825,10.875,,,20.00,0.00,10.825,10.875,,,25.00,0.00,10.775,10.825,,,30.00,0.00,10.775,10.825,,,35.00,0.00,10.775,10.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,12:00:00 01-Apr-2025,16.7,1.00,2,,,, ,15,,0.00,0.00,10.475,10.525,,,5.00,0.00,10.475,10.525,,,10.00,0.00,10.475,10.525,,,15.00,0.00,10.475,10.525,,,20.00,0.00,10.475,10.525,,,25.00,0.00,10.425,10.475,,,30.00,0.00,10.425,10.475,,,35.00,0.00,10.425,10.475,,,40.00,0.00,10.425,10.475,,,45.00,0.00,10.425,10.475,,,50.00,1.00,10.425,10.475,,,55.00,0.00,10.425,10.475,,,60.00,0.00,10.425,10.475,,,65.00,0.00,10.425,10.475,,,70.00,0.00,10.425,10.475,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,09:01:00 04-Apr-2025,16.7,1.00,2,,,, ,18,,0.00,0.00,10.825,10.875,,,5.00,0.00,10.825,10.875,,,10.00,0.00,10.825,10.875,,,15.00,0.00,10.775,10.825,,,20.00,1.00,10.775,10.825,,,25.00,0.00,10.775,10.825,,,30.00,0.00,10.775,10.825,,,35.00,0.00,10.775,10.825,,,40.00,0.00,10.775,10.825,,,45.00,0.00,10.775,10.825,,,50.00,0.00,10.775,10.825,,,55.00,1.00,10.775,10.825,,,60.00,0.00,10.775,10.825,,,65.00,0.00,10.775,10.825,,,70.00,0.00,10.775,10.825,,,75.00,0.00,10.775,10.825,,,80.00,0.00,10.775,10.825,,,85.00,0.00,10.775,10.825,,,,,,,
Flea,238966,0.500000,Transmission,UT,08:01:00 05-Apr-2025,16.7,1.00,1,,,, ,17,,0.00,0.00,10.725,10.775,,,5.00,0.00,10.725,10.775,,,10.00,0.00,10.725,10.775,,,15.00,0.00,10.725,10.775,,,20.00,1.00,10.725,10.775,,,25.00,0.00,10.725,10.775,,,30.00,0.00,10.725,10.775,,,35.00,0.00,10.725,10.775,,,40.00,0.00,10.725,10.775,,,45.00,0.00,10.725,10.775,,,50.00,0.00,10.725,10.775,,,55.00,0.00,10.725,10.775,,,60.00,0.00,10.725,10.775,,,65.00,0.00,10.725,10.775,,,70.00,0.00,10.725,10.775,,,75.00,0.00,10.725,10.775,,,80.00,0.00,10.725,10.775,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,08:00:00 06-Apr-2025,16.7,1.00,1,,,, ,17,,0.00,0.00,11.025,11.075,,,5.00,0.00,11.025,11.075,,,10.00,0.00,11.025,11.075,,,15.00,0.00,10.975,11.025,,,20.00,0.00,11.025,11.075,,,25.00,0.00,11.025,11.075,,,30.00,1.00,10.975,11.025,,,35.00,0.00,10.825,10.875,,,40.00,0.00,10.925,10.975,,,45.00,0.00,10.725,10.775,,,50.00,0.00,10.725,10.775,,,55.00,0.00,10.725,10.775,,,60.00,0.00,10.725,10.775,,,65.00,0.00,10.725,10.775,,,70.00,0.00,10.725,10.775,,,75.00,0.00,10.725,10.775,,,80.00,0.00,10.725,10.775,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,06:38:00 07-Apr-2025,16.7,1.00,2,,,, ,16,,0.00,0.00,11.025,11.075,,,5.00,0.00,11.025,11.075,,,10.00,0.00,11.025,11.075,,,15.00,0.00,11.025,11.075,,,20.00,0.00,11.025,11.075,,,25.00,1.00,11.025,11.075,,,30.00,0.00,10.975,11.025,,,35.00,0.00,10.875,10.925,,,40.00,0.00,10.825,10.875,,,45.00,0.00,10.775,10.825,,,50.00,0.00,10.775,10.825,,,55.00,0.00,10.775,10.825,,,60.00,0.00,10.775,10.825,,,65.00,0.00,10.825,10.875,,,70.00,0.00,10.775,10.825,,,75.00,0.00,10.775,10.825,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,18:00:00 07-Apr-2025,16.7,1.00,1,,,, ,1,,85.00,0.00,10.875,10.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,05:03:00 08-Apr-2025,16.7,1.00,2,,,, ,17,,0.00,0.00,11.125,11.175,,,5.00,0.00,11.125,11.175,,,10.00,0.00,11.125,11.175,,,15.00,0.00,11.125,11.175,,,20.00,0.00,11.075,11.125,,,25.00,0.00,11.025,11.075,,,30.00,0.00,11.025,11.075,,,35.00,0.00,11.025,11.075,,,40.00,0.00,10.975,11.025,,,45.00,0.00,10.925,10.975,,,50.00,0.00,10.875,10.925,,,55.00,0.00,10.875,10.925,,,60.00,0.00,10.825,10.875,,,65.00,0.00,10.825,10.875,,,70.00,0.00,10.825,10.875,,,75.00,0.00,10.825,10.875,,,80.00,1.00,10.825,10.875,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,18:00:00 08-Apr-2025,16.7,1.00,1,,,, ,15,,0.00,0.00,10.925,10.975,,,5.00,0.00,10.975,11.025,,,10.00,0.00,10.875,10.925,,,15.00,0.00,10.775,10.825,,,20.00,0.00,10.775,10.825,,,25.00,0.00,10.975,11.025,,,30.00,1.00,10.825,10.875,,,35.00,0.00,10.775,10.825,,,40.00,0.00,10.825,10.875,,,45.00,1.00,10.925,10.975,,,50.00,0.00,10.925,10.975,,,55.00,0.00,10.875,10.925,,,60.00,0.00,10.825,10.875,,,65.00,0.00,10.825,10.875,,,70.00,0.00,10.825,10.875,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,04:36:00 09-Apr-2025,16.7,1.00,1,,,, ,16,,0.00,0.00,11.225,11.275,,,5.00,0.00,11.225,11.275,,,10.00,0.00,11.125,11.175,,,15.00,0.00,11.075,11.125,,,20.00,0.00,11.075,11.125,,,25.00,0.00,11.075,11.125,,,30.00,0.00,11.075,11.125,,,35.00,0.00,11.075,11.125,,,40.00,0.00,11.075,11.125,,,45.00,0.00,11.075,11.125,,,50.00,0.00,11.025,11.075,,,55.00,0.00,10.975,11.025,,,60.00,0.00,10.925,10.975,,,65.00,0.00,10.925,10.975,,,70.00,0.00,10.925,10.975,,,75.00,0.00,10.875,10.925,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,16:02:00 09-Apr-2025,16.7,1.00,2,,,, ,17,,0.00,0.00,11.575,11.625,,,5.00,0.00,11.575,11.625,,,10.00,0.00,11.325,11.375,,,15.00,0.00,11.175,11.225,,,20.00,0.00,11.175,11.225,,,25.00,0.00,11.075,11.125,,,30.00,0.00,11.075,11.125,,,35.00,1.00,11.075,11.125,,,40.00,0.00,11.025,11.075,,,45.00,0.00,10.925,10.975,,,50.00,1.00,10.925,10.975,,,55.00,0.00,10.875,10.925,,,60.00,1.00,10.875,10.925,,,65.00,0.00,10.875,10.925,,,70.00,0.00,10.875,10.925,,,75.00,0.00,10.875,10.925,,,80.00,0.00,10.875,10.925,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,17:00:00 09-Apr-2025,16.7,1.00,3,,,, ,18,,0.00,0.00,11.625,11.675,,,5.00,0.00,11.575,11.625,,,10.00,0.00,11.525,11.575,,,15.00,0.00,11.225,11.275,,,20.00,0.00,11.175,11.225,,,25.00,0.00,11.125,11.175,,,30.00,0.00,11.125,11.175,,,35.00,0.00,11.075,11.125,,,40.00,0.00,11.075,11.125,,,45.00,0.00,10.975,11.025,,,50.00,0.00,10.925,10.975,,,55.00,0.00,10.925,10.975,,,60.00,0.00,10.925,10.975,,,65.00,0.00,10.925,10.975,,,70.00,0.00,10.875,10.925,,,75.00,0.00,10.875,10.925,,,80.00,0.00,10.875,10.925,,,85.00,1.00,10.875,10.925,,,,,,,
Flea,238966,0.500000,Transmission,UT,15:02:00 10-Apr-2025,16.7,1.00,2,,,, ,1,,85.00,0.00,10.975,11.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,16:00:00 10-Apr-2025,1.7,1.00,1,,,, ,5,,0.00,0.00,11.775,11.825,,,5.00,0.00,11.775,11.825,,,10.00,0.00,11.775,11.825,,,15.00,0.00,11.625,11.675,,,20.00,0.00,11.525,11.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,15:02:00 11-Apr-2025,16.7,1.00,2,,,, ,18,,0.00,0.00,11.975,12.025,,,5.00,0.00,11.825,11.875,,,10.00,0.00,11.725,11.775,,,15.00,0.00,11.625,11.675,,,20.00,0.00,11.375,11.425,,,25.00,0.00,11.225,11.275,,,30.00,0.00,11.225,11.275,,,35.00,0.00,11.175,11.225,,,40.00,0.00,11.025,11.075,,,45.00,0.00,10.975,11.025,,,50.00,0.00,10.975,11.025,,,55.00,0.00,10.975,11.025,,,60.00,0.00,10.975,11.025,,,65.00,0.00,10.975,11.025,,,70.00,0.00,10.975,11.025,,,75.00,0.00,10.975,11.025,,,80.00,0.00,10.975,11.025,,,85.00,1.00,10.975,11.025,,,,,,,
Flea,238966,0.500000,Transmission,UT,13:02:00 12-Apr-2025,16.7,1.00,1,,,, ,17,,0.00,0.00,11.875,11.925,,,5.00,0.00,11.825,11.875,,,10.00,0.00,11.825,11.875,,,15.00,1.00,11.625,11.675,,,20.00,0.00,11.125,11.175,,,25.00,0.00,11.075,11.125,,,30.00,1.00,11.075,11.125,,,35.00,0.00,11.075,11.125,,,40.00,0.00,11.075,11.125,,,45.00,0.00,11.025,11.075,,,50.00,0.00,11.025,11.075,,,55.00,0.00,11.025,11.075,,,60.00,0.00,11.025,11.075,,,65.00,0.00,11.025,11.075,,,70.00,0.00,11.025,11.075,,,75.00,0.00,11.025,11.075,,,80.00,0.00,11.025,11.075,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,00:39:00 13-Apr-2025,16.7,1.00,1,,,, ,17,,0.00,0.00,11.825,11.875,,,5.00,1.00,11.825,11.875,,,10.00,0.00,11.825,11.875,,,15.00,0.00,11.375,11.425,,,20.00,0.00,11.075,11.125,,,25.00,0.00,11.075,11.125,,,30.00,0.00,11.075,11.125,,,35.00,0.00,11.075,11.125,,,40.00,0.00,11.075,11.125,,,45.00,0.00,11.075,11.125,,,50.00,0.00,11.075,11.125,,,55.00,0.00,11.075,11.125,,,60.00,0.00,11.075,11.125,,,65.00,0.00,11.075,11.125,,,70.00,0.00,11.075,11.125,,,75.00,0.00,11.075,11.125,,,80.00,0.00,11.075,11.125,,,,,,,,,,,,,
