DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt,S11,ReleaseWetDry,ReleaseTemperature,MaxDepth,LLRangeToday,DeployStart,FirstPostReleaseTX,upright,SWBuild
Flea,238966,0.500000,UT,,01:18:25 14-Mar-2025,01:18:25 14-Mar-2025,0,2,49.9649,-5.2290,CRC,,,,62132,3.325,,,9.65,0.0,,,,,,,,,,,,,86,24,255,40,,,,,,,60,6391,6332,0,27,,,,,,10:00:00 11-Mar-2025,,,
Flea,238966,0.500000,UT,,06:07:33 14-Mar-2025,06:07:33 14-Mar-2025,0,B,49.9918,-5.0780,CRC,,,,62207,3.350,,,9.95,0.0,,,,,,,,,,,,,192,24,255,40,,,,,,,48,6397,6335,0,17,,,,,,10:00:00 11-Mar-2025,,,
Flea,238966,0.500000,UT,,20:55:44 14-Mar-2025,20:55:44 14-Mar-2025,0,1,50.0717,-5.3226,CRC,,,,62407,3.350,,,9.70,0.0,,,,,,,,,,,,,211,24,255,40,,,,,,,56,6419,6343,0,14,,,,,,10:00:00 11-Mar-2025,,,
Flea,238966,0.500000,UT,,23:40:04 14-Mar-2025,23:40:04 14-Mar-2025,0,B,50.0721,-5.3039,CRC,,,,62457,3.325,,,10.00,0.0,,,,,,,,,,,,,91,24,255,40,,,,,,,68,6422,6343,0,31,,,,,,10:00:00 11-Mar-2025,,,
Flea,238966,0.500000,UT,,19:18:08 15-Mar-2025,19:18:08 15-Mar-2025,0,B,49.9947,-5.0831,CRC,,,,62757,3.350,,,10.00,0.0,,,,,,,,,,,,,150,24,255,40,,,,,,,60,6450,6353,0,13,,,,,,10:00:00 11-Mar-2025,,,
Flea,238966,0.500000,UT,,21:48:56 15-Mar-2025,21:48:56 15-Mar-2025,0,3,49.9650,-5.1938,CRC,,,,62807,3.325,,,9.95,0.0,,,,,,,,,,,,,176,24,255,40,,,,,,,62,6453,6354,0,11,,,,,,10:00:00 11-Mar-2025,,,
Flea,238966,0.500000,UT,,00:51:41 19-Mar-2025,00:51:41 19-Mar-2025,0,3,50.0735,-5.3001,CRC,,,,63882,3.350,,,9.80,0.0,,,,,,,,,,,,,121,18,255,40,,,,,,,50,6570,6415,0,25,,,,,,10:00:00 11-Mar-2025,,,
Flea,238966,0.500000,UT,,18:53:14 19-Mar-2025,18:53:14 19-Mar-2025,0,A,50.0215,-5.4354,CRC,,,,64157,3.325,,,10.05,0.0,,,,,,,,,,,,,181,18,255,40,,,,,,,56,6600,6425,0,18,,,,,,10:00:00 11-Mar-2025,,,
Flea,238966,0.500000,UT,,06:59:26 26-Mar-2025,06:59:26 26-Mar-2025,0,B,49.9667,-5.2541,CRC,,,,471,3.400,,,10.40,-0.5,,,,,,,,,,,,,189,21,255,40,,,,,,,40,6857,6595,0,7,,,,,,10:00:00 11-Mar-2025,,,
Flea,238966,0.500000,UT,,09:40:40 30-Mar-2025,09:40:40 30-Mar-2025,0,B,49.9407,-5.1287,CRC,,,,1796,3.350,,,10.45,0.0,,,,,,,,,,,,,205,21,255,40,,,,,,,38,7013,6678,0,25,,,,,,10:00:00 11-Mar-2025,,,
Flea,238966,0.500000,UT,,13:58:36 30-Mar-2025,13:58:37 30-Mar-2025,1,A,49.9540,-5.3362,CRC,,,,1846,3.350,,,10.60,0.0,,,,,,,,,,,,,148,21,255,40,,,,,,,40,7019,6681,0,22,,,,,,10:00:00 11-Mar-2025,,,
Flea,238966,0.500000,UT,,20:49:35 31-Mar-2025,20:49:35 31-Mar-2025,0,2,49.9384,-5.2038,CRC,,,,2296,3.325,,,10.60,-0.5,,,,,,,,,,,,,181,21,255,40,,,,,,,58,7065,6703,0,28,,,,,,10:00:00 11-Mar-2025,,,
Flea,238966,0.500000,UT,,21:21:20 02-Apr-2025,21:21:20 02-Apr-2025,0,1,49.9336,-5.1967,CRC,,,,3021,3.325,,,10.55,-0.5,,,,,,,,,,,,,83,21,255,40,,,,,,,42,7136,6736,0,16,,,,,,10:00:00 11-Mar-2025,,,
Flea,238966,0.500000,UT,,18:59:55 06-Apr-2025,18:59:55 06-Apr-2025,0,B,49.8443,-5.3307,CRC,,,,4246,3.350,,,10.75,-0.5,,,,,,,,,,,,,123,21,255,40,,,,,,,36,7271,6812,0,25,,,,,,10:00:00 11-Mar-2025,,,
Flea,238966,0.500000,UT,,11:04:43 07-Apr-2025,11:04:43 07-Apr-2025,0,B,49.8513,-5.2043,CRC,,,,4446,3.375,,,11.20,-0.5,,,,,,,,,,,,,177,22,255,39,,,,,,,54,7302,6832,0,11,,,,,,10:00:00 11-Mar-2025,,,
Flea,238966,0.500000,UT,,20:26:39 08-Apr-2025,20:26:39 08-Apr-2025,0,B,49.9555,-5.1386,CRC,,,,4946,3.325,,,10.90,-0.5,,,,,,,,,,,,,185,21,255,39,,,,,,,74,7345,6850,0,8,,,,,,10:00:00 11-Mar-2025,,,
Flea,238966,0.500000,UT,,19:31:46 09-Apr-2025,19:31:46 09-Apr-2025,0,1,49.9195,-5.0351,CRC,,,,5296,3.350,,,11.55,-1.0,,,,,,,,,,,,,130,21,255,39,,,,,,,78,7379,6865,0,18,,,,,,10:00:00 11-Mar-2025,,,
Flea,238966,0.500000,UT,,10:37:46 11-Apr-2025,10:37:47 11-Apr-2025,1,B,49.9246,-5.1689,CRC,,,,5821,3.375,,,11.70,-0.5,,,,,,,,,,,,,156,20,255,39,,,,,,,44,7440,6903,0,21,,,,,,10:00:00 11-Mar-2025,,,
Flea,238966,0.500000,UT,,06:17:07 13-Apr-2025,06:17:08 13-Apr-2025,1,A,49.8863,-5.0514,CRC,,,,6421,3.350,,,11.80,-0.5,,,,,,,,,,,,,185,21,255,40,,,,,,,48,7508,6939,0,9,,,,,,10:00:00 11-Mar-2025,,,
Flea,238966,0.500000,UT,,05:39:38 15-Apr-2025,05:39:39 15-Apr-2025,1,B,49.9092,-5.2602,CRC,,,,7046,3.425,,,11.05,-0.5,,,,,,,,,,,,,193,20,255,40,,,,,,,18,7576,6978,0,15,,,,,,10:00:00 11-Mar-2025,,,
Flea,238966,0.500000,UT,,08:51:42 15-Apr-2025,08:51:43 15-Apr-2025,1,1,49.8974,-5.1063,CRC,,,,7071,3.375,,,11.35,-1.0,,,,,,,,,,,,,194,20,255,40,,,,,,,34,7578,6978,0,20,,,,,,10:00:00 11-Mar-2025,,,
Flea,238966,0.500000,UT,,15:25:26 17-Apr-2025,15:25:27 17-Apr-2025,1,B,49.8981,-4.9734,CRC,,,,7896,3.375,,,12.40,-0.5,,,,,,,,,,,,,138,21,255,39,,,,,,,52,7671,7020,0,9,,,,,,10:00:00 11-Mar-2025,,,
Flea,238966,0.500000,UT,,11:35:37 18-Apr-2025,11:35:38 18-Apr-2025,1,1,49.8649,-5.0880,CRC,,,,8246,3.325,,,11.60,-1.0,,,,,,,,,,,,,173,21,255,39,,,,,,,76,7700,7030,0,21,,,,,,10:00:00 11-Mar-2025,,,
Flea,238966,0.500000,UT,,16:54:45 21-Apr-2025,16:54:46 21-Apr-2025,1,0,49.9154,-5.1872,CRC,,,,9271,3.350,,,11.60,-0.5,,,,,,,,,,,,,177,20,255,40,,,,,,,62,7833,7112,0,6,,,,,,10:00:00 11-Mar-2025,,,
Flea,238966,0.500000,UT,,05:18:34 22-Apr-2025,05:18:35 22-Apr-2025,1,A,49.9504,-5.1655,CRC,,,,9421,3.425,,,11.25,-0.5,,,,,,,,,,,,,101,21,255,39,,,,,,,38,7855,7129,0,15,,,,,,10:00:00 11-Mar-2025,,,
Flea,238966,0.500000,UT,,07:34:45 22-Apr-2025,07:34:47 22-Apr-2025,2,B,49.9289,-5.1138,CRC,,,,9446,3.375,,,11.80,-0.5,,,,,,,,,,,,,159,21,255,39,,,,,,,34,7858,7131,0,12,,,,,,10:00:00 11-Mar-2025,,,
Flea,238966,0.500000,UT,,21:37:47 25-Apr-2025,21:37:48 25-Apr-2025,1,1,49.9258,-5.2927,CRC,,,,10596,3.350,,,11.25,-0.5,,,,,,,,,,,,,209,21,255,39,,,,,,,40,7991,7208,0,21,,,,,,10:00:00 11-Mar-2025,,,
