Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,50CI,95CI,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
Flea,12-Mar-2025,14:43:05,1,,,,0,4,50.08802,-5.20573,14:43:05 12-Mar-2025,Interpolated,50.03998,-5.26988,,,,,0.3,-0.0,,,,15,23,25989,,,,18,11877,,,,27,30145,,,,16,1308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,12-Mar-2025,17:10:50,1,,,,0,5,50.06435,-5.24684,17:10:50 12-Mar-2025,Interpolated,50.02255,-5.27383,,,,,1.8,-0.0,,,,15,27,224,,,,32,29550,,,,10,7153,,,,1,11059,,,,3,3792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,12-Mar-2025,20:44:58,1,,,,0,6,50.03049,-5.18893,20:44:58 12-Mar-2025,Interpolated,50.02688,-5.30838,,,,,8.0,0.2,,,,15,3,9613,,,,31,19252,,,,28,24083,,,,1,27115,,,,2,24882,,,,4,5079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,12-Mar-2025,22:00:41,1,,,,0,5,50.04038,-5.30851,22:00:41 12-Mar-2025,Interpolated,50.04187,-5.32654,,,,,5.2,0.2,,,,15,3,6692,,,,9,22622,,,,31,9574,,,,19,23021,,,,1,25322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,12-Mar-2025,23:05:41,1,,,,0,4,50.02715,-5.30077,23:05:41 12-Mar-2025,Interpolated,50.03621,-5.30614,,,,,2.9,0.2,,,,15,20,31130,,,,11,30046,,,,4,16129,,,,6,14576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,13-Mar-2025,04:29:36,2,,,,0,7,50.00691,-5.16841,04:29:36 13-Mar-2025,Interpolated,49.95374,-5.17257,,,,,5.9,-0.0,,,,15,5,17963,,,,22,21572,,,,24,7619,,,,13,23474,,,,23,17058,,,,14,13481,,,,15,17606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,13-Mar-2025,06:36:36,1,,,,0,6,49.99355,-5.16478,06:36:36 13-Mar-2025,Interpolated,49.99203,-5.15359,,,,,9.6,-0.2,,,,15,10,14262,,,,32,14157,,,,23,3061,,,,15,26278,,,,25,10250,,,,12,31057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,13-Mar-2025,07:45:06,1,,,,0,6,49.96875,-5.20935,07:45:06 13-Mar-2025,Interpolated,49.94854,-5.19349,,,,,13.3,-0.8,,,,15,32,23197,,,,25,16082,,,,10,12901,,,,24,2186,,,,12,32714,,,,28,12319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,13-Mar-2025,08:02:47,1,,,,0,5,49.97113,-5.16107,08:02:47 13-Mar-2025,Interpolated,49.94077,-5.20972,,,,,8.3,-0.8,,,,15,32,2978,,,,25,5728,,,,12,730,,,,28,28388,,,,19,27062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,13-Mar-2025,09:00:00,2,,,,0,7,49.99944,-5.17688,09:00:00 13-Mar-2025,Interpolated,49.94326,-5.27026,,,,,9.1,0.2,,,,15,12,21712,,,,24,31034,,,,11,3439,,,,32,17921,,,,29,4198,,,,28,14391,,,,25,7912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
