DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
JP,238968,UT,DS,1,0,1,,,09:47:42 03-Dec-2024,MB,B,50.1038,-5.2069,50.1038,-5.2069,8,,401677706,-131
JP,238968,UT,DS,1,0,0,,,09:52:15 03-Dec-2024,NP,B,50.1178,-5.3232,50.1178,-5.3232,6,,401677756,-126
JP,238968,UT,DS,1,0,0,,,10:02:02 03-Dec-2024,NK,B,50.1156,-5.3239,50.1156,-5.3239,6,,401677759,-131
JP,238968,UT,DS,1,0,0,,,12:00:52 03-Dec-2024,NN,B,50.1110,-5.3321,50.1110,-5.3321,8,,401677739,-128
JP,238968,UT,DS,5,0,1,63,50,12:27:45 03-Dec-2024,MC,1,50.1190,-5.4521,50.1190,-5.4521,56,,401677731,-120
JP,238968,UT,DS,1,0,0,,,12:43:03 03-Dec-2024,O3,B,50.1189,-5.4524,50.1189,-5.4524,6,,401677728,-130
JP,238968,UT,DS,3,0,0,47,45,13:45:03 03-Dec-2024,NN,A,50.1073,-5.4601,50.1073,-5.4601,8,,401677714,-128
JP,238968,UT,DS,1,0,0,,,18:11:27 03-Dec-2024,CS,B,50.0869,-5.4745,50.0869,-5.4745,8,,401677710,-129
JP,238968,UT,DS,1,0,1,,,18:27:16 03-Dec-2024,SR,B,50.0775,-5.4737,50.0775,-5.4737,6,,401677726,-134
JP,238968,UT,DS,4,0,2,176,156,19:46:51 03-Dec-2024,NK,3,50.0233,-5.4280,50.0233,-5.4280,58,,401677704,-127
JP,238968,UT,DS,1,0,1,,,20:38:32 03-Dec-2024,MC,B,50.0058,-5.4197,50.0058,-5.4197,8,,401677720,-122
JP,238968,UT,DS,1,0,1,,,21:25:18 03-Dec-2024,NP,B,49.9904,-5.4113,49.9904,-5.4113,8,,401677725,-133
JP,238968,UT,DS,1,0,1,,,21:43:08 03-Dec-2024,SR,B,49.9991,-5.4147,49.9991,-5.4147,6,,401677722,-134
JP,238968,UT,DS,2,0,1,241,241,21:56:42 03-Dec-2024,NN,B,50.0051,-5.4186,50.0051,-5.4186,6,,401677721,-125
JP,238968,UT,DS,2,0,0,207,207,22:14:13 03-Dec-2024,MC,B,50.0106,-5.3959,50.0106,-5.3959,6,,401677718,-120
JP,238968,UT,DS,1,0,1,,,23:00:49 03-Dec-2024,NP,B,49.9949,-5.3837,49.9949,-5.3837,8,,401677727,-128
JP,238968,UT,DS,1,0,0,,,23:35:15 03-Dec-2024,NN,B,49.9974,-5.3845,49.9974,-5.3845,7,,401677727,-128
JP,238968,UT,DS,2,0,2,183,183,23:49:53 03-Dec-2024,O3,B,50.0012,-5.3860,50.0012,-5.3860,6,,401677727,-129
JP,238968,UT,DS,2,0,1,243,243,01:32:16 04-Dec-2024,O3,B,49.9856,-5.3067,49.9856,-5.3067,8,,401677727,-126
