DeployID,Ptt,Source,Instr,Start,End,Kind,Type,MinDepth,PercentTime,MinSec,MaxSec,MaxDives,Percent_20,Percent_33,Percent_40,Percent_60,Percent_66,Percent_80,Percent_100
JP,238968,Transmission,UT,03:00:00 03-Dec-2024,04:00:00 03-Dec-2024,depth,shallow,,0.0,0,0,,,,,,,,
JP,238968,Transmission,UT,03:00:00 03-Dec-2024,04:00:00 03-Dec-2024,depth,deep,,0.0,0,0,,,,,,,,
JP,238968,Transmission,UT,03:00:00 03-Dec-2024,04:00:00 03-Dec-2024,depth,dry,,100.0,3600,3600,,,,,,,,
JP,238968,Transmission,UT,04:00:00 03-Dec-2024,05:00:00 03-Dec-2024,depth,shallow,,0.0,0,0,,,,,,,,
JP,238968,Transmission,UT,04:00:00 03-Dec-2024,05:00:00 03-Dec-2024,depth,deep,,0.0,0,0,,,,,,,,
JP,238968,Transmission,UT,04:00:00 03-Dec-2024,05:00:00 03-Dec-2024,depth,dry,,100.0,3600,3600,,,,,,,,
JP,238968,Transmission,UT,07:00:00 03-Dec-2024,08:00:00 03-Dec-2024,depth,shallow,0.000000,83.5,2987,3023,0,,1.000000,,,1.000000,,2.000000
JP,238968,Transmission,UT,07:00:00 03-Dec-2024,08:00:00 03-Dec-2024,depth,deep,,0.0,0,0,,,,,,,,
JP,238968,Transmission,UT,07:00:00 03-Dec-2024,08:00:00 03-Dec-2024,depth,dry,,16.5,576,612,,,,,,,,
JP,238968,Transmission,UT,08:00:00 03-Dec-2024,09:00:00 03-Dec-2024,depth,shallow,0.000000,3.9,124,160,0,,1.000000,,,1.000000,,1.000000
JP,238968,Transmission,UT,08:00:00 03-Dec-2024,09:00:00 03-Dec-2024,depth,deep,,0.0,0,0,,,,,,,,
JP,238968,Transmission,UT,08:00:00 03-Dec-2024,09:00:00 03-Dec-2024,depth,dry,,96.1,3442,3478,,,,,,,,
JP,238968,Transmission,UT,09:00:00 03-Dec-2024,10:00:00 03-Dec-2024,depth,shallow,0.000000,37.0,1314,1350,5,,1.000000,,,2.000000,,5.000000
JP,238968,Transmission,UT,09:00:00 03-Dec-2024,10:00:00 03-Dec-2024,depth,deep,,7.9,265,301,5,7.000000,,8.000000,9.000000,,9.000000,10.000000
JP,238968,Transmission,UT,09:00:00 03-Dec-2024,10:00:00 03-Dec-2024,depth,dry,,55.1,1966,2002,,,,,,,,
JP,238968,Transmission,UT,10:00:00 03-Dec-2024,11:00:00 03-Dec-2024,depth,shallow,0.000000,63.8,2278,2314,7,,1.000000,,,1.000000,,5.000000
JP,238968,Transmission,UT,10:00:00 03-Dec-2024,11:00:00 03-Dec-2024,depth,deep,,2.4,67,103,7,6.000000,,7.000000,8.000000,,9.000000,11.000000
JP,238968,Transmission,UT,10:00:00 03-Dec-2024,11:00:00 03-Dec-2024,depth,dry,,33.8,1199,1235,,,,,,,,
JP,238968,Transmission,UT,15:00:00 03-Dec-2024,16:00:00 03-Dec-2024,depth,shallow,0.000000,19.7,691,727,26,,1.000000,,,2.000000,,5.000000
JP,238968,Transmission,UT,15:00:00 03-Dec-2024,16:00:00 03-Dec-2024,depth,deep,,74.0,2647,2683,26,13.000000,,15.000000,18.000000,,22.000000,30.000000
JP,238968,Transmission,UT,15:00:00 03-Dec-2024,16:00:00 03-Dec-2024,depth,dry,,6.3,209,245,,,,,,,,
JP,238968,Transmission,UT,16:00:00 03-Dec-2024,17:00:00 03-Dec-2024,depth,shallow,0.000000,15.7,549,585,17,,1.000000,,,1.000000,,5.000000
JP,238968,Transmission,UT,16:00:00 03-Dec-2024,17:00:00 03-Dec-2024,depth,deep,,81.1,2902,2938,17,15.000000,,19.000000,21.000000,,27.000000,37.000000
JP,238968,Transmission,UT,16:00:00 03-Dec-2024,17:00:00 03-Dec-2024,depth,dry,,3.2,97,133,,,,,,,,
JP,238968,Transmission,UT,17:00:00 03-Dec-2024,18:00:00 03-Dec-2024,depth,shallow,0.000000,27.6,974,1010,19,,1.000000,,,1.000000,,5.000000
JP,238968,Transmission,UT,17:00:00 03-Dec-2024,18:00:00 03-Dec-2024,depth,deep,,68.5,2448,2484,19,17.000000,,27.000000,33.000000,,36.000000,38.000000
JP,238968,Transmission,UT,17:00:00 03-Dec-2024,18:00:00 03-Dec-2024,depth,dry,,3.9,122,158,,,,,,,,
JP,238968,Transmission,UT,18:00:00 03-Dec-2024,19:00:00 03-Dec-2024,depth,shallow,0.000000,26.8,946,982,24,,1.000000,,,2.000000,,5.000000
JP,238968,Transmission,UT,18:00:00 03-Dec-2024,19:00:00 03-Dec-2024,depth,deep,,66.1,2363,2399,24,14.000000,,21.000000,29.000000,,33.000000,38.000000
JP,238968,Transmission,UT,18:00:00 03-Dec-2024,19:00:00 03-Dec-2024,depth,dry,,7.1,238,274,,,,,,,,
JP,238968,Transmission,UT,23:00:00 03-Dec-2024,00:00:00 04-Dec-2024,depth,shallow,0.000000,77.2,2760,2796,9,,1.000000,,,1.000000,,5.000000
JP,238968,Transmission,UT,23:00:00 03-Dec-2024,00:00:00 04-Dec-2024,depth,deep,,11.8,407,443,9,8.000000,,11.000000,13.000000,,15.000000,48.000000
JP,238968,Transmission,UT,23:00:00 03-Dec-2024,00:00:00 04-Dec-2024,depth,dry,,11.0,378,414,,,,,,,,
JP,238968,Transmission,UT,00:00:00 04-Dec-2024,01:00:00 04-Dec-2024,depth,shallow,0.000000,10.2,351,387,15,,1.000000,,,2.000000,,5.000000
JP,238968,Transmission,UT,00:00:00 04-Dec-2024,01:00:00 04-Dec-2024,depth,deep,,80.3,2873,2909,15,16.000000,,22.000000,26.000000,,32.000000,45.000000
JP,238968,Transmission,UT,00:00:00 04-Dec-2024,01:00:00 04-Dec-2024,depth,dry,,9.5,324,360,,,,,,,,
JP,238968,Transmission,UT,01:00:00 04-Dec-2024,02:00:00 04-Dec-2024,depth,shallow,0.000000,7.9,265,301,17,,1.000000,,,3.000000,,5.000000
JP,238968,Transmission,UT,01:00:00 04-Dec-2024,02:00:00 04-Dec-2024,depth,deep,,78.7,2817,2853,17,18.000000,,25.000000,31.000000,,35.000000,42.000000
JP,238968,Transmission,UT,01:00:00 04-Dec-2024,02:00:00 04-Dec-2024,depth,dry,,13.4,464,500,,,,,,,,
JP,238968,Transmission,UT,02:00:00 04-Dec-2024,03:00:00 04-Dec-2024,depth,shallow,0.000000,10.2,351,387,17,,1.000000,,,2.000000,,5.000000
JP,238968,Transmission,UT,02:00:00 04-Dec-2024,03:00:00 04-Dec-2024,depth,deep,,77.2,2760,2796,17,15.000000,,23.000000,28.000000,,31.000000,39.000000
JP,238968,Transmission,UT,02:00:00 04-Dec-2024,03:00:00 04-Dec-2024,depth,dry,,12.6,436,472,,,,,,,,
JP,238968,Transmission,UT,03:00:00 04-Dec-2024,04:00:00 04-Dec-2024,depth,shallow,0.000000,15.7,549,585,21,,1.000000,,,1.000000,,5.000000
JP,238968,Transmission,UT,03:00:00 04-Dec-2024,04:00:00 04-Dec-2024,depth,deep,,78.0,2788,2824,21,12.000000,,16.000000,21.000000,,28.000000,33.000000
JP,238968,Transmission,UT,03:00:00 04-Dec-2024,04:00:00 04-Dec-2024,depth,dry,,6.3,209,245,,,,,,,,
JP,238968,Transmission,UT,04:00:00 04-Dec-2024,05:00:00 04-Dec-2024,depth,shallow,0.000000,7.1,237,273,19,,1.000000,,,3.000000,,5.000000
JP,238968,Transmission,UT,04:00:00 04-Dec-2024,05:00:00 04-Dec-2024,depth,deep,,81.9,2930,2966,19,18.000000,,23.000000,26.000000,,30.000000,39.000000
JP,238968,Transmission,UT,04:00:00 04-Dec-2024,05:00:00 04-Dec-2024,depth,dry,,11.0,378,414,,,,,,,,
JP,238968,Transmission,UT,05:00:00 04-Dec-2024,06:00:00 04-Dec-2024,depth,shallow,0.000000,7.9,265,301,15,,1.000000,,,2.000000,,5.000000
JP,238968,Transmission,UT,05:00:00 04-Dec-2024,06:00:00 04-Dec-2024,depth,deep,,83.5,2987,3023,15,17.000000,,24.000000,29.000000,,35.000000,39.000000
JP,238968,Transmission,UT,05:00:00 04-Dec-2024,06:00:00 04-Dec-2024,depth,dry,,8.6,292,328,,,,,,,,
JP,238968,Transmission,UT,06:00:00 04-Dec-2024,07:00:00 04-Dec-2024,depth,shallow,0.000000,14.2,492,528,20,,1.000000,,,1.000000,,5.000000
JP,238968,Transmission,UT,06:00:00 04-Dec-2024,07:00:00 04-Dec-2024,depth,deep,,78.7,2817,2853,20,15.000000,,20.000000,27.000000,,34.000000,52.000000
JP,238968,Transmission,UT,06:00:00 04-Dec-2024,07:00:00 04-Dec-2024,depth,dry,,7.1,238,274,,,,,,,,
JP,238968,Transmission,UT,07:00:00 04-Dec-2024,08:00:00 04-Dec-2024,depth,shallow,0.000000,11.0,379,415,14,,1.000000,,,1.000000,,5.000000
JP,238968,Transmission,UT,07:00:00 04-Dec-2024,08:00:00 04-Dec-2024,depth,deep,,78.0,2788,2824,14,25.000000,,35.000000,43.000000,,51.000000,74.000000
JP,238968,Transmission,UT,07:00:00 04-Dec-2024,08:00:00 04-Dec-2024,depth,dry,,11.0,378,414,,,,,,,,
JP,238968,Transmission,UT,08:00:00 04-Dec-2024,09:00:00 04-Dec-2024,depth,shallow,0.000000,9.4,322,358,15,,1.000000,,,1.000000,,5.000000
JP,238968,Transmission,UT,08:00:00 04-Dec-2024,09:00:00 04-Dec-2024,depth,deep,,78.7,2817,2853,15,25.000000,,37.000000,45.000000,,59.000000,71.000000
JP,238968,Transmission,UT,08:00:00 04-Dec-2024,09:00:00 04-Dec-2024,depth,dry,,11.9,410,446,,,,,,,,
JP,238968,Transmission,UT,11:00:00 04-Dec-2024,12:00:00 04-Dec-2024,depth,shallow,0.000000,53.5,1910,1946,26,,1.000000,,,2.000000,,5.000000
JP,238968,Transmission,UT,11:00:00 04-Dec-2024,12:00:00 04-Dec-2024,depth,deep,,27.6,974,1010,26,8.000000,,9.000000,12.000000,,14.000000,20.000000
JP,238968,Transmission,UT,11:00:00 04-Dec-2024,12:00:00 04-Dec-2024,depth,dry,,18.9,662,698,,,,,,,,
JP,238968,Transmission,UT,12:00:00 04-Dec-2024,13:00:00 04-Dec-2024,depth,shallow,0.000000,43.3,1541,1577,31,,1.000000,,,1.000000,,5.000000
JP,238968,Transmission,UT,12:00:00 04-Dec-2024,13:00:00 04-Dec-2024,depth,deep,,38.6,1371,1407,31,8.000000,,9.000000,10.000000,,11.000000,16.000000
JP,238968,Transmission,UT,12:00:00 04-Dec-2024,13:00:00 04-Dec-2024,depth,dry,,18.1,634,670,,,,,,,,
JP,238968,Transmission,UT,15:00:00 04-Dec-2024,16:00:00 04-Dec-2024,depth,shallow,0.000000,66.9,2391,2427,0,,1.000000,,,1.000000,,3.000000
JP,238968,Transmission,UT,15:00:00 04-Dec-2024,16:00:00 04-Dec-2024,depth,deep,,0.0,0,0,,,,,,,,
JP,238968,Transmission,UT,15:00:00 04-Dec-2024,16:00:00 04-Dec-2024,depth,dry,,33.1,1174,1210,,,,,,,,
JP,238968,Transmission,UT,16:00:00 04-Dec-2024,17:00:00 04-Dec-2024,depth,shallow,0.000000,25.2,889,925,19,,1.000000,,,1.000000,,5.000000
JP,238968,Transmission,UT,16:00:00 04-Dec-2024,17:00:00 04-Dec-2024,depth,deep,,40.2,1428,1464,19,11.000000,,16.000000,24.000000,,29.000000,34.000000
JP,238968,Transmission,UT,16:00:00 04-Dec-2024,17:00:00 04-Dec-2024,depth,dry,,34.6,1228,1264,,,,,,,,
JP,238968,Transmission,UT,21:00:00 04-Dec-2024,22:00:00 04-Dec-2024,depth,shallow,0.000000,70.9,2533,2569,5,,1.000000,,,1.000000,,5.000000
JP,238968,Transmission,UT,21:00:00 04-Dec-2024,22:00:00 04-Dec-2024,depth,deep,,26.0,917,953,5,10.000000,,13.000000,16.000000,,29.000000,58.000000
JP,238968,Transmission,UT,21:00:00 04-Dec-2024,22:00:00 04-Dec-2024,depth,dry,,3.1,94,130,,,,,,,,
