DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
JP,238968,UT,09:00:00 03-Dec-2024,User,,50.1121,-5.4422,,,,,,,,,,
JP,238968,UT,09:47:42 03-Dec-2024,Argos,B,50.1038,-5.2069,2677,6435,1113,96,,,,,,
JP,238968,UT,09:52:15 03-Dec-2024,Argos,B,50.1178,-5.3232,2202,3819,1269,95,,,,,,
JP,238968,UT,10:02:02 03-Dec-2024,Argos,B,50.1156,-5.3239,2172,4049,1165,96,,,,,,
JP,238968,UT,12:00:52 03-Dec-2024,Argos,B,50.1110,-5.3321,2592,4688,1432,95,,,,,,
JP,238968,UT,12:27:45 03-Dec-2024,Argos,1,50.1190,-5.4521,644,1643,252,45,,,,,,
JP,238968,UT,12:43:03 03-Dec-2024,Argos,B,50.1189,-5.4524,1095,1610,744,78,,,,,,
JP,238968,UT,13:45:03 03-Dec-2024,Argos,A,50.1073,-5.4601,4085,8507,1961,171,,,,,,
JP,238968,UT,18:11:27 03-Dec-2024,Argos,B,50.0869,-5.4745,10089,19768,5148,81,,,,,,
JP,238968,UT,18:27:16 03-Dec-2024,Argos,B,50.0775,-5.4737,7204,17303,2999,83,,,,,,
JP,238968,UT,19:46:51 03-Dec-2024,Argos,3,50.0233,-5.4280,239,467,122,82,,,,,,
JP,238968,UT,20:38:32 03-Dec-2024,Argos,B,50.0058,-5.4197,1450,2251,933,85,,,,,,
JP,238968,UT,21:25:18 03-Dec-2024,Argos,B,49.9904,-5.4113,1432,2151,953,85,,,,,,
JP,238968,UT,21:43:08 03-Dec-2024,Argos,B,49.9991,-5.4147,1558,2207,1099,101,,,,,,
JP,238968,UT,21:56:42 03-Dec-2024,Argos,B,50.0051,-5.4186,1056,39960,27,77,,,,,,
JP,238968,UT,22:14:13 03-Dec-2024,Argos,B,50.0106,-5.3959,455,3005,68,120,,,,,,
JP,238968,UT,23:00:49 03-Dec-2024,Argos,B,49.9949,-5.3837,1079,1962,593,102,,,,,,
JP,238968,UT,23:35:15 03-Dec-2024,Argos,B,49.9974,-5.3845,1469,2319,929,107,,,,,,
JP,238968,UT,23:49:53 03-Dec-2024,Argos,B,50.0012,-5.3860,952,12228,74,72,,,,,,
JP,238968,UT,01:32:16 04-Dec-2024,Argos,B,49.9856,-5.3067,940,4895,180,169,,,,,,
JP,238968,UT,04:09:00 04-Dec-2024,Argos,B,49.9517,-5.2447,1955,2261,1690,109,,,,,,
JP,238968,UT,05:10:42 04-Dec-2024,Argos,B,49.9236,-5.1612,2047,47907,87,13,,,,,,
JP,238968,UT,05:45:22 04-Dec-2024,Argos,A,49.9967,-5.1074,751,6936,81,86,,,,,,
JP,238968,UT,06:11:28 04-Dec-2024,Argos,A,50.0004,-5.0743,872,9435,80,95,,,,,,
JP,238968,UT,06:46:29 04-Dec-2024,Argos,B,50.0130,-5.0395,803,1649,390,86,,,,,,
JP,238968,UT,07:25:52 04-Dec-2024,Argos,1,50.0218,-5.0350,597,674,528,119,,,,,,
JP,238968,UT,07:53:22 04-Dec-2024,Argos,A,50.0366,-5.0153,784,1953,314,172,,,,,,
JP,238968,UT,07:59:37 04-Dec-2024,Argos,A,50.0367,-5.0096,301,1433,63,110,,,,,,
JP,238968,UT,09:27:40 04-Dec-2024,Argos,B,50.0726,-4.9367,1252,2176,720,87,,,,,,
JP,238968,UT,09:38:24 04-Dec-2024,Argos,2,50.0873,-5.0001,259,474,141,95,,,,,,
JP,238968,UT,09:38:24 04-Dec-2024,Argos,B,50.0594,-4.9775,1885,4705,754,71,,,,,,
JP,238968,UT,10:34:46 04-Dec-2024,Argos,B,50.1084,-4.9509,1786,2746,1161,91,,,,,,
JP,238968,UT,11:19:49 04-Dec-2024,Argos,A,50.1144,-5.0339,3880,83869,179,98,,,,,,
JP,238968,UT,12:04:18 04-Dec-2024,Argos,A,50.0935,-5.0798,805,4283,151,95,,,,,,
JP,238968,UT,12:57:12 04-Dec-2024,Argos,B,50.0997,-5.0831,722,1837,284,162,,,,,,
JP,238968,UT,13:30:23 04-Dec-2024,Argos,A,50.0718,-5.0388,345,418,284,57,,,,,,
JP,238968,UT,13:32:18 04-Dec-2024,Argos,B,50.0631,-5.0473,615,1496,253,116,,,,,,
JP,238968,UT,17:32:32 04-Dec-2024,Argos,A,50.0322,-5.0541,231,782,68,93,,,,,,
JP,238968,UT,17:40:34 04-Dec-2024,Argos,B,50.0309,-5.0526,402,661,243,90,,,,,,
JP,238968,UT,17:54:43 04-Dec-2024,Argos,B,50.0318,-5.0530,649,1048,401,91,,,,,,
JP,238968,UT,19:21:19 04-Dec-2024,Argos,B,50.0236,-5.0679,898,6350,127,3,,,,,,
JP,238968,UT,19:33:27 04-Dec-2024,Argos,B,50.0174,-5.0348,1463,2402,891,87,,,,,,
JP,238968,UT,19:41:56 04-Dec-2024,Argos,B,50.0229,-5.0407,1242,87196,17,98,,,,,,
JP,238968,UT,20:19:29 04-Dec-2024,Argos,B,50.0193,-5.0439,1307,3895,438,96,,,,,,
JP,238968,UT,20:54:47 04-Dec-2024,Argos,B,50.0161,-5.0429,1543,3782,629,96,,,,,,
JP,238968,UT,21:03:16 04-Dec-2024,Argos,A,50.0154,-5.0479,5913,334553,104,78,,,,,,
JP,238968,UT,21:07:43 04-Dec-2024,Argos,B,50.0160,-5.0441,1504,3454,654,98,,,,,,
JP,238968,UT,21:58:54 04-Dec-2024,Argos,B,50.0079,-5.0407,6077,13049,2829,105,,,,,,
JP,238968,UT,22:47:58 04-Dec-2024,Argos,B,50.0049,-5.0392,6217,10911,3542,107,,,,,,
JP,238968,UT,23:06:19 04-Dec-2024,Argos,B,50.0154,-5.0560,1245,33240,46,52,,,,,,
JP,238968,UT,23:26:46 04-Dec-2024,Argos,B,50.0158,-5.0561,1368,4174,448,55,,,,,,
JP,238968,UT,23:40:30 04-Dec-2024,Argos,B,50.0149,-5.0543,1461,3513,607,57,,,,,,
JP,238968,UT,00:45:19 05-Dec-2024,Argos,B,49.9789,-5.0741,929,16747,51,115,,,,,,
JP,238968,UT,05:12:42 05-Dec-2024,Argos,2,50.0002,-5.1576,250,1738,36,76,,,,,,
JP,238968,UT,05:32:34 05-Dec-2024,Argos,B,49.9963,-5.1594,763,1320,440,87,,,,,,
JP,238968,UT,06:16:07 05-Dec-2024,Argos,B,49.9933,-5.1632,788,49658,12,82,,,,,,
JP,238968,UT,06:54:37 05-Dec-2024,Argos,B,49.9893,-5.1621,1112,2821,438,86,,,,,,
JP,238968,UT,07:09:20 05-Dec-2024,Argos,A,50.0020,-5.1653,114,202,63,96,,,,,,
JP,238968,UT,07:33:40 05-Dec-2024,Argos,B,49.9988,-5.1685,681,1067,434,91,,,,,,
JP,238968,UT,08:48:48 05-Dec-2024,Argos,B,49.9719,-5.1641,1338,2816,635,78,,,,,,
JP,238968,UT,10:09:19 05-Dec-2024,Argos,B,50.0043,-5.1267,2257,88471,57,101,,,,,,
JP,238968,UT,11:00:31 05-Dec-2024,Argos,A,49.9691,-5.1386,346,1339,89,83,,,,,,
JP,238968,UT,11:35:34 05-Dec-2024,Argos,A,49.9725,-5.1269,720,1579,328,69,,,,,,
JP,238968,UT,11:48:51 05-Dec-2024,Argos,B,49.9697,-5.1268,1199,2064,696,80,,,,,,
JP,238968,UT,12:43:14 05-Dec-2024,Argos,B,49.9643,-5.1522,982,4480,215,13,,,,,,
JP,238968,UT,13:15:39 05-Dec-2024,Argos,A,49.9411,-5.1434,584,4214,80,76,,,,,,
JP,238968,UT,13:26:06 05-Dec-2024,Argos,B,49.9411,-5.1434,1102,2600,467,80,,,,,,
JP,238968,UT,14:57:37 05-Dec-2024,Argos,B,49.9117,-5.1880,3246,4785,2202,88,,,,,,
JP,238968,UT,15:17:09 05-Dec-2024,Argos,B,49.9166,-5.1886,5555,8194,3766,88,,,,,,
JP,238968,UT,16:50:56 05-Dec-2024,Argos,A,50.0103,-5.3098,5968,63222,563,70,,,,,,
JP,238968,UT,18:30:32 05-Dec-2024,Argos,A,50.0299,-5.3018,893,2654,300,63,,,,,,
JP,238968,UT,18:49:32 05-Dec-2024,Argos,B,50.0299,-5.3016,645,1028,404,84,,,,,,
JP,238968,UT,18:57:21 05-Dec-2024,Argos,A,50.0495,-5.2909,467,3462,63,102,,,,,,
JP,238968,UT,19:11:35 05-Dec-2024,Argos,B,50.0458,-5.2901,571,14165,23,85,,,,,,
JP,238968,UT,20:32:47 05-Dec-2024,Argos,B,50.0578,-5.3112,1330,2583,684,87,,,,,,
JP,238968,UT,20:38:14 05-Dec-2024,Argos,B,50.0626,-5.3147,1379,2572,739,98,,,,,,
JP,238968,UT,20:52:44 05-Dec-2024,Argos,2,50.0553,-5.2878,313,3280,29,84,,,,,,
JP,238968,UT,21:36:44 05-Dec-2024,Argos,B,50.0555,-5.2817,736,6841,79,80,,,,,,
JP,238968,UT,22:35:34 05-Dec-2024,Argos,B,50.0618,-5.2991,1269,2961,543,82,,,,,,
JP,238968,UT,23:13:31 05-Dec-2024,Argos,B,50.0606,-5.2963,1548,3133,765,85,,,,,,
JP,238968,UT,23:20:36 05-Dec-2024,Argos,B,50.0706,-5.3050,1799,3445,938,95,,,,,,
JP,238968,UT,00:51:45 06-Dec-2024,Argos,B,50.0739,-5.2842,1486,2571,858,22,,,,,,
JP,238968,UT,04:37:52 06-Dec-2024,Argos,B,50.0996,-5.3057,2547,3130,2072,79,,,,,,
JP,238968,UT,05:47:06 06-Dec-2024,Argos,B,50.0867,-5.2971,1895,228623,15,83,,,,,,
JP,238968,UT,06:21:39 06-Dec-2024,Argos,B,50.0870,-5.3022,2009,11775,342,85,,,,,,
JP,238968,UT,07:07:00 06-Dec-2024,Argos,B,50.0850,-5.3184,1612,22363,116,94,,,,,,
JP,238968,UT,07:22:29 06-Dec-2024,Argos,B,50.0811,-5.3187,1752,7340,418,94,,,,,,
JP,238968,UT,08:06:54 06-Dec-2024,Argos,B,50.0713,-5.2824,1168,9033,151,54,,,,,,
JP,238968,UT,10:21:01 06-Dec-2024,Argos,B,50.0645,-5.2682,2346,3547,1551,77,,,,,,
JP,238968,UT,10:50:09 06-Dec-2024,Argos,1,50.0620,-5.2862,690,5098,93,102,,,,,,
JP,238968,UT,11:23:31 06-Dec-2024,Argos,B,50.0579,-5.2909,1962,15054,255,131,,,,,,
JP,238968,UT,11:23:31 06-Dec-2024,Argos,A,50.0612,-5.2766,124,370,41,93,,,,,,
JP,238968,UT,12:29:15 06-Dec-2024,Argos,A,50.0649,-5.2965,1507,6918,328,76,,,,,,
JP,238968,UT,13:06:27 06-Dec-2024,Argos,B,50.0617,-5.2950,732,1212,441,57,,,,,,
JP,238968,UT,13:07:04 06-Dec-2024,Argos,B,50.0637,-5.2905,566,1075,298,8,,,,,,
JP,238968,UT,16:10:48 06-Dec-2024,Argos,B,50.0585,-5.2825,1315,22166,78,117,,,,,,
JP,238968,UT,17:46:19 06-Dec-2024,Argos,B,50.0672,-5.3031,1676,3298,851,105,,,,,,
JP,238968,UT,18:30:28 06-Dec-2024,Argos,B,50.0710,-5.3112,1418,34316,58,106,,,,,,
JP,238968,UT,20:04:49 06-Dec-2024,Argos,B,50.0912,-5.3363,1488,46678,47,95,,,,,,
JP,238968,UT,20:42:23 06-Dec-2024,Argos,B,50.0973,-5.3483,1570,7004,351,92,,,,,,
JP,238968,UT,21:09:25 06-Dec-2024,Argos,B,50.1035,-5.4034,990,1701,576,77,,,,,,
JP,238968,UT,21:42:58 06-Dec-2024,Argos,B,50.1044,-5.4168,1333,2093,848,83,,,,,,
JP,238968,UT,22:27:37 06-Dec-2024,Argos,B,50.0992,-5.4221,1557,2378,1019,98,,,,,,
JP,238968,UT,22:58:05 06-Dec-2024,Argos,B,50.1034,-5.4373,1666,2737,1013,98,,,,,,
JP,238968,UT,00:39:55 07-Dec-2024,Argos,B,50.1143,-5.4643,2152,3629,1275,95,,,,,,
JP,238968,UT,05:21:48 07-Dec-2024,Argos,B,50.1175,-5.4667,2516,3507,1805,51,,,,,,
JP,238968,UT,05:49:34 07-Dec-2024,Argos,B,50.1146,-5.4630,1874,4527,775,99,,,,,,
JP,238968,UT,06:52:41 07-Dec-2024,Argos,B,50.1217,-5.4701,1600,59364,43,124,,,,,,
JP,238968,UT,07:29:56 07-Dec-2024,Argos,B,50.1274,-5.4811,1160,2782,483,108,,,,,,
JP,238968,UT,08:22:10 07-Dec-2024,Argos,B,50.1334,-5.4931,1539,2987,793,103,,,,,,
JP,238968,UT,10:35:31 07-Dec-2024,Argos,B,50.1472,-5.5244,2277,4018,1290,99,,,,,,
JP,238968,UT,11:08:52 07-Dec-2024,Argos,B,50.1296,-5.5040,2408,6144,943,96,,,,,,
JP,238968,UT,11:14:47 07-Dec-2024,Argos,A,50.1222,-5.4673,156,843,28,88,,,,,,
JP,238968,UT,11:51:08 07-Dec-2024,Argos,B,50.1225,-5.4734,836,1364,511,89,,,,,,
JP,238968,UT,12:16:59 07-Dec-2024,Argos,B,50.1048,-5.4587,776,7398,81,77,,,,,,
JP,238968,UT,12:41:49 07-Dec-2024,Argos,A,50.1194,-5.4247,716,5865,87,88,,,,,,
JP,238968,UT,12:51:36 07-Dec-2024,Argos,B,50.1191,-5.4414,431,1260,147,162,,,,,,
JP,238968,UT,15:29:09 07-Dec-2024,Argos,B,50.1116,-5.4257,957,3999,228,146,,,,,,
JP,238968,UT,17:06:49 07-Dec-2024,Argos,A,50.0992,-5.4095,308,1084,87,56,,,,,,
JP,238968,UT,17:55:35 07-Dec-2024,Argos,B,50.1025,-5.4078,949,1723,523,86,,,,,,
JP,238968,UT,18:15:17 07-Dec-2024,Argos,B,50.1032,-5.4090,1110,1870,658,85,,,,,,
JP,238968,UT,18:46:55 07-Dec-2024,Argos,B,50.1009,-5.4085,1249,2581,604,89,,,,,,
JP,238968,UT,19:29:57 07-Dec-2024,Argos,B,50.1149,-5.4497,993,5569,177,44,,,,,,
JP,238968,UT,19:42:22 07-Dec-2024,Argos,A,50.1139,-5.4494,166,765,35,101,,,,,,
JP,238968,UT,19:43:34 07-Dec-2024,Argos,B,50.1136,-5.4528,315,643,154,105,,,,,,
JP,238968,UT,20:26:17 07-Dec-2024,Argos,B,50.1188,-5.4650,1145,1821,719,91,,,,,,
JP,238968,UT,21:22:48 07-Dec-2024,Argos,B,50.1193,-5.4757,1840,3225,1049,75,,,,,,
