DeployID,Ptt,DepthSensor,Source,Instr,Date,Duration,Time Offset,Count,LocationQuality,Latitude,Longitude,BadTherm,NumBins,Partial,Depth1,Depth1Error,MinTemp1,MaxTemp1,%Ox1,Discont1,Depth2,Depth2Error,MinTemp2,MaxTemp2,%Ox2,Discont2,Depth3,Depth3Error,MinTemp3,MaxTemp3,%Ox3,Discont3,Depth4,Depth4Error,MinTemp4,MaxTemp4,%Ox4,Discont4,Depth5,Depth5Error,MinTemp5,MaxTemp5,%Ox5,Discont5,Depth6,Depth6Error,MinTemp6,MaxTemp6,%Ox6,Discont6,Depth7,Depth7Error,MinTemp7,MaxTemp7,%Ox7,Discont7,Depth8,Depth8Error,MinTemp8,MaxTemp8,%Ox8,Discont8,Depth9,Depth9Error,MinTemp9,MaxTemp9,%Ox9,Discont9,Depth10,Depth10Error,MinTemp10,MaxTemp10,%Ox10,Discont10,Depth11,Depth11Error,MinTemp11,MaxTemp11,%Ox11,Discont11,Depth12,Depth12Error,MinTemp12,MaxTemp12,%Ox12,Discont12,Depth13,Depth13Error,MinTemp13,MaxTemp13,%Ox13,Discont13,Depth14,Depth14Error,MinTemp14,MaxTemp14,%Ox14,Discont14,Depth15,Depth15Error,MinTemp15,MaxTemp15,%Ox15,Discont15,Depth16,Depth16Error,MinTemp16,MaxTemp16,%Ox16,Discont16,Depth17,Depth17Error,MinTemp17,MaxTemp17,%Ox17,Discont17,Depth18,Depth18Error,MinTemp18,MaxTemp18,%Ox18,Discont18,Depth19,Depth19Error,MinTemp19,MaxTemp19,%Ox19,Discont19,Depth20,Depth20Error,MinTemp20,MaxTemp20,%Ox20,Discont20,,,,,
JP,238968,0.500000,Transmission,UT,00:13:00 04-Dec-2024,1.7,2.00,1,,,, ,9,,5.00,0.00,13.075,13.125,,,10.00,0.00,13.075,13.125,,,15.00,0.00,13.075,13.125,,,20.00,0.00,13.125,13.175,,,25.00,0.00,13.125,13.175,,,30.00,0.00,13.175,13.225,,,35.00,0.00,13.175,13.225,,,40.00,0.00,13.175,13.225,,,45.00,0.00,13.175,13.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,238968,0.500000,Transmission,UT,01:02:00 04-Dec-2024,16.7,2.00,1,,,, ,9,,5.00,0.00,13.175,13.225,,,10.00,0.00,13.175,13.225,,,15.00,0.00,13.175,13.225,,,20.00,0.00,13.175,13.225,,,25.00,0.00,13.175,13.225,,,30.00,0.00,13.175,13.225,,,35.00,0.00,13.175,13.225,,,40.00,0.00,13.175,13.225,,,45.00,1.00,13.175,13.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,238968,0.500000,Transmission,UT,10:46:00 05-Dec-2024,16.7,2.00,2,,,, ,7,,5.00,0.00,13.175,13.225,,,10.00,0.00,13.175,13.225,,,15.00,0.00,13.175,13.225,,,20.00,0.00,13.175,13.225,,,25.00,0.00,13.175,13.225,,,30.00,0.00,13.175,13.225,,,35.00,0.00,13.175,13.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,238968,0.500000,Transmission,UT,11:00:00 05-Dec-2024,16.7,2.00,2,,,, ,10,,5.00,0.00,13.225,13.275,,,10.00,0.00,13.225,13.275,,,15.00,0.00,13.225,13.275,,,20.00,0.00,13.225,13.275,,,25.00,0.00,13.225,13.275,,,30.00,0.00,13.225,13.275,,,35.00,0.00,13.225,13.275,,,40.00,0.00,13.225,13.275,,,45.00,0.00,13.225,13.275,,,50.00,1.00,13.225,13.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,238968,0.500000,Transmission,UT,22:00:00 06-Dec-2024,16.7,2.00,1,,,, ,4,,5.00,0.00,12.675,12.725,,,10.00,0.00,12.675,12.725,,,15.00,0.00,12.675,12.725,,,20.00,0.00,12.675,12.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,238968,0.500000,Transmission,UT,08:03:00 08-Dec-2024,1.7,2.00,1,,,, ,2,,5.00,0.00,11.875,11.925,,,10.00,0.00,11.875,11.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,238968,0.500000,Transmission,UT,18:59:00 08-Dec-2024,16.7,2.00,2,,,, ,4,,5.00,0.00,12.425,12.475,,,10.00,0.00,12.475,12.525,,,15.00,0.00,12.475,12.525,,,20.00,0.00,12.475,12.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,238968,0.500000,Transmission,UT,06:04:00 09-Dec-2024,1.7,2.00,1,,,, ,4,,5.00,0.00,11.975,12.025,,,10.00,0.00,11.975,12.025,,,15.00,0.00,12.025,12.075,,,20.00,0.00,12.025,12.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,238968,0.500000,Transmission,UT,07:03:00 09-Dec-2024,1.7,2.00,1,,,, ,4,,5.00,0.00,11.975,12.025,,,10.00,0.00,11.975,12.025,,,15.00,0.00,11.975,12.025,,,20.00,0.00,11.925,11.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,238968,0.500000,Transmission,UT,18:36:00 09-Dec-2024,1.7,2.00,2,,,, ,5,,5.00,0.00,11.825,11.875,,,10.00,0.00,11.875,11.925,,,15.00,0.00,11.925,11.975,,,20.00,0.00,11.925,11.975,,,25.00,0.00,11.925,11.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
