DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,Depth,Temperature,Source
JP,238968,0.500000,UT,05:00:00 04-Dec-2024,,,,0.0,13.2,Status
JP,238968,0.500000,UT,19:00:00 05-Dec-2024,,,,0.0,12.9,Status
JP,238968,0.500000,UT,22:00:00 09-Dec-2024,,,,0.0,11.8,Status
JP,238968,0.500000,UT,23:00:00 09-Dec-2024,,,,0.0,12.3,Status
JP,238968,0.500000,UT,10:00:00 10-Dec-2024,,,,0.0,11.6,Status
JP,238968,0.500000,UT,14:00:00 10-Dec-2024,,,,0.0,11.8,Status
JP,238968,0.500000,UT,07:00:00 11-Dec-2024,,,,0.0,17.0,Status
JP,238968,0.500000,UT,11:00:00 16-Dec-2024,,,,0.0,11.8,Status
JP,238968,0.500000,UT,07:00:00 17-Dec-2024,,,,0.0,12.1,Status
JP,238968,0.500000,UT,01:00:00 18-Dec-2024,,,,0.0,11.5,Status
JP,238968,0.500000,UT,22:00:00 18-Dec-2024,,,,0.0,11.8,Status
JP,238968,0.500000,UT,13:00:00 20-Dec-2024,,,,0.0,11.4,Status
JP,238968,0.500000,UT,06:00:00 22-Dec-2024,,,,0.0,12.2,Status
JP,238968,0.500000,UT,13:00:00 23-Dec-2024,,,,0.0,11.9,Status
JP,238968,0.500000,UT,20:00:00 23-Dec-2024,,,,0.0,11.2,Status
JP,238968,0.500000,UT,06:00:00 24-Dec-2024,,,,0.0,12.2,Status
JP,238968,0.500000,UT,12:00:00 24-Dec-2024,,,,0.0,12.3,Status
JP,238968,0.500000,UT,19:00:00 24-Dec-2024,,,,0.0,12.1,Status
JP,238968,0.500000,UT,21:00:00 24-Dec-2024,,,,0.0,11.9,Status
JP,238968,0.500000,UT,16:00:00 25-Dec-2024,,,,0.0,12.1,Status
JP,238968,0.500000,UT,01:00:00 26-Dec-2024,,,,0.0,12.0,Status
JP,238968,0.500000,UT,08:00:00 26-Dec-2024,,,,0.0,12.0,Status
JP,238968,0.500000,UT,10:00:00 27-Dec-2024,,,,0.0,12.1,Status
JP,238968,0.500000,UT,11:00:00 28-Dec-2024,,,,0.0,11.6,Status
JP,238968,0.500000,UT,13:00:00 28-Dec-2024,,,,0.0,11.8,Status
JP,238968,0.500000,UT,15:00:00 28-Dec-2024,,,,0.0,11.8,Status
JP,238968,0.500000,UT,11:00:00 29-Dec-2024,,,,0.0,11.4,Status
JP,238968,0.500000,UT,21:00:00 29-Dec-2024,,,,0.0,11.9,Status
JP,238968,0.500000,UT,09:00:00 03-Jan-2025,,,,0.0,11.6,Status
JP,238968,0.500000,UT,10:00:00 03-Jan-2025,,,,0.0,11.6,Status
JP,238968,0.500000,UT,17:00:00 03-Jan-2025,,,,0.0,11.6,Status
JP,238968,0.500000,UT,06:00:00 07-Jan-2025,,,,0.0,11.2,Status
JP,238968,0.500000,UT,07:00:00 08-Jan-2025,,,,0.0,10.8,Status
JP,238968,0.500000,UT,21:00:00 09-Jan-2025,,,,0.0,11.4,Status
JP,238968,0.500000,UT,20:00:00 14-Jan-2025,,,,0.0,11.1,Status
JP,238968,0.500000,UT,07:00:00 20-Jan-2025,,,,0.0,11.0,Status
JP,238968,0.500000,UT,09:00:00 20-Jan-2025,,,,0.0,10.9,Status
JP,238968,0.500000,UT,05:00:00 24-Jan-2025,,,,0.0,9.6,Status
JP,238968,0.500000,UT,07:00:00 24-Jan-2025,,,,0.0,9.6,Status
JP,238968,0.500000,UT,09:00:00 25-Jan-2025,,,,0.0,9.6,Status
JP,238968,0.500000,UT,20:00:00 25-Jan-2025,,,,0.0,9.4,Status
JP,238968,0.500000,UT,22:00:00 25-Jan-2025,,,,0.0,9.5,Status
JP,238968,0.500000,UT,08:00:00 26-Jan-2025,,,,0.0,9.4,Status
JP,238968,0.500000,UT,10:00:00 27-Jan-2025,,,,0.0,9.4,Status
JP,238968,0.500000,UT,21:00:00 30-Jan-2025,,,,0.0,9.8,Status
JP,238968,0.500000,UT,23:00:00 30-Jan-2025,,,,0.0,9.8,Status
JP,238968,0.500000,UT,01:00:00 07-Feb-2025,,,,0.0,9.3,Status
JP,238968,0.500000,UT,07:00:00 08-Feb-2025,,,,0.0,8.6,Status
JP,238968,0.500000,UT,23:00:00 11-Feb-2025,,,,0.0,8.4,Status
JP,238968,0.500000,UT,17:00:00 12-Feb-2025,,,,0.0,8.9,Status
JP,238968,0.500000,UT,19:00:00 12-Feb-2025,,,,0.0,9.1,Status
JP,238968,0.500000,UT,21:00:00 12-Feb-2025,,,,0.0,8.8,Status
JP,238968,0.500000,UT,11:00:00 13-Feb-2025,,,,0.0,14.5,Status
JP,238968,0.500000,UT,06:00:00 15-Feb-2025,,,,0.0,8.9,Status
JP,238968,0.500000,UT,09:00:00 16-Feb-2025,,,,0.0,8.7,Status
JP,238968,0.500000,UT,20:00:00 18-Feb-2025,,,,0.0,8.9,Status
JP,238968,0.500000,UT,07:00:00 23-Feb-2025,,,,0.0,9.9,Status
