DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt,S11,ReleaseWetDry,ReleaseTemperature,MaxDepth,LLRangeToday,DeployStart,FirstPostReleaseTX,upright,SWBuild
JP,238968,0.500000,UT,,05:10:39 04-Dec-2024,05:10:42 04-Dec-2024,3,B,49.9236,-5.1612,CRC,,,,7164,3.325,,,13.20,2.5,,,,,,,,,,,,,217,22,255,40,,,,,,,66,1000,675,0,29,,,,,,15:00:00 07-Nov-2024,,,
JP,238968,0.500000,UT,,18:31:48 05-Dec-2024,18:31:51 05-Dec-2024,3,A,50.0299,-5.3018,CRC,,,,7764,3.325,,,12.90,2.5,,,,,,,,,,,,,155,22,255,40,,,,,,,50,1057,694,0,20,,,,,,15:00:00 07-Nov-2024,,,
JP,238968,0.500000,UT,,21:49:38 09-Dec-2024,21:49:40 09-Dec-2024,2,B,50.0907,-5.5136,CRC,,,,9214,3.325,,,11.75,2.5,,,,,,,,,,,,,210,22,255,40,,,,,,,58,1202,762,0,19,,,,,,15:00:00 07-Nov-2024,,,
JP,238968,0.500000,UT,,23:25:22 09-Dec-2024,23:25:25 09-Dec-2024,3,B,50.0890,-5.4896,CRC,,,,9239,3.325,,,12.30,2.5,,,,,,,,,,,,,89,22,255,40,,,,,,,54,1203,762,0,20,,,,,,15:00:00 07-Nov-2024,,,
JP,238968,0.500000,UT,,10:08:38 10-Dec-2024,10:08:40 10-Dec-2024,2,B,50.0422,-5.2736,CRC,,,,9389,3.325,,,11.55,2.5,,,,,,,,,,,,,177,21,255,40,,,,,,,40,1222,775,0,34,,,,,,15:00:00 07-Nov-2024,,,
JP,238968,0.500000,UT,,13:59:15 10-Dec-2024,13:59:18 10-Dec-2024,3,B,50.0880,-5.3525,CRC,,,,9439,3.350,,,11.80,2.5,,,,,,,,,,,,,191,21,255,40,,,,,,,32,1226,777,0,26,,,,,,15:00:00 07-Nov-2024,,,
JP,238968,0.500000,UT,,06:59:08 11-Dec-2024,06:59:11 11-Dec-2024,3,B,49.9913,-5.3599,CRC,,,,9689,3.375,,,17.00,3.5,,,,,,,,,,,,,255,18,255,40,,,,,,,52,1251,788,0,99,,,,,,15:00:00 07-Nov-2024,,,
JP,238968,0.500000,UT,,11:05:42 16-Dec-2024,11:05:45 16-Dec-2024,3,B,50.0519,-5.6577,CRC,,,,11039,3.350,,,11.80,2.5,,,,,,,,,,,,,178,20,255,40,,,,,,,36,1459,944,0,20,,,,,,15:00:00 07-Nov-2024,,,
JP,238968,0.500000,UT,,07:22:52 17-Dec-2024,07:22:55 17-Dec-2024,3,B,50.0627,-5.4592,CRC,,,,11264,3.325,,,12.05,2.5,,,,,,,,,,,,,190,21,255,39,,,,,,,40,1487,961,0,19,,,,,,15:00:00 07-Nov-2024,,,
JP,238968,0.500000,UT,,00:48:24 18-Dec-2024,00:48:28 18-Dec-2024,4,1,50.1216,-5.5132,CRC,,,,11539,3.325,,,11.50,2.5,,,,,,,,,,,,,154,21,255,40,,,,,,,36,1511,969,0,14,,,,,,15:00:00 07-Nov-2024,,,
JP,238968,0.500000,UT,,22:04:20 18-Dec-2024,22:04:23 18-Dec-2024,3,B,50.1208,-5.5311,CRC,,,,11814,3.350,,,11.75,2.5,,,,,,,,,,,,,95,21,255,39,,,,,,,32,1537,982,0,25,,,,,,15:00:00 07-Nov-2024,,,
JP,238968,0.500000,UT,,13:29:55 20-Dec-2024,13:29:59 20-Dec-2024,4,3,50.1264,-5.5133,CRC,,,,12339,3.325,,,11.45,2.5,,,,,,,,,,,,,169,21,255,39,,,,,,,48,1598,1015,0,42,,,,,,15:00:00 07-Nov-2024,,,
JP,238968,0.500000,UT,,06:12:06 22-Dec-2024,06:12:10 22-Dec-2024,4,3,49.9463,-5.1084,CRC,,,,12939,3.350,,,12.20,2.5,,,,,,,,,,,,,86,19,255,40,,,,,,,52,1651,1034,0,9,,,,,,15:00:00 07-Nov-2024,,,
JP,238968,0.500000,UT,,12:51:59 23-Dec-2024,12:52:03 23-Dec-2024,4,2,49.9054,-5.2522,CRC,,,,13389,3.325,,,11.90,2.5,,,,,,,,,,,,,155,20,255,40,,,,,,,30,1696,1058,0,25,,,,,,15:00:00 07-Nov-2024,,,
JP,238968,0.500000,UT,,20:22:50 23-Dec-2024,20:22:54 23-Dec-2024,4,B,49.9511,-5.2221,CRC,,,,13489,3.325,,,11.20,2.5,,,,,,,,,,,,,111,20,255,40,,,,,,,54,1706,1062,0,25,,,,,,15:00:00 07-Nov-2024,,,
JP,238968,0.500000,UT,,05:48:00 24-Dec-2024,05:48:04 24-Dec-2024,4,B,49.8295,-5.0846,CRC,,,,13614,3.325,,,12.20,3.0,,,,,,,,,,,,,201,18,255,40,,,,,,,74,1722,1070,0,36,,,,,,15:00:00 07-Nov-2024,,,
JP,238968,0.500000,UT,,11:54:13 24-Dec-2024,11:54:16 24-Dec-2024,3,B,49.7433,-5.3355,CRC,,,,13714,3.325,,,12.25,3.0,,,,,,,,,,,,,97,18,255,40,,,,,,,68,1729,1071,0,11,,,,,,15:00:00 07-Nov-2024,,,
JP,238968,0.500000,UT,,19:02:49 24-Dec-2024,19:02:53 24-Dec-2024,4,A,49.7455,-5.5525,CRC,,,,13839,3.325,,,12.10,3.0,,,,,,,,,,,,,141,18,255,40,,,,,,,58,1741,1079,0,11,,,,,,15:00:00 07-Nov-2024,,,
JP,238968,0.500000,UT,,20:38:18 24-Dec-2024,20:38:21 24-Dec-2024,3,B,49.7380,-5.6396,CRC,,,,13864,3.325,,,11.95,3.0,,,,,,,,,,,,,201,18,255,40,,,,,,,44,1742,1079,0,16,,,,,,15:00:00 07-Nov-2024,,,
JP,238968,0.500000,UT,,16:24:07 25-Dec-2024,16:24:10 25-Dec-2024,3,B,49.9709,-5.9311,CRC,,,,14139,3.275,,,12.05,3.0,,,,,,,,,,,,,164,21,255,40,,,,,,,70,1776,1102,0,18,,,,,,15:00:00 07-Nov-2024,,,
JP,238968,0.500000,UT,,01:16:21 26-Dec-2024,01:16:25 26-Dec-2024,4,A,50.2543,-6.0641,CRC,,,,14289,3.325,,,12.00,3.0,,,,,,,,,,,,,185,17,255,40,,,,,,,56,1788,1105,0,30,,,,,,15:00:00 07-Nov-2024,,,
JP,238968,0.500000,UT,,07:42:55 26-Dec-2024,07:42:59 26-Dec-2024,4,B,50.3475,-5.9883,CRC,,,,14389,3.325,,,12.00,3.0,,,,,,,,,,,,,215,17,255,40,,,,,,,60,1797,1109,0,13,,,,,,15:00:00 07-Nov-2024,,,
JP,238968,0.500000,UT,,09:33:56 27-Dec-2024,09:34:00 27-Dec-2024,4,B,50.7739,-5.9721,CRC,,,,14839,3.325,,,12.15,3.0,,,,,,,,,,,,,175,21,255,39,,,,,,,38,1825,1118,0,28,,,,,,15:00:00 07-Nov-2024,,,
JP,238968,0.500000,UT,,11:17:05 28-Dec-2024,11:17:09 28-Dec-2024,4,2,50.8834,-5.5074,CRC,,,,15214,3.325,,,11.65,3.0,,,,,,,,,,,,,226,21,255,40,,,,,,,48,1861,1139,0,55,,,,,,15:00:00 07-Nov-2024,,,
JP,238968,0.500000,UT,,13:22:07 28-Dec-2024,13:22:10 28-Dec-2024,3,2,50.8774,-5.5455,CRC,,,,15239,3.350,,,11.80,3.0,,,,,,,,,,,,,103,21,255,40,,,,,,,64,1862,1139,0,23,,,,,,15:00:00 07-Nov-2024,,,
JP,238968,0.500000,UT,,14:57:34 28-Dec-2024,14:57:38 28-Dec-2024,4,2,50.8897,-5.5708,CRC,,,,15264,3.350,,,11.75,3.0,,,,,,,,,,,,,178,21,255,40,,,,,,,60,1864,1139,0,18,,,,,,15:00:00 07-Nov-2024,,,
JP,238968,0.500000,UT,,11:10:19 29-Dec-2024,11:10:23 29-Dec-2024,4,1,50.8762,-5.4294,CRC,,,,15564,3.325,,,11.45,3.0,,,,,,,,,,,,,233,21,255,40,,,,,,,82,1897,1157,0,19,,,,,,15:00:00 07-Nov-2024,,,
JP,238968,0.500000,UT,,20:58:48 29-Dec-2024,20:58:52 29-Dec-2024,4,3,50.8544,-5.6488,CRC,,,,15739,3.350,,,11.90,3.0,,,,,,,,,,,,,135,21,255,39,,,,,,,34,1909,1161,0,23,,,,,,15:00:00 07-Nov-2024,,,
JP,238968,0.500000,UT,,08:44:17 03-Jan-2025,08:44:21 03-Jan-2025,4,A,50.5250,-5.7594,CRC,,,,17264,3.325,,,11.65,3.0,,,,,,,,,,,,,253,21,255,40,,,,,,,60,2083,1266,0,12,,,,,,15:00:00 07-Nov-2024,,,
JP,238968,0.500000,UT,,10:11:07 03-Jan-2025,10:11:10 03-Jan-2025,3,B,50.5597,-5.7664,CRC,,,,17289,3.325,,,11.60,3.0,,,,,,,,,,,,,219,21,255,40,,,,,,,56,2084,1266,0,21,,,,,,15:00:00 07-Nov-2024,,,
JP,238968,0.500000,UT,,16:44:10 03-Jan-2025,16:44:14 03-Jan-2025,4,A,50.5673,-5.8789,CRC,,,,17389,3.325,,,11.60,3.0,,,,,,,,,,,,,206,21,255,40,,,,,,,40,2090,1266,0,20,,,,,,15:00:00 07-Nov-2024,,,
JP,238968,0.500000,UT,,06:01:00 07-Jan-2025,06:01:04 07-Jan-2025,4,A,50.1180,-5.7505,CRC,,,,18589,3.325,,,11.20,3.0,,,,,,,,,,,,,148,21,255,40,,,,,,,58,2211,1332,0,17,,,,,,15:00:00 07-Nov-2024,,,
JP,238968,0.500000,UT,,07:09:45 08-Jan-2025,07:09:49 08-Jan-2025,4,B,50.0393,-5.6826,CRC,,,,18889,3.375,,,10.75,2.0,,,,,,,,,,,,,220,21,255,40,,,,,,,40,2248,1356,0,24,,,,,,15:00:00 07-Nov-2024,,,
JP,238968,0.500000,UT,,21:10:05 09-Jan-2025,21:10:09 09-Jan-2025,4,0,49.7885,-6.8163,CRC,,,,19414,3.325,,,11.40,3.0,,,,,,,,,,,,,190,22,255,40,,,,,,,36,2301,1379,0,6,,,,,,15:00:00 07-Nov-2024,,,
JP,238968,0.500000,UT,,19:51:23 14-Jan-2025,19:51:27 14-Jan-2025,4,3,50.3903,-5.7756,CRC,,,,21189,3.325,,,11.15,3.0,,,,,,,,,,,,,122,20,255,39,,,,,,,52,2470,1463,0,10,,,,,,15:00:00 07-Nov-2024,,,
JP,238968,0.500000,UT,,07:28:21 20-Jan-2025,07:28:25 20-Jan-2025,4,2,50.4228,-5.6003,CRC,,,,23089,3.325,,,11.00,2.5,,,,,,,,,,,,,176,21,255,39,,,,,,,48,2681,1570,0,24,,,,,,15:00:00 07-Nov-2024,,,
JP,238968,0.500000,UT,,09:09:07 20-Jan-2025,09:09:11 20-Jan-2025,4,B,50.4551,-5.5844,CRC,,,,23114,3.325,,,10.95,2.5,,,,,,,,,,,,,188,21,255,40,,,,,,,54,2684,1571,0,2,,,,,,15:00:00 07-Nov-2024,,,
JP,238968,0.500000,UT,,05:18:11 24-Jan-2025,05:18:15 24-Jan-2025,4,A,50.4367,-5.0190,CRC,,,,24314,3.325,,,9.65,2.0,,,,,,,,,,,,,123,21,255,40,,,,,,,52,2821,1647,0,17,,,,,,15:00:00 07-Nov-2024,,,
JP,238968,0.500000,UT,,07:03:15 24-Jan-2025,07:03:20 24-Jan-2025,5,2,50.4129,-5.0747,CRC,,,,24339,3.325,,,9.55,2.0,,,,,,,,,,,,,179,21,255,40,,,,,,,68,2826,1650,0,12,,,,,,15:00:00 07-Nov-2024,,,
