Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,50CI,95CI,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
JP,03-Dec-2024,10:01:42,2,2.000000,,,0,6,50.11123,-5.44481,10:01:44 03-Dec-2024,Interpolated,50.11191,-5.44876,,,,,6.2,-0.3,,,,15,5,29722,,,,20,3088,,,,14,32172,,,,13,4169,,,,30,4060,,,,18,17433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,03-Dec-2024,10:58:49,2,2.000000,,,0,8,50.11604,-5.44791,10:58:51 03-Dec-2024,Interpolated,50.11042,-5.44719,,,,,13.8,1.0,,,,15,17,541,,,,14,29128,,,,22,13933,,,,5,10840,,,,30,10408,,,,23,9345,,,,18,32068,,,,13,17247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,03-Dec-2024,12:00:17,1,2.000000,,,0,4,50.11634,-5.45062,12:00:19 03-Dec-2024,Interpolated,50.10947,-5.43893,,,,,8.2,-0.5,,,,15,14,4759,,,,15,9893,,,,22,11390,,,,10,8308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,03-Dec-2024,13:58:27,1,2.000000,,,0,4,50.11261,-5.46506,13:58:29 03-Dec-2024,Interpolated,50.11655,-5.45911,,,,,18.2,0.1,,,,15,12,30682,,,,25,2948,,,,24,6301,,,,15,9795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,03-Dec-2024,15:13:17,2,2.000000,,,0,8,50.08291,-5.44303,15:13:19 03-Dec-2024,Interpolated,50.10736,-5.47571,,,,,7.1,-0.3,,,,15,32,7889,,,,28,7736,,,,24,27034,,,,11,13420,,,,12,28348,,,,6,28081,,,,25,18378,,,,29,3753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,03-Dec-2024,17:40:27,1,2.000000,,,0,5,50.09045,-5.47472,17:40:29 03-Dec-2024,Interpolated,50.06289,-5.45436,,,,,10.0,0.6,,,,15,31,25866,,,,26,24041,,,,25,12625,,,,29,16770,,,,28,31700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,03-Dec-2024,18:52:52,1,2.000000,,,0,4,50.04021,-5.43925,18:52:54 03-Dec-2024,Interpolated,50.04372,-5.42382,,,,,1.4,1.0,,,,15,18,1394,,,,29,11563,,,,31,22356,,,,28,21176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,03-Dec-2024,21:32:03,1,2.000000,,,0,8,50.02316,-5.36882,21:32:05 03-Dec-2024,Interpolated,50.00879,-5.42011,,,,,11.6,0.7,,,,15,7,17331,,,,16,18996,,,,21,20425,,,,27,31315,,,,10,25124,,,,23,27263,,,,26,15228,,,,18,7235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,03-Dec-2024,23:57:27,1,2.000000,,,0,5,50.00002,-5.38010,23:57:29 03-Dec-2024,Interpolated,50.00887,-5.37465,,,,,23.9,0.7,,,,15,14,15437,,,,21,30620,,,,8,1456,,,,2,18626,,,,10,29912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,04-Dec-2024,02:04:51,1,2.000000,,,0,8,50.01491,-5.24319,02:04:53 04-Dec-2024,Interpolated,49.99090,-5.28457,,,,,12.5,-0.4,,,,15,17,9810,,,,14,8624,,,,3,31405,,,,8,13446,,,,2,15418,,,,4,8311,,,,32,15274,,,,21,5315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,04-Dec-2024,03:10:17,1,2.000000,,,0,7,50.01633,-5.20075,03:10:19 04-Dec-2024,Interpolated,49.96430,-5.23102,,,,,6.0,-0.6,,,,15,21,14581,,,,4,11666,,,,2,32019,,,,31,13541,,,,17,6766,,,,3,15673,,,,28,24902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
