DeployID,Ptt,Source,Instr,Start,End,Kind,Type,MinDepth,PercentTime,MinSec,MaxSec,MaxDives,Percent_20,Percent_33,Percent_40,Percent_60,Percent_66,Percent_80,Percent_100
Klaus,225762,Transmission,UT,07:00:00 03-Dec-2024,08:00:00 03-Dec-2024,depth,shallow,0.000000,66.9,2391,2427,0,,1.000000,,,1.000000,,2.000000
Klaus,225762,Transmission,UT,07:00:00 03-Dec-2024,08:00:00 03-Dec-2024,depth,deep,,0.0,0,0,,,,,,,,
Klaus,225762,Transmission,UT,07:00:00 03-Dec-2024,08:00:00 03-Dec-2024,depth,dry,,33.1,1174,1210,,,,,,,,
Klaus,225762,Transmission,UT,08:00:00 03-Dec-2024,09:00:00 03-Dec-2024,depth,shallow,,0.0,0,0,,,,,,,,
Klaus,225762,Transmission,UT,08:00:00 03-Dec-2024,09:00:00 03-Dec-2024,depth,deep,,0.0,0,0,,,,,,,,
Klaus,225762,Transmission,UT,08:00:00 03-Dec-2024,09:00:00 03-Dec-2024,depth,dry,,100.0,3600,3600,,,,,,,,
Klaus,225762,Transmission,UT,15:00:00 03-Dec-2024,16:00:00 03-Dec-2024,depth,shallow,0.000000,76.4,2732,2768,4,,1.000000,,,1.000000,,5.000000
Klaus,225762,Transmission,UT,15:00:00 03-Dec-2024,16:00:00 03-Dec-2024,depth,deep,,6.3,209,245,4,6.000000,,6.000000,7.000000,,8.000000,10.000000
Klaus,225762,Transmission,UT,15:00:00 03-Dec-2024,16:00:00 03-Dec-2024,depth,dry,,17.3,605,641,,,,,,,,
Klaus,225762,Transmission,UT,16:00:00 03-Dec-2024,17:00:00 03-Dec-2024,depth,shallow,0.000000,77.2,2760,2796,11,,1.000000,,,2.000000,,5.000000
Klaus,225762,Transmission,UT,16:00:00 03-Dec-2024,17:00:00 03-Dec-2024,depth,deep,,15.7,549,585,11,6.000000,,7.000000,9.000000,,9.000000,11.000000
Klaus,225762,Transmission,UT,16:00:00 03-Dec-2024,17:00:00 03-Dec-2024,depth,dry,,7.1,238,274,,,,,,,,
Klaus,225762,Transmission,UT,17:00:00 03-Dec-2024,18:00:00 03-Dec-2024,depth,shallow,0.000000,78.7,2817,2853,5,,1.000000,,,1.000000,,5.000000
