DeployID,Ptt,DepthSensor,Source,Instr,Date,Duration,Time Offset,Count,LocationQuality,Latitude,Longitude,BadTherm,NumBins,Partial,Depth1,Depth1Error,MinTemp1,MaxTemp1,%Ox1,Discont1,Depth2,Depth2Error,MinTemp2,MaxTemp2,%Ox2,Discont2,Depth3,Depth3Error,MinTemp3,MaxTemp3,%Ox3,Discont3,Depth4,Depth4Error,MinTemp4,MaxTemp4,%Ox4,Discont4,Depth5,Depth5Error,MinTemp5,MaxTemp5,%Ox5,Discont5,Depth6,Depth6Error,MinTemp6,MaxTemp6,%Ox6,Discont6,Depth7,Depth7Error,MinTemp7,MaxTemp7,%Ox7,Discont7,Depth8,Depth8Error,MinTemp8,MaxTemp8,%Ox8,Discont8,Depth9,Depth9Error,MinTemp9,MaxTemp9,%Ox9,Discont9,Depth10,Depth10Error,MinTemp10,MaxTemp10,%Ox10,Discont10,Depth11,Depth11Error,MinTemp11,MaxTemp11,%Ox11,Discont11,Depth12,Depth12Error,MinTemp12,MaxTemp12,%Ox12,Discont12,Depth13,Depth13Error,MinTemp13,MaxTemp13,%Ox13,Discont13,Depth14,Depth14Error,MinTemp14,MaxTemp14,%Ox14,Discont14,Depth15,Depth15Error,MinTemp15,MaxTemp15,%Ox15,Discont15,Depth16,Depth16Error,MinTemp16,MaxTemp16,%Ox16,Discont16,Depth17,Depth17Error,MinTemp17,MaxTemp17,%Ox17,Discont17,Depth18,Depth18Error,MinTemp18,MaxTemp18,%Ox18,Discont18,,,,,
Klaus,225762,0.500000,Transmission,UT,00:00:00 05-Dec-2024,1.7,1.00,1,,,, ,5,,0.00,0.00,12.775,12.825,,,5.00,0.00,12.775,12.825,,,10.00,0.00,12.775,12.825,,,15.00,0.00,12.775,12.825,,,20.00,1.00,12.775,12.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klaus,225762,0.500000,Transmission,UT,10:44:00 05-Dec-2024,16.7,1.00,1,,,, ,5,,0.00,0.00,12.825,12.875,,,5.00,0.00,12.825,12.875,,,10.00,0.00,12.825,12.875,,,15.00,0.00,12.825,12.875,,,20.00,0.00,12.825,12.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klaus,225762,0.500000,Transmission,UT,11:02:00 05-Dec-2024,1.7,1.00,1,,,, ,5,,0.00,0.00,12.825,12.875,,,5.00,0.00,12.825,12.875,,,10.00,0.00,12.825,12.875,,,15.00,0.00,12.825,12.875,,,20.00,0.00,12.825,12.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klaus,225762,0.500000,Transmission,UT,22:01:00 05-Dec-2024,1.7,1.00,1,,,, ,4,,0.00,0.00,12.675,12.725,,,5.00,0.00,12.725,12.775,,,10.00,0.00,12.675,12.725,,,15.00,0.00,12.775,12.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klaus,225762,0.500000,Transmission,UT,09:52:00 06-Dec-2024,16.7,1.00,1,,,, ,7,,0.00,0.00,12.775,12.825,,,5.00,0.00,12.825,12.875,,,10.00,0.00,12.825,12.875,,,15.00,0.00,12.825,12.875,,,20.00,0.00,12.825,12.875,,,25.00,0.00,12.825,12.875,,,30.00,0.00,12.825,12.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klaus,225762,0.500000,Transmission,UT,19:01:00 08-Dec-2024,1.7,1.00,1,,,, ,14,,0.00,0.00,12.575,12.625,,,5.00,0.00,12.625,12.675,,,10.00,0.00,12.625,12.675,,,15.00,0.00,12.625,12.675,,,20.00,0.00,12.625,12.675,,,25.00,0.00,12.625,12.675,,,30.00,0.00,12.625,12.675,,,35.00,0.00,12.625,12.675,,,40.00,0.00,12.625,12.675,,,45.00,0.00,12.625,12.675,,,50.00,0.00,12.625,12.675,,,55.00,0.00,12.625,12.675,,,60.00,0.00,12.625,12.675,,,65.00,1.00,12.625,12.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klaus,225762,0.500000,Transmission,UT,06:56:00 09-Dec-2024,1.7,1.00,1,,,, ,4,,0.00,0.00,12.375,12.425,,,5.00,0.00,12.425,12.475,,,10.00,0.00,12.425,12.475,,,15.00,0.00,12.375,12.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klaus,225762,0.500000,Transmission,UT,18:14:00 09-Dec-2024,1.7,1.00,2,,,, ,10,,0.00,0.00,12.725,12.775,,,5.00,0.00,12.725,12.775,,,10.00,0.00,12.725,12.775,,,15.00,0.00,12.725,12.775,,,20.00,0.00,12.725,12.775,,,25.00,0.00,12.725,12.775,,,30.00,0.00,12.725,12.775,,,35.00,0.00,12.725,12.775,,,40.00,0.00,12.725,12.775,,,45.00,0.00,12.725,12.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klaus,225762,0.500000,Transmission,UT,16:37:00 11-Dec-2024,16.7,1.00,1,,,, ,12,,0.00,0.00,12.475,12.525,,,5.00,0.00,12.475,12.525,,,10.00,0.00,12.475,12.525,,,15.00,0.00,12.475,12.525,,,20.00,0.00,12.525,12.575,,,25.00,0.00,12.475,12.525,,,30.00,0.00,12.525,12.575,,,35.00,0.00,12.525,12.575,,,40.00,0.00,12.525,12.575,,,45.00,0.00,12.525,12.575,,,50.00,0.00,12.525,12.575,,,55.00,1.00,12.525,12.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klaus,225762,0.500000,Transmission,UT,04:00:00 12-Dec-2024,1.7,1.00,2,,,, ,6,,0.00,0.00,11.975,12.025,,,5.00,0.00,11.975,12.025,,,10.00,0.00,11.975,12.025,,,15.00,0.00,11.975,12.025,,,20.00,0.00,11.975,12.025,,,25.00,0.00,11.975,12.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
