DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt,S11,ReleaseWetDry,ReleaseTemperature,MaxDepth,LLRangeToday,DeployStart,FirstPostReleaseTX,upright,SWBuild
Klaus,225762,0.500000,UT,,19:47:55 03-Dec-2024,19:47:55 03-Dec-2024,0,1,50.1229,-5.4706,CRC,,,,7547,3.375,,,12.15,-0.5,,,,,,,,,,,,,149,24,255,40,,,,,,,48,1073,685,0,13,,,,,,15:00:00 07-Nov-2024,,,
Klaus,225762,0.500000,UT,,23:34:32 03-Dec-2024,23:34:32 03-Dec-2024,0,3,50.0854,-5.5199,CRC,,,,7597,3.375,,,12.80,-0.5,,,,,,,,,,,,,127,24,255,40,,,,,,,40,1075,685,0,27,,,,,,15:00:00 07-Nov-2024,,,
Klaus,225762,0.500000,UT,,12:23:46 09-Dec-2024,12:23:47 09-Dec-2024,1,2,50.0430,-5.4588,CRC,,,,9497,3.375,,,12.55,0.0,,,,,,,,,,,,,100,21,255,40,,,,,,,46,1290,802,0,6,,,,,,15:00:00 07-Nov-2024,,,
Klaus,225762,0.500000,UT,,20:13:58 09-Dec-2024,20:13:58 09-Dec-2024,0,B,49.9223,-5.5294,CRC,,,,9597,3.375,,,12.60,0.0,,,,,,,,,,,,,162,21,255,39,,,,,,,80,1304,808,0,17,,,,,,15:00:00 07-Nov-2024,,,
Klaus,225762,0.500000,UT,,21:44:01 09-Dec-2024,21:44:02 09-Dec-2024,1,2,49.9394,-5.4441,CRC,,,,9622,3.375,,,12.60,0.0,,,,,,,,,,,,,189,21,255,40,,,,,,,76,1306,809,0,15,,,,,,15:00:00 07-Nov-2024,,,
Klaus,225762,0.500000,UT,,12:33:06 14-Dec-2024,12:33:06 14-Dec-2024,0,B,50.0154,-5.5145,CRC,,,,10972,3.375,,,12.25,0.0,,,,,,,,,,,,,151,22,255,39,,,,,,,40,1496,940,0,2,,,,,,15:00:00 07-Nov-2024,,,
Klaus,225762,0.500000,UT,,19:16:58 14-Dec-2024,19:16:58 14-Dec-2024,0,B,49.9601,-5.4334,CRC,,,,11072,3.375,,,12.25,0.0,,,,,,,,,,,,,170,22,255,40,,,,,,,54,1504,944,0,20,,,,,,15:00:00 07-Nov-2024,,,
Klaus,225762,0.500000,UT,,11:56:00 17-Dec-2024,11:56:01 17-Dec-2024,1,1,49.9967,-5.4725,CRC,,,,11897,3.350,,,12.30,-0.5,,,,,,,,,,,,,148,21,255,39,,,,,,,42,1608,1012,0,8,,,,,,15:00:00 07-Nov-2024,,,
Klaus,225762,0.500000,UT,,13:50:21 18-Dec-2024,13:50:21 18-Dec-2024,0,B,49.9722,-5.4389,CRC,,,,12297,3.350,,,12.25,0.0,,,,,,,,,,,,,169,21,255,40,,,,,,,58,1650,1029,0,13,,,,,,15:00:00 07-Nov-2024,,,
Klaus,225762,0.500000,UT,,23:40:26 18-Dec-2024,23:40:26 18-Dec-2024,0,2,49.9955,-5.3413,CRC,,,,12447,3.350,,,12.10,0.0,,,,,,,,,,,,,205,21,255,40,,,,,,,74,1667,1036,0,28,,,,,,15:00:00 07-Nov-2024,,,
