Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,50CI,95CI,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
Klaus,03-Dec-2024,11:38:01,1,1.000000,,,0,8,50.11202,-5.44476,11:38:02 03-Dec-2024,Interpolated,50.11198,-5.45191,,,,,12.0,-0.6,,,,15,17,1472,,,,13,14452,,,,22,13992,,,,24,17062,,,,14,3098,,,,23,22903,,,,15,29968,,,,5,7651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klaus,03-Dec-2024,13:00:32,2,1.000000,,,0,4,50.11180,-5.44602,13:00:32 03-Dec-2024,Interpolated,50.10827,-5.43627,,,,,2.2,-0.2,,,,15,10,6184,,,,19,4526,,,,17,12519,,,,24,11944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klaus,03-Dec-2024,14:49:42,2,1.000000,,,0,4,50.11112,-5.44761,14:49:42 03-Dec-2024,Interpolated,50.10161,-5.42722,,,,,5.6,-0.1,,,,15,12,19613,,,,25,25139,,,,29,11887,,,,19,16856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klaus,03-Dec-2024,17:09:33,2,1.000000,,,0,5,50.10559,-5.51311,17:09:33 03-Dec-2024,Interpolated,50.11024,-5.44963,,,,,5.3,-0.2,,,,15,12,782,,,,11,30494,,,,25,15935,,,,29,26757,,,,28,15644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klaus,03-Dec-2024,18:17:06,2,1.000000,,,0,4,50.11563,-5.45857,18:17:06 03-Dec-2024,Interpolated,50.12282,-5.46240,,,,,0.2,-0.1,,,,15,25,14573,,,,18,20947,,,,29,3927,,,,28,4020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klaus,03-Dec-2024,20:43:35,1,1.000000,,,0,4,50.11757,-5.49283,20:43:35 03-Dec-2024,Interpolated,50.12729,-5.49856,,,,,0.2,-0.4,,,,15,7,31331,,,,18,7068,,,,8,25225,,,,23,6830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klaus,03-Dec-2024,21:56:42,2,1.000000,,,0,7,50.10143,-5.49884,21:56:42 03-Dec-2024,Interpolated,50.11063,-5.52203,,,,,10.5,-0.8,,,,15,21,30572,,,,27,10820,,,,23,561,,,,30,9066,,,,8,4998,,,,10,6381,,,,16,16138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klaus,04-Dec-2024,01:00:00,1,1.000000,,,0,4,50.09690,-5.49236,01:00:00 04-Dec-2024,Interpolated,50.11813,-5.49354,,,,,0.9,-0.2,,,,15,3,8294,,,,32,24197,,,,8,6746,,,,2,14436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klaus,04-Dec-2024,03:00:49,2,1.000000,,,0,8,50.09397,-5.46669,03:00:49 04-Dec-2024,Interpolated,50.11274,-5.45422,,,,,16.9,-0.7,,,,15,19,1966,,,,22,22228,,,,6,22724,,,,4,14414,,,,2,30088,,,,3,28107,,,,21,19756,,,,17,14477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klaus,04-Dec-2024,08:36:00,1,1.000000,,,0,6,50.10428,-5.39970,08:36:00 04-Dec-2024,Interpolated,50.09961,-5.38736,,,,,7.5,-0.3,,,,15,11,24234,,,,5,10845,,,,20,10400,,,,30,5622,,,,14,3434,,,,7,25807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klaus,04-Dec-2024,17:57:44,1,1.000000,,,0,5,50.10586,-5.43676,17:57:44 04-Dec-2024,Interpolated,50.12043,-5.46017,,,,,16.7,-1.2,,,,15,28,19682,,,,18,8816,,,,25,21747,,,,29,12366,,,,31,2658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klaus,04-Dec-2024,22:50:04,1,1.000000,,,0,5,50.09891,-5.55068,22:50:04 04-Dec-2024,Interpolated,50.09851,-5.54007,,,,,2.7,-1.7,,,,15,10,9251,,,,27,29822,,,,23,9525,,,,8,22225,,,,2,2790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klaus,04-Dec-2024,23:54:06,1,1.000000,,,0,5,50.09435,-5.54984,23:54:06 04-Dec-2024,Interpolated,50.10005,-5.51926,,,,,6.1,-1.8,,,,15,10,26462,,,,14,17424,,,,22,10542,,,,2,19332,,,,32,22196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klaus,05-Dec-2024,03:26:16,1,1.000000,,,0,6,50.10377,-5.46833,03:26:16 05-Dec-2024,Interpolated,50.08587,-5.52921,,,,,3.8,-0.2,,,,15,4,5261,,,,17,22986,,,,3,21972,,,,2,30736,,,,9,2670,,,,6,31537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klaus,05-Dec-2024,04:32:28,1,1.000000,,,0,5,50.07344,-5.55888,04:32:28 05-Dec-2024,Interpolated,50.07292,-5.51973,,,,,3.0,-1.3,,,,15,11,28240,,,,19,15504,,,,9,8894,,,,6,18278,,,,4,2614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
