"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"Leaf Cutter",225759,17343,,,,,,,0,NP,,401650000,03/31/2025 11:52:13,1,1,0,-127,401650000,,,,,,,,,,,,105,253,100,54,239,76,232,48,117,46,103,105,100,37,15,204,79,171,208,192,0,0,0,,,,,,,,,
"Leaf Cutter",225759,17343,,,,,,,0,MC,,401650000,03/31/2025 11:52:13,1,1,0,-125,401650000,,,,,,,,,,,,105,253,100,54,239,76,232,48,117,46,103,105,100,37,15,204,79,235,208,192,0,0,0,,,,,,,,,
"Leaf Cutter",225759,17343,,,,,,,0,NN,,401650000,03/31/2025 13:41:47,1,1,0,-129,401650000,,,,,,,,,,,,105,253,100,54,239,76,232,48,117,46,103,105,100,37,15,70,79,237,166,240,0,0,0,,,,,,,,,
"Leaf Cutter",225759,17343,,,,,,,0,NN,,401650000,03/31/2025 13:45:11,1,1,0,-129,401650000,,,,,,,,,,,,15,49,59,133,47,186,206,132,131,228,237,65,35,192,243,210,54,55,0,48,74,159,252,58,191,91,177,,,,,
"Leaf Cutter",225759,17343,,,,,,,0,O3,,401650000,03/31/2025 15:07:01,1,1,0,-132,401650000,,,,,,,,,,,,15,49,49,4,254,176,4,15,130,2,4,119,225,33,33,33,33,32,0,0,62,8,8,13,220,0,0,,,,,
"Leaf Cutter",225759,17343,,,,,,,0,CS,,401650000,03/31/2025 16:29:30,1,1,0,-124,401650000,,,,,,,,,,,,201,253,199,176,69,97,234,230,178,134,159,241,77,223,171,234,80,167,187,167,151,92,230,39,249,42,237,,,,,
"Leaf Cutter",225759,17343,,,,,,,0,CS,,401650000,03/31/2025 18:06:36,1,1,0,-134,401650000,,,,,,,,,,,,15,49,49,4,254,176,4,15,130,2,4,119,225,33,33,33,33,32,0,0,62,8,8,13,220,4,0,,,,,
"Leaf Cutter",225759,17343,50.8464,-9.53306,A,03/31/2025 19:07:49,Argos,0,0,SR,,401650000,03/31/2025 19:04:53,1,1,0,-125,401650000,-9.53306,50.8464,-5.43261,50.10934,0,0,0,0,0,103,957,73,112,180,165,40,161,212,254,191,204,77,6,20,7,15,22,65,98,1,192,192,0,142,7,109,42,186,72,6,124,63,
"Leaf Cutter",225759,17343,50.8464,-9.53306,A,03/31/2025 19:07:49,Argos,0,0,SR,,401650000,03/31/2025 19:08:13,1,1,0,-125,401650000,-9.53306,50.8464,-5.43261,50.10934,0,0,0,0,0,103,957,233,253,149,172,220,26,5,104,90,57,116,175,132,143,124,147,72,160,202,195,99,8,70,63,61,162,127,153,6,0,0,
"Leaf Cutter",225759,17343,50.8464,-9.53306,A,03/31/2025 19:07:49,Argos,0,0,SR,,401650000,03/31/2025 19:10:24,1,1,0,-125,401650000,-9.53306,50.8464,-5.43261,50.10934,0,0,0,0,0,103,957,201,253,239,112,19,154,37,49,188,4,249,125,147,226,80,216,66,52,208,152,116,57,138,39,249,148,184,,,,,
