DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
Leaf Cutter,225759,UT,DS,1,0,0,,,11:52:13 31-Mar-2025,NP,,,,,,,,401650000,-127
Leaf Cutter,225759,UT,DS,1,0,0,,,11:52:13 31-Mar-2025,MC,,,,,,,,401650000,-125
Leaf Cutter,225759,UT,DS,2,0,1,204,204,13:41:47 31-Mar-2025,NN,,,,,,,,401650000,-129
Leaf Cutter,225759,UT,DS,1,0,0,,,15:07:01 31-Mar-2025,O3,,,,,,,,401650000,-132
Leaf Cutter,225759,UT,DS,1,0,1,,,16:29:30 31-Mar-2025,CS,,,,,,,,401650000,-124
Leaf Cutter,225759,UT,DS,1,0,1,,,18:06:36 31-Mar-2025,CS,,,,,,,,401650000,-134
Leaf Cutter,225759,UT,DS,3,0,2,165,131,19:07:49 31-Mar-2025,SR,A,50.8464,-9.5331,50.1093,-5.4326,,,401650000,-125
Leaf Cutter,225759,UT,DS,1,0,1,,,21:46:15 31-Mar-2025,NP,B,50.1149,-5.4351,50.1149,-5.4351,8,,401677701,-132
Leaf Cutter,225759,UT,DS,2,0,2,196,196,00:47:31 01-Apr-2025,O3,B,50.1112,-5.4474,50.1112,-5.4474,8,,401677689,-128
Leaf Cutter,225759,UT,DS,2,0,1,185,185,06:09:06 01-Apr-2025,CS,B,50.0855,-5.4613,50.0855,-5.4613,8,,401677698,-124
Leaf Cutter,225759,UT,DS,2,0,2,462,462,06:30:43 01-Apr-2025,SR,B,50.0886,-5.4376,50.0886,-5.4376,6,,401677706,-127
Leaf Cutter,225759,UT,DS,2,0,1,187,187,08:24:11 01-Apr-2025,NK,B,50.1105,-5.4349,,,8,,401677708,-123
Leaf Cutter,225759,UT,DS,2,0,2,216,216,10:35:17 01-Apr-2025,MB,B,50.0950,-5.4621,50.0950,-5.4621,8,,401677718,-128
Leaf Cutter,225759,UT,DS,1,0,0,,,11:23:49 01-Apr-2025,MC,B,50.0919,-5.4562,50.0919,-5.4562,8,,401677712,-120
Leaf Cutter,225759,UT,DS,1,0,0,,,12:50:48 01-Apr-2025,O3,B,50.0908,-5.4575,50.0908,-5.4575,8,,401677711,-127
Leaf Cutter,225759,UT,DS,1,0,1,,,15:53:58 01-Apr-2025,CS,B,50.0866,-5.4551,50.0866,-5.4551,8,,401677706,-134
Leaf Cutter,225759,UT,DS,3,0,3,219,214,17:28:09 01-Apr-2025,CS,A,50.0931,-5.3798,50.0931,-5.3798,8,,401677708,-124
Leaf Cutter,225759,UT,DS,3,0,3,238,230,18:32:28 01-Apr-2025,SR,A,50.0773,-5.3656,50.0773,-5.3656,8,,401677711,-125
Leaf Cutter,225759,UT,DS,1,0,1,,,19:45:47 01-Apr-2025,NK,B,50.0756,-5.3507,50.0756,-5.3507,8,,401677714,-127
Leaf Cutter,225759,UT,DS,2,0,1,221,221,20:16:53 01-Apr-2025,SR,B,50.0775,-5.3508,50.0775,-5.3508,8,,401677708,-126
Leaf Cutter,225759,UT,DS,1,0,1,,,20:18:44 01-Apr-2025,MB,B,50.0785,-5.3521,50.0785,-5.3521,6,,401677707,-126
Leaf Cutter,225759,UT,DS,5,0,5,118,45,21:32:07 01-Apr-2025,NP,1,50.0748,-5.3956,50.0748,-5.3956,58,,401677708,-124
Leaf Cutter,225759,UT,DS,1,0,1,,,21:38:46 01-Apr-2025,NN,B,50.0746,-5.3967,50.0746,-5.3967,6,,401677706,-123
Leaf Cutter,225759,UT,DS,1,0,1,,,22:01:53 01-Apr-2025,MB,B,50.0749,-5.3970,50.0749,-5.3970,6,,401677709,-135
Leaf Cutter,225759,UT,DS,2,0,2,273,273,22:23:34 01-Apr-2025,O3,B,50.0834,-5.4032,50.0834,-5.4032,6,,401677709,-126
Leaf Cutter,225759,UT,DS,4,0,3,155,127,23:13:08 01-Apr-2025,NP,2,50.1035,-5.4457,50.1035,-5.4457,58,,401677706,-130
Leaf Cutter,225759,UT,DS,2,0,2,190,190,23:19:50 01-Apr-2025,NN,B,50.1052,-5.4471,50.1052,-5.4471,6,,401677705,-130
Leaf Cutter,225759,UT,DS,3,0,1,179,153,00:01:34 02-Apr-2025,O3,A,50.1010,-5.4711,50.1010,-5.4711,8,,401677707,-120
Leaf Cutter,225759,UT,DS,1,0,1,,,05:36:39 02-Apr-2025,CS,B,50.1173,-5.5912,50.1173,-5.5912,8,,401677699,-139
Leaf Cutter,225759,UT,DS,1,0,1,,,05:58:14 02-Apr-2025,SR,B,50.1087,-5.5385,50.1087,-5.5385,6,,401677702,-118
Leaf Cutter,225759,UT,DS,1,0,1,,,07:37:11 02-Apr-2025,SR,B,50.1134,-5.5709,50.1134,-5.5709,8,,401677702,-130
Leaf Cutter,225759,UT,DS,2,0,2,225,225,09:26:10 02-Apr-2025,MC,B,50.0831,-5.4356,50.0831,-5.4356,8,,401677712,-120
Leaf Cutter,225759,UT,DS,2,0,2,236,236,09:31:53 02-Apr-2025,NK,B,50.0861,-5.4249,50.0861,-5.4249,6,,401677716,-123
Leaf Cutter,225759,UT,DS,2,0,2,176,176,09:52:48 02-Apr-2025,NP,B,50.0943,-5.4244,50.0943,-5.4244,6,,401677718,-125
Leaf Cutter,225759,UT,DS,2,0,2,555,555,10:09:52 02-Apr-2025,MB,B,50.0940,-5.4242,50.0940,-5.4242,6,,401677715,-126
Leaf Cutter,225759,UT,DS,2,0,2,276,276,11:03:01 02-Apr-2025,MC,B,50.0756,-5.4461,50.0756,-5.4461,8,,401677720,-124
