DeployID,Ptt,Source,Instr,Start,End,Kind,Type,MinDepth,PercentTime,MinSec,MaxSec,MaxDives,Percent_20,Percent_33,Percent_40,Percent_60,Percent_66,Percent_80,Percent_100
Leaf Cutter,225759,Transmission,UT,11:00:00 31-Mar-2025,12:00:00 31-Mar-2025,depth,shallow,0.000000,93.7,3355,3391,1,,1.000000,,,1.000000,,5.000000
Leaf Cutter,225759,Transmission,UT,11:00:00 31-Mar-2025,12:00:00 31-Mar-2025,depth,deep,,0.2,1,25,1,6.000000,,6.000000,6.000000,,6.000000,6.000000
Leaf Cutter,225759,Transmission,UT,11:00:00 31-Mar-2025,12:00:00 31-Mar-2025,depth,dry,,6.1,202,238,,,,,,,,
Leaf Cutter,225759,Transmission,UT,12:00:00 31-Mar-2025,13:00:00 31-Mar-2025,depth,shallow,0.000000,93.7,3355,3391,0,,1.000000,,,1.000000,,3.000000
Leaf Cutter,225759,Transmission,UT,12:00:00 31-Mar-2025,13:00:00 31-Mar-2025,depth,deep,,0.0,0,0,,,,,,,,
Leaf Cutter,225759,Transmission,UT,12:00:00 31-Mar-2025,13:00:00 31-Mar-2025,depth,dry,,6.3,209,245,,,,,,,,
Leaf Cutter,225759,Transmission,UT,19:00:00 01-Apr-2025,20:00:00 01-Apr-2025,depth,shallow,0.000000,21.3,747,783,17,,1.000000,,,1.000000,,5.000000
Leaf Cutter,225759,Transmission,UT,19:00:00 01-Apr-2025,20:00:00 01-Apr-2025,depth,deep,,74.8,2675,2711,17,23.000000,,25.000000,26.000000,,27.000000,28.000000
Leaf Cutter,225759,Transmission,UT,19:00:00 01-Apr-2025,20:00:00 01-Apr-2025,depth,dry,,3.9,122,158,,,,,,,,
Leaf Cutter,225759,Transmission,UT,20:00:00 01-Apr-2025,21:00:00 01-Apr-2025,depth,shallow,0.000000,20.5,719,755,17,,1.000000,,,1.000000,,5.000000
Leaf Cutter,225759,Transmission,UT,20:00:00 01-Apr-2025,21:00:00 01-Apr-2025,depth,deep,,74.0,2647,2683,17,14.000000,,18.000000,23.000000,,26.000000,27.000000
Leaf Cutter,225759,Transmission,UT,20:00:00 01-Apr-2025,21:00:00 01-Apr-2025,depth,dry,,5.5,180,216,,,,,,,,
Leaf Cutter,225759,Transmission,UT,07:00:00 02-Apr-2025,08:00:00 02-Apr-2025,depth,shallow,0.000000,15.7,549,585,18,,1.000000,,,1.000000,,5.000000
Leaf Cutter,225759,Transmission,UT,07:00:00 02-Apr-2025,08:00:00 02-Apr-2025,depth,deep,,81.9,2930,2966,18,12.000000,,14.000000,17.000000,,20.000000,22.000000
Leaf Cutter,225759,Transmission,UT,07:00:00 02-Apr-2025,08:00:00 02-Apr-2025,depth,dry,,2.4,68,104,,,,,,,,
Leaf Cutter,225759,Transmission,UT,08:00:00 02-Apr-2025,09:00:00 02-Apr-2025,depth,shallow,0.000000,21.3,747,783,19,,1.000000,,,2.000000,,5.000000
Leaf Cutter,225759,Transmission,UT,08:00:00 02-Apr-2025,09:00:00 02-Apr-2025,depth,deep,,72.4,2590,2626,19,16.000000,,18.000000,19.000000,,20.000000,22.000000
Leaf Cutter,225759,Transmission,UT,08:00:00 02-Apr-2025,09:00:00 02-Apr-2025,depth,dry,,6.3,209,245,,,,,,,,
Leaf Cutter,225759,Transmission,UT,19:00:00 02-Apr-2025,20:00:00 02-Apr-2025,depth,shallow,0.000000,18.9,662,698,15,,1.000000,,,1.000000,,5.000000
Leaf Cutter,225759,Transmission,UT,19:00:00 02-Apr-2025,20:00:00 02-Apr-2025,depth,deep,,78.0,2788,2824,15,25.000000,,40.000000,44.000000,,48.000000,50.000000
