DeployID,Ptt,DepthSensor,Source,Instr,Date,Duration,Time Offset,Count,LocationQuality,Latitude,Longitude,BadTherm,NumBins,Partial,Depth1,Depth1Error,MinTemp1,MaxTemp1,%Ox1,Discont1,Depth2,Depth2Error,MinTemp2,MaxTemp2,%Ox2,Discont2,Depth3,Depth3Error,MinTemp3,MaxTemp3,%Ox3,Discont3,Depth4,Depth4Error,MinTemp4,MaxTemp4,%Ox4,Discont4,Depth5,Depth5Error,MinTemp5,MaxTemp5,%Ox5,Discont5,Depth6,Depth6Error,MinTemp6,MaxTemp6,%Ox6,Discont6,Depth7,Depth7Error,MinTemp7,MaxTemp7,%Ox7,Discont7,Depth8,Depth8Error,MinTemp8,MaxTemp8,%Ox8,Discont8,Depth9,Depth9Error,MinTemp9,MaxTemp9,%Ox9,Discont9,Depth10,Depth10Error,MinTemp10,MaxTemp10,%Ox10,Discont10,Depth11,Depth11Error,MinTemp11,MaxTemp11,%Ox11,Discont11,Depth12,Depth12Error,MinTemp12,MaxTemp12,%Ox12,Discont12,Depth13,Depth13Error,MinTemp13,MaxTemp13,%Ox13,Discont13,Depth14,Depth14Error,MinTemp14,MaxTemp14,%Ox14,Discont14,Depth15,Depth15Error,MinTemp15,MaxTemp15,%Ox15,Discont15,Depth16,Depth16Error,MinTemp16,MaxTemp16,%Ox16,Discont16,Depth17,Depth17Error,MinTemp17,MaxTemp17,%Ox17,Discont17,Depth18,Depth18Error,MinTemp18,MaxTemp18,%Ox18,Discont18,,,,,
Leaf Cutter,225759,0.500000,Transmission,UT,11:06:00 01-Apr-2025,16.7,1.00,1,,,, ,5,,0.00,0.00,10.525,10.575,,,5.00,0.00,10.525,10.575,,,10.00,0.00,10.475,10.525,,,15.00,0.00,10.475,10.525,,,20.00,0.00,10.525,10.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaf Cutter,225759,0.500000,Transmission,UT,23:00:00 01-Apr-2025,1.7,1.00,1,,,, ,5,,0.00,0.00,10.725,10.775,,,5.00,0.00,10.725,10.775,,,10.00,0.00,10.725,10.775,,,15.00,0.00,10.725,10.775,,,20.00,0.00,10.725,10.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaf Cutter,225759,0.500000,Transmission,UT,09:57:00 02-Apr-2025,16.7,1.00,1,,,, ,6,,0.00,0.00,10.625,10.675,,,5.00,0.00,10.625,10.675,,,10.00,0.00,10.575,10.625,,,15.00,0.00,10.575,10.625,,,20.00,0.00,10.575,10.625,,,25.00,1.00,10.575,10.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaf Cutter,225759,0.500000,Transmission,UT,21:03:00 02-Apr-2025,1.7,1.00,2,,,, ,6,,0.00,0.00,10.625,10.675,,,5.00,0.00,10.625,10.675,,,10.00,0.00,10.625,10.675,,,15.00,0.00,10.625,10.675,,,20.00,0.00,10.625,10.675,,,25.00,0.00,10.625,10.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaf Cutter,225759,0.500000,Transmission,UT,08:00:00 03-Apr-2025,1.7,1.00,1,,,, ,6,,0.00,0.00,10.575,10.625,,,5.00,0.00,10.575,10.625,,,10.00,0.00,10.575,10.625,,,15.00,0.00,10.575,10.625,,,20.00,0.00,10.575,10.625,,,25.00,1.00,10.575,10.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaf Cutter,225759,0.500000,Transmission,UT,21:03:00 03-Apr-2025,16.7,1.00,1,,,, ,6,,0.00,0.00,10.625,10.675,,,5.00,0.00,10.625,10.675,,,10.00,0.00,10.625,10.675,,,15.00,0.00,10.625,10.675,,,20.00,0.00,10.625,10.675,,,25.00,0.00,10.625,10.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaf Cutter,225759,0.500000,Transmission,UT,06:02:00 06-Apr-2025,1.7,1.00,4,,,, ,6,,0.00,0.00,10.625,10.675,,,5.00,0.00,10.625,10.675,,,10.00,0.00,10.625,10.675,,,15.00,0.00,10.625,10.675,,,20.00,0.00,10.625,10.675,,,25.00,0.00,10.625,10.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaf Cutter,225759,0.500000,Transmission,UT,17:02:00 06-Apr-2025,1.7,1.00,2,,,, ,11,,0.00,0.00,10.825,10.875,,,5.00,0.00,10.825,10.875,,,10.00,0.00,10.775,10.825,,,15.00,0.00,10.775,10.825,,,20.00,0.00,10.675,10.725,,,25.00,0.00,10.625,10.675,,,30.00,0.00,10.625,10.675,,,35.00,0.00,10.625,10.675,,,40.00,0.00,10.625,10.675,,,45.00,0.00,10.625,10.675,,,50.00,0.00,10.625,10.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaf Cutter,225759,0.500000,Transmission,UT,01:12:00 10-Apr-2025,1.7,1.00,1,,,, ,8,,0.00,0.00,10.925,10.975,,,5.00,0.00,10.925,10.975,,,10.00,0.00,10.825,10.875,,,15.00,0.00,10.825,10.875,,,20.00,0.00,10.825,10.875,,,25.00,0.00,10.775,10.825,,,30.00,0.00,10.775,10.825,,,35.00,0.00,10.775,10.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaf Cutter,225759,0.500000,Transmission,UT,23:10:00 11-Apr-2025,1.7,1.00,2,,,, ,17,,0.00,0.00,11.875,11.925,,,5.00,0.00,11.875,11.925,,,10.00,0.00,11.875,11.925,,,15.00,0.00,11.675,11.725,,,20.00,0.00,11.325,11.375,,,25.00,0.00,11.075,11.125,,,30.00,0.00,11.075,11.125,,,35.00,0.00,11.075,11.125,,,40.00,0.00,10.775,10.825,,,45.00,0.00,10.775,10.825,,,50.00,0.00,10.775,10.825,,,55.00,0.00,10.775,10.825,,,60.00,0.00,10.775,10.825,,,65.00,0.00,10.775,10.825,,,70.00,0.00,10.775,10.825,,,75.00,0.00,10.775,10.825,,,80.00,0.00,10.775,10.825,,,,,,,,,,,,,
Leaf Cutter,225759,0.500000,Transmission,UT,10:02:00 13-Apr-2025,16.7,1.00,1,,,, ,14,,0.00,0.00,11.375,11.425,,,5.00,0.00,11.375,11.425,,,10.00,0.00,11.375,11.425,,,15.00,0.00,11.375,11.425,,,20.00,0.00,11.375,11.425,,,25.00,0.00,11.375,11.425,,,30.00,0.00,11.375,11.425,,,35.00,0.00,11.375,11.425,,,40.00,0.00,11.375,11.425,,,45.00,0.00,11.375,11.425,,,50.00,0.00,11.375,11.425,,,55.00,0.00,11.375,11.425,,,60.00,0.00,11.375,11.425,,,65.00,1.00,11.375,11.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaf Cutter,225759,0.500000,Transmission,UT,21:15:00 13-Apr-2025,16.7,1.00,1,,,, ,15,,0.00,0.00,11.325,11.375,,,5.00,0.00,11.325,11.375,,,10.00,0.00,11.325,11.375,,,15.00,0.00,11.325,11.375,,,20.00,0.00,11.325,11.375,,,25.00,0.00,11.325,11.375,,,30.00,0.00,11.325,11.375,,,35.00,0.00,11.325,11.375,,,40.00,0.00,11.325,11.375,,,45.00,0.00,11.325,11.375,,,50.00,0.00,11.325,11.375,,,55.00,0.00,11.325,11.375,,,60.00,0.00,11.325,11.375,,,65.00,0.00,11.325,11.375,,,70.00,0.00,11.325,11.375,,,,,,,,,,,,,,,,,,,,,,,,,
Leaf Cutter,225759,0.500000,Transmission,UT,17:01:00 17-Apr-2025,16.7,1.00,2,,,, ,15,,0.00,0.00,11.625,11.675,,,5.00,0.00,11.625,11.675,,,10.00,0.00,11.625,11.675,,,15.00,0.00,11.375,11.425,,,20.00,0.00,11.375,11.425,,,25.00,0.00,11.375,11.425,,,30.00,0.00,11.375,11.425,,,35.00,0.00,11.375,11.425,,,40.00,0.00,11.375,11.425,,,45.00,0.00,11.375,11.425,,,50.00,0.00,11.375,11.425,,,55.00,0.00,11.375,11.425,,,60.00,0.00,11.375,11.425,,,65.00,0.00,11.375,11.425,,,70.00,0.00,11.375,11.425,,,,,,,,,,,,,,,,,,,,,,,,,
Leaf Cutter,225759,0.500000,Transmission,UT,05:08:00 18-Apr-2025,16.7,1.00,1,,,, ,17,,0.00,0.00,11.575,11.625,,,5.00,0.00,11.525,11.575,,,10.00,0.00,11.525,11.575,,,15.00,0.00,11.525,11.575,,,20.00,0.00,11.425,11.475,,,25.00,0.00,11.225,11.275,,,30.00,0.00,11.225,11.275,,,35.00,0.00,11.225,11.275,,,40.00,0.00,11.225,11.275,,,45.00,0.00,11.225,11.275,,,50.00,0.00,11.225,11.275,,,55.00,0.00,11.225,11.275,,,60.00,0.00,11.225,11.275,,,65.00,0.00,11.225,11.275,,,70.00,0.00,11.225,11.275,,,75.00,0.00,11.225,11.275,,,80.00,0.00,11.225,11.275,,,,,,,,,,,,,
Leaf Cutter,225759,0.500000,Transmission,UT,15:04:00 19-Apr-2025,16.7,1.00,2,,,, ,17,,0.00,0.00,11.875,11.925,,,5.00,0.00,11.675,11.725,,,10.00,0.00,11.575,11.625,,,15.00,0.00,11.525,11.575,,,20.00,0.00,11.475,11.525,,,25.00,0.00,11.475,11.525,,,30.00,0.00,11.425,11.475,,,35.00,0.00,11.425,11.475,,,40.00,0.00,11.425,11.475,,,45.00,0.00,11.425,11.475,,,50.00,0.00,11.425,11.475,,,55.00,0.00,11.425,11.475,,,60.00,0.00,11.425,11.475,,,65.00,0.00,11.425,11.475,,,70.00,0.00,11.425,11.475,,,75.00,0.00,11.425,11.475,,,80.00,0.00,11.425,11.475,,,,,,,,,,,,,
Leaf Cutter,225759,0.500000,Transmission,UT,14:03:00 20-Apr-2025,16.7,1.00,1,,,, ,15,,0.00,0.00,12.175,12.225,,,5.00,0.00,11.725,11.775,,,10.00,0.00,11.525,11.575,,,15.00,0.00,11.475,11.525,,,20.00,0.00,11.475,11.525,,,25.00,0.00,11.425,11.475,,,30.00,0.00,11.475,11.525,,,35.00,0.00,11.425,11.475,,,40.00,0.00,11.375,11.425,,,45.00,0.00,11.375,11.425,,,50.00,1.00,11.375,11.425,,,55.00,0.00,11.375,11.425,,,60.00,0.00,11.375,11.425,,,65.00,0.00,11.375,11.425,,,70.00,0.00,11.375,11.425,,,,,,,,,,,,,,,,,,,,,,,,,
Leaf Cutter,225759,0.500000,Transmission,UT,02:02:00 21-Apr-2025,1.7,1.00,2,,,, ,5,,0.00,0.00,11.975,12.025,,,5.00,0.00,11.975,12.025,,,10.00,0.00,11.975,12.025,,,15.00,0.00,11.575,11.625,,,20.00,0.00,11.425,11.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaf Cutter,225759,0.500000,Transmission,UT,09:04:00 25-Apr-2025,16.7,1.00,2,,,, ,17,,0.00,0.00,12.075,12.125,,,5.00,0.00,12.075,12.125,,,10.00,0.00,12.025,12.075,,,15.00,0.00,12.025,12.075,,,20.00,0.00,11.975,12.025,,,25.00,0.00,11.975,12.025,,,30.00,0.00,11.925,11.975,,,35.00,0.00,11.825,11.875,,,40.00,0.00,11.075,11.125,,,45.00,0.00,11.025,11.075,,,50.00,0.00,11.025,11.075,,,55.00,0.00,11.025,11.075,,,60.00,0.00,11.025,11.075,,,65.00,0.00,11.025,11.075,,,70.00,0.00,11.025,11.075,,,75.00,0.00,11.025,11.075,,,80.00,0.00,11.025,11.075,,,,,,,,,,,,,
Leaf Cutter,225759,0.500000,Transmission,UT,21:09:00 25-Apr-2025,16.7,1.00,1,,,, ,17,,0.00,0.00,12.175,12.225,,,5.00,0.00,12.175,12.225,,,10.00,0.00,12.175,12.225,,,15.00,0.00,12.075,12.125,,,20.00,0.00,11.925,11.975,,,25.00,0.00,11.775,11.825,,,30.00,0.00,11.575,11.625,,,35.00,0.00,11.425,11.475,,,40.00,0.00,11.175,11.225,,,45.00,0.00,11.125,11.175,,,50.00,0.00,11.075,11.125,,,55.00,0.00,11.075,11.125,,,60.00,0.00,11.075,11.125,,,65.00,0.00,11.075,11.125,,,70.00,0.00,11.075,11.125,,,75.00,0.00,11.075,11.125,,,80.00,0.00,11.075,11.125,,,,,,,,,,,,,
Leaf Cutter,225759,0.500000,Transmission,UT,09:01:00 26-Apr-2025,16.7,1.00,3,,,, ,17,,0.00,0.00,12.325,12.375,,,5.00,0.00,12.175,12.225,,,10.00,0.00,12.075,12.125,,,15.00,0.00,12.075,12.125,,,20.00,0.00,12.025,12.075,,,25.00,0.00,11.975,12.025,,,30.00,0.00,11.875,11.925,,,35.00,0.00,11.825,11.875,,,40.00,0.00,11.575,11.625,,,45.00,0.00,11.225,11.275,,,50.00,0.00,11.025,11.075,,,55.00,0.00,11.025,11.075,,,60.00,0.00,11.025,11.075,,,65.00,0.00,11.025,11.075,,,70.00,0.00,11.025,11.075,,,75.00,0.00,11.025,11.075,,,80.00,0.00,11.025,11.075,,,,,,,,,,,,,
Leaf Cutter,225759,0.500000,Transmission,UT,20:10:00 26-Apr-2025,16.7,1.00,2,,,, ,18,,0.00,0.00,12.725,12.775,,,5.00,0.00,12.375,12.425,,,10.00,0.00,12.325,12.375,,,15.00,0.00,12.275,12.325,,,20.00,0.00,12.025,12.075,,,25.00,0.00,11.575,11.625,,,30.00,0.00,11.175,11.225,,,35.00,0.00,11.125,11.175,,,40.00,0.00,11.125,11.175,,,45.00,0.00,11.125,11.175,,,50.00,0.00,11.125,11.175,,,55.00,0.00,11.125,11.175,,,60.00,0.00,11.125,11.175,,,65.00,0.00,11.125,11.175,,,70.00,0.00,11.125,11.175,,,75.00,0.00,11.125,11.175,,,80.00,0.00,11.125,11.175,,,85.00,0.00,11.125,11.175,,,,,,,
Leaf Cutter,225759,0.500000,Transmission,UT,07:02:00 27-Apr-2025,1.7,1.00,1,,,, ,14,,0.00,0.00,12.275,12.325,,,5.00,0.00,12.275,12.325,,,10.00,0.00,12.025,12.075,,,15.00,1.00,11.975,12.025,,,20.00,0.00,11.675,11.725,,,25.00,0.00,11.525,11.575,,,30.00,0.00,11.475,11.525,,,35.00,0.00,11.375,11.425,,,40.00,0.00,11.425,11.475,,,45.00,0.00,11.375,11.425,,,50.00,0.00,11.325,11.375,,,55.00,0.00,11.275,11.325,,,60.00,0.00,11.275,11.325,,,65.00,0.00,11.275,11.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaf Cutter,225759,0.500000,Transmission,UT,19:00:00 27-Apr-2025,16.7,1.00,4,,,, ,11,,0.00,0.00,11.475,11.525,,,5.00,1.00,11.475,11.525,,,10.00,0.00,11.475,11.525,,,15.00,0.00,11.475,11.525,,,20.00,0.00,11.475,11.525,,,25.00,0.00,11.475,11.525,,,30.00,0.00,11.475,11.525,,,35.00,0.00,11.475,11.525,,,40.00,0.00,11.475,11.525,,,45.00,0.00,11.475,11.525,,,50.00,0.00,11.475,11.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
