DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt,S11,ReleaseWetDry,ReleaseTemperature,MaxDepth,LLRangeToday,DeployStart,FirstPostReleaseTX,upright,SWBuild
Leaf Cutter,225759,0.500000,UT,,06:12:11 01-Apr-2025,06:12:12 01-Apr-2025,1,B,50.0855,-5.4613,CRC,,,,1028,3.425,,,10.50,0.0,,,,,,,,,,,,,166,23,255,40,,,,,,,52,218,69,0,5,,,,,,11:00:00 31-Mar-2025,,,
Leaf Cutter,225759,0.500000,UT,,,10:58:33 05-Apr-2025,,A,49.9924,-5.5669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,11:00:00 31-Mar-2025,,,-27883
Leaf Cutter,225759,0.500000,UT,,22:12:55 06-Apr-2025,22:12:55 06-Apr-2025,0,3,50.0791,-5.4205,CRC,,,,2878,3.425,,,10.80,0.0,,,,,,,,,,,,,180,22,255,40,,,,,,,56,430,193,0,14,,,,,,11:00:00 31-Mar-2025,,,
Leaf Cutter,225759,0.500000,UT,,21:55:17 07-Apr-2025,21:55:18 07-Apr-2025,1,2,50.0787,-5.4470,CRC,,,,3178,3.425,,,10.90,0.0,,,,,,,,,,,,,108,22,255,40,,,,,,,58,472,222,0,15,,,,,,11:00:00 31-Mar-2025,,,
Leaf Cutter,225759,0.500000,UT,,05:44:20 12-Apr-2025,05:44:20 12-Apr-2025,0,0,49.9292,-5.8887,CRC,,,,4303,3.400,,,11.75,0.0,,,,,,,,,,,,,144,22,255,40,,,,,,,48,647,358,0,6,,,,,,11:00:00 31-Mar-2025,,,
Leaf Cutter,225759,0.500000,UT,,18:26:57 14-Apr-2025,18:26:57 14-Apr-2025,0,2,50.1435,-5.9098,CRC,,,,5103,3.400,,,11.40,0.0,,,,,,,,,,,,,159,22,255,40,,,,,,,50,730,403,0,13,,,,,,11:00:00 31-Mar-2025,,,
Leaf Cutter,225759,0.500000,UT,,08:08:26 17-Apr-2025,08:08:27 17-Apr-2025,1,B,50.1334,-5.5885,CRC,,,,5903,3.450,,,11.65,0.0,,,,,,,,,,,,,151,22,255,40,,,,,,,42,830,467,0,19,,,,,,11:00:00 31-Mar-2025,,,
Leaf Cutter,225759,0.500000,UT,,17:58:40 17-Apr-2025,17:58:40 17-Apr-2025,0,A,49.9853,-6.0324,CRC,,,,6003,3.400,,,11.55,0.0,,,,,,,,,,,,,164,22,255,40,,,,,,,46,843,475,0,7,,,,,,11:00:00 31-Mar-2025,,,
Leaf Cutter,225759,0.500000,UT,,10:03:06 20-Apr-2025,10:03:07 20-Apr-2025,1,0,50.0758,-6.1800,CRC,,,,6828,3.450,,,12.15,0.0,,,,,,,,,,,,,116,22,255,40,,,,,,,44,940,532,0,17,,,,,,11:00:00 31-Mar-2025,,,
Leaf Cutter,225759,0.500000,UT,,05:37:55 21-Apr-2025,05:37:55 21-Apr-2025,0,B,50.1636,-5.9300,CRC,,,,7103,3.425,,,11.85,0.0,,,,,,,,,,,,,170,22,255,40,,,,,,,70,966,544,0,5,,,,,,11:00:00 31-Mar-2025,,,
Leaf Cutter,225759,0.500000,UT,,07:27:51 26-Apr-2025,07:27:52 26-Apr-2025,1,B,49.8100,-5.8790,CRC,,,,8453,3.425,,,12.30,0.0,,,,,,,,,,,,,170,22,255,33,,,,,,,74,1167,691,0,15,,,,,,11:00:00 31-Mar-2025,,,
Leaf Cutter,225759,0.500000,UT,,21:41:00 26-Apr-2025,21:41:00 26-Apr-2025,0,B,49.7385,-5.7554,CRC,,,,8703,3.425,,,12.80,0.0,,,,,,,,,,,,,108,22,255,40,,,,,,,74,1185,699,0,13,,,,,,11:00:00 31-Mar-2025,,,
Leaf Cutter,225759,0.500000,UT,,22:52:44 27-Apr-2025,22:52:44 27-Apr-2025,0,2,50.0522,-5.6935,CRC,,,,9103,3.400,,,11.90,0.0,,,,,,,,,,,,,236,22,255,40,,,,,,,70,1216,709,0,25,,,,,,11:00:00 31-Mar-2025,,,
Leaf Cutter,225759,0.500000,UT,,18:38:46 04-May-2025,18:38:46 04-May-2025,0,B,49.9435,-5.5213,CRC,,,,11203,3.400,,,13.50,0.0,,,,,,,,,,,,,186,255,255,40,,,,,,,54,1475,875,0,9,,,,,,11:00:00 31-Mar-2025,,,
Leaf Cutter,225759,0.500000,UT,,23:03:23 04-May-2025,23:03:23 04-May-2025,0,2,50.0321,-5.5368,CRC,,,,11278,3.400,,,12.40,0.0,,,,,,,,,,,,,174,255,255,40,,,,,,,62,1482,877,0,6,,,,,,11:00:00 31-Mar-2025,,,
