Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,50CI,95CI,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
Leaf Cutter,31-Mar-2025,11:08:27,3,1.000000,,,0,4,50.09160,-5.20202,11:08:28 31-Mar-2025,Interpolated,50.11092,-5.44344,,,,,1.1,-1.1,,,,15,29,29902,,,,16,12405,,,,5,26230,,,,18,25637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaf Cutter,31-Mar-2025,15:30:56,1,1.000000,,,0,7,50.08948,-5.22663,15:30:57 31-Mar-2025,Interpolated,50.11204,-5.44421,,,,,12.0,-0.4,,,,15,2,14754,,,,10,12732,,,,32,20375,,,,27,5090,,,,8,9036,,,,16,19515,,,,1,26152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaf Cutter,01-Apr-2025,04:14:48,1,1.000000,,,0,4,50.09722,-5.44174,04:14:49 01-Apr-2025,Interpolated,50.08883,-5.40948,,,,,12.0,-0.3,,,,15,24,15205,,,,15,14035,,,,22,13378,,,,13,4765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaf Cutter,01-Apr-2025,10:20:59,1,1.000000,,,0,5,50.09666,-5.45915,10:21:00 01-Apr-2025,Interpolated,50.09011,-5.44056,,,,,4.7,-0.1,,,,15,18,9088,,,,29,21520,,,,28,1946,,,,31,16398,,,,25,29338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaf Cutter,01-Apr-2025,17:14:22,1,1.000000,,,0,4,50.08245,-5.37745,17:14:23 01-Apr-2025,Interpolated,50.09351,-5.38914,,,,,5.1,0.0,,,,15,3,28286,,,,17,5692,,,,1,10332,,,,32,22215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaf Cutter,01-Apr-2025,19:33:52,1,1.000000,,,0,6,50.07723,-5.39875,19:33:53 01-Apr-2025,Interpolated,50.07986,-5.35616,,,,,14.2,-1.0,,,,15,19,19826,,,,6,28432,,,,4,2580,,,,17,30388,,,,3,18026,,,,1,30439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaf Cutter,02-Apr-2025,06:31:14,1,1.000000,,,0,5,50.08335,-5.45844,06:31:15 02-Apr-2025,Interpolated,50.10823,-5.43607,,1,,,29.9,-0.1,,,,15,24,20256,,,,12,10533,,,,25,19735,,,,28,3596,,,,32,28580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaf Cutter,02-Apr-2025,09:57:34,1,1.000000,,,0,4,50.07384,-5.46444,09:57:35 02-Apr-2025,Interpolated,50.09173,-5.44240,,,,,0.7,0.2,,,,15,31,1581,,,,4,26622,,,,26,7796,,,,29,766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaf Cutter,02-Apr-2025,10:00:00,1,1.000000,,,0,4,50.07373,-5.46451,10:00:01 02-Apr-2025,Interpolated,50.09095,-5.44437,,,,,5.5,-0.4,,,,15,29,3352,,,,26,21328,,,,31,7840,,,,25,13188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaf Cutter,02-Apr-2025,13:40:49,1,1.000000,,,0,5,50.05947,-5.48138,13:40:50 02-Apr-2025,Interpolated,50.03188,-5.51662,,1,,,24.2,-0.7,,,,15,10,14091,,,,16,32160,,,,26,27861,,,,21,4667,,,,8,26370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaf Cutter,02-Apr-2025,22:02:17,2,1.000000,,,0,5,50.08085,-5.41311,22:02:18 02-Apr-2025,Interpolated,50.08484,-5.40423,,,,,6.8,-1.6,,,,15,7,29985,,,,4,19652,,,,9,6120,,,,30,18514,,,,20,25656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaf Cutter,03-Apr-2025,06:30:12,1,1.000000,,,0,5,50.13223,-5.34612,06:30:13 03-Apr-2025,Interpolated,50.07385,-5.50098,,,,,4.0,0.0,,,,15,24,30134,,,,19,3421,,,,12,29852,,,,6,25255,,,,32,23010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
