DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error Radius,Error Semi-Major Axis,Error Semi-Minor Axis,Error Ellipse Orientation,Offset,Offset Orientation,GPE MSD,GPE U,Count,Comment
Leaf Cutter,225759,UT,11:08:27 31-Mar-2025,User,,50.0916,-5.2020,,,,,,,,,,
Leaf Cutter,225759,UT,11:08:26.906000 31-Mar-2025,FastGPS,4,50.1109,-5.4434,,,,,,,,,,
Leaf Cutter,225759,UT,15:30:56.556000 31-Mar-2025,FastGPS,7,50.1120,-5.4442,,,,,,,,,,
Leaf Cutter,225759,UT,19:07:49 31-Mar-2025,Argos,A,50.8464,-9.5331,,,,,,,,,,
Leaf Cutter,225759,UT,21:46:15 31-Mar-2025,Argos,B,50.1149,-5.4351,1446,3864,540,83,,,,,,
Leaf Cutter,225759,UT,00:47:31 01-Apr-2025,Argos,B,50.1112,-5.4474,1440,20765,99,29,,,,,,
Leaf Cutter,225759,UT,04:14:48.699900 01-Apr-2025,FastGPS,4,50.0888,-5.4095,,,,,,,,,,
Leaf Cutter,225759,UT,06:09:06 01-Apr-2025,Argos,B,50.0855,-5.4613,1595,36253,70,86,,,,,,
Leaf Cutter,225759,UT,06:30:43 01-Apr-2025,Argos,B,50.0886,-5.4376,705,10928,45,111,,,,,,
Leaf Cutter,225759,UT,08:24:11 01-Apr-2025,Argos,B,50.1105,-5.4349,1220,55524,26,99,,,,,,
Leaf Cutter,225759,UT,10:20:59.909404 01-Apr-2025,FastGPS,5,50.0901,-5.4406,,,,,,,,,,
Leaf Cutter,225759,UT,10:35:17 01-Apr-2025,Argos,B,50.0950,-5.4621,1543,82929,28,110,,,,,,
Leaf Cutter,225759,UT,11:23:49 01-Apr-2025,Argos,B,50.0919,-5.4562,1619,4733,553,109,,,,,,
Leaf Cutter,225759,UT,12:50:48 01-Apr-2025,Argos,B,50.0908,-5.4575,2051,4272,984,104,,,,,,
Leaf Cutter,225759,UT,15:53:58 01-Apr-2025,Argos,B,50.0866,-5.4551,2663,4450,1593,98,,,,,,
Leaf Cutter,225759,UT,17:14:23.032763 01-Apr-2025,FastGPS,4,50.0935,-5.3891,,,,,,,,,,
Leaf Cutter,225759,UT,17:28:09 01-Apr-2025,Argos,A,50.0931,-5.3798,109,357,33,85,,,,,,
Leaf Cutter,225759,UT,18:32:28 01-Apr-2025,Argos,A,50.0773,-5.3656,150,698,32,107,,,,,,
Leaf Cutter,225759,UT,19:33:52.016002 01-Apr-2025,FastGPS,6,50.0799,-5.3562,,,,,,,,,,
Leaf Cutter,225759,UT,19:45:47 01-Apr-2025,Argos,B,50.0756,-5.3507,1077,2047,566,86,,,,,,
Leaf Cutter,225759,UT,20:16:53 01-Apr-2025,Argos,B,50.0775,-5.3508,815,9467,70,123,,,,,,
Leaf Cutter,225759,UT,20:18:44 01-Apr-2025,Argos,B,50.0785,-5.3521,819,4722,141,122,,,,,,
Leaf Cutter,225759,UT,21:32:07 01-Apr-2025,Argos,1,50.0748,-5.3956,507,2222,115,77,,,,,,
Leaf Cutter,225759,UT,21:38:46 01-Apr-2025,Argos,B,50.0746,-5.3967,1289,2254,737,86,,,,,,
Leaf Cutter,225759,UT,22:01:53 01-Apr-2025,Argos,B,50.0749,-5.3970,2179,3630,1308,87,,,,,,
Leaf Cutter,225759,UT,22:23:34 01-Apr-2025,Argos,B,50.0834,-5.4032,704,10648,46,79,,,,,,
Leaf Cutter,225759,UT,23:13:08 01-Apr-2025,Argos,2,50.1035,-5.4457,390,556,274,48,,,,,,
Leaf Cutter,225759,UT,23:19:50 01-Apr-2025,Argos,B,50.1052,-5.4471,448,1719,116,75,,,,,,
Leaf Cutter,225759,UT,00:01:34 02-Apr-2025,Argos,A,50.1010,-5.4711,142,854,23,88,,,,,,
Leaf Cutter,225759,UT,05:36:39 02-Apr-2025,Argos,B,50.1173,-5.5912,2495,3852,1615,90,,,,,,
Leaf Cutter,225759,UT,05:58:14 02-Apr-2025,Argos,B,50.1087,-5.5385,4309,31011,598,94,,,,,,
Leaf Cutter,225759,UT,06:31:14.908648 02-Apr-2025,FastGPS,4,50.1082,-5.4361,,,,,,,,,,
Leaf Cutter,225759,UT,07:37:11 02-Apr-2025,Argos,B,50.1134,-5.5709,4425,21841,896,94,,,,,,
Leaf Cutter,225759,UT,09:26:10 02-Apr-2025,Argos,B,50.0831,-5.4356,3126,112302,87,75,,,,,,
Leaf Cutter,225759,UT,09:31:53 02-Apr-2025,Argos,B,50.0861,-5.4249,534,2694,105,107,,,,,,
Leaf Cutter,225759,UT,09:52:48 02-Apr-2025,Argos,B,50.0943,-5.4244,536,5705,50,91,,,,,,
Leaf Cutter,225759,UT,09:57:35.178468 02-Apr-2025,FastGPS,4,50.0917,-5.4424,,,,,,,,,,
Leaf Cutter,225759,UT,10:00:00.599621 02-Apr-2025,FastGPS,4,50.0909,-5.4444,,,,,,,,,,
Leaf Cutter,225759,UT,10:09:52 02-Apr-2025,Argos,B,50.0940,-5.4242,779,1961,309,91,,,,,,
Leaf Cutter,225759,UT,11:03:01 02-Apr-2025,Argos,B,50.0756,-5.4461,11571,21096,6346,92,,,,,,
Leaf Cutter,225759,UT,11:14:27 02-Apr-2025,Argos,B,50.0761,-5.4468,9646,44228,2103,85,,,,,,
Leaf Cutter,225759,UT,11:27:48 02-Apr-2025,Argos,1,50.0697,-5.4671,636,2229,181,105,,,,,,
Leaf Cutter,225759,UT,11:36:30 02-Apr-2025,Argos,B,50.0805,-5.4724,1140,5548,234,80,,,,,,
Leaf Cutter,225759,UT,11:54:00 02-Apr-2025,Argos,B,50.0796,-5.4718,2051,3785,1111,87,,,,,,
Leaf Cutter,225759,UT,12:44:03 02-Apr-2025,Argos,B,50.0777,-5.4700,1643,2647,1020,90,,,,,,
Leaf Cutter,225759,UT,13:08:42 02-Apr-2025,Argos,B,50.0786,-5.4721,1355,2154,852,90,,,,,,
Leaf Cutter,225759,UT,13:15:17 02-Apr-2025,Argos,A,50.0367,-5.5084,139,195,98,106,,,,,,
Leaf Cutter,225759,UT,13:40:49.261307 02-Apr-2025,FastGPS,4,50.0319,-5.5166,,,,,,,,,,
Leaf Cutter,225759,UT,15:10:35 02-Apr-2025,Argos,B,50.0306,-5.4994,1388,2097,918,81,,,,,,
Leaf Cutter,225759,UT,16:43:47 02-Apr-2025,Argos,B,50.0326,-5.4978,1342,47493,37,78,,,,,,
Leaf Cutter,225759,UT,17:44:14 02-Apr-2025,Argos,B,50.0307,-5.4923,1613,4553,571,79,,,,,,
Leaf Cutter,225759,UT,18:04:28 02-Apr-2025,Argos,B,50.0251,-5.4729,1350,13951,130,73,,,,,,
Leaf Cutter,225759,UT,19:16:25 02-Apr-2025,Argos,B,50.0274,-5.4589,1674,4297,652,79,,,,,,
Leaf Cutter,225759,UT,21:00:26 02-Apr-2025,Argos,B,50.0322,-5.4264,1217,3585,413,173,,,,,,
Leaf Cutter,225759,UT,21:30:50 02-Apr-2025,Argos,B,50.0694,-5.4286,1176,15943,86,78,,,,,,
Leaf Cutter,225759,UT,22:02:16.394044 02-Apr-2025,FastGPS,5,50.0848,-5.4042,,,,,,,,,,
Leaf Cutter,225759,UT,23:02:22 02-Apr-2025,Argos,A,50.1028,-5.3835,758,4416,130,62,,,,,,
Leaf Cutter,225759,UT,23:09:02 02-Apr-2025,Argos,A,50.0932,-5.3907,144,253,81,119,,,,,,
Leaf Cutter,225759,UT,23:14:45 02-Apr-2025,Argos,B,50.0894,-5.3795,326,1121,94,36,,,,,,
Leaf Cutter,225759,UT,00:52:38 03-Apr-2025,Argos,B,50.1204,-5.3522,1312,2175,791,81,,,,,,
Leaf Cutter,225759,UT,00:52:38 03-Apr-2025,Argos,B,50.1195,-5.3607,1347,2131,851,90,,,,,,
Leaf Cutter,225759,UT,05:30:01 03-Apr-2025,Argos,B,50.2026,-5.3053,2829,3989,2006,77,,,,,,
Leaf Cutter,225759,UT,06:30:13.006838 03-Apr-2025,FastGPS,5,50.0738,-5.5010,,,,,,,,,,
Leaf Cutter,225759,UT,06:30:31 03-Apr-2025,Argos,B,50.1319,-5.3463,4111,9012,1875,56,,,,,,
Leaf Cutter,225759,UT,08:00:32.052656 03-Apr-2025,FastGPS,8,50.1045,-5.5076,,,,,,,,,,
Leaf Cutter,225759,UT,09:00:17.906896 03-Apr-2025,FastGPS,4,50.1217,-5.5200,,,,,,,,,,
Leaf Cutter,225759,UT,09:49:07 03-Apr-2025,Argos,B,50.1498,-5.3289,4270,7768,2346,63,,,,,,
Leaf Cutter,225759,UT,10:05:22.195826 03-Apr-2025,FastGPS,6,50.0962,-5.4885,,,,,,,,,,
Leaf Cutter,225759,UT,10:39:53 03-Apr-2025,Argos,B,50.1533,-5.3368,4479,8232,2437,61,,,,,,
Leaf Cutter,225759,UT,10:43:11 03-Apr-2025,Argos,B,50.0741,-5.4309,7703,86524,685,112,,,,,,
Leaf Cutter,225759,UT,11:15:43 03-Apr-2025,Argos,B,50.0735,-5.4633,2245,51393,98,83,,,,,,
Leaf Cutter,225759,UT,11:27:55 03-Apr-2025,Argos,B,50.0732,-5.4645,498,3462,71,108,,,,,,
Leaf Cutter,225759,UT,11:35:48 03-Apr-2025,Argos,B,50.0699,-5.4731,1049,3444,319,83,,,,,,
Leaf Cutter,225759,UT,12:21:09 03-Apr-2025,Argos,A,50.0496,-5.4640,187,305,114,87,,,,,,
Leaf Cutter,225759,UT,12:58:25 03-Apr-2025,Argos,B,50.0383,-5.4799,1064,1658,682,90,,,,,,
Leaf Cutter,225759,UT,12:58:25 03-Apr-2025,Argos,B,50.0408,-5.4767,951,1539,587,77,,,,,,
Leaf Cutter,225759,UT,13:06:18 03-Apr-2025,Argos,B,50.0410,-5.4766,1012,1646,621,80,,,,,,
Leaf Cutter,225759,UT,14:34:29 03-Apr-2025,Argos,B,50.0597,-5.4484,1301,18034,93,121,,,,,,
Leaf Cutter,225759,UT,14:43:46 03-Apr-2025,Argos,B,50.0587,-5.4452,1307,4953,344,120,,,,,,
Leaf Cutter,225759,UT,15:01:52.351354 03-Apr-2025,FastGPS,8,50.0664,-5.4255,,,,,,,,,,
Leaf Cutter,225759,UT,16:00:56 03-Apr-2025,Argos,B,50.0472,-5.4592,1917,3532,1040,110,,,,,,
Leaf Cutter,225759,UT,17:45:00 03-Apr-2025,Argos,B,50.0590,-5.4139,1060,3957,283,15,,,,,,
Leaf Cutter,225759,UT,18:41:35.227801 03-Apr-2025,FastGPS,4,50.0818,-5.3720,,,,,,,,,,
Leaf Cutter,225759,UT,19:10:21 03-Apr-2025,Argos,B,50.0957,-5.3904,1166,26901,50,113,,,,,,
Leaf Cutter,225759,UT,19:44:35 03-Apr-2025,Argos,B,50.0957,-5.3808,1165,2697,502,108,,,,,,
Leaf Cutter,225759,UT,20:51:46 03-Apr-2025,Argos,B,50.0877,-5.3668,1507,3059,742,97,,,,,,
Leaf Cutter,225759,UT,20:55:33.295659 03-Apr-2025,FastGPS,4,50.0751,-5.3528,,,,,,,,,,
Leaf Cutter,225759,UT,21:03:23.389352 03-Apr-2025,FastGPS,4,50.0733,-5.3557,,,,,,,,,,
Leaf Cutter,225759,UT,21:10:59 03-Apr-2025,Argos,B,50.0771,-5.3545,1059,12446,90,68,,,,,,
Leaf Cutter,225759,UT,21:14:59 03-Apr-2025,Argos,B,50.0810,-5.3672,1532,3745,626,92,,,,,,
Leaf Cutter,225759,UT,21:17:52 03-Apr-2025,Argos,B,50.0798,-5.3671,1522,3921,590,92,,,,,,
Leaf Cutter,225759,UT,22:12:09 03-Apr-2025,Argos,B,50.0824,-5.3622,1010,13344,76,48,,,,,,
Leaf Cutter,225759,UT,22:47:07 03-Apr-2025,Argos,A,50.0726,-5.3760,170,254,113,125,,,,,,
Leaf Cutter,225759,UT,22:55:56 03-Apr-2025,Argos,A,50.0709,-5.3760,128,598,27,82,,,,,,
Leaf Cutter,225759,UT,23:03:41.394000 03-Apr-2025,FastGPS,8,50.0684,-5.3822,,,,,,,,,,
Leaf Cutter,225759,UT,00:04:16.106564 04-Apr-2025,FastGPS,6,50.0849,-5.4178,,,,,,,,,,
Leaf Cutter,225759,UT,00:08:48 04-Apr-2025,Argos,2,50.0897,-5.4128,345,781,151,79,,,,,,
Leaf Cutter,225759,UT,01:08:14.369690 04-Apr-2025,FastGPS,4,50.1091,-5.4286,,,,,,,,,,
Leaf Cutter,225759,UT,01:45:08 04-Apr-2025,Argos,B,50.0952,-5.4312,5174,8404,3184,87,,,,,,
Leaf Cutter,225759,UT,05:17:52.891591 04-Apr-2025,FastGPS,8,50.1074,-5.4349,,,,,,,,,,
Leaf Cutter,225759,UT,05:44:43 04-Apr-2025,Argos,A,50.1050,-5.4427,113,369,34,102,,,,,,
Leaf Cutter,225759,UT,06:24:32.820343 04-Apr-2025,FastGPS,5,50.1071,-5.4342,,,,,,,,,,
Leaf Cutter,225759,UT,06:33:10 04-Apr-2025,Argos,A,50.1054,-5.4592,173,299,99,27,,,,,,
Leaf Cutter,225759,UT,07:01:39.277000 04-Apr-2025,FastGPS,6,50.1026,-5.4480,,,,,,,,,,
Leaf Cutter,225759,UT,07:02:01 04-Apr-2025,Argos,B,50.1110,-5.4667,733,1173,457,87,,,,,,
Leaf Cutter,225759,UT,07:26:14 04-Apr-2025,Argos,B,50.1137,-5.4521,707,5396,92,145,,,,,,
Leaf Cutter,225759,UT,10:20:04 04-Apr-2025,Argos,B,50.1200,-5.4880,1941,2806,1341,97,,,,,,
Leaf Cutter,225759,UT,10:20:56 04-Apr-2025,Argos,A,50.1180,-5.4370,672,4826,93,67,,,,,,
Leaf Cutter,225759,UT,10:31:13.894975 04-Apr-2025,FastGPS,4,50.1181,-5.4557,,,,,,,,,,
Leaf Cutter,225759,UT,11:06:24 04-Apr-2025,Argos,B,50.1167,-5.4485,1025,2275,461,83,,,,,,
Leaf Cutter,225759,UT,11:15:06 04-Apr-2025,Argos,B,50.1154,-5.4439,1122,2579,487,86,,,,,,
Leaf Cutter,225759,UT,11:15:40 04-Apr-2025,Argos,B,50.1140,-5.4662,1389,15163,127,107,,,,,,
Leaf Cutter,225759,UT,12:48:07.254119 04-Apr-2025,FastGPS,4,50.1055,-5.4506,,,,,,,,,,
Leaf Cutter,225759,UT,12:50:11 04-Apr-2025,Argos,B,50.1163,-5.4852,1912,4782,764,104,,,,,,
Leaf Cutter,225759,UT,12:51:16 04-Apr-2025,Argos,B,50.1119,-5.4669,1316,27294,63,100,,,,,,
Leaf Cutter,225759,UT,13:43:23 04-Apr-2025,Argos,B,50.1115,-5.4727,1744,6041,503,99,,,,,,
Leaf Cutter,225759,UT,13:47:52 04-Apr-2025,Argos,A,50.0979,-5.4406,145,387,54,76,,,,,,
Leaf Cutter,225759,UT,15:27:49 04-Apr-2025,Argos,B,50.0983,-5.4570,1319,1965,885,84,,,,,,
Leaf Cutter,225759,UT,15:27:49 04-Apr-2025,Argos,B,50.1008,-5.4607,1346,2200,823,90,,,,,,
Leaf Cutter,225759,UT,15:30:45.157787 04-Apr-2025,FastGPS,4,50.0962,-5.4829,,,,,,,,,,
Leaf Cutter,225759,UT,17:04:40 04-Apr-2025,Argos,B,50.0992,-5.4731,1370,12944,145,39,,,,,,
Leaf Cutter,225759,UT,18:41:51 04-Apr-2025,Argos,B,50.0933,-5.4955,1755,2966,1038,62,,,,,,
Leaf Cutter,225759,UT,18:41:51 04-Apr-2025,Argos,B,50.0849,-5.5074,1520,2107,1096,77,,,,,,
Leaf Cutter,225759,UT,20:52:50 04-Apr-2025,Argos,A,50.0608,-5.5010,180,1077,30,85,,,,,,
Leaf Cutter,225759,UT,20:59:31 04-Apr-2025,Argos,B,50.0599,-5.5039,410,837,200,86,,,,,,
Leaf Cutter,225759,UT,21:08:34 04-Apr-2025,Argos,B,50.0594,-5.5050,580,1043,322,87,,,,,,
Leaf Cutter,225759,UT,22:33:20 04-Apr-2025,Argos,B,50.0513,-5.5188,1357,2198,837,86,,,,,,
Leaf Cutter,225759,UT,23:25:57 04-Apr-2025,Argos,B,50.0499,-5.5242,1773,2982,1054,81,,,,,,
Leaf Cutter,225759,UT,23:30:19 04-Apr-2025,Argos,B,50.0624,-5.4656,1217,6249,236,166,,,,,,
Leaf Cutter,225759,UT,00:21:04 05-Apr-2025,Argos,B,50.0610,-5.4786,1155,9282,143,23,,,,,,
Leaf Cutter,225759,UT,00:59:09 05-Apr-2025,Argos,B,50.0559,-5.4760,1795,1928,1669,129,,,,,,
Leaf Cutter,225759,UT,05:07:17 05-Apr-2025,Argos,B,50.0386,-5.5167,2285,4741,1101,101,,,,,,
Leaf Cutter,225759,UT,06:00:02.197907 05-Apr-2025,FastGPS,6,50.0385,-5.5077,,,,,,,,,,
Leaf Cutter,225759,UT,06:04:37.096243 05-Apr-2025,FastGPS,4,50.0370,-5.5074,,,,,,,,,,
Leaf Cutter,225759,UT,06:04:54 05-Apr-2025,Argos,B,50.0354,-5.5095,2418,6408,912,105,,,,,,
Leaf Cutter,225759,UT,07:01:48.943489 05-Apr-2025,FastGPS,4,50.0222,-5.5086,,,,,,,,,,
Leaf Cutter,225759,UT,07:45:01 05-Apr-2025,Argos,B,50.0291,-5.5226,2754,6241,1215,104,,,,,,
Leaf Cutter,225759,UT,09:59:47 05-Apr-2025,Argos,B,50.0082,-5.5254,1419,23025,87,55,,,,,,
Leaf Cutter,225759,UT,10:58:33 05-Apr-2025,Argos,A,49.9924,-5.5669,1306,34402,49,74,,,,,,
Leaf Cutter,225759,UT,11:41:38 05-Apr-2025,Argos,B,50.0035,-5.5242,1243,20275,76,53,,,,,,
Leaf Cutter,225759,UT,12:36:50 05-Apr-2025,Argos,B,50.0129,-5.4925,984,5571,173,4,,,,,,
Leaf Cutter,225759,UT,13:00:18 05-Apr-2025,Argos,B,50.0055,-5.4927,1045,1250,873,18,,,,,,
Leaf Cutter,225759,UT,13:23:31 05-Apr-2025,Argos,B,50.0046,-5.4917,1206,1365,1065,65,,,,,,
Leaf Cutter,225759,UT,14:40:17 05-Apr-2025,Argos,B,49.9925,-5.4883,1598,2297,1111,91,,,,,,
