DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
Maggot,238963,UT,DS,2,0,0,90,90,09:36:25 29-Oct-2024,MC,B,50.0556,-5.2156,50.0556,-5.2156,8,,401677722,-121
Maggot,238963,UT,DS,3,0,2,56,53,10:15:31 29-Oct-2024,NK,A,50.0606,-5.2423,50.0606,-5.2423,8,,401677681,-131
Maggot,238963,UT,DS,4,0,2,100,69,10:17:21 29-Oct-2024,MB,0,50.1076,-5.4072,50.1076,-5.4072,48,,401677703,-124
Maggot,238963,UT,DS,3,0,2,62,55,10:20:44 29-Oct-2024,NP,A,50.1024,-5.4106,50.1024,-5.4106,6,,401677697,-120
Maggot,238963,UT,DS,3,0,1,346,111,11:09:24 29-Oct-2024,MC,A,50.1281,-5.4444,50.1281,-5.4444,8,,401677698,-120
Maggot,238963,UT,DS,3,0,1,95,67,12:01:07 29-Oct-2024,NP,A,50.1094,-5.4609,50.1094,-5.4609,8,,401677690,-127
Maggot,238963,UT,DS,1,0,1,,,12:01:41 29-Oct-2024,MB,B,50.1454,-5.5094,50.1454,-5.5094,8,,401677706,-131
Maggot,238963,UT,DS,4,0,1,82,46,12:43:37 29-Oct-2024,NN,2,50.1069,-5.4663,50.1069,-5.4663,58,,401677692,-123
Maggot,238963,UT,DS,2,0,0,145,145,12:53:10 29-Oct-2024,MC,B,50.1068,-5.4649,50.1068,-5.4649,6,,401677695,-123
Maggot,238963,UT,DS,2,0,1,294,294,12:53:10 29-Oct-2024,O3,B,50.1067,-5.4648,50.1067,-5.4648,,,401677693,-122
Maggot,238963,UT,DS,1,0,0,,,13:43:25 29-Oct-2024,NP,B,50.1087,-5.4978,50.1087,-5.4978,8,,401677686,-138
Maggot,238963,UT,DS,1,0,0,,,14:33:09 29-Oct-2024,O3,B,50.1071,-5.5315,50.1071,-5.5315,8,,401677691,-131
Maggot,238963,UT,DS,2,0,2,124,124,15:50:39 29-Oct-2024,CS,B,50.0954,-5.4746,50.0954,-5.4746,8,,401677695,-126
Maggot,238963,UT,DS,1,0,1,,,16:09:00 29-Oct-2024,O3,B,50.0902,-5.4827,50.0902,-5.4827,6,,401677694,-138
Maggot,238963,UT,DS,7,0,0,116,71,17:23:06 29-Oct-2024,CS,3,50.1121,-5.4519,50.1121,-5.4519,58,,401677705,-121
Maggot,238963,UT,DS,1,0,1,,,18:05:09 29-Oct-2024,A1,B,50.1134,-5.4575,50.1134,-5.4575,8,,401677705,-128
Maggot,238963,UT,DS,2,0,0,149,149,18:16:10 29-Oct-2024,NK,B,50.1074,-5.4314,50.1074,-5.4314,6,,401677702,-120
Maggot,238963,UT,DS,1,0,0,,,19:04:40 29-Oct-2024,CS,B,50.1070,-5.4313,50.1070,-5.4313,8,,401677699,-134
Maggot,238963,UT,DS,3,0,1,237,232,19:34:13 29-Oct-2024,A1,A,50.1003,-5.4273,50.1003,-5.4273,6,,401677699,-129
Maggot,238963,UT,DS,3,0,0,325,252,19:53:44 29-Oct-2024,NK,A,50.1058,-5.4344,50.1058,-5.4344,6,,401677695,-122
Maggot,238963,UT,DS,2,0,1,562,562,20:01:16 29-Oct-2024,MB,B,50.1085,-5.4733,50.1085,-5.4733,6,,401677697,-129
Maggot,238963,UT,DS,2,0,1,462,462,20:10:38 29-Oct-2024,SR,B,50.1022,-5.4565,50.1022,-5.4565,6,,401677700,-128
Maggot,238963,UT,DS,1,0,0,,,20:55:41 29-Oct-2024,MC,B,50.1034,-5.4626,50.1034,-5.4626,8,,401677699,-123
