DeployID,Ptt,Source,Instr,Start,End,Kind,Type,MinDepth,PercentTime,MinSec,MaxSec,MaxDives,Percent_20,Percent_33,Percent_40,Percent_60,Percent_66,Percent_80,Percent_100
Maggot,238963,Transmission,UT,03:00:00 29-Oct-2024,04:00:00 29-Oct-2024,depth,shallow,,0.0,0,0,,,,,,,,
Maggot,238963,Transmission,UT,03:00:00 29-Oct-2024,04:00:00 29-Oct-2024,depth,deep,,0.0,0,0,,,,,,,,
Maggot,238963,Transmission,UT,03:00:00 29-Oct-2024,04:00:00 29-Oct-2024,depth,dry,,100.0,3600,3600,,,,,,,,
Maggot,238963,Transmission,UT,04:00:00 29-Oct-2024,05:00:00 29-Oct-2024,depth,shallow,,0.0,0,0,,,,,,,,
Maggot,238963,Transmission,UT,04:00:00 29-Oct-2024,05:00:00 29-Oct-2024,depth,deep,,0.0,0,0,,,,,,,,
Maggot,238963,Transmission,UT,04:00:00 29-Oct-2024,05:00:00 29-Oct-2024,depth,dry,,100.0,3600,3600,,,,,,,,
Maggot,238963,Transmission,UT,05:00:00 29-Oct-2024,06:00:00 29-Oct-2024,depth,shallow,0.000000,9.4,322,358,0,,1.000000,,,1.000000,,1.000000
Maggot,238963,Transmission,UT,05:00:00 29-Oct-2024,06:00:00 29-Oct-2024,depth,deep,,0.0,0,0,,,,,,,,
Maggot,238963,Transmission,UT,05:00:00 29-Oct-2024,06:00:00 29-Oct-2024,depth,dry,,90.6,3244,3280,,,,,,,,
Maggot,238963,Transmission,UT,06:00:00 29-Oct-2024,07:00:00 29-Oct-2024,depth,shallow,0.000000,78.0,2788,2824,0,,1.000000,,,1.000000,,1.000000
Maggot,238963,Transmission,UT,06:00:00 29-Oct-2024,07:00:00 29-Oct-2024,depth,deep,,0.0,0,0,,,,,,,,
Maggot,238963,Transmission,UT,06:00:00 29-Oct-2024,07:00:00 29-Oct-2024,depth,dry,,22.0,774,810,,,,,,,,
Maggot,238963,Transmission,UT,07:00:00 29-Oct-2024,08:00:00 29-Oct-2024,depth,shallow,0.000000,24.4,861,897,0,,1.000000,,,1.000000,,1.000000
Maggot,238963,Transmission,UT,07:00:00 29-Oct-2024,08:00:00 29-Oct-2024,depth,deep,,0.0,0,0,,,,,,,,
