DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
Maggot,238963,UT,15:00:00 25-Oct-2024,User,,50.1121,-5.4422,,,,,,,,,,
Maggot,238963,UT,09:36:25 29-Oct-2024,Argos,B,50.0556,-5.2156,1053,7773,142,103,,,,,,
Maggot,238963,UT,10:15:31 29-Oct-2024,Argos,A,50.0606,-5.2423,2039,11495,361,107,,,,,,Lon > 4 deviations from mean
Maggot,238963,UT,10:17:21 29-Oct-2024,Argos,0,50.1076,-5.4072,5943,187090,188,99,,,,,,
Maggot,238963,UT,10:20:44 29-Oct-2024,Argos,A,50.1024,-5.4106,3028,49439,185,96,,,,,,
Maggot,238963,UT,11:09:24 29-Oct-2024,Argos,A,50.1281,-5.4444,642,1275,322,171,,,,,,
Maggot,238963,UT,12:01:07 29-Oct-2024,Argos,A,50.1094,-5.4609,1189,8251,171,91,,,,,,
Maggot,238963,UT,12:01:41 29-Oct-2024,Argos,B,50.1454,-5.5094,1648,2364,1149,90,,,,,,
Maggot,238963,UT,12:43:37 29-Oct-2024,Argos,2,50.1069,-5.4663,457,2523,82,95,,,,,,
Maggot,238963,UT,12:53:10 29-Oct-2024,Argos,B,50.1068,-5.4649,923,995,856,162,,,,,,
Maggot,238963,UT,12:53:10 29-Oct-2024,Argos,B,50.1067,-5.4648,193,1648,22,93,,,,,,
Maggot,238963,UT,13:43:25 29-Oct-2024,Argos,B,50.1087,-5.4978,977,1559,612,92,,,,,,
Maggot,238963,UT,14:33:09 29-Oct-2024,Argos,B,50.1071,-5.5315,1322,2271,769,90,,,,,,
Maggot,238963,UT,15:50:39 29-Oct-2024,Argos,B,50.0954,-5.4746,1305,9266,183,51,,,,,,
Maggot,238963,UT,16:09:00 29-Oct-2024,Argos,B,50.0902,-5.4827,1501,4894,460,55,,,,,,
Maggot,238963,UT,17:23:06 29-Oct-2024,Argos,3,50.1121,-5.4519,249,684,90,89,,,,,,
Maggot,238963,UT,18:05:09 29-Oct-2024,Argos,B,50.1134,-5.4575,3008,5254,1722,92,,,,,,
Maggot,238963,UT,18:16:10 29-Oct-2024,Argos,B,50.1074,-5.4314,1576,8948,277,29,,,,,,
Maggot,238963,UT,19:04:40 29-Oct-2024,Argos,B,50.1070,-5.4313,1079,1486,782,76,,,,,,
Maggot,238963,UT,19:34:13 29-Oct-2024,Argos,A,50.1003,-5.4273,162,1865,14,98,,,,,,
Maggot,238963,UT,19:53:44 29-Oct-2024,Argos,A,50.1058,-5.4344,134,496,35,91,,,,,,
Maggot,238963,UT,20:01:16 29-Oct-2024,Argos,B,50.1085,-5.4733,510,2916,89,117,,,,,,
Maggot,238963,UT,20:10:38 29-Oct-2024,Argos,B,50.1022,-5.4565,368,1036,130,8,,,,,,
Maggot,238963,UT,20:55:41 29-Oct-2024,Argos,B,50.1034,-5.4626,988,1370,712,88,,,,,,
Maggot,238963,UT,21:55:04 29-Oct-2024,Argos,B,50.1194,-5.4820,942,12688,69,68,,,,,,
