DeployID,Ptt,DepthSensor,Source,Instr,Date,Duration,Time Offset,Count,LocationQuality,Latitude,Longitude,BadTherm,NumBins,Partial,Depth1,Depth1Error,MinTemp1,MaxTemp1,%Ox1,Discont1,Depth2,Depth2Error,MinTemp2,MaxTemp2,%Ox2,Discont2,Depth3,Depth3Error,MinTemp3,MaxTemp3,%Ox3,Discont3,Depth4,Depth4Error,MinTemp4,MaxTemp4,%Ox4,Discont4,Depth5,Depth5Error,MinTemp5,MaxTemp5,%Ox5,Discont5,Depth6,Depth6Error,MinTemp6,MaxTemp6,%Ox6,Discont6,Depth7,Depth7Error,MinTemp7,MaxTemp7,%Ox7,Discont7,Depth8,Depth8Error,MinTemp8,MaxTemp8,%Ox8,Discont8,Depth9,Depth9Error,MinTemp9,MaxTemp9,%Ox9,Discont9,Depth10,Depth10Error,MinTemp10,MaxTemp10,%Ox10,Discont10,Depth11,Depth11Error,MinTemp11,MaxTemp11,%Ox11,Discont11,Depth12,Depth12Error,MinTemp12,MaxTemp12,%Ox12,Discont12,Depth13,Depth13Error,MinTemp13,MaxTemp13,%Ox13,Discont13,Depth14,Depth14Error,MinTemp14,MaxTemp14,%Ox14,Discont14,Depth15,Depth15Error,MinTemp15,MaxTemp15,%Ox15,Discont15,Depth16,Depth16Error,MinTemp16,MaxTemp16,%Ox16,Discont16,Depth17,Depth17Error,MinTemp17,MaxTemp17,%Ox17,Discont17,Depth18,Depth18Error,MinTemp18,MaxTemp18,%Ox18,Discont18,Depth19,Depth19Error,MinTemp19,MaxTemp19,%Ox19,Discont19,Depth20,Depth20Error,MinTemp20,MaxTemp20,%Ox20,Discont20,,,,,
Maggot,238963,0.500000,Transmission,UT,11:03:00 29-Oct-2024,1.7,1.00,2,,,, ,2,,5.00,0.00,14.625,14.675,,,10.00,0.00,14.625,14.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggot,238963,0.500000,Transmission,UT,23:46:00 29-Oct-2024,1.7,1.00,1,,,, ,4,,5.00,0.00,14.575,14.625,,,10.00,0.00,14.675,14.725,,,15.00,0.00,14.725,14.775,,,20.00,0.00,14.725,14.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggot,238963,0.500000,Transmission,UT,09:38:00 31-Oct-2024,1.7,1.00,1,,,, ,4,,5.00,0.00,14.525,14.575,,,10.00,0.00,14.525,14.575,,,15.00,0.00,14.525,14.575,,,20.00,0.00,14.525,14.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggot,238963,0.500000,Transmission,UT,10:02:00 31-Oct-2024,1.7,1.00,1,,,, ,4,,5.00,0.00,14.575,14.625,,,10.00,0.00,14.575,14.625,,,15.00,0.00,14.575,14.625,,,20.00,1.00,14.575,14.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggot,238963,0.500000,Transmission,UT,22:00:00 31-Oct-2024,1.7,1.00,1,,,, ,5,,5.00,0.00,14.625,14.675,,,10.00,0.00,14.625,14.675,,,15.00,0.00,14.625,14.675,,,20.00,0.00,14.625,14.675,,,25.00,0.00,14.625,14.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggot,238963,0.500000,Transmission,UT,20:21:00 01-Nov-2024,16.7,1.00,1,,,, ,10,,5.00,0.00,14.425,14.475,,,10.00,0.00,14.425,14.475,,,15.00,0.00,14.425,14.475,,,20.00,0.00,14.425,14.475,,,25.00,0.00,14.425,14.475,,,30.00,0.00,14.425,14.475,,,35.00,0.00,14.425,14.475,,,40.00,0.00,14.425,14.475,,,45.00,0.00,14.425,14.475,,,50.00,0.00,14.425,14.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggot,238963,0.500000,Transmission,UT,21:02:00 01-Nov-2024,1.7,1.00,1,,,, ,4,,5.00,0.00,14.175,14.225,,,10.00,0.00,14.175,14.225,,,15.00,0.00,14.175,14.225,,,20.00,0.00,14.175,14.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggot,238963,0.500000,Transmission,UT,07:02:00 02-Nov-2024,16.7,1.00,1,,,, ,14,,5.00,0.00,13.725,13.775,,,10.00,0.00,13.725,13.775,,,15.00,0.00,13.725,13.775,,,20.00,0.00,13.725,13.775,,,25.00,0.00,13.725,13.775,,,30.00,0.00,13.725,13.775,,,35.00,0.00,13.725,13.775,,,40.00,0.00,13.725,13.775,,,45.00,0.00,13.725,13.775,,,50.00,0.00,13.725,13.775,,,55.00,0.00,13.725,13.775,,,60.00,0.00,13.725,13.775,,,65.00,0.00,13.725,13.775,,,70.00,0.00,13.725,13.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggot,238963,0.500000,Transmission,UT,08:01:00 02-Nov-2024,1.7,1.00,3,,,, ,5,,5.00,0.00,13.925,13.975,,,10.00,0.00,13.925,13.975,,,15.00,0.00,13.925,13.975,,,20.00,0.00,13.875,13.925,,,25.00,0.00,13.875,13.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggot,238963,0.500000,Transmission,UT,19:19:00 02-Nov-2024,1.7,1.00,1,,,, ,7,,5.00,0.00,13.875,13.925,,,10.00,0.00,13.925,13.975,,,15.00,0.00,13.925,13.975,,,20.00,0.00,13.875,13.925,,,25.00,0.00,13.725,13.775,,,30.00,0.00,13.575,13.625,,,35.00,0.00,13.625,13.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggot,238963,0.500000,Transmission,UT,06:40:00 03-Nov-2024,1.7,1.00,3,,,, ,18,,5.00,0.00,14.075,14.125,,,10.00,0.00,14.125,14.175,,,15.00,0.00,14.125,14.175,,,20.00,0.00,14.125,14.175,,,25.00,0.00,14.125,14.175,,,30.00,0.00,14.125,14.175,,,35.00,0.00,14.125,14.175,,,40.00,0.00,14.125,14.175,,,45.00,0.00,14.125,14.175,,,50.00,0.00,14.125,14.175,,,55.00,0.00,14.125,14.175,,,60.00,0.00,14.125,14.175,,,65.00,0.00,14.125,14.175,,,70.00,0.00,14.125,14.175,,,75.00,0.00,14.125,14.175,,,80.00,0.00,14.125,14.175,,,85.00,0.00,14.125,14.175,,,90.00,0.00,14.125,14.175,,,,,,,,,,,,,,,,,,,
Maggot,238963,0.500000,Transmission,UT,07:00:00 03-Nov-2024,16.7,1.00,2,,,, ,8,,5.00,0.00,14.075,14.125,,,10.00,0.00,14.125,14.175,,,15.00,0.00,14.125,14.175,,,20.00,0.00,14.125,14.175,,,25.00,0.00,14.125,14.175,,,30.00,0.00,14.125,14.175,,,35.00,0.00,14.125,14.175,,,40.00,0.00,14.125,14.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggot,238963,0.500000,Transmission,UT,19:02:00 03-Nov-2024,1.7,1.00,1,,,, ,8,,5.00,0.00,14.475,14.525,,,10.00,0.00,14.475,14.525,,,15.00,0.00,14.475,14.525,,,20.00,0.00,14.475,14.525,,,25.00,0.00,14.475,14.525,,,30.00,0.00,14.475,14.525,,,35.00,0.00,14.475,14.525,,,40.00,0.00,14.475,14.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggot,238963,0.500000,Transmission,UT,05:32:00 04-Nov-2024,1.7,1.00,1,,,, ,10,,5.00,0.00,14.825,14.875,,,10.00,0.00,14.825,14.875,,,15.00,0.00,14.825,14.875,,,20.00,0.00,14.825,14.875,,,25.00,0.00,14.825,14.875,,,30.00,0.00,14.825,14.875,,,35.00,0.00,14.825,14.875,,,40.00,0.00,14.825,14.875,,,45.00,0.00,14.825,14.875,,,50.00,0.00,14.825,14.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggot,238963,0.500000,Transmission,UT,17:01:00 04-Nov-2024,1.7,1.00,4,,,, ,6,,5.00,0.00,14.625,14.675,,,10.00,0.00,14.625,14.675,,,15.00,0.00,14.625,14.675,,,20.00,0.00,14.625,14.675,,,25.00,0.00,14.625,14.675,,,30.00,0.00,14.625,14.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggot,238963,0.500000,Transmission,UT,04:59:00 05-Nov-2024,16.7,1.00,2,,,, ,10,,5.00,0.00,14.325,14.375,,,10.00,0.00,14.325,14.375,,,15.00,0.00,14.375,14.425,,,20.00,0.00,14.375,14.425,,,25.00,0.00,14.375,14.425,,,30.00,0.00,14.375,14.425,,,35.00,0.00,14.375,14.425,,,40.00,0.00,14.375,14.425,,,45.00,0.00,14.375,14.425,,,50.00,1.00,14.375,14.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggot,238963,0.500000,Transmission,UT,16:34:00 05-Nov-2024,1.7,1.00,2,,,, ,4,,5.00,0.00,14.125,14.175,,,10.00,0.00,14.125,14.175,,,15.00,0.00,14.125,14.175,,,20.00,1.00,14.125,14.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggot,238963,0.500000,Transmission,UT,17:01:00 05-Nov-2024,1.7,1.00,1,,,, ,4,,5.00,0.00,14.125,14.175,,,10.00,0.00,14.125,14.175,,,15.00,0.00,14.125,14.175,,,20.00,0.00,14.125,14.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggot,238963,0.500000,Transmission,UT,03:47:00 06-Nov-2024,1.7,1.00,1,,,, ,5,,5.00,0.00,14.325,14.375,,,10.00,0.00,14.325,14.375,,,15.00,0.00,14.325,14.375,,,20.00,0.00,14.325,14.375,,,25.00,0.00,14.325,14.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
