Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,50CI,95CI,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
Maggot,29-Oct-2024,05:52:17,2,1.000000,,,0,6,50.09218,-5.20603,05:52:18 29-Oct-2024,Interpolated,50.09153,-5.20267,,,,,4.5,-0.8,,,,15,3,27546,,,,17,24868,,,,19,11565,,,,4,19756,,,,6,14524,,,,9,20975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggot,29-Oct-2024,06:58:42,2,1.000000,,,0,7,50.11131,-5.44294,06:58:43 29-Oct-2024,Interpolated,50.09192,-5.20302,,,,,11.4,-0.6,,,,15,3,27559,,,,6,16628,,,,19,29520,,,,4,9344,,,,31,28806,,,,17,27737,,,,9,23572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggot,29-Oct-2024,07:43:12,1,1.000000,,,0,4,50.09974,-5.29904,07:43:13 29-Oct-2024,Interpolated,50.09155,-5.20227,,,,,0.4,0.0,,,,15,6,30219,,,,11,22041,,,,3,15342,,,,9,12428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggot,29-Oct-2024,08:49:54,1,1.000000,,,0,7,50.10994,-5.43891,08:49:55 29-Oct-2024,Interpolated,50.11130,-5.44295,,,,,13.0,-1.0,,,,15,7,6837,,,,9,21062,,,,6,19288,,,,30,2297,,,,11,24652,,,,20,7983,,,,4,27062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggot,29-Oct-2024,09:32:29,1,1.000000,,,0,8,50.10759,-5.40750,09:32:30 29-Oct-2024,Interpolated,50.10992,-5.43888,,,,,15.5,-1.2,,,,15,11,4468,,,,9,9536,,,,20,159,,,,30,1637,,,,5,12728,,,,7,11405,,,,6,8868,,,,29,21843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggot,29-Oct-2024,10:36:38,1,1.000000,,,0,7,50.10747,-5.41501,10:36:39 29-Oct-2024,Interpolated,50.10941,-5.43817,,,,,13.5,-0.0,,,,15,11,6002,,,,5,20729,,,,7,27127,,,,30,25820,,,,13,29960,,,,15,10907,,,,29,16040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggot,29-Oct-2024,11:00:35,1,1.000000,,,0,7,50.10538,-5.43546,11:00:36 29-Oct-2024,Interpolated,41.46183,16.97700,,2,,,17891.4,-18.1,,,,15,13,17327,,,,7,16031,,,,30,8909,,,,5,15245,,,,20,21260,,,,15,27329,,,,18,15578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggot,29-Oct-2024,11:03:35,2,1.000000,,,0,7,50.10888,-5.44414,11:03:36 29-Oct-2024,Interpolated,50.10488,-5.43513,,,,,16.6,-1.8,,,,15,5,30188,,,,13,3360,,,,30,18163,,,,18,2700,,,,20,27516,,,,11,16151,,,,9,25918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggot,29-Oct-2024,12:01:20,1,1.000000,,,0,8,50.10606,-5.45312,12:01:21 29-Oct-2024,Interpolated,50.11154,-5.44300,,,,,8.3,-0.5,,,,15,30,22875,,,,13,15872,,,,20,1662,,,,14,12690,,,,15,15480,,,,7,18599,,,,22,15088,,,,5,1885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggot,29-Oct-2024,13:12:02,3,1.000000,,,0,6,50.10618,-5.46353,13:12:03 29-Oct-2024,Interpolated,50.11310,-5.44348,,,,,10.9,-0.7,,,,15,30,6431,,,,15,29244,,,,14,8561,,,,22,11876,,,,13,3254,,,,24,30245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggot,29-Oct-2024,14:16:22,1,1.000000,,,0,4,50.10818,-5.44666,14:16:23 29-Oct-2024,Interpolated,50.11176,-5.44051,,,,,1.6,-1.4,,,,15,12,26839,,,,5,24748,,,,22,18806,,,,24,24050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggot,29-Oct-2024,15:29:08,3,1.000000,,,0,8,50.10796,-5.46335,15:29:09 29-Oct-2024,Interpolated,50.10262,-5.45024,,,,,15.0,-1.6,,,,15,17,11884,,,,22,16464,,,,19,11548,,,,23,24834,,,,24,7526,,,,15,28205,,,,13,32716,,,,10,9871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggot,29-Oct-2024,16:36:26,3,1.000000,,,0,8,50.11123,-5.45428,16:36:27 29-Oct-2024,Interpolated,50.10838,-5.46215,,,,,11.4,-0.1,,,,15,19,2616,,,,32,22316,,,,17,26070,,,,12,28415,,,,24,20906,,,,10,13411,,,,15,10892,,,,25,16583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggot,29-Oct-2024,17:45:12,1,1.000000,,,0,7,50.11212,-5.45295,17:45:13 29-Oct-2024,Interpolated,50.11069,-5.44820,,,,,9.7,-0.3,,,,15,32,27453,,,,25,13618,,,,12,27224,,,,29,2094,,,,11,18940,,,,28,3971,,,,24,3520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggot,29-Oct-2024,19:01:19,5,1.000000,,,0,8,50.11108,-5.45288,19:01:20 29-Oct-2024,Interpolated,50.10353,-5.43293,,,,,23.2,-1.1,,,,15,31,959,,,,12,21340,,,,11,18294,,,,28,3656,,,,25,31800,,,,32,25395,,,,29,4834,,,,26,29157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggot,29-Oct-2024,20:18:02,1,1.000000,,,0,7,50.10581,-5.44264,20:18:03 29-Oct-2024,Interpolated,50.10064,-5.46379,,,,,13.4,-0.9,,,,15,26,28912,,,,4,14728,,,,16,1000,,,,28,30600,,,,29,17450,,,,18,19445,,,,11,30792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggot,29-Oct-2024,21:23:21,1,1.000000,,,0,4,50.10404,-5.46948,21:23:22 29-Oct-2024,Interpolated,50.10770,-5.48163,,,,,4.6,-0.3,,,,15,29,22657,,,,5,29573,,,,16,24876,,,,26,26028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggot,29-Oct-2024,23:47:31,2,1.000000,,,0,6,50.11159,-5.47102,23:47:32 29-Oct-2024,Interpolated,50.11155,-5.48206,,,,,11.4,-0.3,,,,15,27,22776,,,,16,1598,,,,18,26254,,,,21,8861,,,,7,1918,,,,23,18175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
