"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"Mary",225765,17343,50.08045,-5.23887,B,10/29/2024 10:24:12,Argos,0,144,NP,,401677720.38,10/29/2024 10:24:12,1,2,0,-121,401677720.38,-5.23887,50.08045,-5.23887,50.08045,8,3,2017,146923,27,98,5702,101,117,6,108,55,109,37,227,88,32,248,180,132,125,217,191,73,235,251,184,53,184,113,,,,,,,,,
"Mary",225765,17343,50.08045,-5.23887,B,10/29/2024 10:24:12,Argos,0,144,NP,,401677720.38,10/29/2024 10:26:36,1,2,0,-121,401677720.38,-5.23887,50.08045,-5.23887,50.08045,8,3,2017,146923,27,98,5702,165,116,199,76,155,212,69,69,17,212,166,29,123,42,168,227,224,222,61,25,96,52,0,193,62,101,94,,,,,
"Mary",225765,17343,50.08668,-5.28304,B,10/29/2024 11:00:26,Argos,0,0,NN,,401677690.78,10/29/2024 11:00:26,1,1,0,-126,401677690.78,-5.28304,50.08668,-5.28304,50.08668,8,3,1975,9687,402,97,5584,18,241,1,66,186,150,87,111,160,68,189,239,157,49,88,125,129,143,217,172,233,118,129,246,99,82,110,,,,,
"Mary",225765,17343,50.08668,-5.28304,B,10/29/2024 11:00:26,Argos,0,0,NN,,401677690.78,10/29/2024 11:08:41,1,1,0,-126,401677690.78,-5.28304,50.08668,-5.28304,50.08668,8,3,1975,9687,402,97,5584,101,117,6,108,55,109,37,227,88,96,249,116,193,45,154,140,43,171,50,128,0,64,32,,,,,,,,,
"Mary",225765,17343,50.11363,-5.44882,3,10/29/2024 11:08:41,Argos,0,596,MC,,401677705.39,10/29/2024 11:08:41,1,4,0,-120,401677705.39,-5.44882,50.11363,-5.44882,50.11363,56,3,105,326,33,106,259,101,117,6,108,55,77,37,227,88,32,253,116,197,237,154,204,43,171,34,128,0,0,0,,,,,,,,,
"Mary",225765,17343,50.11363,-5.44882,3,10/29/2024 11:08:41,Argos,0,596,MC,,401677705.39,10/29/2024 11:13:21,1,4,0,-120,401677705.39,-5.44882,50.11363,-5.44882,50.11363,56,3,105,326,33,106,259,21,145,11,131,136,192,128,,,,,,,,,,,,,,,,,,,,,,,,,
"Mary",225765,17343,50.11363,-5.44882,3,10/29/2024 11:08:41,Argos,0,596,MC,,401677705.39,10/29/2024 11:15:35,1,4,0,-120,401677705.39,-5.44882,50.11363,-5.44882,50.11363,56,3,105,326,33,106,259,29,113,11,2,186,112,0,15,130,2,2,37,0,0,124,16,16,20,160,,,,,,,,,,,,,
"Mary",225765,17343,50.11363,-5.44882,3,10/29/2024 11:08:41,Argos,0,596,MC,,401677705.39,10/29/2024 11:18:37,1,4,0,-120,401677705.39,-5.44882,50.11363,-5.44882,50.11363,56,3,105,326,33,106,259,8,209,51,130,186,80,0,15,130,2,2,48,0,0,124,16,16,19,72,,,,,,,,,,,,,
"Mary",225765,17343,50.11111,-5.46573,A,10/29/2024 11:59:23,Argos,0,495,NP,,401677704.32,10/29/2024 11:59:24,1,3,0,-128,401677704.32,-5.46573,50.11111,-5.46573,50.11111,8,3,194,480,78,84,415,29,200,72,145,39,24,130,125,161,170,82,197,199,209,15,203,42,32,208,,,,,,,,,,,,,
"Mary",225765,17343,50.11111,-5.46573,A,10/29/2024 11:59:23,Argos,0,495,NP,,401677704.32,10/29/2024 12:04:55,1,3,0,-128,401677704.32,-5.46573,50.11111,-5.46573,50.11111,8,3,194,480,78,84,415,8,81,78,158,45,15,208,125,208,60,240,124,17,103,199,,,,,,,,,,,,,,,,,
