DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
Mary,225765,UT,DS,2,0,2,144,144,10:24:12 29-Oct-2024,NP,B,50.0804,-5.2389,50.0804,-5.2389,8,,401677720,-121
Mary,225765,UT,DS,2,0,2,495,495,11:00:26 29-Oct-2024,NN,B,50.0867,-5.2830,50.0867,-5.2830,8,,401677690,-126
Mary,225765,UT,DS,4,0,2,198,134,11:08:41 29-Oct-2024,MC,3,50.1136,-5.4488,50.1136,-5.4488,56,,401677705,-120
Mary,225765,UT,DS,3,0,3,247,164,11:59:23 29-Oct-2024,NP,A,50.1111,-5.4657,50.1111,-5.4657,8,,401677704,-128
Mary,225765,UT,DS,3,0,1,148,134,12:44:58 29-Oct-2024,NN,A,50.1099,-5.4774,50.1099,-5.4774,8,,401677709,-123
Mary,225765,UT,DS,1,0,1,,,12:49:54 29-Oct-2024,O3,B,50.1105,-5.4829,50.1105,-5.4829,6,,401677707,-133
Mary,225765,UT,DS,1,0,0,,,12:52:47 29-Oct-2024,MC,B,50.1107,-5.4857,50.1107,-5.4857,6,,401677708,-122
Mary,225765,UT,DS,2,0,0,196,196,17:21:41 29-Oct-2024,CS,B,50.0648,-5.6922,50.0648,-5.6922,8,,401677691,-123
Mary,225765,UT,DS,1,0,0,,,18:16:25 29-Oct-2024,NK,B,50.1050,-5.6229,50.1050,-5.6229,8,,401677702,-129
Mary,225765,UT,DS,3,0,2,121,83,18:37:35 29-Oct-2024,SR,A,50.1190,-5.4952,50.1190,-5.4952,6,,401677710,-120
Mary,225765,UT,DS,1,0,0,,,19:05:05 29-Oct-2024,CS,B,50.1186,-5.4982,50.1186,-5.4982,6,,401677705,-134
Mary,225765,UT,DS,1,0,0,,,19:23:10 29-Oct-2024,MC,B,50.1194,-5.5090,50.1194,-5.5090,6,,401677705,-122
Mary,225765,UT,DS,1,0,1,,,19:36:43 29-Oct-2024,A1,B,50.1185,-5.5274,50.1185,-5.5274,6,,401677710,-121
Mary,225765,UT,DS,1,0,1,,,19:57:28 29-Oct-2024,NK,B,50.1134,-5.5296,50.1134,-5.5296,6,,401677700,-123
Mary,225765,UT,DS,1,0,1,,,20:58:34 29-Oct-2024,MC,B,50.1137,-5.5377,50.1137,-5.5377,8,,401677698,-118
Mary,225765,UT,DS,1,0,1,,,21:43:33 29-Oct-2024,MB,B,50.1118,-5.5693,50.1118,-5.5693,8,,401677690,-132
Mary,225765,UT,DS,1,0,1,,,22:32:08 29-Oct-2024,O3,B,50.1135,-5.5804,50.1135,-5.5804,8,,401677686,-125
Mary,225765,UT,DS,1,0,1,,,22:35:24 29-Oct-2024,NN,B,50.1145,-5.5682,50.1145,-5.5682,6,,401677693,-122
Mary,225765,UT,DS,1,0,1,,,22:44:52 29-Oct-2024,MC,B,50.1066,-5.5314,50.1066,-5.5314,6,,401677716,-128
Mary,225765,UT,DS,3,0,2,99,99,00:04:37 30-Oct-2024,O3,A,50.0897,-5.5280,50.0897,-5.5280,8,,401677705,-122
Mary,225765,UT,DS,1,0,1,,,01:49:05 30-Oct-2024,O3,B,50.0995,-5.5420,50.0995,-5.5420,8,,401677717,-135
Mary,225765,UT,DS,1,0,1,,,04:42:21 30-Oct-2024,A1,B,50.0854,-5.5707,50.0854,-5.5707,8,,401677706,-129
