DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
Mary,225765,UT,10:24:12 29-Oct-2024,,,B,50.0804,-5.2389,CRC,08:12:54 29-Oct-2024,Fast-GPS,101,117,6,108,55,109,37,227,88,32,248,180,132,125,217,191,73,235,251,184,53,184,113,,,,,,,,,
Mary,225765,UT,10:26:36 29-Oct-2024,,,B,50.0804,-5.2389,CRC,06:14:38 29-Oct-2024,Fast-GPS,165,116,199,76,155,212,69,69,17,212,166,29,123,42,168,227,224,222,61,25,96,52,0,193,62,101,94,,,,,
Mary,225765,UT,11:00:26 29-Oct-2024,,,B,50.0867,-5.2830,CRC 9705.cea9,09:00:00 29-Oct-2024,CumulativeDist,18,241,1,66,186,150,87,111,160,68,189,239,157,49,88,125,129,143,217,172,233,118,129,246,99,82,110,,,,,
Mary,225765,UT,11:08:41 29-Oct-2024,,,B,50.0867,-5.2830,CRC,08:12:54 29-Oct-2024,Fast-GPS,101,117,6,108,55,109,37,227,88,96,249,116,193,45,154,140,43,171,50,128,0,64,32,,,,,,,,,
Mary,225765,UT,11:08:41 29-Oct-2024,,,3,50.1136,-5.4488,CRC,08:12:54 29-Oct-2024,Fast-GPS,101,117,6,108,55,77,37,227,88,32,253,116,197,237,154,204,43,171,34,128,0,0,0,,,,,,,,,
Mary,225765,UT,11:13:21 29-Oct-2024,,,3,50.1136,-5.4488,CRC ac2e.8fc9,,,21,145,11,131,136,192,128,,,,,,,,,,,,,,,,,,,,,,,,,
Mary,225765,UT,11:59:24 29-Oct-2024,,,A,50.1111,-5.4657,CRC ee.ba,,,29,200,72,145,39,24,130,125,161,170,82,197,199,209,15,203,42,32,208,,,,,,,,,,,,,
Mary,225765,UT,12:04:55 29-Oct-2024,,,A,50.1111,-5.4657,CRC 423a.b1ca,,,8,81,78,158,45,15,208,125,208,60,240,124,17,103,199,,,,,,,,,,,,,,,,,
Mary,225765,UT,12:07:39 29-Oct-2024,,,A,50.1111,-5.4657,CRC,11:01:09 29-Oct-2024,Fast-GPS,165,117,96,146,200,80,192,192,101,157,207,184,28,223,155,99,169,107,181,247,192,90,119,103,210,96,22,,,,,
Mary,225765,UT,12:44:58 29-Oct-2024,,,A,50.1099,-5.4774,CRC eb2c.c53e,07:00:00 29-Oct-2024,CumulativeDist,29,113,11,2,186,112,0,14,131,60,234,109,200,232,106,76,38,25,33,,,,,,,,,,,,,
