DeployID,Ptt,Source,Instr,Start,End,Kind,Type,MinDepth,PercentTime,MinSec,MaxSec,MaxDives,Percent_20,Percent_33,Percent_40,Percent_60,Percent_66,Percent_80,Percent_100
Mary,225765,Transmission,UT,05:00:00 29-Oct-2024,06:00:00 29-Oct-2024,depth,shallow,0.000000,37.8,1343,1379,0,,1.000000,,,1.000000,,1.000000
Mary,225765,Transmission,UT,05:00:00 29-Oct-2024,06:00:00 29-Oct-2024,depth,deep,,0.0,0,0,,,,,,,,
Mary,225765,Transmission,UT,05:00:00 29-Oct-2024,06:00:00 29-Oct-2024,depth,dry,,62.2,2221,2257,,,,,,,,
Mary,225765,Transmission,UT,06:00:00 29-Oct-2024,07:00:00 29-Oct-2024,depth,shallow,0.000000,82.7,2958,2994,0,,1.000000,,,1.000000,,1.000000
Mary,225765,Transmission,UT,06:00:00 29-Oct-2024,07:00:00 29-Oct-2024,depth,deep,,0.0,0,0,,,,,,,,
Mary,225765,Transmission,UT,06:00:00 29-Oct-2024,07:00:00 29-Oct-2024,depth,dry,,17.3,605,641,,,,,,,,
Mary,225765,Transmission,UT,07:00:00 29-Oct-2024,08:00:00 29-Oct-2024,depth,shallow,0.000000,29.1,1031,1067,0,,1.000000,,,1.000000,,1.000000
Mary,225765,Transmission,UT,07:00:00 29-Oct-2024,08:00:00 29-Oct-2024,depth,deep,,0.0,0,0,,,,,,,,
Mary,225765,Transmission,UT,07:00:00 29-Oct-2024,08:00:00 29-Oct-2024,depth,dry,,70.9,2534,2570,,,,,,,,
Mary,225765,Transmission,UT,08:00:00 29-Oct-2024,09:00:00 29-Oct-2024,depth,shallow,0.000000,15.7,549,585,0,,1.000000,,,1.000000,,2.000000
Mary,225765,Transmission,UT,08:00:00 29-Oct-2024,09:00:00 29-Oct-2024,depth,deep,,0.0,0,0,,,,,,,,
Mary,225765,Transmission,UT,08:00:00 29-Oct-2024,09:00:00 29-Oct-2024,depth,dry,,84.3,3017,3053,,,,,,,,
Mary,225765,Transmission,UT,09:00:00 29-Oct-2024,10:00:00 29-Oct-2024,depth,shallow,0.000000,85.0,3043,3079,0,,1.000000,,,1.000000,,2.000000
Mary,225765,Transmission,UT,09:00:00 29-Oct-2024,10:00:00 29-Oct-2024,depth,deep,,0.0,0,0,,,,,,,,
Mary,225765,Transmission,UT,09:00:00 29-Oct-2024,10:00:00 29-Oct-2024,depth,dry,,15.0,522,558,,,,,,,,
Mary,225765,Transmission,UT,10:00:00 29-Oct-2024,11:00:00 29-Oct-2024,depth,shallow,0.000000,43.3,1541,1577,11,,1.000000,,,1.000000,,5.000000
Mary,225765,Transmission,UT,10:00:00 29-Oct-2024,11:00:00 29-Oct-2024,depth,deep,,48.0,1711,1747,11,10.000000,,11.000000,12.000000,,12.000000,14.000000
Mary,225765,Transmission,UT,10:00:00 29-Oct-2024,11:00:00 29-Oct-2024,depth,dry,,8.7,295,331,,,,,,,,
Mary,225765,Transmission,UT,01:00:00 30-Oct-2024,02:00:00 30-Oct-2024,depth,shallow,0.000000,34.6,1229,1265,15,,1.000000,,,2.000000,,5.000000
Mary,225765,Transmission,UT,01:00:00 30-Oct-2024,02:00:00 30-Oct-2024,depth,deep,,60.6,2165,2201,15,12.000000,,21.000000,25.000000,,25.000000,27.000000
Mary,225765,Transmission,UT,01:00:00 30-Oct-2024,02:00:00 30-Oct-2024,depth,dry,,4.8,155,191,,,,,,,,
Mary,225765,Transmission,UT,02:00:00 30-Oct-2024,03:00:00 30-Oct-2024,depth,shallow,0.000000,42.5,1513,1549,12,,1.000000,,,1.000000,,5.000000
Mary,225765,Transmission,UT,02:00:00 30-Oct-2024,03:00:00 30-Oct-2024,depth,deep,,52.0,1853,1889,12,16.000000,,21.000000,24.000000,,28.000000,32.000000
Mary,225765,Transmission,UT,02:00:00 30-Oct-2024,03:00:00 30-Oct-2024,depth,dry,,5.5,180,216,,,,,,,,
Mary,225765,Transmission,UT,19:00:00 30-Oct-2024,20:00:00 30-Oct-2024,depth,shallow,0.000000,14.2,492,528,17,,1.000000,,,1.000000,,5.000000
Mary,225765,Transmission,UT,19:00:00 30-Oct-2024,20:00:00 30-Oct-2024,depth,deep,,79.5,2845,2881,17,16.000000,,23.000000,24.000000,,26.000000,27.000000
Mary,225765,Transmission,UT,19:00:00 30-Oct-2024,20:00:00 30-Oct-2024,depth,dry,,6.3,209,245,,,,,,,,
Mary,225765,Transmission,UT,20:00:00 30-Oct-2024,21:00:00 30-Oct-2024,depth,shallow,0.000000,66.1,2363,2399,8,,1.000000,,,1.000000,,5.000000
Mary,225765,Transmission,UT,20:00:00 30-Oct-2024,21:00:00 30-Oct-2024,depth,deep,,29.9,1059,1095,8,11.000000,,20.000000,27.000000,,27.000000,29.000000
Mary,225765,Transmission,UT,20:00:00 30-Oct-2024,21:00:00 30-Oct-2024,depth,dry,,4.0,126,162,,,,,,,,
Mary,225765,Transmission,UT,03:00:00 31-Oct-2024,04:00:00 31-Oct-2024,depth,shallow,0.000000,16.5,577,613,20,,1.000000,,,1.000000,,5.000000
Mary,225765,Transmission,UT,03:00:00 31-Oct-2024,04:00:00 31-Oct-2024,depth,deep,,77.2,2760,2796,20,13.000000,,15.000000,17.000000,,19.000000,27.000000
Mary,225765,Transmission,UT,03:00:00 31-Oct-2024,04:00:00 31-Oct-2024,depth,dry,,6.3,209,245,,,,,,,,
Mary,225765,Transmission,UT,04:00:00 31-Oct-2024,05:00:00 31-Oct-2024,depth,shallow,0.000000,8.7,294,330,13,,1.000000,,,1.000000,,5.000000
Mary,225765,Transmission,UT,04:00:00 31-Oct-2024,05:00:00 31-Oct-2024,depth,deep,,87.4,3128,3164,13,13.000000,,14.000000,15.000000,,16.000000,18.000000
Mary,225765,Transmission,UT,04:00:00 31-Oct-2024,05:00:00 31-Oct-2024,depth,dry,,3.9,122,158,,,,,,,,
Mary,225765,Transmission,UT,09:00:00 31-Oct-2024,10:00:00 31-Oct-2024,depth,shallow,0.000000,19.7,691,727,13,,1.000000,,,1.000000,,5.000000
Mary,225765,Transmission,UT,09:00:00 31-Oct-2024,10:00:00 31-Oct-2024,depth,deep,,67.7,2420,2456,13,22.000000,,31.000000,40.000000,,54.000000,55.000000
Mary,225765,Transmission,UT,09:00:00 31-Oct-2024,10:00:00 31-Oct-2024,depth,dry,,12.6,436,472,,,,,,,,
Mary,225765,Transmission,UT,10:00:00 31-Oct-2024,11:00:00 31-Oct-2024,depth,shallow,0.000000,11.0,379,415,14,,1.000000,,,1.000000,,5.000000
Mary,225765,Transmission,UT,10:00:00 31-Oct-2024,11:00:00 31-Oct-2024,depth,deep,,75.6,2703,2739,14,25.000000,,40.000000,45.000000,,48.000000,53.000000
Mary,225765,Transmission,UT,10:00:00 31-Oct-2024,11:00:00 31-Oct-2024,depth,dry,,13.4,464,500,,,,,,,,
Mary,225765,Transmission,UT,17:00:00 31-Oct-2024,18:00:00 31-Oct-2024,depth,shallow,0.000000,27.6,974,1010,15,,1.000000,,,1.000000,,5.000000
Mary,225765,Transmission,UT,17:00:00 31-Oct-2024,18:00:00 31-Oct-2024,depth,deep,,62.2,2221,2257,15,14.000000,,19.000000,23.000000,,36.000000,46.000000
