Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
17343,225765,23,NP,B,1,29-Oct-2024,10:24:12,50.0804,-5.2389,,401677720,-121,8,0,29-Oct-2024,10:24:12,50.0804,-5.2389,144,2017,146923,27,98,,,101,117,6,108,55,109,37,227,88,32,248,180,132,125,217,191,73,235,251,184,53,184,113,,,,,,,,,
17343,225765,27,NP,B,1,29-Oct-2024,10:24:12,50.0804,-5.2389,,401677720,-121,8,0,29-Oct-2024,10:26:36,50.0804,-5.2389,144,2017,146923,27,98,,,165,116,199,76,155,212,69,69,17,212,166,29,123,42,168,227,224,222,61,25,96,52,0,193,62,101,94,,,,,
17343,225765,27,NN,B,2,29-Oct-2024,11:00:26,50.0867,-5.2830,,401677690,-126,8,0,29-Oct-2024,11:00:26,50.0867,-5.2830,495,1975,9687,402,97,,,18,241,1,66,186,150,87,111,160,68,189,239,157,49,88,125,129,143,217,172,233,118,129,246,99,82,110,,,,,
17343,225765,23,NN,B,2,29-Oct-2024,11:00:26,50.0867,-5.2830,,401677690,-126,8,0,29-Oct-2024,11:08:41,50.0867,-5.2830,495,1975,9687,402,97,,,101,117,6,108,55,109,37,227,88,96,249,116,193,45,154,140,43,171,50,128,0,64,32,,,,,,,,,
17343,225765,23,MC,3,3,29-Oct-2024,11:08:41,50.1136,-5.4488,,401677705,-120,56,0,29-Oct-2024,11:08:41,50.1136,-5.4488,596,105,326,33,106,,,101,117,6,108,55,77,37,227,88,32,253,116,197,237,154,204,43,171,34,128,0,0,0,,,,,,,,,
17343,225765,7,MC,3,3,29-Oct-2024,11:08:41,50.1136,-5.4488,,401677705,-120,56,0,29-Oct-2024,11:13:21,50.1136,-5.4488,596,105,326,33,106,,,21,145,11,131,136,192,128,,,,,,,,,,,,,,,,,,,,,,,,,
17343,225765,19,MC,3,3,29-Oct-2024,11:08:41,50.1136,-5.4488,,401677705,-120,56,0,29-Oct-2024,11:15:35,50.1136,-5.4488,596,105,326,33,106,,,29,113,11,2,186,112,0,15,130,2,2,37,0,0,124,16,16,20,160,,,,,,,,,,,,,
17343,225765,19,MC,3,3,29-Oct-2024,11:08:41,50.1136,-5.4488,,401677705,-120,56,0,29-Oct-2024,11:18:37,50.1136,-5.4488,596,105,326,33,106,,,8,209,51,130,186,80,0,15,130,2,2,48,0,0,124,16,16,19,72,,,,,,,,,,,,,
17343,225765,19,NP,A,4,29-Oct-2024,11:59:23,50.1111,-5.4657,,401677704,-128,8,0,29-Oct-2024,11:59:24,50.1111,-5.4657,495,194,480,78,84,,,29,200,72,145,39,24,130,125,161,170,82,197,199,209,15,203,42,32,208,,,,,,,,,,,,,
17343,225765,15,NP,A,4,29-Oct-2024,11:59:23,50.1111,-5.4657,,401677704,-128,8,0,29-Oct-2024,12:04:55,50.1111,-5.4657,495,194,480,78,84,,,8,81,78,158,45,15,208,125,208,60,240,124,17,103,199,,,,,,,,,,,,,,,,,
17343,225765,27,NP,A,4,29-Oct-2024,11:59:23,50.1111,-5.4657,,401677704,-128,8,0,29-Oct-2024,12:07:39,50.1111,-5.4657,495,194,480,78,84,,,165,117,96,146,200,80,192,192,101,157,207,184,28,223,155,99,169,107,181,247,192,90,119,103,210,96,22,,,,,
17343,225765,19,NN,A,5,29-Oct-2024,12:44:58,50.1099,-5.4774,,401677709,-123,8,0,29-Oct-2024,12:44:58,50.1099,-5.4774,297,169,244,117,117,,,29,113,11,2,186,112,0,14,131,60,234,109,200,232,106,76,38,25,33,,,,,,,,,,,,,
17343,225765,15,NN,A,5,29-Oct-2024,12:44:58,50.1099,-5.4774,,401677709,-123,8,0,29-Oct-2024,12:47:12,50.1099,-5.4774,297,169,244,117,117,,,8,81,78,202,234,192,0,1,116,46,165,216,0,0,0,,,,,,,,,,,,,,,,,
17343,225765,27,NN,A,5,29-Oct-2024,12:44:58,50.1099,-5.4774,,401677709,-123,8,0,29-Oct-2024,12:49:55,50.1099,-5.4774,297,169,244,117,117,,,165,117,96,16,58,43,183,87,104,77,92,215,195,162,69,237,91,9,94,5,248,174,179,29,128,0,0,,,,,
17343,225765,27,O3,B,6,29-Oct-2024,12:49:54,50.1105,-5.4829,,401677707,-133,6,0,29-Oct-2024,12:49:55,50.1105,-5.4829,,337,517,219,95,,,165,117,96,16,58,43,183,87,104,77,92,215,3,162,69,237,91,9,94,5,248,172,51,29,128,0,16,,,,,
17343,225765,19,MC,B,7,29-Oct-2024,12:52:47,50.1107,-5.4857,,401677708,-122,6,0,29-Oct-2024,12:52:47,50.1107,-5.4857,,408,629,264,93,,,8,209,51,130,186,80,0,15,130,2,2,48,0,0,124,16,16,19,72,,,,,,,,,,,,,
17343,225765,31,CS,B,8,29-Oct-2024,17:21:41,50.0648,-5.6922,,401677691,-123,8,0,29-Oct-2024,17:20:03,50.0648,-5.6922,196,1603,45724,56,72,,,92,144,180,165,40,162,210,178,254,197,64,130,148,15,199,18,109,187,23,195,242,1,184,2,226,67,255,192,80,0,0,
17343,225765,27,CS,B,8,29-Oct-2024,17:21:41,50.0648,-5.6922,,401677691,-123,8,0,29-Oct-2024,17:23:19,50.0648,-5.6922,196,1603,45724,56,72,,,18,241,1,66,186,144,0,15,130,2,2,236,1,96,124,16,16,33,191,13,14,15,15,17,122,0,0,,,,,
17343,225765,27,NK,B,9,29-Oct-2024,18:16:25,50.1050,-5.6229,,401677702,-129,8,0,29-Oct-2024,18:16:25,50.1050,-5.6229,,3962,37876,414,75,,,165,117,236,190,84,13,182,35,238,186,148,103,201,125,41,66,196,22,153,4,36,174,201,6,0,0,0,,,,,
17343,225765,27,SR,A,10,29-Oct-2024,18:37:35,50.1190,-5.4952,,401677710,-120,6,0,29-Oct-2024,18:35:47,50.1190,-5.4952,242,935,13849,63,104,,,165,117,96,16,58,43,183,87,104,77,92,215,195,162,69,178,91,9,94,5,248,174,202,59,128,0,0,,,,,
17343,225765,31,SR,A,10,29-Oct-2024,18:37:35,50.1190,-5.4952,,401677710,-120,6,0,29-Oct-2024,18:37:10,50.1190,-5.4952,242,935,13849,63,104,,,14,241,35,130,254,93,50,55,189,2,55,171,72,56,147,150,97,204,121,7,165,207,255,70,142,63,101,145,242,90,162,
17343,225765,15,SR,A,10,29-Oct-2024,18:37:35,50.1190,-5.4952,,401677710,-120,6,0,29-Oct-2024,18:39:49,50.1190,-5.4952,242,935,13849,63,104,,,8,81,76,74,137,52,121,135,144,1,126,206,30,62,63,,,,,,,,,,,,,,,,,
17343,225765,23,CS,B,11,29-Oct-2024,19:05:05,50.1186,-5.4982,,401677705,-134,6,0,29-Oct-2024,19:05:05,50.1186,-5.4982,,1579,3546,703,98,,,101,118,98,76,249,62,128,21,239,224,51,14,137,154,178,200,43,179,20,64,0,0,0,,,,,,,,,
17343,225765,15,MC,B,12,29-Oct-2024,19:23:10,50.1194,-5.5090,,401677705,-122,6,0,29-Oct-2024,19:23:10,50.1194,-5.5090,,1468,3412,631,95,,,8,81,76,74,235,2,0,1,116,46,197,216,0,0,0,,,,,,,,,,,,,,,,,
17343,225765,27,A1,B,13,29-Oct-2024,19:36:43,50.1185,-5.5274,,401677710,-121,6,0,29-Oct-2024,19:36:43,50.1185,-5.5274,,1299,3413,494,97,,,133,200,245,254,25,160,207,135,118,153,17,76,30,160,126,6,221,209,14,77,2,74,226,32,69,37,190,,,,,
17343,225765,19,NK,B,14,29-Oct-2024,19:57:28,50.1134,-5.5296,,401677700,-123,6,0,29-Oct-2024,19:57:28,50.1134,-5.5296,,1341,4097,438,103,,,5,113,8,194,170,240,72,76,150,79,245,170,34,81,35,237,121,234,66,,,,,,,,,,,,,
17343,225765,27,MC,B,15,29-Oct-2024,20:58:34,50.1137,-5.5377,,401677698,-118,8,0,29-Oct-2024,20:58:34,50.1137,-5.5377,,1788,4199,761,99,,,16,177,32,194,152,48,129,225,133,226,203,194,14,194,23,33,177,26,217,225,122,85,228,144,58,235,109,,,,,
17343,225765,27,MB,B,16,29-Oct-2024,21:43:33,50.1118,-5.5693,,401677690,-132,8,0,29-Oct-2024,21:43:33,50.1118,-5.5693,,2098,5146,855,91,,,16,177,32,194,187,19,213,211,245,104,44,78,144,78,94,201,177,28,53,206,68,142,32,133,77,36,195,,,,,
