Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,50CI,95CI,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
Mary,29-Oct-2024,11:00:08,2,1.000000,,,0,6,50.11363,-5.44881,11:00:09 29-Oct-2024,Interpolated,50.10750,-5.44952,,,,,12.0,-0.8,,,,15,7,8891,,,,14,22376,,,,9,21965,,,,15,17314,,,,11,12436,,,,30,765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary,29-Oct-2024,15:25:31,1,1.000000,,,0,6,50.10635,-5.44952,15:25:32 29-Oct-2024,Interpolated,50.12705,-5.48309,,,,,5.6,0.4,,,,15,10,16603,,,,12,9198,,,,23,10566,,,,15,18813,,,,24,16744,,,,25,531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary,29-Oct-2024,19:04:38,1,1.000000,,,0,4,50.12277,-5.47223,19:04:39 29-Oct-2024,Interpolated,50.11143,-5.51492,,,,,7.2,0.1,,,,15,31,5096,,,,32,5615,,,,28,816,,,,29,2458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary,30-Oct-2024,00:02:59,1,1.000000,,,0,6,50.10433,-5.47143,00:03:00 30-Oct-2024,Interpolated,50.11693,-5.45744,,,,,18.4,-0.1,,,,15,27,26399,,,,7,8744,,,,8,12811,,,,16,21959,,,,18,24514,,,,10,10923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary,30-Oct-2024,09:44:56,1,1.000000,,,0,5,50.09321,-5.51997,09:44:57 30-Oct-2024,Interpolated,50.11082,-5.51682,,,,,7.9,-1.6,,,,15,9,935,,,,7,32405,,,,11,31610,,,,5,26345,,,,20,16316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary,30-Oct-2024,10:51:58,2,1.000000,,,0,4,50.09852,-5.49821,10:51:59 30-Oct-2024,Interpolated,50.08142,-5.52764,,,,,10.2,-0.8,,,,15,13,27543,,,,5,30608,,,,20,16851,,,,18,23334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary,30-Oct-2024,12:19:24,1,1.000000,,,0,4,50.08247,-5.47396,12:19:25 30-Oct-2024,Interpolated,50.06364,-5.50259,,,,,29.9,-0.6,,,,15,20,3266,,,,5,20806,,,,15,16758,,,,13,25640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary,30-Oct-2024,13:34:27,1,1.000000,,,0,7,50.10766,-5.46369,13:34:28 30-Oct-2024,Interpolated,50.06869,-5.45316,,,,,5.6,-1.0,,,,15,22,18890,,,,5,1508,,,,14,6195,,,,13,23020,,,,24,30974,,,,23,22843,,,,18,16932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary,30-Oct-2024,17:15:12,1,1.000000,,,0,4,50.07777,-5.44822,17:15:13 30-Oct-2024,Interpolated,50.11028,-5.47120,,,,,22.7,-0.7,,,,15,12,29507,,,,24,32393,,,,19,13229,,,,25,26241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary,30-Oct-2024,21:59:17,1,1.000000,,,0,4,50.08946,-5.44187,21:59:18 30-Oct-2024,Interpolated,50.08917,-5.47727,,,,,12.4,-1.1,,,,15,26,26085,,,,31,29918,,,,28,7577,,,,4,10445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary,31-Oct-2024,01:22:10,1,2.000000,,,0,6,50.09432,-5.46743,01:22:11 31-Oct-2024,Interpolated,50.09780,-5.43733,,,,,7.6,-1.8,,,,15,27,29133,,,,10,30098,,,,8,14188,,,,21,6570,,,,2,18932,,,,30,2819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary,31-Oct-2024,05:49:25,1,2.000000,,,0,8,50.04789,-5.54036,05:49:26 31-Oct-2024,Interpolated,50.10400,-5.47282,,,,,7.0,-0.8,,,,15,2,9380,,,,31,340,,,,3,3114,,,,9,29513,,,,21,19854,,,,19,4835,,,,6,19066,,,,28,567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary,31-Oct-2024,06:44:49,1,2.000000,,,0,6,50.08662,-5.49402,06:44:50 31-Oct-2024,Interpolated,50.10452,-5.50465,,,,,5.7,-1.1,,,,15,9,10660,,,,17,16101,,,,2,30930,,,,3,12006,,,,19,9548,,,,31,1669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary,31-Oct-2024,09:04:17,1,2.000000,,,0,8,50.03207,-5.71162,09:04:18 31-Oct-2024,Interpolated,50.04288,-5.54731,,,,,11.8,-0.4,,,,15,9,1166,,,,7,20569,,,,4,3874,,,,5,29092,,,,11,11090,,,,6,19231,,,,20,14092,,,,29,11147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary,31-Oct-2024,12:21:44,1,2.000000,,,0,8,50.10894,-5.67541,12:21:45 31-Oct-2024,Interpolated,50.02620,-5.73042,,,,,8.7,-1.4,,,,15,22,2610,,,,30,31896,,,,15,6889,,,,7,30854,,,,14,30056,,,,13,30391,,,,20,10586,,,,24,16717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary,31-Oct-2024,18:22:24,2,2.000000,,,0,7,50.10840,-5.70008,17:43:23 31-Oct-2024,Argos,50.12053,-5.73172,,,,,12.5,-2.1,,,,15,12,17291,,,,29,5164,,,,11,11666,,,,32,32266,,,,24,13878,,,,28,15655,,,,31,27156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary,01-Nov-2024,02:25:00,1,2.000000,,,0,8,50.12053,-5.73172,18:22:24 31-Oct-2024,FastGPS,50.21203,-5.54629,,1,,,13.2,-1.7,,,,15,14,30745,,,,2,20873,,,,10,5534,,,,21,10818,,,,8,17224,,,,22,1053,,,,32,30502,,,,23,28211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary,01-Nov-2024,06:35:06,2,2.000000,,,0,6,50.21203,-5.54629,02:25:00 01-Nov-2024,FastGPS,50.21167,-5.54621,,,,,2.8,-0.8,,,,15,3,20330,,,,19,9158,,,,31,30764,,,,6,15547,,,,4,31756,,,,11,8073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary,01-Nov-2024,08:03:19,2,2.000000,,,0,5,50.22279,-5.55851,08:03:20 01-Nov-2024,Interpolated,50.23233,-5.58114,,,,,11.4,-0.8,,,,15,11,8870,,,,4,1262,,,,7,23424,,,,9,21488,,,,3,22124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
