DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error Radius,Error Semi-Major Axis,Error Semi-Minor Axis,Error Ellipse Orientation,Offset,Offset Orientation,GPE MSD,GPE U,Count,Comment
Mary,225765,UT,15:00:00 25-Oct-2024,User,,50.1121,-5.4422,,,,,,,,,,
Mary,225765,UT,10:24:12 29-Oct-2024,Argos,B,50.0804,-5.2389,2017,146923,27,98,,,,,,
Mary,225765,UT,11:00:08.199000 29-Oct-2024,FastGPS,6,50.1075,-5.4495,,,,,,,,,,
Mary,225765,UT,11:00:26 29-Oct-2024,Argos,B,50.0867,-5.2830,1975,9687,402,97,,,,,,
Mary,225765,UT,11:08:41 29-Oct-2024,Argos,3,50.1136,-5.4488,105,326,33,106,,,,,,
Mary,225765,UT,11:59:23 29-Oct-2024,Argos,A,50.1111,-5.4657,194,480,78,84,,,,,,
Mary,225765,UT,12:44:58 29-Oct-2024,Argos,A,50.1099,-5.4774,169,244,117,117,,,,,,
Mary,225765,UT,12:49:54 29-Oct-2024,Argos,B,50.1105,-5.4829,337,517,219,95,,,,,,
Mary,225765,UT,12:52:47 29-Oct-2024,Argos,B,50.1107,-5.4857,408,629,264,93,,,,,,
Mary,225765,UT,15:25:32.440709 29-Oct-2024,FastGPS,6,50.1271,-5.4831,,,,,,,,,,
Mary,225765,UT,17:21:41 29-Oct-2024,Argos,B,50.0648,-5.6922,1603,45724,56,72,,,,,,
Mary,225765,UT,18:16:25 29-Oct-2024,Argos,B,50.1050,-5.6229,3962,37876,414,75,,,,,,
Mary,225765,UT,18:37:35 29-Oct-2024,Argos,A,50.1190,-5.4952,935,13849,63,104,,,,,,
Mary,225765,UT,19:04:39.068935 29-Oct-2024,FastGPS,4,50.1114,-5.5149,,,,,,,,,,
Mary,225765,UT,19:05:05 29-Oct-2024,Argos,B,50.1186,-5.4982,1579,3546,703,98,,,,,,
Mary,225765,UT,19:23:10 29-Oct-2024,Argos,B,50.1194,-5.5090,1468,3412,631,95,,,,,,
Mary,225765,UT,19:36:43 29-Oct-2024,Argos,B,50.1185,-5.5274,1299,3413,494,97,,,,,,
Mary,225765,UT,19:57:28 29-Oct-2024,Argos,B,50.1134,-5.5296,1341,4097,438,103,,,,,,
Mary,225765,UT,20:58:34 29-Oct-2024,Argos,B,50.1137,-5.5377,1788,4199,761,99,,,,,,
Mary,225765,UT,21:43:33 29-Oct-2024,Argos,B,50.1118,-5.5693,2098,5146,855,91,,,,,,
Mary,225765,UT,22:32:08 29-Oct-2024,Argos,B,50.1135,-5.5804,2301,5165,1024,91,,,,,,
Mary,225765,UT,22:35:24 29-Oct-2024,Argos,B,50.1145,-5.5682,2301,5497,963,94,,,,,,
Mary,225765,UT,22:44:52 29-Oct-2024,Argos,B,50.1066,-5.5314,1827,3308,1009,81,,,,,,
Mary,225765,UT,00:02:59.919329 30-Oct-2024,FastGPS,6,50.1169,-5.4574,,,,,,,,,,
Mary,225765,UT,00:04:37 30-Oct-2024,Argos,A,50.0897,-5.5280,1265,17120,93,65,,,,,,
Mary,225765,UT,01:49:05 30-Oct-2024,Argos,B,50.0995,-5.5420,1723,3720,797,78,,,,,,
Mary,225765,UT,04:42:21 30-Oct-2024,Argos,B,50.0854,-5.5707,2509,6282,1001,80,,,,,,
Mary,225765,UT,05:30:43 30-Oct-2024,Argos,B,50.0915,-5.5469,2656,9105,774,91,,,,,,
Mary,225765,UT,05:58:19 30-Oct-2024,Argos,B,50.0822,-5.4461,974,7455,127,12,,,,,,
Mary,225765,UT,06:17:40 30-Oct-2024,Argos,B,50.0815,-5.4459,1053,1544,717,17,,,,,,
Mary,225765,UT,07:03:36 30-Oct-2024,Argos,B,50.0814,-5.4582,1136,1671,772,106,,,,,,
Mary,225765,UT,07:41:13 30-Oct-2024,Argos,B,50.0826,-5.4579,1363,2189,848,108,,,,,,
Mary,225765,UT,08:09:38 30-Oct-2024,Argos,B,50.0842,-5.4514,1800,2557,1266,98,,,,,,
Mary,225765,UT,09:44:55.356307 30-Oct-2024,FastGPS,5,50.1108,-5.5168,,,,,,,,,,
Mary,225765,UT,09:47:17 30-Oct-2024,Argos,B,50.0934,-5.5216,1334,8272,215,178,,,,,,
Mary,225765,UT,09:58:57 30-Oct-2024,Argos,B,50.0913,-5.4811,1598,52029,49,106,,,,,,
Mary,225765,UT,10:51:58.162281 30-Oct-2024,FastGPS,4,50.0814,-5.5276,,,,,,,,,,
