DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
Michael,238960,UT,DS,1,0,0,,,12:01:05 31-Mar-2025,NP,,,,,,,,401650000,-132
Michael,238960,UT,DS,1,0,1,,,12:01:05 31-Mar-2025,NN,,,,,,,,401650000,-125
Michael,238960,UT,DS,1,0,1,,,13:29:47 31-Mar-2025,O3,,,,,,,,401650000,-122
Michael,238960,UT,DS,1,0,0,,,13:43:11 31-Mar-2025,NN,,,,,,,,401650000,-130
Michael,238960,UT,DS,1,0,1,,,15:12:29 31-Mar-2025,O3,,,,,,,,401650000,-133
Michael,238960,UT,DS,3,0,1,176,159,19:08:34 31-Mar-2025,SR,,,,,,,,401650000,-119
Michael,238960,UT,DS,1,0,1,,,19:57:24 31-Mar-2025,MC,,,,,,,,401650000,-121
Michael,238960,UT,DS,1,0,0,,,20:16:54 31-Mar-2025,NK,,,,,,,,401650000,-132
Michael,238960,UT,DS,1,0,1,,,20:44:18 31-Mar-2025,MB,,,,,,,,401650000,-130
Michael,238960,UT,DS,3,0,1,177,174,20:47:13 31-Mar-2025,SR,A,50.1004,-5.4705,59.0446,-57.0855,,,401650000,-124
Michael,238960,UT,DS,2,0,0,155,155,21:44:03 31-Mar-2025,NP,B,50.1177,-5.4780,50.1177,-5.4780,8,,401677689,-121
Michael,238960,UT,DS,1,0,0,,,23:03:07 31-Mar-2025,O3,B,50.1252,-5.4806,50.1252,-5.4806,8,,401677691,-130
Michael,238960,UT,DS,2,0,1,427,427,23:12:01 31-Mar-2025,MC,B,50.1223,-5.4598,50.1223,-5.4598,6,,401677684,-126
Michael,238960,UT,DS,1,0,0,,,23:31:39 31-Mar-2025,NP,B,50.0894,-5.4474,50.0894,-5.4474,,,401677692,-132
Michael,238960,UT,DS,3,0,2,261,169,23:31:39 31-Mar-2025,NN,A,50.0894,-5.4474,43.4370,-37.8957,,,401677691,-123
Michael,238960,UT,DS,1,0,0,,,06:16:55 01-Apr-2025,CS,B,50.1184,-5.4851,50.1184,-5.4851,8,,401677698,-133
