DeployID,Ptt,Source,Instr,Start,End,Kind,Type,MinDepth,PercentTime,MinSec,MaxSec,MaxDives,Percent_20,Percent_33,Percent_40,Percent_60,Percent_66,Percent_80,Percent_100
Michael,238960,Transmission,UT,11:00:00 31-Mar-2025,12:00:00 31-Mar-2025,depth,shallow,0.000000,84.3,3015,3051,5,,1.000000,,,1.000000,,5.000000
Michael,238960,Transmission,UT,11:00:00 31-Mar-2025,12:00:00 31-Mar-2025,depth,deep,,6.3,209,245,5,6.000000,,7.000000,7.000000,,7.000000,8.000000
Michael,238960,Transmission,UT,11:00:00 31-Mar-2025,12:00:00 31-Mar-2025,depth,dry,,9.4,320,356,,,,,,,,
Michael,238960,Transmission,UT,12:00:00 31-Mar-2025,13:00:00 31-Mar-2025,depth,shallow,0.000000,53.5,1910,1946,19,,1.000000,,,1.000000,,5.000000
Michael,238960,Transmission,UT,12:00:00 31-Mar-2025,13:00:00 31-Mar-2025,depth,deep,,40.2,1428,1464,19,8.000000,,9.000000,10.000000,,11.000000,12.000000
Michael,238960,Transmission,UT,12:00:00 31-Mar-2025,13:00:00 31-Mar-2025,depth,dry,,6.3,209,245,,,,,,,,
Michael,238960,Transmission,UT,17:00:00 31-Mar-2025,18:00:00 31-Mar-2025,depth,shallow,0.000000,93.7,3355,3391,2,,1.000000,,,1.000000,,5.000000
Michael,238960,Transmission,UT,17:00:00 31-Mar-2025,18:00:00 31-Mar-2025,depth,deep,,3.1,95,131,2,6.000000,,6.000000,7.000000,,7.000000,8.000000
Michael,238960,Transmission,UT,17:00:00 31-Mar-2025,18:00:00 31-Mar-2025,depth,dry,,3.2,97,133,,,,,,,,
Michael,238960,Transmission,UT,18:00:00 31-Mar-2025,19:00:00 31-Mar-2025,depth,shallow,0.000000,79.5,2845,2881,12,,1.000000,,,2.000000,,5.000000
Michael,238960,Transmission,UT,18:00:00 31-Mar-2025,19:00:00 31-Mar-2025,depth,deep,,14.2,492,528,12,7.000000,,8.000000,9.000000,,11.000000,13.000000
Michael,238960,Transmission,UT,18:00:00 31-Mar-2025,19:00:00 31-Mar-2025,depth,dry,,6.3,209,245,,,,,,,,
Michael,238960,Transmission,UT,19:00:00 31-Mar-2025,20:00:00 31-Mar-2025,depth,shallow,0.000000,13.4,464,500,19,,1.000000,,,1.000000,,5.000000
Michael,238960,Transmission,UT,19:00:00 31-Mar-2025,20:00:00 31-Mar-2025,depth,deep,,79.5,2845,2881,19,14.000000,,21.000000,22.000000,,26.000000,28.000000
Michael,238960,Transmission,UT,19:00:00 31-Mar-2025,20:00:00 31-Mar-2025,depth,dry,,7.1,238,274,,,,,,,,
Michael,238960,Transmission,UT,20:00:00 31-Mar-2025,21:00:00 31-Mar-2025,depth,shallow,0.000000,15.0,521,557,21,,1.000000,,,1.000000,,5.000000
Michael,238960,Transmission,UT,20:00:00 31-Mar-2025,21:00:00 31-Mar-2025,depth,deep,,78.0,2788,2824,21,18.000000,,21.000000,24.000000,,26.000000,28.000000
Michael,238960,Transmission,UT,20:00:00 31-Mar-2025,21:00:00 31-Mar-2025,depth,dry,,7.0,234,270,,,,,,,,
Michael,238960,Transmission,UT,01:00:00 01-Apr-2025,02:00:00 01-Apr-2025,depth,shallow,0.000000,38.6,1371,1407,22,,1.000000,,,2.000000,,5.000000
Michael,238960,Transmission,UT,01:00:00 01-Apr-2025,02:00:00 01-Apr-2025,depth,deep,,56.7,2023,2059,22,9.000000,,15.000000,18.000000,,19.000000,20.000000
Michael,238960,Transmission,UT,01:00:00 01-Apr-2025,02:00:00 01-Apr-2025,depth,dry,,4.7,151,187,,,,,,,,
Michael,238960,Transmission,UT,02:00:00 01-Apr-2025,03:00:00 01-Apr-2025,depth,shallow,0.000000,50.4,1796,1832,11,,1.000000,,,1.000000,,5.000000
Michael,238960,Transmission,UT,02:00:00 01-Apr-2025,03:00:00 01-Apr-2025,depth,deep,,47.2,1683,1719,11,17.000000,,20.000000,20.000000,,21.000000,22.000000
Michael,238960,Transmission,UT,02:00:00 01-Apr-2025,03:00:00 01-Apr-2025,depth,dry,,2.4,68,104,,,,,,,,
Michael,238960,Transmission,UT,03:00:00 01-Apr-2025,04:00:00 01-Apr-2025,depth,shallow,0.000000,37.0,1314,1350,23,,1.000000,,,2.000000,,5.000000
Michael,238960,Transmission,UT,03:00:00 01-Apr-2025,04:00:00 01-Apr-2025,depth,deep,,57.5,2051,2087,23,11.000000,,15.000000,17.000000,,19.000000,21.000000
Michael,238960,Transmission,UT,03:00:00 01-Apr-2025,04:00:00 01-Apr-2025,depth,dry,,5.5,180,216,,,,,,,,
Michael,238960,Transmission,UT,04:00:00 01-Apr-2025,05:00:00 01-Apr-2025,depth,shallow,0.000000,17.3,606,642,15,,1.000000,,,1.000000,,5.000000
Michael,238960,Transmission,UT,04:00:00 01-Apr-2025,05:00:00 01-Apr-2025,depth,deep,,78.7,2817,2853,15,19.000000,,22.000000,24.000000,,25.000000,27.000000
Michael,238960,Transmission,UT,04:00:00 01-Apr-2025,05:00:00 01-Apr-2025,depth,dry,,4.0,126,162,,,,,,,,
Michael,238960,Transmission,UT,15:00:00 01-Apr-2025,16:00:00 01-Apr-2025,depth,shallow,0.000000,99.2,3554,3590,0,,3.000000,,,3.000000,,4.000000
Michael,238960,Transmission,UT,15:00:00 01-Apr-2025,16:00:00 01-Apr-2025,depth,deep,,0.0,0,0,,,,,,,,
Michael,238960,Transmission,UT,15:00:00 01-Apr-2025,16:00:00 01-Apr-2025,depth,dry,,0.8,11,47,,,,,,,,
Michael,238960,Transmission,UT,16:00:00 01-Apr-2025,17:00:00 01-Apr-2025,depth,shallow,0.000000,96.9,3469,3505,4,,3.000000,,,4.000000,,5.000000
Michael,238960,Transmission,UT,16:00:00 01-Apr-2025,17:00:00 01-Apr-2025,depth,deep,,0.8,10,46,4,6.000000,,6.000000,6.000000,,7.000000,9.000000
Michael,238960,Transmission,UT,16:00:00 01-Apr-2025,17:00:00 01-Apr-2025,depth,dry,,2.3,65,101,,,,,,,,
Michael,238960,Transmission,UT,17:00:00 01-Apr-2025,18:00:00 01-Apr-2025,depth,shallow,0.000000,92.1,3299,3335,8,,1.000000,,,3.000000,,5.000000
Michael,238960,Transmission,UT,17:00:00 01-Apr-2025,18:00:00 01-Apr-2025,depth,deep,,5.5,180,216,8,6.000000,,6.000000,8.000000,,9.000000,9.000000
Michael,238960,Transmission,UT,17:00:00 01-Apr-2025,18:00:00 01-Apr-2025,depth,dry,,2.4,68,104,,,,,,,,
Michael,238960,Transmission,UT,18:00:00 01-Apr-2025,19:00:00 01-Apr-2025,depth,shallow,0.000000,44.1,1569,1605,19,,1.000000,,,3.000000,,5.000000
Michael,238960,Transmission,UT,18:00:00 01-Apr-2025,19:00:00 01-Apr-2025,depth,deep,,52.0,1853,1889,19,10.000000,,14.000000,17.000000,,19.000000,23.000000
Michael,238960,Transmission,UT,18:00:00 01-Apr-2025,19:00:00 01-Apr-2025,depth,dry,,3.9,122,158,,,,,,,,
Michael,238960,Transmission,UT,21:00:00 01-Apr-2025,22:00:00 01-Apr-2025,depth,shallow,0.000000,12.6,436,472,18,,1.000000,,,1.000000,,5.000000
Michael,238960,Transmission,UT,21:00:00 01-Apr-2025,22:00:00 01-Apr-2025,depth,deep,,78.7,2817,2853,18,14.000000,,18.000000,19.000000,,21.000000,29.000000
Michael,238960,Transmission,UT,21:00:00 01-Apr-2025,22:00:00 01-Apr-2025,depth,dry,,8.7,295,331,,,,,,,,
Michael,238960,Transmission,UT,22:00:00 01-Apr-2025,23:00:00 01-Apr-2025,depth,shallow,0.000000,49.6,1768,1804,16,,1.000000,,,2.000000,,5.000000
Michael,238960,Transmission,UT,22:00:00 01-Apr-2025,23:00:00 01-Apr-2025,depth,deep,,44.1,1569,1605,16,10.000000,,12.000000,15.000000,,19.000000,27.000000
Michael,238960,Transmission,UT,22:00:00 01-Apr-2025,23:00:00 01-Apr-2025,depth,dry,,6.3,209,245,,,,,,,,
Michael,238960,Transmission,UT,01:00:00 02-Apr-2025,02:00:00 02-Apr-2025,depth,shallow,0.000000,83.5,2987,3023,0,,1.000000,,,2.000000,,3.000000
Michael,238960,Transmission,UT,01:00:00 02-Apr-2025,02:00:00 02-Apr-2025,depth,deep,,0.0,0,0,,,,,,,,
Michael,238960,Transmission,UT,01:00:00 02-Apr-2025,02:00:00 02-Apr-2025,depth,dry,,16.5,576,612,,,,,,,,
Michael,238960,Transmission,UT,02:00:00 02-Apr-2025,03:00:00 02-Apr-2025,depth,shallow,0.000000,99.2,3554,3590,0,,1.000000,,,3.000000,,4.000000
Michael,238960,Transmission,UT,02:00:00 02-Apr-2025,03:00:00 02-Apr-2025,depth,deep,,0.0,0,0,,,,,,,,
Michael,238960,Transmission,UT,02:00:00 02-Apr-2025,03:00:00 02-Apr-2025,depth,dry,,0.8,11,47,,,,,,,,
Michael,238960,Transmission,UT,05:00:00 02-Apr-2025,06:00:00 02-Apr-2025,depth,shallow,0.000000,42.5,1513,1549,14,,1.000000,,,2.000000,,5.000000
Michael,238960,Transmission,UT,05:00:00 02-Apr-2025,06:00:00 02-Apr-2025,depth,deep,,51.2,1825,1861,14,13.000000,,15.000000,18.000000,,20.000000,22.000000
Michael,238960,Transmission,UT,05:00:00 02-Apr-2025,06:00:00 02-Apr-2025,depth,dry,,6.3,209,245,,,,,,,,
Michael,238960,Transmission,UT,06:00:00 02-Apr-2025,07:00:00 02-Apr-2025,depth,shallow,0.000000,88.2,3157,3193,6,,1.000000,,,2.000000,,5.000000
Michael,238960,Transmission,UT,06:00:00 02-Apr-2025,07:00:00 02-Apr-2025,depth,deep,,6.3,209,245,6,6.000000,,7.000000,7.000000,,8.000000,9.000000
Michael,238960,Transmission,UT,06:00:00 02-Apr-2025,07:00:00 02-Apr-2025,depth,dry,,5.5,180,216,,,,,,,,
Michael,238960,Transmission,UT,11:00:00 02-Apr-2025,12:00:00 02-Apr-2025,depth,shallow,0.000000,42.5,1513,1549,11,,1.000000,,,1.000000,,5.000000
Michael,238960,Transmission,UT,11:00:00 02-Apr-2025,12:00:00 02-Apr-2025,depth,deep,,52.8,1881,1917,11,10.000000,,11.000000,12.000000,,13.000000,16.000000
Michael,238960,Transmission,UT,11:00:00 02-Apr-2025,12:00:00 02-Apr-2025,depth,dry,,4.7,151,187,,,,,,,,
Michael,238960,Transmission,UT,12:00:00 02-Apr-2025,13:00:00 02-Apr-2025,depth,shallow,0.000000,88.2,3157,3193,7,,1.000000,,,2.000000,,5.000000
Michael,238960,Transmission,UT,12:00:00 02-Apr-2025,13:00:00 02-Apr-2025,depth,deep,,8.7,294,330,7,6.000000,,7.000000,8.000000,,9.000000,9.000000
Michael,238960,Transmission,UT,12:00:00 02-Apr-2025,13:00:00 02-Apr-2025,depth,dry,,3.1,94,130,,,,,,,,
Michael,238960,Transmission,UT,19:00:00 02-Apr-2025,20:00:00 02-Apr-2025,depth,shallow,0.000000,32.3,1144,1180,19,,1.000000,,,1.000000,,5.000000
Michael,238960,Transmission,UT,19:00:00 02-Apr-2025,20:00:00 02-Apr-2025,depth,deep,,64.6,2306,2342,19,21.000000,,29.000000,34.000000,,36.000000,37.000000
Michael,238960,Transmission,UT,19:00:00 02-Apr-2025,20:00:00 02-Apr-2025,depth,dry,,3.1,94,130,,,,,,,,
Michael,238960,Transmission,UT,20:00:00 02-Apr-2025,21:00:00 02-Apr-2025,depth,shallow,0.000000,18.9,662,698,17,,1.000000,,,1.000000,,5.000000
Michael,238960,Transmission,UT,20:00:00 02-Apr-2025,21:00:00 02-Apr-2025,depth,deep,,76.4,2732,2768,17,19.000000,,23.000000,25.000000,,32.000000,34.000000
Michael,238960,Transmission,UT,20:00:00 02-Apr-2025,21:00:00 02-Apr-2025,depth,dry,,4.7,151,187,,,,,,,,
Michael,238960,Transmission,UT,23:00:00 02-Apr-2025,00:00:00 03-Apr-2025,depth,shallow,0.000000,78.7,2817,2853,10,,1.000000,,,2.000000,,5.000000
Michael,238960,Transmission,UT,23:00:00 02-Apr-2025,00:00:00 03-Apr-2025,depth,deep,,13.4,464,500,10,7.000000,,10.000000,11.000000,,12.000000,14.000000
Michael,238960,Transmission,UT,23:00:00 02-Apr-2025,00:00:00 03-Apr-2025,depth,dry,,7.9,266,302,,,,,,,,
Michael,238960,Transmission,UT,00:00:00 03-Apr-2025,01:00:00 03-Apr-2025,depth,shallow,0.000000,18.9,662,698,21,,1.000000,,,1.000000,,5.000000
Michael,238960,Transmission,UT,00:00:00 03-Apr-2025,01:00:00 03-Apr-2025,depth,deep,,77.2,2760,2796,21,10.000000,,11.000000,12.000000,,15.000000,18.000000
Michael,238960,Transmission,UT,00:00:00 03-Apr-2025,01:00:00 03-Apr-2025,depth,dry,,3.9,122,158,,,,,,,,
Michael,238960,Transmission,UT,09:00:00 03-Apr-2025,10:00:00 03-Apr-2025,depth,shallow,0.000000,77.2,2760,2796,13,,1.000000,,,2.000000,,5.000000
Michael,238960,Transmission,UT,09:00:00 03-Apr-2025,10:00:00 03-Apr-2025,depth,deep,,19.7,691,727,13,7.000000,,11.000000,12.000000,,13.000000,15.000000
Michael,238960,Transmission,UT,09:00:00 03-Apr-2025,10:00:00 03-Apr-2025,depth,dry,,3.1,94,130,,,,,,,,
Michael,238960,Transmission,UT,10:00:00 03-Apr-2025,11:00:00 03-Apr-2025,depth,shallow,0.000000,99.2,3554,3590,0,,1.000000,,,3.000000,,4.000000
Michael,238960,Transmission,UT,10:00:00 03-Apr-2025,11:00:00 03-Apr-2025,depth,deep,,0.0,0,0,,,,,,,,
Michael,238960,Transmission,UT,10:00:00 03-Apr-2025,11:00:00 03-Apr-2025,depth,dry,,0.8,11,47,,,,,,,,
Michael,238960,Transmission,UT,21:00:00 03-Apr-2025,22:00:00 03-Apr-2025,depth,shallow,0.000000,10.2,351,387,16,,1.000000,,,1.000000,,5.000000
Michael,238960,Transmission,UT,21:00:00 03-Apr-2025,22:00:00 03-Apr-2025,depth,deep,,84.3,3015,3051,16,21.000000,,23.000000,24.000000,,29.000000,35.000000
Michael,238960,Transmission,UT,21:00:00 03-Apr-2025,22:00:00 03-Apr-2025,depth,dry,,5.5,180,216,,,,,,,,
Michael,238960,Transmission,UT,22:00:00 03-Apr-2025,23:00:00 03-Apr-2025,depth,shallow,0.000000,30.7,1088,1124,19,,1.000000,,,1.000000,,5.000000
Michael,238960,Transmission,UT,22:00:00 03-Apr-2025,23:00:00 03-Apr-2025,depth,deep,,63.8,2278,2314,19,13.000000,,20.000000,25.000000,,26.000000,27.000000
Michael,238960,Transmission,UT,22:00:00 03-Apr-2025,23:00:00 03-Apr-2025,depth,dry,,5.5,180,216,,,,,,,,
Michael,238960,Transmission,UT,01:00:00 04-Apr-2025,02:00:00 04-Apr-2025,depth,shallow,0.000000,97.6,3497,3533,0,,2.000000,,,2.000000,,5.000000
Michael,238960,Transmission,UT,01:00:00 04-Apr-2025,02:00:00 04-Apr-2025,depth,deep,,0.0,0,0,,,,,,,,
Michael,238960,Transmission,UT,01:00:00 04-Apr-2025,02:00:00 04-Apr-2025,depth,dry,,2.4,68,104,,,,,,,,
Michael,238960,Transmission,UT,02:00:00 04-Apr-2025,03:00:00 04-Apr-2025,depth,shallow,0.000000,99.2,3554,3590,0,,2.000000,,,3.000000,,3.000000
Michael,238960,Transmission,UT,02:00:00 04-Apr-2025,03:00:00 04-Apr-2025,depth,deep,,0.0,0,0,,,,,,,,
