DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt,S11,ReleaseWetDry,ReleaseTemperature,MaxDepth,LLRangeToday,DeployStart,FirstPostReleaseTX,upright,SWBuild
Michael,238960,0.500000,UT,,21:26:56 02-Apr-2025,21:26:57 02-Apr-2025,1,B,50.0654,-5.3621,CRC,,,,1145,3.325,,,10.65,1.0,,,,,,,,,,,,,114,22,255,40,,,,,,,56,83,36,0,8,,,,,,11:00:00 31-Mar-2025,,,
Michael,238960,0.500000,UT,,07:27:21 04-Apr-2025,07:27:22 04-Apr-2025,1,B,50.1102,-5.4888,CRC,,,,1620,3.325,,,10.80,1.0,,,,,,,,,,,,,107,22,255,39,,,,,,,70,126,58,0,12,,,,,,11:00:00 31-Mar-2025,,,
Michael,238960,0.500000,UT,,20:15:41 04-Apr-2025,20:15:42 04-Apr-2025,1,A,50.0673,-5.5046,CRC,,,,1795,3.325,,,10.85,1.0,,,,,,,,,,,,,211,22,255,39,,,,,,,62,146,71,0,21,,,,,,11:00:00 31-Mar-2025,,,
Michael,238960,0.500000,UT,,21:36:49 05-Apr-2025,21:36:50 05-Apr-2025,1,3,50.0598,-5.4619,CRC,,,,2120,3.300,,,10.70,1.0,,,,,,,,,,,,,90,21,255,40,,,,,,,70,177,87,0,10,,,,,,11:00:00 31-Mar-2025,,,
Michael,238960,0.500000,UT,,17:24:57 06-Apr-2025,17:24:58 06-Apr-2025,1,0,50.0967,-5.4283,CRC,,,,2395,3.300,,,11.20,1.0,,,,,,,,,,,,,197,19,255,40,,,,,,,46,202,96,0,16,,,,,,11:00:00 31-Mar-2025,,,
Michael,238960,0.500000,UT,,05:39:17 09-Apr-2025,05:39:18 09-Apr-2025,1,,,,CRC,,,,3070,3.350,,,10.90,1.0,,,,,,,,,,,,,146,19,255,40,,,,,,,68,300,155,0,4,,,,,,11:00:00 31-Mar-2025,,,
Michael,238960,0.500000,UT,,14:07:23 14-Apr-2025,14:07:24 14-Apr-2025,1,B,49.9931,-5.4940,CRC,,,,4595,3.225,,,11.50,1.0,,,,,,,,,,,,,163,22,255,38,,,,,,,64,475,271,0,10,,,,,,11:00:00 31-Mar-2025,,,
Michael,238960,0.500000,UT,,20:06:25 17-Apr-2025,20:06:26 17-Apr-2025,1,2,49.9385,-5.5928,CRC,,,,5470,3.325,,,11.45,1.0,,,,,,,,,,,,,187,21,255,38,,,,,,,144,583,340,0,28,,,,,,11:00:00 31-Mar-2025,,,
Michael,238960,0.500000,UT,,05:52:22 24-Apr-2025,05:52:23 24-Apr-2025,1,1,50.0669,-5.4163,CRC,,,,7270,3.300,,,11.80,2.0,,,,,,,,,,,,,193,20,255,39,,,,,,,36,833,528,0,18,,,,,,11:00:00 31-Mar-2025,,,
Michael,238960,0.500000,UT,,19:49:16 24-Apr-2025,19:49:18 24-Apr-2025,2,B,50.0454,-5.4260,CRC,,,,7420,3.300,,,12.05,1.5,,,,,,,,,,,,,107,20,255,39,,,,,,,52,852,540,0,7,,,,,,11:00:00 31-Mar-2025,,,
