Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,50CI,95CI,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
Michael,31-Mar-2025,12:00:21,2,1.000000,,,0,7,50.09097,-5.21212,12:00:22 31-Mar-2025,Interpolated,50.11041,-5.45046,,,,,5.7,-0.7,,,,15,31,6988,,,,18,30760,,,,26,7300,,,,27,9612,,,,28,7824,,,,16,13799,,,,5,10660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael,31-Mar-2025,13:29:15,1,1.000000,,,0,7,50.10830,-5.44533,13:29:16 31-Mar-2025,Interpolated,50.10937,-5.43848,,1,,,13.7,0.3,,,,15,18,3394,,,,23,31023,,,,10,25543,,,,8,6343,,,,16,29802,,,,21,2019,,,,27,4662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael,31-Mar-2025,16:31:54,2,1.000000,,,0,6,50.10494,-5.43084,16:31:55 31-Mar-2025,Interpolated,50.09711,-5.42922,,,,,8.3,0.4,,,,15,32,17582,,,,10,19946,,,,27,8952,,,,2,29370,,,,8,24240,,,,17,26223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael,31-Mar-2025,17:49:53,1,1.000000,,,0,7,50.10288,-5.42543,17:49:54 31-Mar-2025,Interpolated,50.10305,-5.42758,,,,,4.3,-1.4,,,,15,1,25169,,,,19,26694,,,,3,20191,,,,17,15590,,,,22,28368,,,,14,2173,,,,2,5552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael,31-Mar-2025,19:08:34,1,1.000000,,,0,8,50.10092,-5.42149,19:08:35 31-Mar-2025,Interpolated,50.09958,-5.43179,,,,,4.9,-0.7,,,,15,19,25792,,,,17,16784,,,,3,19062,,,,1,6876,,,,4,29872,,,,28,2673,,,,31,30404,,,,9,5041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael,31-Mar-2025,22:46:51,3,1.000000,,,0,7,50.09549,-5.41056,22:46:52 31-Mar-2025,Interpolated,50.10483,-5.45684,,,,,12.6,-0.2,,,,15,6,13382,,,,20,12806,,,,7,14972,,,,5,21552,,,,30,9184,,,,9,28317,,,,11,9904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael,31-Mar-2025,23:00:03,1,1.000000,,,0,8,50.09516,-5.40990,23:00:04 31-Mar-2025,Interpolated,50.09872,-5.45092,,,,,18.0,-0.2,,,,15,5,20802,,,,7,8670,,,,6,9489,,,,30,2554,,,,11,8390,,,,9,32601,,,,20,23584,,,,29,14413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael,31-Mar-2025,23:12:02,1,1.000000,,,0,4,50.09811,-5.44795,23:12:03 31-Mar-2025,Interpolated,50.09349,-5.44778,,,,,1.4,-1.1,,,,15,5,22918,,,,30,29414,,,,13,2443,,,,29,1152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael,01-Apr-2025,01:11:44,1,1.000000,,,0,5,50.08853,-5.42971,01:11:45 01-Apr-2025,Interpolated,50.09201,-5.41829,,,,,0.9,-0.4,,,,15,7,30807,,,,13,5548,,,,30,12971,,,,14,6224,,,,20,24230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael,01-Apr-2025,04:39:33,2,1.000000,,,0,8,50.08048,-5.37958,04:39:34 01-Apr-2025,Interpolated,50.08671,-5.39292,,,,,7.7,-1.1,,,,15,10,26976,,,,23,18936,,,,24,18198,,,,17,14530,,,,22,4992,,,,14,8607,,,,12,17756,,,,15,21483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
