DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error Radius,Error Semi-Major Axis,Error Semi-Minor Axis,Error Ellipse Orientation,Offset,Offset Orientation,GPE MSD,GPE U,Count,Comment
Michael,238960,UT,11:00:00 31-Mar-2025,User,,50.0916,-5.2020,,,,,,,,,,
Michael,238960,UT,12:00:21.257000 31-Mar-2025,FastGPS,7,50.1104,-5.4505,,,,,,,,,,
Michael,238960,UT,13:29:16.294462 31-Mar-2025,FastGPS,6,50.1094,-5.4385,,,,,,,,,,
Michael,238960,UT,16:31:55.427627 31-Mar-2025,FastGPS,6,50.0971,-5.4292,,,,,,,,,,
Michael,238960,UT,17:49:52.572363 31-Mar-2025,FastGPS,7,50.1031,-5.4276,,,,,,,,,,
Michael,238960,UT,19:08:34.274992 31-Mar-2025,FastGPS,8,50.0996,-5.4318,,,,,,,,,,
Michael,238960,UT,20:47:13 31-Mar-2025,Argos,A,50.1004,-5.4705,,,,,,,,,,
Michael,238960,UT,21:44:03 31-Mar-2025,Argos,B,50.1177,-5.4780,,,,,,,,,,
Michael,238960,UT,22:46:51.767604 31-Mar-2025,FastGPS,7,50.1048,-5.4568,,,,,,,,,,
Michael,238960,UT,23:00:03.788746 31-Mar-2025,FastGPS,8,50.0987,-5.4509,,,,,,,,,,
Michael,238960,UT,23:03:07 31-Mar-2025,Argos,B,50.1252,-5.4806,,,,,,,,,,
Michael,238960,UT,23:12:01 31-Mar-2025,Argos,B,50.1223,-5.4598,977,5655,168,178,,,,,,
Michael,238960,UT,23:12:01.932258 31-Mar-2025,FastGPS,4,50.0935,-5.4478,,,,,,,,,,
Michael,238960,UT,23:31:39 31-Mar-2025,Argos,B,50.0894,-5.4474,224,286,175,150,,,,,,
Michael,238960,UT,01:11:44.606721 01-Apr-2025,FastGPS,5,50.0920,-5.4183,,,,,,,,,,
Michael,238960,UT,04:39:32.925000 01-Apr-2025,FastGPS,8,50.0867,-5.3929,,,,,,,,,,
Michael,238960,UT,05:46:06.554000 01-Apr-2025,FastGPS,7,50.0798,-5.3907,,,,,,,,,,
Michael,238960,UT,06:16:55 01-Apr-2025,Argos,B,50.1184,-5.4851,3154,5077,1959,91,,,,,,
Michael,238960,UT,06:29:24 01-Apr-2025,Argos,3,50.0910,-5.3911,116,354,37,89,,,,,,
Michael,238960,UT,06:51:48.652417 01-Apr-2025,FastGPS,6,50.0925,-5.4118,,,,,,,,,,
Michael,238960,UT,07:45:25 01-Apr-2025,Argos,A,50.0945,-5.4528,155,268,89,73,,,,,,
Michael,238960,UT,08:09:39 01-Apr-2025,Argos,B,50.0946,-5.4527,874,1385,551,89,,,,,,
Michael,238960,UT,08:18:04 01-Apr-2025,Argos,B,50.1044,-5.4565,572,4446,73,105,,,,,,
Michael,238960,UT,09:46:14 01-Apr-2025,Argos,B,50.1063,-5.4746,1288,2878,576,91,,,,,,
Michael,238960,UT,10:00:04.961801 01-Apr-2025,FastGPS,4,50.1004,-5.4400,,,,,,,,,,
Michael,238960,UT,10:01:02 01-Apr-2025,Argos,B,50.1045,-5.4639,1387,2937,654,90,,,,,,
Michael,238960,UT,10:36:34 01-Apr-2025,Argos,B,50.1078,-5.4604,1195,37167,38,100,,,,,,
Michael,238960,UT,11:32:12.199557 01-Apr-2025,FastGPS,6,50.1015,-5.4279,,,,,,,,,,
Michael,238960,UT,11:46:58 01-Apr-2025,Argos,B,50.0964,-5.4345,959,12406,74,99,,,,,,
Michael,238960,UT,11:46:58 01-Apr-2025,Argos,A,50.1075,-5.4888,1672,43938,63,101,,,,,,
Michael,238960,UT,12:46:30.320743 01-Apr-2025,FastGPS,4,50.0935,-5.4548,,,,,,,,,,
Michael,238960,UT,13:05:01 01-Apr-2025,Argos,B,50.1034,-5.4586,1752,3107,988,97,,,,,,
Michael,238960,UT,13:21:46 01-Apr-2025,Argos,B,50.1003,-5.4481,2298,4869,1084,101,,,,,,
Michael,238960,UT,13:55:35.439824 01-Apr-2025,FastGPS,4,50.1033,-5.4288,,,,,,,,,,
Michael,238960,UT,19:08:11 01-Apr-2025,Argos,B,50.0889,-5.4060,1581,7716,323,18,,,,,,
Michael,238960,UT,19:44:02 01-Apr-2025,Argos,B,50.1045,-5.4090,629,11119,35,103,,,,,,
Michael,238960,UT,20:16:54 01-Apr-2025,Argos,B,50.1097,-5.4126,1015,2284,450,99,,,,,,
Michael,238960,UT,20:16:54 01-Apr-2025,Argos,B,50.1087,-5.4119,993,2316,425,97,,,,,,
Michael,238960,UT,21:10:25 01-Apr-2025,Argos,A,50.1006,-5.4296,560,1795,174,81,,,,,,
Michael,238960,UT,21:29:25 01-Apr-2025,Argos,B,50.1017,-5.4439,584,773,440,38,,,,,,
Michael,238960,UT,21:32:54.095939 01-Apr-2025,FastGPS,6,50.0835,-5.4417,,,,,,,,,,
Michael,238960,UT,21:39:22 01-Apr-2025,Argos,A,50.0839,-5.4539,110,204,59,78,,,,,,
Michael,238960,UT,22:52:08 01-Apr-2025,Argos,B,50.0941,-5.4381,797,3935,161,166,,,,,,
Michael,238960,UT,22:55:30.826897 01-Apr-2025,FastGPS,7,50.1069,-5.4355,,,,,,,,,,
Michael,238960,UT,00:00:51 02-Apr-2025,Argos,B,50.0969,-5.4465,1086,1841,640,82,,,,,,
Michael,238960,UT,02:45:30.023181 02-Apr-2025,FastGPS,7,50.1004,-5.4275,,,,,,,,,,
Michael,238960,UT,03:58:58.479611 02-Apr-2025,FastGPS,4,50.0901,-5.4303,,,,,,,,,,
Michael,238960,UT,04:20:02 02-Apr-2025,Argos,B,50.0946,-5.4304,2320,3325,1619,83,,,,,,
Michael,238960,UT,05:56:19 02-Apr-2025,Argos,B,50.1129,-5.4503,1963,114681,33,101,,,,,,
Michael,238960,UT,07:07:23 02-Apr-2025,Argos,A,50.0966,-5.4228,171,303,95,142,,,,,,
Michael,238960,UT,07:21:17.204841 02-Apr-2025,FastGPS,4,50.0968,-5.4355,,,,,,,,,,
Michael,238960,UT,07:33:50 02-Apr-2025,Argos,B,50.0968,-5.4228,718,1102,467,90,,,,,,
Michael,238960,UT,07:56:20 02-Apr-2025,Argos,B,50.1015,-5.4211,855,1734,421,94,,,,,,
Michael,238960,UT,08:47:15 02-Apr-2025,Argos,B,50.1162,-5.4488,2505,9714,646,96,,,,,,
Michael,238960,UT,11:02:34 02-Apr-2025,Argos,B,50.1127,-5.4828,2408,150190,38,108,,,,,,
Michael,238960,UT,11:28:42 02-Apr-2025,Argos,B,50.1006,-5.4491,544,5040,58,64,,,,,,
Michael,238960,UT,11:38:39 02-Apr-2025,Argos,B,50.1017,-5.4494,658,1668,259,72,,,,,,
Michael,238960,UT,11:50:35.490932 02-Apr-2025,FastGPS,4,50.1115,-5.4505,,,,,,,,,,
Michael,238960,UT,11:53:31 02-Apr-2025,Argos,B,50.1045,-5.4389,506,1955,130,159,,,,,,
Michael,238960,UT,12:42:14 02-Apr-2025,Argos,B,50.1082,-5.4468,1071,1364,840,100,,,,,,
Michael,238960,UT,12:56:04.206852 02-Apr-2025,FastGPS,7,50.1176,-5.4714,,,,,,,,,,
Michael,238960,UT,13:07:35 02-Apr-2025,Argos,B,50.1068,-5.4433,1296,1798,934,98,,,,,,
Michael,238960,UT,13:14:37 02-Apr-2025,Argos,B,50.1075,-5.4452,1353,1908,959,98,,,,,,
Michael,238960,UT,14:09:24.575327 02-Apr-2025,FastGPS,6,50.0872,-5.4391,,,,,,,,,,
Michael,238960,UT,16:31:06.839232 02-Apr-2025,FastGPS,4,50.0528,-5.3680,,,,,,,,,,
Michael,238960,UT,16:48:27 02-Apr-2025,Argos,B,50.0683,-5.4723,2038,4587,905,89,,,,,,
